,created_at,date,tweet
0,1649690835000.0,2022-04-11 08:27:15,@livscomet someone said liv used aave and needs to apologize for it even though she didn't do anything 😶
1,1649690835000.0,2022-04-11 08:27:15,"@jgreenhall Spilt it up between different platforms to earn interest such as @CelsiusNetwork , @nextofficial , or decentralized platforms like @AaveAave."
2,1649690815000.0,2022-04-11 08:26:55,"Good bye old friends, $BTC $ETH $REN $WAN $LINK $AAVE $ALGO $UTK $KSM $DOGE $SHIBA $FLOKI  https://t.co/ww5AKn9UMp"
3,1649690788000.0,2022-04-11 08:26:28,"Whew, this thread. Felt like being back on some furry telegrams where folks are trying to use AAVE for whatever reason and it just sounds cringe lol."
4,1649690766000.0,2022-04-11 08:26:06,"$AAVE Earnings reports today before the markets open,.  https://t.co/7Lssu0mKsX"
5,1649690726000.0,2022-04-11 08:25:26,@love_fafonafs @nascakess @FinesseEness Yes its aave
6,1649690696000.0,2022-04-11 08:24:56,@Jayesh10061997 @Hasmukhpatelips 100% bhai...badha ni pariathiti sari no hoy....k bija var bharti aave tya sudhi taiyari kari shake
7,1649690685000.0,2022-04-11 08:24:45,"Aave (AAVE) Anlık Fiyat: 162,71USDT Günlük Değişim: %-9,63 Anlık Takip:  https://t.co/RxQKT2VMj0 #AAVE #KriptoCoin"
8,1649690596000.0,2022-04-11 08:23:16,We need to bring back gatekeeping. I hate seeing nonblack people use our AAVE
9,1649690561000.0,2022-04-11 08:22:41,"@FinesseEness As much as they like to down us, AAVE is very nuanced in its structure and difficult to mimic. That’s why you can pick them out EVERY time. Often imitated, never duplicated 😎"
10,1649690552000.0,2022-04-11 08:22:32,$AAVE see this room for trading profit...  https://t.co/gorh15oted
11,1649690551000.0,2022-04-11 08:22:31,$AAVE #AAVE Is Falling From 162.08  🚨 Join Us:  https://t.co/Uw4CjUE3ta
12,1649690550000.0,2022-04-11 08:22:30,@Jayuu_ahir @Hasmukhpatelips 100% bhai badha ni pariathiti sarkhi na hoy...k biji var bharti aave tya sudhi taiyari kari shake
13,1649690500000.0,2022-04-11 08:21:40,"11. BCH --  304.63728 USD 12. UNI --  9.33308USD 13. XMR --  221.48661 USD 14. THETA --  3.04749 USD 15. AAVE --  163.14589 USD 16. EOS --  2.22127 USD 17. MKR --  1,938.83316 USD 18. SNX --  4.64829 USD 19. COMP --  122.51825 USD 20. SUSHI --  3.17911 USD"
14,1649690463000.0,2022-04-11 08:21:03,@SanjayC91980169 @Hasmukhpatelips Mitr badha ni paristhiti sarkhi na hoy...biji bharti aave tya sudhi taiyari kari shake
15,1649690408000.0,2022-04-11 08:20:08,✅ Get real time notification on Telegram ✅ Learn my simple price action setup ✅ Master crypto airdrop  🔸  https://t.co/S1kEg6W7zj  $AAVE $DOT $OGN $TLM $ZIL $UNFI $SNX $NEAR $RSR $CTSI $AXS $BAKE  79354429  https://t.co/OuTVLQCbLd
16,1649690358000.0,2022-04-11 08:19:18,@afrogenya Literally cant believe i just read that theres no way...... How can you misuse aave THAT BADLY
17,1649690330000.0,2022-04-11 08:18:50,"@TheNapMinistry See, I wouldn't make errors and I still won't speak or type AAVE because it's rude."
18,1649690326000.0,2022-04-11 08:18:46,@Pokechamp001 @catgirlaxo This you using aave??  https://t.co/WajtaP6hn7
19,1649690312000.0,2022-04-11 08:18:32,@kkawaiii01 loko eva kaam kare to gusso j aave ne😠
20,1649690287000.0,2022-04-11 08:18:07,@optimismPBC Opti token goes in to aave..
21,1649690234000.0,2022-04-11 08:17:14,aave so funny from nonblack people
22,1649690225000.0,2022-04-11 08:17:05,Pls resume the bull run all ? Otherwise I am looking to swap 10 #aave against 1 #btc please accept
23,1649690213000.0,2022-04-11 08:16:53,@kanzariyarohit8 @Hasmukhpatelips Naa aave bhai ganga Nadi bangal ni khadi ne male che
24,1649690187000.0,2022-04-11 08:16:27,Tik tok is a wonderful place when you wanna laugh at  people fucking up AAVE.
25,1649690186000.0,2022-04-11 08:16:26,@Pokechamp001 @FinesseEness It means child. That’s how it’s pronounced with a southern or AAVE accent
26,1649690146000.0,2022-04-11 08:15:46,"o tanto que a anitta força na hora de falar inglês pra parecer neigra, o aave de centavos"
27,1649690071000.0,2022-04-11 08:14:31,$AAVE #AAVE Is Rising From 162.94  🚨 Join Us:  https://t.co/Uw4CjUE3ta
28,1649690038000.0,2022-04-11 08:13:58,I love hearing people fuck up AAVE. Like the shit needs to be studied. The way people don’t even think before speaking is wild to me. They think AAVE is like when you making a random stew and throw everything in the Fukin pot.
29,1649689989000.0,2022-04-11 08:13:09,"@Dat_bravo @Declan_Kelly03 @patrick_weir @rudepretzels @mazdasneed I mean Americans do have culture, us black Americans do, especially the music, art, dance, literature, cuisines, aave, etc. … same for the Native Americans. I find it disrespectful when Y’all look for American culture, Y’all go straight to the Yt people"
30,1649689982000.0,2022-04-11 08:13:02,$AAVE #AAVE Is Rising From 162.76  🚨 Join Us:  https://t.co/Uw4CjUE3ta
31,1649689896000.0,2022-04-11 08:11:36,What's the point of being anti-black AND using aave???
32,1649689882000.0,2022-04-11 08:11:22,"@notchats @notayosigns Sigh,.. aave isn’t really that big of a deal tbh I thought we moved  https://t.co/3BobmdlYM9"
33,1649689864000.0,2022-04-11 08:11:04,@Vaghela9995 @Hasmukhpatelips @SanjayR57717146 Na aave bhai badha sacaha che
34,1649689853000.0,2022-04-11 08:10:53,$AAVE  Don't miss the next Move in a few hours.  https://t.co/3obgtZwB8H
35,1649689818000.0,2022-04-11 08:10:18,$AAVE see this room for trading profit..  https://t.co/gorh15oted
36,1649689804000.0,2022-04-11 08:10:04,im in the class with the white kids who use aave in every sentence oh my god i want go kill them
37,1649689795000.0,2022-04-11 08:09:55,"Hot LPs on #Ethereum: AAVE/WETH  https://t.co/EEqrvGjqdy, KYL/WETH  https://t.co/h5LoKQn08u, UFO/WETH  https://t.co/DASqufD61V."
38,1649689768000.0,2022-04-11 08:09:28,Also if you have a problem with that you can stop using aave bitch
39,1649689744000.0,2022-04-11 08:09:04,"@notchats @vvsviv you're so mad and the point I made was that you used to use aave on all your old accts, I never said anything abt chi and all"
40,1649721565000.0,2022-04-11 16:59:25,"@JoeyJoJo_1997 @Jolieeast_miji @UnlogicGate @FinesseEness Yeah I think it's trapped in a Locker. But yeah, the writers do an amazing  job of writing Steve and respecting AAVE references and even with Klaus and his really bad use of slang term and phrases too."
41,1649721420000.0,2022-04-11 16:57:00,"JUST IN: $DYDX @dYdX once again a MOST USED smart contract among top 1000 #ETH whales in 24hrs 🐳  We've also got $GALA, $APE, $PAXG, $AAVE &amp; $CRV on the list 👀  Whale leaderboard:  https://t.co/jFn1zIOq03  #DYDX #whalestats #babywhale #BBW"
42,1649721327000.0,2022-04-11 16:55:27,AAVE: Por qué hay argumentos a favor y en contra de un posible repunte en el corto plazo  https://t.co/xFVmJHcpIZ
43,1649721317000.0,2022-04-11 16:55:17,"@BlondeBombshl_ @Jd0gg123 @SpringtrapFigur @nya_marisa @SMGold_ AAVE is an English dialect, anyone can pick up on it. Of course you've heard it since you were a kid. There's nothing wrong with is being AAVE? That's what it is? Just how like the old timey voices you usually hear white elderly people have is a dialect- transatlantic."
44,1649721229000.0,2022-04-11 16:53:49,so glad shes out of her aave era cause what was this😭  https://t.co/32S3RkMi7j
45,1649721209000.0,2022-04-11 16:53:29,"@mendlowicz Agora é a hora de comprar AVAX, LUNA, AAVE, EFI e APE. Essa vão mais que dobrar na próxima subida do Bitcoin. #maeDinahFeelings"
46,1649721175000.0,2022-04-11 16:52:55,Again: pleaseeee tell me when i misuse aave !! Please !!
