drop_this,open,high,low,Volume USD,compound,positive,negative,neutral,polarity,subjectivity,price_change
32,72.6071,72.6071,71.33,9505.470750808001,0.9997,0.073,0.023,0.904,0.1300099105014835,0.5072802260161812,0.0
33,72.3219,72.3219,72.3219,113.02504790285101,0.9999,0.086,0.025,0.889,0.10528000041033211,0.5314047037743725,1.0
34,72.46,72.46,72.0,4259.9557997926,0.9999,0.11,0.033,0.858,0.1657693362193364,0.5029909193980626,0.0
35,72.46993,72.47,72.46992,2039.4271415939002,0.9999,0.11,0.026,0.863,0.1959090267756935,0.4865765592432264,1.0
36,72.72413,72.72413,72.72412,6615.088029320349,0.9999,0.107,0.03,0.863,0.1579792076610259,0.5079121736849015,0.0
37,73.00048000000001,73.00048000000001,73.00048000000001,0.0,0.9999,0.092,0.031,0.877,0.13561725188391857,0.49219464486131204,1.0
38,73.00048000000001,73.00048000000001,73.00048000000001,0.0,0.9999,0.089,0.026,0.884,0.14943550549745252,0.47790412021606743,1.0
39,72.92,73.00048000000001,72.92,1109.678697039483,1.0,0.108,0.025,0.867,0.131848518744492,0.48512932537261416,1.0
40,73.26,73.26,73.26,0.0,1.0,0.147,0.028,0.825,0.22668076763563713,0.5189266125798198,1.0
41,73.26,73.26,73.26,0.0,1.0,0.129,0.041,0.83,0.21681185347450407,0.5028957301065737,1.0
42,73.26,73.26,73.26,1436.1755755446002,0.9999,0.111,0.057,0.832,0.2330108721378562,0.5242024363056105,1.0
80,73.49,74.07,73.45130999999999,5578.8198123424,0.9998,0.082,0.026,0.892,0.21039223402859777,0.5265720227484937,1.0
81,73.75998,74.56,73.56003,9585.841166850492,0.9997,0.096,0.046,0.858,0.19273492132867137,0.5131672147297145,0.0
82,74.43863,74.43863,73.86941999999999,7981.1287071439,0.9999,0.1,0.041,0.859,0.16705232362766617,0.5191509682605575,0.0
83,75.62,75.62,74.35,6815.616549454499,1.0,0.094,0.024,0.882,0.19519203207978705,0.5006080361437505,0.0
84,76.11,76.23,76.11,8789.191887672,1.0,0.119,0.033,0.848,0.20838503267684141,0.4855021694270842,1.0
85,75.78,75.78,75.75,3033.6826597275,0.9999,0.106,0.033,0.861,0.19710879176632606,0.5152529205953862,0.0
86,75.39,75.39,75.39,0.0,1.0,0.113,0.026,0.861,0.16651251907481954,0.49246329566776814,1.0
87,75.85,75.85,75.39,5303.5818948671995,1.0,0.111,0.03,0.859,0.20407788136628272,0.5494877797228898,0.0
88,76.43,76.43,75.47440999999999,6996.171987709658,1.0,0.105,0.03,0.865,0.19609682495418687,0.5208150523641325,0.0
89,77.1,77.1,76.15,3361.9123200000004,0.9999,0.087,0.032,0.882,0.16104743632990393,0.48935813843443715,0.0
90,76.80165,76.80165,76.80165,0.0,0.9999,0.096,0.027,0.878,0.18851128914695478,0.5255632261178337,1.0
91,76.53,76.80165,76.53,1121.312530501335,0.9993,0.115,0.02,0.866,0.18809186333379885,0.4989071591490947,1.0
200,78.49002,78.76998,78.36003000000001,7494.383016645896,0.9999,0.098,0.03,0.872,0.16887249529654594,0.4674850676749413,0.0
201,78.16945,78.55999,77.93403,2159.686783794306,0.9999,0.112,0.027,0.861,0.25080043072505387,0.5616584727388747,1.0
202,77.88,78.41372,77.84,10103.46393465338,0.9999,0.113,0.043,0.844,0.18932205654427867,0.5411929814013146,1.0
203,77.9207,78.74,77.82466,13210.823968793356,1.0,0.124,0.029,0.847,0.24181344989786543,0.4926043130750922,1.0
204,77.78014,78.0836,77.71016,3894.3484837731316,1.0,0.103,0.028,0.87,0.21540444498388409,0.4772000152841275,1.0
205,77.79003,77.81,77.64026,3236.1513288676,1.0,0.135,0.036,0.829,0.2757324031453777,0.5010040276179515,0.0
206,77.92111,77.92111,77.70331999999999,2328.4522478876,0.9999,0.101,0.03,0.869,0.21468016238753537,0.5021530811738187,0.0
207,77.95012,78.07445,77.93999000000001,27905.37430600335,1.0,0.106,0.032,0.862,0.21216996424728382,0.4594265358543711,1.0
208,77.83,78.0579,77.63002,4528.977772723386,1.0,0.097,0.023,0.881,0.22692109729081567,0.5194919263053065,0.0
209,77.7,77.75998,77.49058000000001,960.947614913,0.9997,0.081,0.013,0.906,0.2336291486291486,0.5512770562770561,0.0
248,76.47935,76.8456,76.15997,5197.291976805819,0.9997,0.084,0.048,0.868,0.06070032306874414,0.49830660567502727,1.0
249,76.22003000000001,76.77091999999999,76.08001999999999,7358.119129514945,0.9999,0.099,0.039,0.862,0.09714339291071968,0.5119491592016349,1.0
250,75.52736,76.48,74.85988,360959.31885345967,0.9999,0.108,0.033,0.859,0.18455386741101026,0.5046351267779843,1.0
251,77.49515,77.49515,75.2,26574.569597233913,1.0,0.117,0.04,0.843,0.16831587894601605,0.506470438237562,0.0
252,78.16,78.18001,77.32999000000001,26692.003679423076,1.0,0.1,0.029,0.871,0.18660668204463818,0.5366542554498763,0.0
253,77.86027,78.28,77.8263,9405.178348939138,1.0,0.108,0.027,0.865,0.15807967712429957,0.5099326544292222,1.0
254,77.75,78.0,77.68011,12137.120674893833,1.0,0.125,0.04,0.834,0.19407089430579358,0.47888614554722014,1.0
255,77.8172,77.8172,77.51871,3575.47352485,1.0,0.137,0.039,0.824,0.24235215137055605,0.49315856490703147,0.0
296,80.21,80.21,79.52031,2221.3284394787765,1.0,0.125,0.035,0.84,0.20279254088923077,0.519694242072291,0.0
297,78.98633000000001,80.23383000000001,78.95154000000001,369800.7226768232,1.0,0.12,0.04,0.839,0.20259909762991954,0.537512463943971,1.0
