,open,high,low,Volume USD,compound,positive,negative,neutral,polarity,subjectivity,price_change
0,192.55,196.79,185.14,124655.9703754022,0.9972,0.1,0.069,0.831,0.21231572481572475,0.45213671463671457,1.0
1,195.08,196.89,191.15,70051.2115906332,0.9922,0.061,0.034,0.905,0.09575757575757574,0.34277056277056284,0.0
2,194.6,196.11,188.32,201999.09778370406,0.9978,0.07,0.028,0.903,0.19822454844006562,0.4284927476737821,1.0
3,185.12,194.71,183.18,145146.013758718,0.9993,0.119,0.028,0.853,0.19951260504201684,0.43910084033613445,1.0
4,197.75,197.76,183.05,161486.04546657,0.9991,0.098,0.039,0.863,0.11085413504244672,0.4039628661381909,0.0
5,200.04,201.03,194.29,98125.925118165,0.9988,0.115,0.06,0.824,0.09581219806763286,0.4532518115942028,0.0
32,233.54,234.8,230.29,112618.69968552,0.9931,0.054,0.019,0.927,0.13666837548416494,0.44151813099181525,0.0
33,230.87,234.76,229.0,115944.9886175952,0.9935,0.052,0.018,0.93,0.11599494036202895,0.36937868741666213,1.0
34,237.66,238.55,229.55,102658.1594390875,0.9398,0.069,0.058,0.872,0.08267039964866053,0.4697271158792899,0.0
35,242.07,242.6,236.58,48252.006584464405,0.9975,0.062,0.03,0.908,0.06042908072319836,0.4033673469387755,0.0
36,238.21,242.47,236.58,37766.6742297186,0.9994,0.093,0.036,0.871,0.11482506947784724,0.45454622281011164,1.0
37,233.51,238.57,233.32,43040.911081948,0.9989,0.072,0.041,0.888,0.1762376142376142,0.46477248677248684,1.0
38,235.03,235.71,234.0,25113.774986892906,0.9987,0.095,0.067,0.838,0.11163805038805044,0.4966788298038299,0.0
39,238.76,238.76,234.33,45034.2058232916,0.9995,0.107,0.047,0.846,0.09701546380650855,0.4605393238602191,0.0
40,237.07,240.3,237.07,46168.912323955,0.9992,0.081,0.033,0.886,0.11272391797869506,0.4768020761969803,1.0
41,241.52,241.52,237.24,23755.1030085744,0.9994,0.107,0.052,0.842,0.12002966169632831,0.4279300945967612,0.0
42,238.17,243.98,238.17,37916.0505173775,0.9996,0.125,0.036,0.839,0.13704225352112676,0.4688732394366197,1.0
43,236.53,238.99,235.15,22190.4734322425,0.9989,0.071,0.022,0.907,0.09271170610211704,0.36954367550257966,1.0
44,221.66,237.16,221.66,17574.3402851488,0.9993,0.085,0.028,0.887,0.12912837162837162,0.44684704184704177,1.0
