,id,text
0,1520602601074708480,"RT @Meta_Names: Afternic / Godaddy - Great Domain Sale - 80% OFF!
https://t.co/UZaDSHXt4a

#domains #domainnames #startup #startups #ventur…"
1,1520602599241576448,"#ETH and #BTC scam powered by @YouTube
 @TeamYouTube
 @Namecheap
 https://t.co/UWzrLu32nC
https://t.co/8MbFEhWtb0

https://t.co/rz3LtM9MTv"
2,1520602597836541952,"Good Project

@billmaher @irfhabib @luckydayapp @JalenRose @TreasurelandNFT 

#BTC #ETH #SHIB #cryptocurrency https://t.co/eoXb2l6QIa"
3,1520602597593616384,"RT @kobocoindev: Kobocoin #KOBO has been eco-friendly since February 2015. Is your favourite crypto part of the problem, or one of the solu…"
4,1520602594045198337,What was #BTC’s revenue last year sorry? https://t.co/6BOEFYxeCf
5,1520602591310540802,"RT @coingecko: Top-10 charts for Asia are out again!

$SLP leads again, with $GST and $BTC coming from behind!

Smooth week! 🤩 https://t.co…"
6,1520602584687714304,"RT @DrShridhar3: @CryptoGemsCom Time to buy #ArchieNeko as it's new #1000Xgems in #Cryptos 
#BTC #ETH #Etherum #sundaygame in #UtilityCoins…"
7,1520602583731421184,"RT @VidarrLabsMoDs: @SharksCoins Staking, DAO, ERC-20 Token | @VidarrLabs
 is a Safe DEFI Token with fully built Dapps that are released at…"
8,1520602583148412929,"RT @Big_Dog_Token: 🪂 #BigDog #Airdrop🪂

🏆 5,000$ worth of BDOG 🏆😍

1️⃣ Do the tasks
2️⃣ Get your $BDOG
3️⃣ Refer more to earn more 🤑️🤑️

🚀…"
9,1520602582841970691,"The $BTC price is at $37,920 right now.
🟢 Compared to the last tweet, the price has increased by $102.13 (0.27%).
🔴 In the last 24 hours the price has dropped by $721.19 (1.87%).

#Bitcoin #BTC https://t.co/rcBhMrg2iF"
10,1520602582141444098,@BTC521 #BtcKing is the new way to mine BTC.#Bitcoin  Please say no to the mining machines and keep earth clean. tg: https://t.co/GGRNWcLxZR
11,1520602575250231297,"@MonetaryFrame Single Stake your #Bitcoin     APR: 44%

https://t.co/p8ht8gG7vK

@Bomb_BTC 

                                          🌛

                                🚀
                            .
                        .
                    .
                 .
               ."
12,1520602573618630657,"$BTC $ETH $DOGE  $ens    Best discord community so far with live LESSONS, ALERTS, CALL, update, market analysis and free trials join CT. https://t.co/KIKzOAXlau https://t.co/WzlBO47gQg"
13,1520602572838506497,THIS VID IS DEDICATED TO THIS BISH. Not to b racist but ion like ha bc my third period teacher is always taking up for her cs she the only white person in the room in third period. And idc if she see this cs she won't say nun of the sht said behind my back to my face fight me btc https://t.co/LoAUnEZxjX
14,1520602569747623936,"RT @bricepromos: $150 in 36 hours 🐲🐉

-RT + Follow @Verox_AICrypto + RT 📌

$ape $creek $btc $btcusd #nft #nfts #upcoming $jewel $gst $ftm $…"
15,1520602567088250880,@enilev @SpirosMargaris @fz_juelich @andi_staub @mvollmer1 @Nicochan33 @psb_dc @Analytics_699 @WhiteheartVic @RLDI_Lamy Thank for my btc bonus. Gemini love https://t.co/U1cUMUseMM
16,1520602566459109377,"LIVE THE FUTURE TODAY AND EARN YOUR FUTURE BITCOINS NOW (seriously)
https://t.co/mNl4mmfLu3
$sol $dot $luna $sand $one $doge $bnb $mana $REAL $bnb $gala $blok $BTC $matic $avax $bico $sys $spell $HBAR $ATOM $FET $xrp $bch $qrdo $UST $GTC"
17,1520602565062311936,"LIVE THE FUTURE TODAY AND EARN YOUR FUTURE BITCOINS NOW (seriously)
https://t.co/nuBh6Y6fwV
$sol $dot $luna $sand $one $doge $bnb $mana $REAL $bnb $gala $blok $BTC $matic $avax $bico $sys $spell $HBAR $ATOM $FET $xrp $bch $qrdo $UST $GTC"
18,1520602560595300355,"@hentaiavenger66 @CL207 $120* for a cheeseburger and a DC

1 BTC if you want fries"
19,1520602560171708417,"@Sporf Mine #btc and get 3 #usd for registration. Please use link below;

https://t.co/zaXL9Fo9SP"
20,1520602554693947392,"@btcforlife22 @deyonte_btc @indigo_nakamoto Movey is the Move-to-Earn Application combined with Auto-Staking &amp; Auto-Compounding Protocol with best-fixed APY in crypto – 100,335%.

✅Auto Liquidity
✅ Auto Burn
✅ Move-to-Earn Application: up to 600,000% APY

✅  NFT Collection
✅  Audit

  Telegram:https://t.co/xpiTgEVhOV"
21,1520602554396479488,RT @DrShridhar3: @itejck @ArchieBeyodMars @SperdutiJenny @EthLilly @ArchieNeko_ Time to buy #ArchieNeko as it's new #1000Xgems in #Cryptos…
22,1520602552727146496,"RT @iRunAndSteal: Make Money Online 2022 Free Legit Sites! #BTC #USD #cryptocurrency #free
ℂℝ𝕐ℙ𝕋𝟘𝕋𝔸𝔹! https://t.co/xJVbs4noMR
ℍ𝟘ℕ𝔼𝕐𝔾𝔸𝕀ℕ! ht…"
