unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1649980800,2022-04-15 00:00:00,AAVE/USD,173.36,174.49,173.36,174.49,0.11652054,20.331669024600004
1649977200,2022-04-14 23:00:00,AAVE/USD,172.55,172.55,172.55,172.55,7.22190220,1246.13922461
1649973600,2022-04-14 22:00:00,AAVE/USD,173.50,173.50,173.50,173.50,0.12000000,20.82
1649970000,2022-04-14 21:00:00,AAVE/USD,172.14,173.01,172.14,173.01,5.05866976,875.2004551775999
1649966400,2022-04-14 20:00:00,AAVE/USD,167.79,169.82,167.22,169.82,102.89182398,17473.0895482836
1649962800,2022-04-14 19:00:00,AAVE/USD,169.75,169.75,169.75,169.75,0.00000000,0.0
1649959200,2022-04-14 18:00:00,AAVE/USD,169.75,169.75,169.75,169.75,0.00000000,0.0
1649955600,2022-04-14 17:00:00,AAVE/USD,168.43,169.75,168.43,169.75,1.38672511,235.3965874225
1649952000,2022-04-14 16:00:00,AAVE/USD,171.20,171.55,167.23,167.23,122.55332328,20494.5922521144
1649948400,2022-04-14 15:00:00,AAVE/USD,170.45,170.45,170.45,170.45,0.93680834,159.678981553
1649944800,2022-04-14 14:00:00,AAVE/USD,171.77,174.62,171.70,174.07,23.56736353,4102.3709696671
1649941200,2022-04-14 13:00:00,AAVE/USD,176.04,177.87,171.76,173.26,123.94422108,21474.5757443208
1649937600,2022-04-14 12:00:00,AAVE/USD,173.32,175.30,173.32,175.30,10.11242503,1772.7081077590003
1649934000,2022-04-14 11:00:00,AAVE/USD,174.17,174.17,174.14,174.15,1.14900000,200.09835
1649930400,2022-04-14 10:00:00,AAVE/USD,174.41,174.41,173.55,174.17,17.68418892,3080.0551841963998
1649926800,2022-04-14 09:00:00,AAVE/USD,175.20,175.20,175.20,175.20,7.32598421,1283.5124335919998
1649923200,2022-04-14 08:00:00,AAVE/USD,175.41,175.41,175.41,175.41,0.05763702,10.110109678199999
1649919600,2022-04-14 07:00:00,AAVE/USD,175.38,177.14,174.93,176.75,73.14925022,12929.129976385
1649916000,2022-04-14 06:00:00,AAVE/USD,178.04,178.04,175.93,175.94,0.50264542,88.43543519480001
1649912400,2022-04-14 05:00:00,AAVE/USD,177.72,177.72,177.17,177.55,8.23798229,1462.6537555895
1649908800,2022-04-14 04:00:00,AAVE/USD,179.01,179.01,179.01,179.01,0.00000000,0.0
1649905200,2022-04-14 03:00:00,AAVE/USD,179.01,179.01,179.01,179.01,0.00000000,0.0
1649901600,2022-04-14 02:00:00,AAVE/USD,180.36,180.36,178.96,179.01,46.15811992,8262.7650468792
1649898000,2022-04-14 01:00:00,AAVE/USD,177.96,180.00,177.96,180.00,28.60826270,5149.4872860000005
1649894400,2022-04-14 00:00:00,AAVE/USD,177.74,178.82,177.74,178.82,10.45407191,1869.3971389462
1649890800,2022-04-13 23:00:00,AAVE/USD,177.32,179.56,176.31,179.56,160.01832102,28732.8897223512
1649887200,2022-04-13 22:00:00,AAVE/USD,176.03,177.12,175.97,176.73,106.25033949,18777.6224980677
1649883600,2022-04-13 21:00:00,AAVE/USD,175.62,175.62,175.62,175.62,0.00000000,0.0
1649880000,2022-04-13 20:00:00,AAVE/USD,174.89,175.62,174.89,175.62,0.11526112,20.2421578944
1649876400,2022-04-13 19:00:00,AAVE/USD,176.84,176.84,174.43,174.43,3.44545312,600.9903877216
1649872800,2022-04-13 18:00:00,AAVE/USD,175.37,178.66,175.37,178.66,18.03763015,3222.6030025989994
1649869200,2022-04-13 17:00:00,AAVE/USD,172.92,175.24,172.92,174.74,68.69304851,12003.4232966374
