https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1649721600,2022-04-12 00:00:00,ADA/USD,0.92500,0.92500,0.91774,0.92171,37903.28082979,34935.83297362574
1649718000,2022-04-11 23:00:00,ADA/USD,0.93620,0.93620,0.91806,0.91866,39102.38053865,35921.79290563621
1649714400,2022-04-11 22:00:00,ADA/USD,0.92336,0.93580,0.92336,0.93580,4074.77193238,3813.171574321204
1649710800,2022-04-11 21:00:00,ADA/USD,0.94360,0.94360,0.92500,0.92831,22920.87979313,21277.681920760508
1649707200,2022-04-11 20:00:00,ADA/USD,0.94420,0.95000,0.93713,0.94334,56911.71697553,53687.099091696466
1649703600,2022-04-11 19:00:00,ADA/USD,0.96033,0.96057,0.94083,0.94419,28474.47959813,26885.318891758365
1649700000,2022-04-11 18:00:00,ADA/USD,0.95491,0.95856,0.94632,0.95856,41599.42421668,39875.54407714078
1649696400,2022-04-11 17:00:00,ADA/USD,0.95360,0.95360,0.94000,0.95349,67405.78221036,64270.739279756155
1649692800,2022-04-11 16:00:00,ADA/USD,0.94480,0.94750,0.93496,0.94750,10679.67194225,10118.989165281875
1649689200,2022-04-11 15:00:00,ADA/USD,0.94751,0.95047,0.94155,0.94155,33495.97566591,31538.13588823756
1649685600,2022-04-11 14:00:00,ADA/USD,0.95241,0.95830,0.94000,0.94083,21454.54634402,20185.08083684434
1649682000,2022-04-11 13:00:00,ADA/USD,0.96222,0.96222,0.94000,0.95291,69658.55246816,66378.33123243436
1649678400,2022-04-11 12:00:00,ADA/USD,0.96118,0.96249,0.95916,0.95983,31950.65328140,30667.19553908616
1649674800,2022-04-11 11:00:00,ADA/USD,0.97830,0.97891,0.95722,0.96842,13952.49450740,13511.874730856307
1649671200,2022-04-11 10:00:00,ADA/USD,0.96732,0.98369,0.96732,0.97856,25071.08220702,24533.558204501493
1649667600,2022-04-11 09:00:00,ADA/USD,1.00000,1.00000,0.97000,0.97000,13627.45193369,13218.628375679298
1649664000,2022-04-11 08:00:00,ADA/USD,1.01873,1.01942,1.00800,1.01322,2998.89124526,3038.536587522337
1649660400,2022-04-11 07:00:00,ADA/USD,1.01857,1.01857,1.01857,1.01857,0.00000000,0.0
1649656800,2022-04-11 06:00:00,ADA/USD,1.01867,1.01867,1.01665,1.01857,1052.46128065,1072.0054866316705
1649653200,2022-04-11 05:00:00,ADA/USD,1.02228,1.02228,1.02228,1.02228,0.00000000,0.0
1649649600,2022-04-11 04:00:00,ADA/USD,1.01549,1.02228,1.01409,1.02228,2089.09971575,2135.6448574169103
1649646000,2022-04-11 03:00:00,ADA/USD,1.00300,1.00919,1.00275,1.00919,108076.06085624,109069.27985550885
1649642400,2022-04-11 02:00:00,ADA/USD,1.02079,1.02079,1.00680,1.00680,8018.11683132,8072.640025772975
1649638800,2022-04-11 01:00:00,ADA/USD,1.03044,1.03044,1.02711,1.02759,4539.68874300,4664.93875541937
1649635200,2022-04-11 00:00:00,ADA/USD,1.02069,1.02069,1.01745,1.01913,10081.95863338,10274.82650203656
