unix,date,symbol,open,high,low,close,Volume BCH,Volume USD
1649980800,2022-04-15 00:00:00,BCH/USD,337.45,339.61,337.45,338.85,86.91117507,29449.8516724695
1649977200,2022-04-14 23:00:00,BCH/USD,336.88,338.76,336.88,337.94,52.30346857,17675.4341685458
1649973600,2022-04-14 22:00:00,BCH/USD,337.34,339.35,336.96,336.96,103.95978829,35030.2902621984
1649970000,2022-04-14 21:00:00,BCH/USD,336.79,338.05,336.35,336.99,169.27927418,57045.4226059182
1649966400,2022-04-14 20:00:00,BCH/USD,334.52,335.85,333.41,335.41,294.17811188,98670.28050567082
1649962800,2022-04-14 19:00:00,BCH/USD,333.40,335.20,333.01,334.96,100.36498969,33618.2569465624
1649959200,2022-04-14 18:00:00,BCH/USD,336.78,338.00,332.65,332.65,228.33525272,75955.72181730799
1649955600,2022-04-14 17:00:00,BCH/USD,334.93,337.33,333.77,337.04,178.34803650,60110.422221960005
1649952000,2022-04-14 16:00:00,BCH/USD,333.52,334.73,332.51,334.73,349.43932570,116967.825491561
1649948400,2022-04-14 15:00:00,BCH/USD,336.51,336.63,333.05,333.86,124.18459829,41460.2699850994
1649944800,2022-04-14 14:00:00,BCH/USD,335.27,336.66,333.33,336.65,8764.12452715,2950442.522065047
1649941200,2022-04-14 13:00:00,BCH/USD,338.90,340.17,334.94,335.14,422.46504920,141584.936588888
1649937600,2022-04-14 12:00:00,BCH/USD,337.59,339.60,336.87,338.68,239.45424725,81098.36445863
1649934000,2022-04-14 11:00:00,BCH/USD,339.50,339.56,337.16,337.77,254.06268127,85814.7518525679
1649930400,2022-04-14 10:00:00,BCH/USD,344.45,344.45,339.43,339.43,431.85065325,146583.0672326475
1649926800,2022-04-14 09:00:00,BCH/USD,342.54,345.08,341.23,344.55,197.81392059,68156.7863392845
1649923200,2022-04-14 08:00:00,BCH/USD,345.56,345.57,342.11,342.13,111.24351448,38059.7436090424
1649919600,2022-04-14 07:00:00,BCH/USD,342.40,346.38,342.40,346.15,132.54737905,45881.2752581575
1649916000,2022-04-14 06:00:00,BCH/USD,345.21,345.54,342.94,343.03,192.87570202,66162.1520639206
1649912400,2022-04-14 05:00:00,BCH/USD,346.62,347.65,343.78,344.41,188.54344804,64936.2489394564
1649908800,2022-04-14 04:00:00,BCH/USD,348.10,352.85,346.55,346.55,351.44364794,121792.796193607
1649905200,2022-04-14 03:00:00,BCH/USD,344.81,349.99,344.31,347.95,474.06970825,164952.5549855875
1649901600,2022-04-14 02:00:00,BCH/USD,344.70,346.39,344.70,345.45,117.23534211,40498.948931899504
