unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1650931200,2022-04-26 00:00:00,BTC/USD,40452.52,40599.90,40382.77,40586.49,12.92391067,524536.1711688483
1650927600,2022-04-25 23:00:00,BTC/USD,40380.62,40575.77,40249.22,40441.11,18.16437290,734587.402529919
1650924000,2022-04-25 22:00:00,BTC/USD,40237.65,40602.85,40140.47,40347.32,115.30532107,4652260.686914032
1650920400,2022-04-25 21:00:00,BTC/USD,40188.34,40241.36,40061.06,40236.85,26.37676413,1061317.9017841904
1650916800,2022-04-25 20:00:00,BTC/USD,40251.85,40334.50,40060.28,40195.24,171.58158848,6896763.128534835
1650913200,2022-04-25 19:00:00,BTC/USD,39903.07,40372.82,39772.23,40235.39,83.89225728,3375437.689641139
1650909600,2022-04-25 18:00:00,BTC/USD,39398.70,40350.00,39324.19,39868.09,177.87375634,7091486.9264011895
1650906000,2022-04-25 17:00:00,BTC/USD,39484.49,39579.69,39366.40,39398.77,53.37403307,2102871.252897324
1650902400,2022-04-25 16:00:00,BTC/USD,38973.19,39670.49,38918.93,39479.82,119.30400237,4710100.538847174
1650898800,2022-04-25 15:00:00,BTC/USD,39073.23,39381.99,38932.94,38989.20,72.68546081,2833947.9686132516
1650895200,2022-04-25 14:00:00,BTC/USD,38724.49,39417.11,38647.28,39069.83,213.03858408,8323381.263446307
1650891600,2022-04-25 13:00:00,BTC/USD,38818.31,39329.43,38640.04,38758.83,84.53429345,3276450.308998664
1650888000,2022-04-25 12:00:00,BTC/USD,38845.25,39012.44,38756.62,38817.90,79.39096721,3081790.626061059
1650884400,2022-04-25 11:00:00,BTC/USD,38443.40,38956.19,38346.84,38836.98,116.51463151,4525076.413661241
1650880800,2022-04-25 10:00:00,BTC/USD,38596.63,38642.95,38404.10,38434.59,36.30691510,1395441.3960333087
1650877200,2022-04-25 09:00:00,BTC/USD,38424.96,38640.04,38202.91,38589.33,107.57871844,4151390.6668582456
1650873600,2022-04-25 08:00:00,BTC/USD,38455.24,38584.14,38382.22,38424.94,46.50706962,1787031.359724323
1650870000,2022-04-25 07:00:00,BTC/USD,38623.67,38664.27,38217.54,38466.82,205.87139862,7919218.0338637885
1650866400,2022-04-25 06:00:00,BTC/USD,38993.94,39056.63,38595.34,38658.15,106.34312940,4111028.64781461
1650862800,2022-04-25 05:00:00,BTC/USD,39173.35,39233.41,38964.00,38977.51,36.24742898,1412834.52554224
1650859200,2022-04-25 04:00:00,BTC/USD,39259.27,39265.07,39086.92,39162.11,17.93866381,702515.9253802391
1650855600,2022-04-25 03:00:00,BTC/USD,39105.34,39293.00,39095.52,39265.90,34.84561217,1368244.322906003
1650852000,2022-04-25 02:00:00,BTC/USD,39104.16,39162.52,38990.00,39105.34,13.59328412,531569.9972292008
1650848400,2022-04-25 01:00:00,BTC/USD,38891.92,39174.32,38748.70,39119.57,97.84927617,3827821.608581647
1650844800,2022-04-25 00:00:00,BTC/USD,39464.67,39517.04,38697.12,38871.09,184.92649858,7188294.569688051
1650841200,2022-04-24 23:00:00,BTC/USD,39567.99,39599.37,39436.91,39467.40,12.33581597,486862.58321437804
1650837600,2022-04-24 22:00:00,BTC/USD,39660.45,39782.42,39542.88,39572.32,29.81953915,1180028.345496328
1650834000,2022-04-24 21:00:00,BTC/USD,39520.56,39663.74,39462.03,39654.06,94.97924104,3766312.5229546223
1650830400,2022-04-24 20:00:00,BTC/USD,39712.05,39746.93,39472.86,39515.30,15.82114881,625177.441571793
1650826800,2022-04-24 19:00:00,BTC/USD,39667.04,39821.18,39649.60,39712.15,24.96832501,991545.8680458716
1650823200,2022-04-24 18:00:00,BTC/USD,39420.60,39712.51,39406.89,39664.34,75.30657466,2986985.581549624
1650819600,2022-04-24 17:00:00,BTC/USD,39487.80,39538.81,39132.18,39441.30,58.56540758,2309895.809985054
1650816000,2022-04-24 16:00:00,BTC/USD,39673.56,39789.43,38987.00,39517.21,124.52844730,4921016.802928032
1650812400,2022-04-24 15:00:00,BTC/USD,39788.36,39842.75,39634.17,39656.84,13.13907063,521054.0217226092
1650808800,2022-04-24 14:00:00,BTC/USD,39592.43,39944.65,39375.99,39751.15,33.31997250,1324507.224843375
1650805200,2022-04-24 13:00:00,BTC/USD,39604.07,39635.66,39365.11,39574.08,39.29950688,1555241.8292296706
1650801600,2022-04-24 12:00:00,BTC/USD,39622.66,39664.19,39523.68,39577.19,12.47859506,493867.7276226814
1650798000,2022-04-24 11:00:00,BTC/USD,39702.55,39733.44,39573.04,39593.44,5.51367947,218305.53727467678
1650794400,2022-04-24 10:00:00,BTC/USD,39760.00,39805.07,39650.00,39703.95,9.11369175,361849.56155741244
1650790800,2022-04-24 09:00:00,BTC/USD,39726.49,39787.60,39674.78,39772.25,12.93819341,514581.0628508725
1650787200,2022-04-24 08:00:00,BTC/USD,39773.55,39818.69,39727.77,39744.89,4.71598137,187436.1607926993
1650783600,2022-04-24 07:00:00,BTC/USD,39774.59,39825.76,39732.76,39757.04,8.06668236,320707.4132538144
1650780000,2022-04-24 06:00:00,BTC/USD,39695.24,39807.87,39692.19,39770.36,8.36209674,332563.5977046264
