unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1650931200,2022-04-26 00:00:00,ETH/USD,3008.96,3020.00,3006.38,3016.33,44.97433762,135657.4437933346
1650927600,2022-04-25 23:00:00,ETH/USD,3013.20,3020.02,3004.43,3005.70,48.40536426,145492.003356282
1650924000,2022-04-25 22:00:00,ETH/USD,3010.00,3024.07,3005.02,3010.56,459.18402006,1382401.0434318336
1650920400,2022-04-25 21:00:00,ETH/USD,3000.60,3008.38,2994.78,3006.97,156.73753817,471305.0751510449
1650916800,2022-04-25 20:00:00,ETH/USD,3015.82,3025.99,2990.06,3000.74,1327.76258920,3984270.311916008
1650913200,2022-04-25 19:00:00,ETH/USD,2961.18,3016.49,2954.24,3013.47,994.41651960,2996644.349319012
1650909600,2022-04-25 18:00:00,ETH/USD,2931.08,2982.00,2921.95,2961.20,675.92907597,2001561.179762364
1650906000,2022-04-25 17:00:00,ETH/USD,2928.38,2940.73,2920.40,2928.53,386.04187995,1130535.2266899736
1650902400,2022-04-25 16:00:00,ETH/USD,2869.52,2934.00,2866.56,2924.36,601.61399230,1759335.8945224278
1650898800,2022-04-25 15:00:00,ETH/USD,2874.35,2889.61,2863.53,2870.00,1137.98045611,3266003.9090357
1650895200,2022-04-25 14:00:00,ETH/USD,2858.29,2896.85,2845.66,2870.78,1731.45790812,4970634.733472734
1650891600,2022-04-25 13:00:00,ETH/USD,2860.48,2897.26,2842.86,2857.63,1073.94770206,3068945.1718377178
1650888000,2022-04-25 12:00:00,ETH/USD,2864.40,2871.69,2847.18,2860.34,858.98293754,2456983.2555631637
1650884400,2022-04-25 11:00:00,ETH/USD,2825.97,2863.71,2819.56,2862.86,513.15708129,1469096.8817418893
1650880800,2022-04-25 10:00:00,ETH/USD,2826.54,2831.33,2820.00,2824.66,322.46534791,910854.9696274606
1650877200,2022-04-25 09:00:00,ETH/USD,2809.03,2834.91,2798.10,2826.69,1424.85288909,4027617.413061812
1650873600,2022-04-25 08:00:00,ETH/USD,2812.34,2816.96,2805.00,2808.75,323.81171709,909506.1603765375
1650870000,2022-04-25 07:00:00,ETH/USD,2821.59,2822.27,2799.00,2812.49,799.06203388,2247353.9796671607
1650866400,2022-04-25 06:00:00,ETH/USD,2851.74,2855.91,2816.74,2820.35,1415.60447960,3992500.09403986
1650862800,2022-04-25 05:00:00,ETH/USD,2866.15,2872.76,2845.94,2850.58,331.30480936,944410.8634654287
1650859200,2022-04-25 04:00:00,ETH/USD,2875.34,2875.34,2865.05,2866.03,174.14529113,499105.62873731396
1650855600,2022-04-25 03:00:00,ETH/USD,2861.92,2880.23,2861.39,2875.44,339.57402881,976424.7454014265
1650852000,2022-04-25 02:00:00,ETH/USD,2864.40,2870.00,2854.42,2861.59,241.20375925,690226.2654322075
1650848400,2022-04-25 01:00:00,ETH/USD,2856.04,2870.83,2844.65,2866.04,1102.83384454,3160765.9118054216
1650844800,2022-04-25 00:00:00,ETH/USD,2920.97,2924.45,2852.82,2856.67,555.35605412,1586468.9791229803
1650841200,2022-04-24 23:00:00,ETH/USD,2929.49,2931.33,2918.90,2922.49,121.56721583,355278.9725910167
1650837600,2022-04-24 22:00:00,ETH/USD,2945.74,2952.61,2926.80,2929.49,346.71029988,1015684.356395461
1650834000,2022-04-24 21:00:00,ETH/USD,2941.61,2945.59,2937.56,2945.59,209.38230720,616754.430265248
1650830400,2022-04-24 20:00:00,ETH/USD,2960.33,2962.63,2939.51,2939.51,303.98757689,893574.522143924
1650826800,2022-04-24 19:00:00,ETH/USD,2953.06,2967.20,2953.06,2959.97,199.99993189,591993.7983964432
1650823200,2022-04-24 18:00:00,ETH/USD,2924.39,2953.85,2924.39,2951.45,269.86555107,796494.6807055514
1650819600,2022-04-24 17:00:00,ETH/USD,2943.17,2944.52,2919.28,2922.92,126.97488357,371137.4266844244
1650816000,2022-04-24 16:00:00,ETH/USD,2943.97,2953.00,2918.67,2941.34,122.96156814,361671.7788329076
1650812400,2022-04-24 15:00:00,ETH/USD,2948.08,2954.39,2938.10,2944.38,98.69622291,290599.1848117458
1650808800,2022-04-24 14:00:00,ETH/USD,2938.26,2957.75,2912.44,2948.45,169.59754966,500049.89529502694
1650805200,2022-04-24 13:00:00,ETH/USD,2935.52,2945.23,2925.46,2938.72,114.12047379,335368.1187361488
1650801600,2022-04-24 12:00:00,ETH/USD,2938.37,2944.92,2933.23,2934.76,34.62235469,101608.30165002441
1650798000,2022-04-24 11:00:00,ETH/USD,2946.03,2949.26,2936.41,2938.90,76.28026239,224180.063137971
1650794400,2022-04-24 10:00:00,ETH/USD,2950.97,2955.70,2942.96,2947.81,31.96515064,94227.1907080984
1650790800,2022-04-24 09:00:00,ETH/USD,2946.86,2955.06,2941.83,2950.00,49.92012401,147264.36582950002
1650787200,2022-04-24 08:00:00,ETH/USD,2950.27,2954.57,2946.05,2946.05,28.93307740,85238.29267427001
1650783600,2022-04-24 07:00:00,ETH/USD,2953.80,2958.22,2947.41,2950.27,42.50864042,125411.96657191339
1650780000,2022-04-24 06:00:00,ETH/USD,2945.04,2959.63,2944.94,2954.08,29.77079854,87945.3205510432
1650776400,2022-04-24 05:00:00,ETH/USD,2952.66,2954.15,2945.88,2945.88,17.82843449,52520.4285954012
1650772800,2022-04-24 04:00:00,ETH/USD,2956.71,2960.46,2950.02,2952.15,34.19107531,100937.18297641652
1650769200,2022-04-24 03:00:00,ETH/USD,2931.69,2961.48,2931.66,2957.35,130.07990335,384691.80217212246
1650765600,2022-04-24 02:00:00,ETH/USD,2929.95,2940.48,2922.80,2933.70,77.44853565,227210.76903640496
1650762000,2022-04-24 01:00:00,ETH/USD,2936.31,2943.77,2929.45,2929.59,118.38831886,346829.2350490674
1650758400,2022-04-24 00:00:00,ETH/USD,2933.34,2945.95,2933.34,2938.35,79.26043296,232894.893188016
1650754800,2022-04-23 23:00:00,ETH/USD,2956.90,2956.90,2922.03,2933.34,439.20036347,1288323.9941810898
1650751200,2022-04-23 22:00:00,ETH/USD,2967.37,2968.44,2955.52,2955.52,23.30743684,68885.5957293568
1650747600,2022-04-23 21:00:00,ETH/USD,2965.86,2971.10,2962.01,2968.89,89.38577719,265376.5400416191
1650744000,2022-04-23 20:00:00,ETH/USD,2954.62,2966.09,2953.53,2963.78,111.08371295,329227.68676695105
1650740400,2022-04-23 19:00:00,ETH/USD,2950.19,2955.93,2948.24,2954.13,53.55119422,158197.1893811286
1650736800,2022-04-23 18:00:00,ETH/USD,2961.23,2961.71,2947.90,2949.80,18.49730638,54563.354359724006
1650733200,2022-04-23 17:00:00,ETH/USD,2964.57,2964.57,2955.00,2961.61,110.05076429,325927.44402890693
1650729600,2022-04-23 16:00:00,ETH/USD,2967.05,2978.66,2961.14,2965.17,329.87942627,978148.578393016
1650726000,2022-04-23 15:00:00,ETH/USD,2964.01,2970.79,2959.94,2967.91,239.76573945,711603.1357710495
1650722400,2022-04-23 14:00:00,ETH/USD,2964.97,2968.17,2956.93,2964.11,177.12896707,525029.7425818577
1650718800,2022-04-23 13:00:00,ETH/USD,2963.82,2970.20,2958.91,2964.97,72.97659064,216373.4019498808
1650715200,2022-04-23 12:00:00,ETH/USD,2960.65,2972.39,2948.28,2963.31,102.26397261,303039.8526749391
1650711600,2022-04-23 11:00:00,ETH/USD,2958.99,2965.53,2957.43,2960.65,35.37009549,104718.4732124685
1650708000,2022-04-23 10:00:00,ETH/USD,2955.61,2961.34,2955.33,2958.80,24.48767179,72454.123292252
1650704400,2022-04-23 09:00:00,ETH/USD,2966.94,2966.94,2953.72,2954.14,78.46804125,231805.579378275
1650700800,2022-04-23 08:00:00,ETH/USD,2960.44,2970.17,2955.19,2964.29,31.83284311,94361.7785025419
1650697200,2022-04-23 07:00:00,ETH/USD,2953.39,2961.13,2953.39,2960.56,41.01975620,121441.449415472
1650693600,2022-04-23 06:00:00,ETH/USD,2956.41,2965.79,2952.14,2953.54,93.89466646,277321.6531762684
1650690000,2022-04-23 05:00:00,ETH/USD,2947.83,2959.96,2945.92,2956.22,59.54039530,176014.507393766
1650686400,2022-04-23 04:00:00,ETH/USD,2946.91,2955.10,2917.00,2948.38,773.84264939,2281582.1906084884
1650682800,2022-04-23 03:00:00,ETH/USD,2960.00,2961.27,2942.95,2948.26,85.09006333,250867.63011330584
1650679200,2022-04-23 02:00:00,ETH/USD,2963.92,2965.57,2954.78,2959.75,56.05498083,165908.7295115925
1650675600,2022-04-23 01:00:00,ETH/USD,2956.74,2970.20,2955.41,2963.91,45.12512491,133746.80897199808
1650672000,2022-04-23 00:00:00,ETH/USD,2963.42,2972.61,2955.61,2956.74,78.85113998,233142.3196244652
1650668400,2022-04-22 23:00:00,ETH/USD,2959.89,2971.14,2953.72,2963.42,80.10434171,237382.80831024822
1650664800,2022-04-22 22:00:00,ETH/USD,2965.64,2965.64,2935.44,2959.51,478.25720089,1415406.968605964
1650661200,2022-04-22 21:00:00,ETH/USD,2972.50,2972.50,2962.27,2965.64,153.57485098,455447.7210603272
1650657600,2022-04-22 20:00:00,ETH/USD,2955.45,2973.11,2955.00,2973.11,139.89149907,415912.81480000773
1650654000,2022-04-22 19:00:00,ETH/USD,2970.11,2983.28,2953.00,2955.63,675.52354238,1996597.6475645995
1650650400,2022-04-22 18:00:00,ETH/USD,2948.54,2974.89,2943.62,2969.64,568.64701165,1688676.9116763058
1650646800,2022-04-22 17:00:00,ETH/USD,2947.80,2965.67,2943.67,2951.40,253.14113785,747120.75425049
1650643200,2022-04-22 16:00:00,ETH/USD,2950.01,2966.48,2933.39,2949.32,882.55622716,2602940.7318875315
1650639600,2022-04-22 15:00:00,ETH/USD,2975.45,2991.51,2942.64,2949.55,1606.04054522,4737096.890153651
1650636000,2022-04-22 14:00:00,ETH/USD,2989.01,3002.25,2961.39,2973.12,1165.31396827,3464618.2653429024
1650632400,2022-04-22 13:00:00,ETH/USD,3002.15,3015.55,2977.57,2988.63,1147.62763276,3429834.372095519
1650628800,2022-04-22 12:00:00,ETH/USD,3014.59,3020.78,2997.22,3002.59,892.42728704,2679593.2477934337
1650625200,2022-04-22 11:00:00,ETH/USD,3005.80,3018.14,3000.00,3015.57,742.60581638,2239379.8217010368
1650621600,2022-04-22 10:00:00,ETH/USD,2985.67,3009.76,2977.66,3005.12,238.92235124,717990.3361583488
1650618000,2022-04-22 09:00:00,ETH/USD,3001.42,3005.50,2978.50,2986.96,215.78542906,644542.4451850577
1650614400,2022-04-22 08:00:00,ETH/USD,3020.02,3028.59,2994.17,3001.42,352.26420458,1057292.8289105038
1650610800,2022-04-22 07:00:00,ETH/USD,3013.01,3033.26,2987.37,3021.35,741.18217425,2239370.7621702375
1650607200,2022-04-22 06:00:00,ETH/USD,3012.50,3021.17,3009.33,3011.65,153.22026926,461445.823916879
1650603600,2022-04-22 05:00:00,ETH/USD,3016.55,3022.32,3010.19,3012.68,381.05013690,1147982.126435892
1650600000,2022-04-22 04:00:00,ETH/USD,2996.11,3016.60,2994.25,3016.60,264.30365637,797298.409805742
1650596400,2022-04-22 03:00:00,ETH/USD,2999.72,3008.77,2993.72,2994.48,251.31910317,752570.0280605017
1650592800,2022-04-22 02:00:00,ETH/USD,2998.60,3008.43,2993.36,3000.42,293.35397937,880185.1467813354
1650589200,2022-04-22 01:00:00,ETH/USD,2985.73,3002.19,2981.68,2997.63,265.43789401,795684.5942211963
1650585600,2022-04-22 00:00:00,ETH/USD,2985.05,3000.59,2970.25,2986.06,502.70891978,1501118.9969982668
1650582000,2022-04-21 23:00:00,ETH/USD,2982.85,2991.76,2973.45,2984.82,365.69433065,1091531.7520107331
1650578400,2022-04-21 22:00:00,ETH/USD,3001.48,3012.42,2944.30,2983.88,750.12296816,2238276.922233261
1650574800,2022-04-21 21:00:00,ETH/USD,3003.00,3017.40,2999.08,3003.27,246.87921982,741444.9545088114
1650571200,2022-04-21 20:00:00,ETH/USD,3021.75,3033.93,2993.44,3000.56,1417.05047310,4251944.967564936
1650567600,2022-04-21 19:00:00,ETH/USD,3056.50,3068.34,3023.72,3026.44,583.75902656,1766711.6683422467
1650564000,2022-04-21 18:00:00,ETH/USD,3066.54,3072.71,3055.90,3058.61,698.06077474,2135095.6662275116
1650560400,2022-04-21 17:00:00,ETH/USD,3080.05,3090.51,3060.90,3066.13,438.30473394,1343899.2938754524
1650556800,2022-04-21 16:00:00,ETH/USD,3105.00,3107.73,3077.86,3080.18,551.85289095,1699806.237646371
1650553200,2022-04-21 15:00:00,ETH/USD,3148.48,3154.46,3104.34,3106.42,712.74627518,2214089.284144656
1650549600,2022-04-21 14:00:00,ETH/USD,3156.09,3157.15,3142.64,3149.09,323.87009628,1019896.0814943851
1650546000,2022-04-21 13:00:00,ETH/USD,3163.52,3179.17,3150.61,3156.18,612.57588004,1933399.7410646472
1650542400,2022-04-21 12:00:00,ETH/USD,3154.13,3180.21,3141.86,3163.18,431.46871077,1364813.1965334485
1650538800,2022-04-21 11:00:00,ETH/USD,3130.09,3160.18,3127.50,3153.26,290.19183756,915050.3137044457
1650535200,2022-04-21 10:00:00,ETH/USD,3089.16,3139.06,3088.10,3129.49,526.88449416,1648879.7556287784
1650531600,2022-04-21 09:00:00,ETH/USD,3102.40,3105.38,3083.93,3090.37,228.50012791,706149.9402892267
1650528000,2022-04-21 08:00:00,ETH/USD,3104.00,3110.71,3095.81,3102.94,396.03279183,1228865.9910809803
1650524400,2022-04-21 07:00:00,ETH/USD,3079.41,3107.42,3074.26,3103.12,220.92631838,685560.8770913456
1650520800,2022-04-21 06:00:00,ETH/USD,3073.85,3083.22,3068.51,3076.81,123.50961114,380015.60665166343
1650517200,2022-04-21 05:00:00,ETH/USD,3083.48,3096.13,3071.73,3073.17,148.65704219,456848.3623470423
1650513600,2022-04-21 04:00:00,ETH/USD,3098.80,3105.84,3070.16,3084.41,438.99424549,1354038.240731811
1650510000,2022-04-21 03:00:00,ETH/USD,3091.29,3099.95,3086.03,3098.51,98.65902510,305695.975862601
1650506400,2022-04-21 02:00:00,ETH/USD,3101.97,3106.75,3088.78,3091.57,150.11102960,464078.755780472
1650502800,2022-04-21 01:00:00,ETH/USD,3087.32,3105.14,3082.00,3102.08,259.93392938,806335.8436511104
1650499200,2022-04-21 00:00:00,ETH/USD,3076.33,3090.19,3072.00,3088.53,239.42726905,739478.3032789966
1650495600,2022-04-20 23:00:00,ETH/USD,3085.42,3088.00,3071.38,3077.49,308.21923440,948541.6116736559
1650492000,2022-04-20 22:00:00,ETH/USD,3084.62,3098.58,3079.48,3086.21,699.20246787,2157885.6483650724
1650488400,2022-04-20 21:00:00,ETH/USD,3086.27,3089.42,3078.31,3085.42,165.43660289,510441.4032888638
1650484800,2022-04-20 20:00:00,ETH/USD,3070.66,3086.65,3060.00,3086.27,302.62972911,933997.0540603198
