,id,text
0,1519412398146400263,"RT @conzimp: but safest play i think is still btc in this range, if youre betting on trend reversal it probably leads most things on a rang…"
1,1519412397928501250,"Garbage Pail Heroes
https://t.co/MgRvYFanLm
#BILLIONAIRE #nft #king #nfts #nftdrop #NFTCommunity #nftart #kingnft #whales #elonmusk #viral #NFTartist #drop #BTC #ETH #moneyking #deformed #news #money #xrp #viral https://t.co/5O3w7zkE9A"
2,1519412397060067328,"@cryptogems555 #Btc #Metaverse

#Lotsgaming ❤
(LTSG) 🔥🔥
✅Listed on CMC and https://t.co/T71353Iprf
✅Kucoin and https://t.co/6L3Lgq9xZl listing soon 
✅P2E based METAVERSE project
✅The game is an open world role-playing game (similar to Cyberpunk, Valorant)
✅Partnership with Newfold"
3,1519412395336036352,RT @flintdotmoney: Cuba's Central Bank announces that it will begin issuing licenses for Bitcoin and other virtual asset services providers…
4,1519412395331969024,@JB__nfts @garyvee @BAYC2745 Thankâ€™s for my btc bonus. Musk love https://t.co/GefmXG3UVs
5,1519412395185262593,"RT @TurkInfluencer: 🎁🐺Avci Wolf etkinliği

Prize
1x .1 #SOLANA (150₺)
1x 400₺

To enter:
1️⃣Follow @Soportlandnft &amp; @TurkInfluencer
2️⃣Rt+f…"
6,1519412392563814408,"🤑 Exchange Info 🤑 Price differences on #Binance &amp; #Bybit | #BTC: $55.27, #ETH: $6.50, #BNB: $0.9877, #QTUM: $0.01490, #XRP: $0.0002000, #ADA: -$0.00010000, #BTT: $0.002775, #DOGE: -$0.00005000 | 👁️  More: https://t.co/dTzxAkrosr https://t.co/8o7b7C0evu"
7,1519412392261783553,"RT @Avaxfamily: 🎁#AvaxfamilyGiveaway🎁
🏆 2 winners 🏆
$1000 (2x $500) #ETH or #Avax

To Enter:
1️⃣Follow @avaxfamily
2⃣RT + LIKE
3⃣Tag 2 frie…"
8,1519412392232423429,"RT @Foxy_Jaylad: I think $Marvin is worth checking out while it's still early and low MC 

@MarvinInu
#NFT launch will be a huge hit - expe…"
9,1519412390823182339,"RT @SaitamaUniverse: What is the best investing approach? Despite the hype on social media, day traders/other active traders usually have d…"
10,1519412389896400896,#BTCHard money is the only thing that’s going to fix this. #BTC gets things back on track.
11,1519412389267091459,"@cryptojack Hi,  good weeks 😊
Have you checked Cpos Genius Crypto Payment Solutions? 
Love💙 #cpos 
🥰🔥
#cmctopgainers ✅

Cpos🤝BTC 💓 

@Cposcloud @cposcloudturkey 
@MEXC_TR @MEXC_Global @okx @OkxTurkiye https://t.co/bCCtvq3LfW"
12,1519412387241209859,"@Straightwom @ResisterInGA @BTC_Archive Well first of all Gislaine comes from old money. She was born into it, so she’s not a gold digger. (which I loath her for what she did!)
But not all women have a thing for rich men. If that were the case, I would have married one of the two that proposed to me years ago. lol"
13,1519412386796503041,"RT @TheArabCrypto: 🚨 Giveaway of 30K tokens of CV 🚨

To Enter Giveaway:

1 - have to buy 10K tokens of CV 

2 - Join https://t.co/pqq7lWTPm…"
14,1519412381708865537,"RT @0xHerrCooles: 🚨 BIG Giveaway 🚨

🏆PRIZES:
1x #NFT ( 0.2 #ETH ~ $600 ) 
2x $10 in Crypto
3x Whitelist

📜RULES:
🔸️Follow @SkullSquad_ &amp; me…"
15,1519412379942981632,"RT @kubi_lay34: 💰1000 $USDT GIVEAWAY 💰

MEXC gives 1000 USDT to our community 🤝

5 Winners 1000 $USDT

➡️RT &amp; Like
➡️Follow @kubi_lay34 &amp; @…"
16,1519412379603378177,"RT @its_oddy: Please if seen 
Contact police 🚔 or the number
REPOST FOR HER SAKE 🤲❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤💫💫❤❤❤💖❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤…"
17,1519412378017837056,"RT @kubi_lay34: 💰1000 $USDT GIVEAWAY 💰

MEXC gives 1000 USDT to our community 🤝

5 Winners 1000 $USDT

➡️RT &amp; Like
➡️Follow @kubi_lay34 &amp; @…"
