,created_at,date,tweet,Processed Tweet,Polarity
0,1649707823000.0,2022-04-11 13:10:23,"The $BNB price is at $396.6 right now. 🔴 Compared to the last tweet, the price has dropped by $2.2 (0.55%). 🔴 In the last 24 hours the price has dropped by $32 (7.47%).  #BinanceCoin #BNB  https://t.co/BvnJy3m7dW",the  bnb price is at  396 6 right now    compared to the last tweet  the price has dropped by  2 2  0 55      in the last 24 hours the price has dropped by  32  7 47      binancecoin  bnb   ,0.09523809523809523
1,1649707564000.0,2022-04-11 13:06:04,Binance Coin BNB Current Price: $399.10  1h: -1.07% 24h: -6.85% 7d: -9.92%  30d: +5.96% 60d: -5.06% 90d: -13.3%  #bnb $BNB #binancecoin #binance,binance coin bnb current price   399 10  1h   1 07  24h   6 85  7d   9 92   30d   5 96  60d   5 06  90d   13 3    bnb  bnb  binancecoin  binance,0.0
2,1649706923000.0,2022-04-11 12:55:23,"The $BNB price is at $398.8 right now. 🟢 Compared to the last tweet, the price has increased by $0.5 (0.13%). 🔴 In the last 24 hours the price has dropped by $29.1 (6.80%).  #BinanceCoin #BNB  https://t.co/z7QLU4hDZq",the  bnb price is at  398 8 right now    compared to the last tweet  the price has increased by  0 5  0 13      in the last 24 hours the price has dropped by  29 1  6 80      binancecoin  bnb   ,0.09523809523809523
3,1649706548000.0,2022-04-11 12:49:08,"Price analysis 4/11: BTC, ETH, BNB, SOL, XRP, ADA, LUNA, AVAX, DOT, DOGE  https://t.co/PDCopAwS6w #Markets #Bitcoin #Ethereum #BinanceCoin #Ripple",price analysis 4 11  btc  eth  bnb  sol  xrp  ada  luna  avax  dot  doge     markets  bitcoin  ethereum  binancecoin  ripple,0.0
4,1649706134000.0,2022-04-11 12:42:14,流行りのBinancecoin(Binance)が手に入るフォーセットサイトの紹介です。 1時間に1回手に入ります。 Free Siteです。   https://t.co/mdRBjQaVri  #binance #faucet,    binancecoin binance                      1   1         free site          binance  faucet,0.4
5,1649706125000.0,2022-04-11 12:42:05,"The $BNB price is at $398.3 right now. 🔴 Compared to the last tweet, the price has dropped by $1.9 (0.47%). 🔴 In the last 24 hours the price has dropped by $28.9 (6.76%).  #BinanceCoin #BNB #btc #FalconSwaps #cryptocurrency  https://t.co/Zj6PtzClqD",the  bnb price is at  398 3 right now    compared to the last tweet  the price has dropped by  1 9  0 47      in the last 24 hours the price has dropped by  28 9  6 76      binancecoin  bnb  btc  falconswaps  cryptocurrency   ,0.09523809523809523
6,1649706023000.0,2022-04-11 12:40:23,"The $BNB price is at $398.3 right now. 🔴 Compared to the last tweet, the price has dropped by $1.9 (0.47%). 🔴 In the last 24 hours the price has dropped by $28.9 (6.76%).  #BinanceCoin #BNB  https://t.co/hUUI0QE4JS",the  bnb price is at  398 3 right now    compared to the last tweet  the price has dropped by  1 9  0 47      in the last 24 hours the price has dropped by  28 9  6 76      binancecoin  bnb   ,0.09523809523809523
7,1649705123000.0,2022-04-11 12:25:23,"The $BNB price is at $400.2 right now. 🔴 Compared to the last tweet, the price has dropped by $2.7 (0.67%). 🔴 In the last 24 hours the price has dropped by $27.3 (6.39%).  #BinanceCoin #BNB  https://t.co/lFyaiv1Pom",the  bnb price is at  400 2 right now    compared to the last tweet  the price has dropped by  2 7  0 67      in the last 24 hours the price has dropped by  27 3  6 39      binancecoin  bnb   ,0.09523809523809523
8,1649704224000.0,2022-04-11 12:10:24,"The $BNB price is at $402.9 right now. 🟢 Compared to the last tweet, the price has increased by $0.3 (0.07%). 🔴 In the last 24 hours the price has dropped by $24 (5.62%).  #BinanceCoin #BNB  https://t.co/DFuDYEhD3N",the  bnb price is at  402 9 right now    compared to the last tweet  the price has increased by  0 3  0 07      in the last 24 hours the price has dropped by  24  5 62      binancecoin  bnb   ,0.09523809523809523
9,1649703614000.0,2022-04-11 12:00:14,BNB volta a cair abaixo de US$ 400 #analisecriptomercado #binancecoin #bnb #criptomercado  https://t.co/FXV5ys6N8I,bnb volta a cair abaixo de us  400  analisecriptomercado  binancecoin  bnb  criptomercado   ,0.0
