,created_at,date,tweet,Processed Tweet,Polarity
0,1649708625000.0,2022-04-11 13:23:45,"@Deacon_PS5 @XboxSinGotysXD @snakyknot18 Pues eso tron, que el que avisa no es traidor, es avisador 😘 Buenas noches 😁",  ps5     pues eso tron  que el que avisa no es traidor  es avisador   buenas noches  ,0.0
1,1649708603000.0,2022-04-11 13:23:23,Acabo de terminarme #tron y #tronlegacy …. mañana me pongo a hackear lo que me echen!!,acabo de terminarme  tron y  tronlegacy    ma ana me pongo a hackear lo que me echen  ,0.0
2,1649708565000.0,2022-04-11 13:22:45,@PolyPad_App @BlueZillaVc Why is this fair to TronPad holders that had a guaranteed allocation and now I have a lottery 1 tier on PolyPad? Why do you do this to People that invested heavily into #tronpad or #kccpad? I feel like tron and kcc holders should get guaranteed allocations also on polypad. No?,  app   why is this fair to tronpad holders that had a guaranteed allocation and now i have a lottery 1 tier on polypad  why do you do this to people that invested heavily into  tronpad or  kccpad  i feel like tron and kcc holders should get guaranteed allocations also on polypad  no ,0.24999999999999997
3,1649708560000.0,2022-04-11 13:22:40,"Análisis de precios de Ethereum, ATOM, Tron, ETC: 11 de abril  https://t.co/TZ3q89gqmJ #BTC #Bitcoin #criptomonedas #criptonius  https://t.co/HhWisEn6nj",an lisis de precios de ethereum  atom  tron  etc  11 de abril     btc  bitcoin  criptomonedas  criptonius   ,0.0
4,1649708475000.0,2022-04-11 13:21:15,@Benzeminho216 tron,  tron,0.0
5,1649708451000.0,2022-04-11 13:20:51,"finished Goblin, absolutely amazing. High 9/10. top 4 Window, Tron Cat, Golden, Steak Sauce (can’t choose 3). gonna listen to Cherry Bomb next  https://t.co/r3BNb2oIzB",finished goblin  absolutely amazing  high 9 10  top 4 window  tron cat  golden  steak sauce  can t choose 3   gonna listen to cherry bomb next   ,0.31200000000000006
6,1649708400000.0,2022-04-11 13:20:00,FREE #NFTGiveaway 🎉🎉  RT + Follow @DarrenPromoter &amp; RT the pinned tweet! 💵  #NFTGiveaways #NFTCommmunity #picknava #NFTs #ETH #BTC #Crypto #BNB #SOL #BSC #Avax #Doge #Ethereum #Bitcoin #Solana #Giveaway #P2E #GiveawayNFT #Airdrop #NFT #ADA #shiba #NFTdrop #tezos #tron #DropNFT  https://t.co/Iv9lVN8M7e,free  nftgiveaway     rt   follow    amp  rt the pinned tweet      nftgiveaways  nftcommmunity  picknava  nfts  eth  btc  crypto  bnb  sol  bsc  avax  doge  ethereum  bitcoin  solana  giveaway  p2e  giveawaynft  airdrop  nft  ada  shiba  nftdrop  tezos  tron  dropnft   ,0.4
7,1649708397000.0,2022-04-11 13:19:57,Give it by some point by May to early June for the canopy being completed.   Lucky enough if they pull it off being done by this month of April.   #DisneyWorld  #Tron,give it by some point by may to early june for the canopy being completed    lucky enough if they pull it off being done by this month of april     disneyworld   tron,0.14444444444444446
8,1649708345000.0,2022-04-11 13:19:05,I earned with the help of my friends! 💸 Anyone can try how it is simple and fun on @betfury i-Gaming platform. My Username: User132954 #betfurysuccess #tron #bitcoin #referral,i earned with the help of my friends    anyone can try how it is simple and fun on   i gaming platform  my username  user132954  betfurysuccess  tron  bitcoin  referral,0.15
9,1649708336000.0,2022-04-11 13:18:56,"""You...my friends...are the new password."" - Tron (KH 2)", you   my friends   are the new password     tron  kh 2 ,0.13636363636363635
10,1649708329000.0,2022-04-11 13:18:49,@Meta_UFO Good #HIGH #bsc #tron @Airdrop14189217  @Airdrop_Announc  @Airdrop_Flame,  ufo good  high  bsc  tron      announc    flame,0.43
11,1649708278000.0,2022-04-11 13:17:58,Tron Uprising should have gotten more seasons,tron uprising should have gotten more seasons,0.5
12,1649708252000.0,2022-04-11 13:17:32,"@MalinKa11563704 @ebmpsykiatri Du är ""trött på att folk slänger upp den kristna tron"" och, citat ""förfular den"". Dvs som om du som Kreml-troll skulle dela den kristna tron. Du försöker på ett försåtligt sätt förespegla att du som Kreml-troll är på de kristnas sida när du stöttar Putins bombning av civila.",    du  r  tr tt p  att folk sl nger upp den kristna tron  och  citat  f rfular den   dvs som om du som kreml troll skulle dela den kristna tron  du f rs ker p  ett f rs tligt s tt f respegla att du som kreml troll  r p  de kristnas sida n r du st ttar putins bombning av civila ,0.0
13,1649708242000.0,2022-04-11 13:17:22,"@DaybedNFT Gotta add #holograms to the coloring book! And they remind me of a cross between Tron and #TenjoTenge, so couldn't resist!",  gotta add  holograms to the coloring book  and they remind me of a cross between tron and  tenjotenge  so couldn t resist ,0.0
14,1649708240000.0,2022-04-11 13:17:20,"TRON (TRX) Anlık Fiyat: 0,05872200USDT Günlük Değişim: %-8,36 Anlık Takip:  https://t.co/J12aPAWPM2 #TRX #KriptoCoin",tron  trx  anl k fiyat  0 05872200usdt g nl k de i im    8 36 anl k takip      trx  kriptocoin,0.0
15,1649708238000.0,2022-04-11 13:17:18,@ladbible Tron! This was epic in the arcade back in the day!  https://t.co/aGqvZxqFg8,  tron  this was epic in the arcade back in the day    ,0.05
16,1649708213000.0,2022-04-11 13:16:53,🔥🚀 NEW TRON MINING WEBSITE 🔥🚀  ❇️Welcome bonus:10000 #TRX 🔸My own İnvestmentt :2500 #TRX ✅Minimum deposit: 5TRX 🔸5% daily withdrawal  🌟Can Withdrawal Daily Upto 12%  💻Join link:  https://t.co/IEafIclwOH  #Dot #Trx #Btc #Ethereumclassic  https://t.co/BMEoI4HSD2,   new tron mining website       welcome bonus 10000  trx  my own i nvestmentt  2500  trx  minimum deposit  5trx  5  daily withdrawal   can withdrawal daily upto 12    join link       dot  trx  btc  ethereumclassic   ,0.30727272727272725
17,1649708202000.0,2022-04-11 13:16:42,đoạn này nó tròn xoe 😳 nhìn bồng bềnh muốn bế  #winmetawin @winmetawin, o n n y n  tr n xoe   nh n b ng b nh mu n b    winmetawin  ,0.0
18,1649708168000.0,2022-04-11 13:16:08,@RMoonOfficial Good project @djkhaled  @tron @Airdrop365Team,  good project       ,0.7
19,1649708142000.0,2022-04-11 13:15:42,@RMoonOfficial @coinbase #XRP #tron #ROSE,     xrp  tron  rose,0.6
20,1649708141000.0,2022-04-11 13:15:41,"@lauut2 @V_Criss24 @Gabriel58495956 @CPRXtothemoon Capo, cómo vendes los cprx a otra moneda en Bittrex? ya me llegaron pero quiero pasar a tron pero ni idea",    criss24     capo  c mo vendes los cprx a otra moneda en bittrex  ya me llegaron pero quiero pasar a tron pero ni idea,0.0
21,1649708100000.0,2022-04-11 13:15:00,FREE #NFTGiveaway 🎉🎉  RT + Follow @DarrenPromoter &amp; RT the pinned tweet! 💵  #NFTGiveaways #NFTCommmunity #picknava #NFTs #ETH #BTC #Crypto #BNB #SOL #BSC #Avax #Doge #Ethereum #Bitcoin #Solana #Giveaway #P2E #GiveawayNFT #Airdrop #NFT #ADA #shiba #NFTdrop #tezos #tron #DropNFT  https://t.co/jyHBUDHdiI,free  nftgiveaway     rt   follow    amp  rt the pinned tweet      nftgiveaways  nftcommmunity  picknava  nfts  eth  btc  crypto  bnb  sol  bsc  avax  doge  ethereum  bitcoin  solana  giveaway  p2e  giveawaynft  airdrop  nft  ada  shiba  nftdrop  tezos  tron  dropnft   ,0.4
22,1649708098000.0,2022-04-11 13:14:58,TRONは「エンターテイメント特化の分散型ストレージプラットフォーム」であり、中国のICO（仮想通貨）である。通貨単位はTRXである  #WIKI,tron                                      ico               trx      wiki,0.0
23,1649708087000.0,2022-04-11 13:14:47,@vetrix_tron @DeadByBHVR @primegaming I like the $30-$60 Survivor/Killer pack charms personally. I'm aware it comes with all the characters but for those who already own them it's $60 for two charms.,  tron     i like the  30  60 survivor killer pack charms personally  i m aware it comes with all the characters but for those who already own them it s  60 for two charms ,0.425
24,1649708062000.0,2022-04-11 13:14:22,"@tron_80 @cycletux Da steht ja nicht groß 1 oder 2 auf der Schnauze? 😅  Keine Ahnung, die sind beide eher eckig rundgelutscht. Oder wie unterscheidet man die am besten?  Was fuhr denn früher immer zwischen Bremen-München sowie Hannover-Basel?",  80   da steht ja nicht gro  1 oder 2 auf der schnauze     keine ahnung  die sind beide eher eckig rundgelutscht  oder wie unterscheidet man die am besten   was fuhr denn fr her immer zwischen bremen m nchen sowie hannover basel ,0.0
25,1649708032000.0,2022-04-11 13:13:52,I do not understand how Elec-Tron lives inside a FUCKING TV.,i do not understand how elec tron lives inside a fucking tv ,-0.6
