,created_at,date,tweet,Processed Tweet,Polarity
0,1649375975000.0,2022-04-07 16:59:35,Cardano Foundationは、チューリッヒ大学と提携してブロックチェーンを改善しています🚀  #Cardano #ADA   https://t.co/5IqecL0dOb,cardano foundation                                   cardano  ada    ,0.0
1,1649375968000.0,2022-04-07 16:59:28,Ops I did it again..  @Pendulum_NFT is pure #addiction   #cardano #nft #digitlart  https://t.co/ayQjB97MVY,ops i did it again      nft is pure  addiction    cardano  nft  digitlart   ,0.21428571428571427
2,1649375958000.0,2022-04-07 16:59:18,"So, finally, TVL at USD 416Mil, @500/1000 projects attracting 10Mil each is 5Bil TVL within the next 6 months. I still want that Milkomeda ZKRollup security to Cardano L1 security and a two-way C1 SideChain before aping in. #CardanoCommunity @Milkomeda_com  https://t.co/nd82k8e136",so  finally  tvl at usd 416mil    1000 projects attracting 10mil each is 5bil tvl within the next 6 months  i still want that milkomeda zkrollup security to cardano l1 security and a two way c1 sidechain before aping in   cardanocommunity   com   ,0.0
3,1649375952000.0,2022-04-07 16:59:12,"Our dev is building!!! We have alot coming your way. We our dedicated to the Cardano fam and more importantly, the bug fam!",our dev is building    we have alot coming your way  we our dedicated to the cardano fam and more importantly  the bug fam ,0.45
4,1649375926000.0,2022-04-07 16:58:46,@Cardano NEAR is NEXT solana  https://t.co/yBaeSRaoGN,  near is next solana   ,0.05
5,1649375924000.0,2022-04-07 16:58:44,@Web3DEX This is a great project @Tolubest  @effynta  @uddyessien   #CARDANO #WEB3DEX #Giveaway #WEB3 #ADA,  this is a great project            cardano  web3dex  giveaway  web3  ada,0.8
6,1649375913000.0,2022-04-07 16:58:33,@CalvinsBrew Recently everyday has big amazing news for cardano but fr also trying to stay caught up is like...  https://t.co/Xp5GjawqqR,  recently everyday has big amazing news for cardano but fr also trying to stay caught up is like      ,0.13333333333333336
7,1649375908000.0,2022-04-07 16:58:28,Cardano Standing Strong Among Altcoins!  https://t.co/gpBxw9M1dj,cardano standing strong among altcoins    ,0.4333333333333333
8,1649375892000.0,2022-04-07 16:58:12,shorted some #Cardano yesterday and got some good profit..👌🏻,shorted some  cardano yesterday and got some good profit    ,0.7
9,1649375887000.0,2022-04-07 16:58:07,"How To Verify A Wallet On The Cardano Gold Discord Server Video Tutorial! 📺 Some members seemed to have a hard time with this, so I made this video in a hurry. Sorry for the mistakes during the process 😆 #CardanoGold $CARGO #Cardano    https://t.co/VJMe1LBM2f",how to verify a wallet on the cardano gold discord server video tutorial    some members seemed to have a hard time with this  so i made this video in a hurry  sorry for the mistakes during the process    cardanogold  cargo  cardano     ,-0.39583333333333337
10,1649375850000.0,2022-04-07 16:57:30,"I love creating these #Meditative videos and animation clips, as they can help to be introspective. Would anyone be interested in minting this type of piece as a #CNFT? #Cardano #CardanoCommunity #CardanoNFT  https://t.co/IR1ZuNI8SG",i love creating these  meditative videos and animation clips  as they can help to be introspective  would anyone be interested in minting this type of piece as a  cnft   cardano  cardanocommunity  cardanonft   ,0.375
11,1649375744000.0,2022-04-07 16:55:44,"Hey Cardano SPOs, check this out!! #cardano #proofofstake #crypto #cnft #CNFTCommunity",hey cardano spos  check this out    cardano  proofofstake  crypto  cnft  cnftcommunity,0.0
12,1649375725000.0,2022-04-07 16:55:25,"Here since June '21 and here's what's STILL true  ❤️‍🔥 Show up everyday correct  ❤️‍🔥 If you're a woman, speak up and speak with purpose  ❤️‍🔥 If your vision scares you, that's you 2.0 trying to rise. Let them.  Don't look down. Look up. ❤️‍🔥🦅  #Cardano #NFT",here since june  21 and here s what s still true       show up everyday correct       if you re a woman  speak up and speak with purpose       if your vision scares you  that s you 2 0 trying to rise  let them   don t look down  look up          cardano  nft,-0.001851851851851873
