,created_at,date,tweet,Processed Tweet,Polarity
0,1649375947000.0,2022-04-07 16:59:07,@BenqiFinance @anchor_protocol @DefiKingdoms @chainlink @avalancheavax @traderjoe_xyz @pangolindex @KyberNetwork @Moremoneyfi @float_capital @steakwallet When subnet,    protocol         xyz         capital   when subnet,0.0
1,1649375842000.0,2022-04-07 16:57:22,@CountryBee2 Our neighbour is out on his excavator now trying to rebuild a bit of the creekbed to stop the erosion. We are going to have to try and move the chainlink fence on the bank that collapsed up and over onto solid ground. Everything is just way past saturation it’s nuts.,  our neighbour is out on his excavator now trying to rebuild a bit of the creekbed to stop the erosion  we are going to have to try and move the chainlink fence on the bank that collapsed up and over onto solid ground  everything is just way past saturation it s nuts ,-0.125
2,1649375763000.0,2022-04-07 16:56:03,@BenqiFinance @anchor_protocol @DefiKingdoms @chainlink @avalancheavax @traderjoe_xyz @pangolindex @KyberNetwork @Moremoneyfi @float_capital @steakwallet They deleted my comment lol haha,    protocol         xyz         capital   they deleted my comment lol haha,0.5
3,1649375744000.0,2022-04-07 16:55:44,#Chainlink was talking about dynamic NFT’s before NFTs were “in”.   $LINK, chainlink was talking about dynamic nft s before nfts were  in      link,0.0
4,1649375619000.0,2022-04-07 16:53:39,Sooooo looking forward to the  @chainlink hackathon starting!!  Who's in???  https://t.co/TMjReK7TnP,sooooo looking forward to the    hackathon starting    who s in      ,0.0
5,1649375546000.0,2022-04-07 16:52:26,"Here's What's Ahead for Chainlink, NEAR and Three Other Altcoins, According to Analyst Michaël van de ... - The Daily Hodl  https://t.co/jckTkSabuP",here s what s ahead for chainlink  near and three other altcoins  according to analyst micha l van de       the daily hodl   ,-0.008333333333333331
6,1649375423000.0,2022-04-07 16:50:23,@Don_ChainLink 420,  chainlink 420,0.0
7,1649375406000.0,2022-04-07 16:50:06,@WhaleStatsBSC @ShambalaUni @chainlink @CEEK @MOBOX_Official @1inchExchange @BabyDogeCoin shambala,          official     shambala,0.0
8,1649375385000.0,2022-04-07 16:49:45,"@ModernSociety33 Q2 2022 - all the pieces are in place, TMS.  Final audits are in place.  The #4IR will require $LINK in order to pay Chainlink node operators for retrieving data for smart contracts and also for deposits placed by node operators as required by contract creators.  IYKYK. 🔗  https://t.co/YvmjeqJh5X",  q2 2022   all the pieces are in place  tms   final audits are in place   the  4ir will require  link in order to pay chainlink node operators for retrieving data for smart contracts and also for deposits placed by node operators as required by contract creators   iykyk      ,0.10714285714285714
9,1649375302000.0,2022-04-07 16:48:22,@dehub_official @Vimeo @MoralisWeb3 @CertiKTech @allrites_media @chainlink Dehub future,  official         media   dehub future,0.0
10,1649375163000.0,2022-04-07 16:46:03,@Avalanche_Space @lavanodes @chainlink They will sure to make more developments. We are going to back up #lavanodes. We are not afraid to increase our investment with them.,  space     they will sure to make more developments  we are going to back up  lavanodes  we are not afraid to increase our investment with them ,0.325
11,1649375094000.0,2022-04-07 16:44:54,@PatrickAlphaC Would it be possible to use chainlink to fix a mint price around a certain USD amount but keep minting in eth ?,  would it be possible to use chainlink to fix a mint price around a certain usd amount but keep minting in eth  ,0.10714285714285714
12,1649375094000.0,2022-04-07 16:44:54,"@SmartCryptoNew1 @dingertoken @chainlink With this integration, their will be a great time to be. They will be earning great from #dingertoken. They will serve you well on #chainlink.",      with this integration  their will be a great time to be  they will be earning great from  dingertoken  they will serve you well on  chainlink ,0.8
13,1649375042000.0,2022-04-07 16:44:02,so hundreds of integrated projects all buy chainlink tokens to generate yield?,so hundreds of integrated projects all buy chainlink tokens to generate yield ,0.0
14,1649375038000.0,2022-04-07 16:43:58,@CertiKTech @dehub_official @Vimeo @MoralisWeb3 @allrites_media @chainlink Awesome 😎,    official       media   awesome  ,1.0
15,1649374984000.0,2022-04-07 16:43:04,@ddwchen Not sure if a fit but Chainlink Labs is hiring community operations manager and content manager community - fully remote  https://t.co/jeYWC7y2er,  not sure if a fit but chainlink labs is hiring community operations manager and content manager community   fully remote   ,0.016666666666666673
16,1649374941000.0,2022-04-07 16:42:21,NFT Scratch Cards Coming Real Soon ! $drip $Defi #NFTCommunity #cryptocurrency #BSCGEM   @chainlink Verifiable Randomness Function   Telegram:  https://t.co/5ZuBUcUQmV  https://t.co/Z6klfdMESL,nft scratch cards coming real soon    drip  defi  nftcommunity  cryptocurrency  bscgem     verifiable randomness function   telegram       ,0.2
17,1649374925000.0,2022-04-07 16:42:05,Chainlink staking causes protocols to lock up tokens too?,chainlink staking causes protocols to lock up tokens too ,0.0
18,1649374788000.0,2022-04-07 16:39:48,I guess it's better than the #chainlink  https://t.co/xTsDKx71uM,i guess it s better than the  chainlink   ,0.5
19,1649374767000.0,2022-04-07 16:39:27,@pappas9999 @sassal0x Circumvented via Chainlink's FSS I hope,    circumvented via chainlink s fss i hope,0.0
20,1649374745000.0,2022-04-07 16:39:05,"@PrimalGlenn @Bancor Nice thread! Thanks. Integrate Chainlink staking?! I KNEW IT! Also, 1 question: will the “one click migration” also migrate over “claimable rewards” of BNT?",    nice thread  thanks  integrate chainlink staking   i knew it  also  1 question  will the  one click migration  also migrate over  claimable rewards  of bnt ,0.4
21,1649374677000.0,2022-04-07 16:37:57,"@cryptogooonn Jon honestly, my opinion as a relative nobody in the crypto space, you have done amazingly well, keep that momentum going brother, people are rooting for your success! Who knows in the future if my chainlink investments pay off, I may need your services!",  jon honestly  my opinion as a relative nobody in the crypto space  you have done amazingly well  keep that momentum going brother  people are rooting for your success  who knows in the future if my chainlink investments pay off  i may need your services ,0.30000000000000004
22,1649374675000.0,2022-04-07 16:37:55,@WhaleStatsBSC @ShambalaUni @chainlink @CEEK @MOBOX_Official @1inchExchange @BabyDogeCoin shambala,          official     shambala,0.0
23,1649374550000.0,2022-04-07 16:35:50,@CyberKongz @chainlink wow ! kongratz fam,    wow   kongratz fam,0.1
24,1649374470000.0,2022-04-07 16:34:30,@Filecoin @chainlink 骗子公司,        ,0.0
25,1649374366000.0,2022-04-07 16:32:46,@CyberKongz @chainlink !ooh 🍌,     ooh  ,0.0
26,1649374224000.0,2022-04-07 16:30:24,Smart Contract Economy Powerd by #Chainlink a.k.a #TruthMachine #Web3,smart contract economy powerd by  chainlink a k a  truthmachine  web3,0.21428571428571427
27,1649374213000.0,2022-04-07 16:30:13,@m1nn1er1dsy @CyberKongz @chainlink !ooh,       ooh,0.0
28,1649374181000.0,2022-04-07 16:29:41,@CyberKongz @chainlink Lfg!! Ooh  https://t.co/qmdYu7gS7g,    lfg   ooh   ,0.0
29,1649374113000.0,2022-04-07 16:28:33,@CyberKongz @chainlink Only up from here! OOOOH,    only up from here  ooooh,0.0
30,1649374100000.0,2022-04-07 16:28:20,@BNBCHAIN @chainlink #catgirlcoin #BabyDoge,     catgirlcoin  babydoge,0.0
31,1649374092000.0,2022-04-07 16:28:12,@chainlink @lavanodes @avalancheavax Wen Cardano and other chains ?,      wen cardano and other chains  ,-0.125
32,1649374088000.0,2022-04-07 16:28:08,@chainlink  https://t.co/Nnafvslsnu,    ,0.0
33,1649374063000.0,2022-04-07 16:27:43,Supporting accurate price calculations with @lavanodes on @avalancheavax  https://t.co/LtZfIXyX8L,supporting accurate price calculations with   on     ,0.32500000000000007
34,1649374063000.0,2022-04-07 16:27:43,Monitoring the physical gold reserves backing a tokenized gold product with @cache_gold on #Ethereum  https://t.co/YpMiKxrKy0,monitoring the physical gold reserves backing a tokenized gold product with   gold on  ethereum   ,0.0
35,1649374062000.0,2022-04-07 16:27:42,Helping secure NFT mints and generate randomized NFT traits with @0xPandemic on @0xPolygon  https://t.co/JEn2dXxNGX,helping secure nft mints and generate randomized nft traits with   on     ,0.4
36,1649374062000.0,2022-04-07 16:27:42,Today in #Chainlink integrations:   -Securing NFT mints and generating randomized traits with VRF  -Monitoring the backing of tokenized products with Proof of Reserve  -Accessing accurate data with Price Feeds  🧵👇  https://t.co/xXQnEfR10Z,today in  chainlink integrations     securing nft mints and generating randomized traits with vrf   monitoring the backing of tokenized products with proof of reserve   accessing accurate data with price feeds       ,0.4000000000000001
37,1649374043000.0,2022-04-07 16:27:23,@RaoulGMI would be interesting to see your perspective and analysis of @chainlink,  would be interesting to see your perspective and analysis of  ,0.5
38,1649373984000.0,2022-04-07 16:26:24,@CyberKongz @chainlink @0xPolygon,     ,0.0
39,1649373965000.0,2022-04-07 16:26:05,12/ We are also exploring other additional applications which we can't discuss where #Chainlink oracles are going to be vital 👀  Governance: We are looking at letting $bnvBNT pool tokens be allowed to be staked in the governance contract for voting power.,12  we are also exploring other additional applications which we can t discuss where  chainlink oracles are going to be vital    governance  we are looking at letting  bnvbnt pool tokens be allowed to be staked in the governance contract for voting power ,-0.012499999999999997
40,1649373965000.0,2022-04-07 16:26:05,11/ We are also looking to integrate with #Chainlink staking as we have large amounts of $LINK tokens in our protocol.  We are also using Chainlink oracles for Bancor's web frontend to display token prices (as opposed to other APIs e.g. CMC/CoinGecko),11  we are also looking to integrate with  chainlink staking as we have large amounts of  link tokens in our protocol   we are also using chainlink oracles for bancor s web frontend to display token prices  as opposed to other apis e g  cmc coingecko ,0.04464285714285714
