,created_at,date,tweet,Processed Tweet,Polarity
0,1649375869000.0,2022-04-07 16:57:49,"Desde las actuales olas de calor a las inundaciones por los huracanes Eta e Iota, el cambio climático tiene efectos desastrosos en Honduras. ❗️  Les invito a que conozcan más de este tema en el contexto del Litoral Atlantico. 💭  Mañana 8 abril a las 5pm 🌱",desde las actuales olas de calor a las inundaciones por los huracanes eta e iota  el cambio clim tico tiene efectos desastrosos en honduras      les invito a que conozcan m s de este tema en el contexto del litoral atlantico     ma ana 8 abril a las 5pm  ,0.0
1,1649375808000.0,2022-04-07 16:56:48,@MarkZuckerman It was sad.  Very sad.  Stadium half full.  He deserved better.  They should have canceled this game.  Absolutely no reason why they couldn't.  Fans robbed of a great Opening Day by the Nats.  Who don't care one iota about the fans.,  it was sad   very sad   stadium half full   he deserved better   they should have canceled this game   absolutely no reason why they couldn t   fans robbed of a great opening day by the nats   who don t care one iota about the fans ,-0.02083333333333333
2,1649375771000.0,2022-04-07 16:56:11,"[Futures] By 2022-04-06 13:30 GMT, $IOTA futures had a liquidiation of Short Positions of $7.15K and of Long Positions of $496.46K in last 24 hours. #CryptoCharts #CryptoCapFlow #cryptocurrency  https://t.co/xwW9Z2xjqj", futures  by 2022 04 06 13 30 gmt   iota futures had a liquidiation of short positions of  7 15k and of long positions of  496 46k in last 24 hours   cryptocharts  cryptocapflow  cryptocurrency   ,-0.016666666666666666
3,1649375766000.0,2022-04-07 16:56:06,@RonnyJacksonTX Even if you were weren't drunk you couldn't define what a woman is we remember all your lies about trump being a healthy man if you had an iota of integrity you'd resign you putin loving traitor,  even if you were weren t drunk you couldn t define what a woman is we remember all your lies about trump being a healthy man if you had an iota of integrity you d resign you putin loving traitor,0.19999999999999998
4,1649375678000.0,2022-04-07 16:54:38,"Please note how the GOP drama queens reacted to a Dem-appointed justice being confirmed to replace a retiring Dem-appointed justice. Her confirmation does not change the ideological balance of the Court one iota, yet they still cannot stand to watch.  They HATE democracy.",please note how the gop drama queens reacted to a dem appointed justice being confirmed to replace a retiring dem appointed justice  her confirmation does not change the ideological balance of the court one iota  yet they still cannot stand to watch   they hate democracy ,-0.2
5,1649375518000.0,2022-04-07 16:51:58,@KathyHochul You are masking toddlers.  Nothing else you say matters even an iota.   Go away.,  you are masking toddlers   nothing else you say matters even an iota    go away ,0.0
6,1649375418000.0,2022-04-07 16:50:18,@artaylors @IanDunt Busy thinking of getting lunch down his throat. Doesn't care one iota about those who lost their lives or their families wanting answers,    busy thinking of getting lunch down his throat  doesn t care one iota about those who lost their lives or their families wanting answers,-0.02777777777777779
7,1649375409000.0,2022-04-07 16:50:09,"#Binance Futures Report!  🔴 15m: $MKR, $CVC, $OMG, $MTL 🟢 1H: $ADA, $DUSK, $ATOM, $COTI 🔵 4H: $CTK, $ICP, $QTUM, $KNC 🟢 1D: $SKL, $BCH, $NKN, $IOTA   #Crypto #AltCoins #BTC  84183737", binance futures report     15m   mkr   cvc   omg   mtl   1h   ada   dusk   atom   coti   4h   ctk   icp   qtum   knc   1d   skl   bch   nkn   iota    crypto  altcoins  btc  84183737,0.0
8,1649375335000.0,2022-04-07 16:48:55,Under 48 hours and only 62 left!!! The Bull$ aren’t going to be kept locked up for long! Get one before they are gone.  https://t.co/vIYCCrKtQM #soonaverse #nft #iota #iotaNFT #soonaverseNFT #IOTABULLS #iotacommunity  https://t.co/8yd60o5CoM,under 48 hours and only 62 left    the bull  aren t going to be kept locked up for long  get one before they are gone      soonaverse  nft  iota  iotanft  soonaversenft  iotabulls  iotacommunity   ,-0.016666666666666666
9,1649375332000.0,2022-04-07 16:48:52,[Scan results - #Gateio - 15m]  Top 5 bullish trend on #BTC pair 1: $IOTA 2: $AE 3: $GT 4: $ETC 5: $REI  Top 5 bullish trend on #USDT pair 1: $KONO 2: $FUSE 3: $AQT 4: $UFO 5: $SFIL  All #Gateio results:  https://t.co/MZdL0PuAQU Not buy signals, scan results    gateio   15m   top 5 bullish trend on  btc pair 1   iota 2   ae 3   gt 4   etc 5   rei  top 5 bullish trend on  usdt pair 1   kono 2   fuse 3   aqt 4   ufo 5   sfil  all  gateio results     not buy signals,0.5
10,1649375288000.0,2022-04-07 16:48:08,@telegram_you @ikwilson You had your chance. Your party lost. Enjoy 3 years and wheezing and whining. It’s going to be glorious to hear all this noise from you PPC and CPC fanboys and it makes not a single iota of difference. The silence will be deafening!!!,  you   you had your chance  your party lost  enjoy 3 years and wheezing and whining  it s going to be glorious to hear all this noise from you ppc and cpc fanboys and it makes not a single iota of difference  the silence will be deafening   ,0.21785714285714286
