,created_at,date,tweet,Processed Tweet,Polarity
0,1649375990000.0,2022-04-07 16:59:50,@KopuaP @litecoin_bull I am saving this image to reply to the lefty accounts twatter is forcing on my feed …,    bull i am saving this image to reply to the lefty accounts twatter is forcing on my feed  ,0.0
1,1649375987000.0,2022-04-07 16:59:47,This zesty faucet from @_bitcoiner is making me tweet this to claim my free Litecoin. ⚡  @_bitcoiner unlock me 4ae2afc8-1830-4105-bf9a-356072ea4bda  #Litecoin #LTC $LTC  https://t.co/4Ik65KcWEo,this zesty faucet from   bitcoiner is making me tweet this to claim my free litecoin       bitcoiner unlock me 4ae2afc8 1830 4105 bf9a 356072ea4bda   litecoin  ltc  ltc   ,0.4
2,1649375979000.0,2022-04-07 16:59:39,"#Cryptocurrencies Update:  #BTCUSD #Bitcoin $43,459.4 +0.58%  #ETHUSD #Ethereum $3,250.44 +1.88%  #LTCUSD #Litecoin $114.300 +2.15% #XRPUSD #Ripple $0.78279 +3.63%   #Cryptos   Visit FP Markets:  https://t.co/y5S0edmnIl  https://t.co/7FPXL8TkI3", cryptocurrencies update    btcusd  bitcoin  43 459 4  0 58    ethusd  ethereum  3 250 44  1 88    ltcusd  litecoin  114 300  2 15   xrpusd  ripple  0 78279  3 63     cryptos   visit fp markets       ,0.0
3,1649375964000.0,2022-04-07 16:59:24,@litecoin_bull Oops just now seeing your replies 👊💥,  bull oops just now seeing your replies   ,0.0
4,1649375964000.0,2022-04-07 16:59:24,#Litecoin @_TreGlover @AmiyahGlover @litecoin, litecoin   treglover    ,0.0
5,1649375929000.0,2022-04-07 16:58:49,@litecoin_bull Yay! Hey .. I have a question… Barr … hero/traitor? I’ve really been stumped on him🤔🤔,  bull yay  hey    i have a question  barr   hero traitor  i ve really been stumped on him  ,0.2
6,1649375903000.0,2022-04-07 16:58:23,This zesty faucet from @_bitcoiner is making me tweet this to claim my free Litecoin. ⚡  @_bitcoiner unlock me 212a06e4-c6de-49f4-8363-07e28f5c5a91  #Litecoin #LTC $LTC  https://t.co/rRrppBYKLR,this zesty faucet from   bitcoiner is making me tweet this to claim my free litecoin       bitcoiner unlock me 212a06e4 c6de 49f4 8363 07e28f5c5a91   litecoin  ltc  ltc   ,0.4
7,1649375885000.0,2022-04-07 16:58:05,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me 44ddab4f-4de2-45ce-b33e-d46e50384df4  #Litecoin #LTC $LTC  https://t.co/d63ZtzP8yb,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me 44ddab4f 4de2 45ce b33e d46e50384df4   litecoin  ltc  ltc   ,0.4
8,1649375833000.0,2022-04-07 16:57:13,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me 806b3aa5-35c5-41d4-9898-9ae9673a4dbf  #Litecoin #LTC $LTC  https://t.co/J7ezZGVelq,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me 806b3aa5 35c5 41d4 9898 9ae9673a4dbf   litecoin  ltc  ltc   ,0.4
9,1649375798000.0,2022-04-07 16:56:38,This zesty faucet from @_bitcoiner is making me tweet this to claim my free Litecoin. ⚡  @_bitcoiner unlock me 6d210666-f0e2-4867-841f-f210f89f2106  #Litecoin #LTC $LTC  https://t.co/5fLRC4UApZ,this zesty faucet from   bitcoiner is making me tweet this to claim my free litecoin       bitcoiner unlock me 6d210666 f0e2 4867 841f f210f89f2106   litecoin  ltc  ltc   ,0.4
10,1649375773000.0,2022-04-07 16:56:13,This zesty faucet from @_bitcoiner is making me tweet this to claim my free Litecoin. ⚡  @_bitcoiner unlock me 774b0a80-70ef-46c1-8879-024c81e09c3d  #Litecoin #LTC $LTC  https://t.co/1CPgqTQi1P,this zesty faucet from   bitcoiner is making me tweet this to claim my free litecoin       bitcoiner unlock me 774b0a80 70ef 46c1 8879 024c81e09c3d   litecoin  ltc  ltc   ,0.4
11,1649375747000.0,2022-04-07 16:55:47,This zesty faucet from @_bitcoiner is making me tweet this to claim my free Litecoin. ⚡  @_bitcoiner unlock me 84e9039e-d576-4397-8f56-f3409c76aa7b  #Litecoin #LTC $LTC  https://t.co/gdwW7uFxkW,this zesty faucet from   bitcoiner is making me tweet this to claim my free litecoin       bitcoiner unlock me 84e9039e d576 4397 8f56 f3409c76aa7b   litecoin  ltc  ltc   ,0.4
12,1649375722000.0,2022-04-07 16:55:22,"@ViaBTC @dogecoin @litecoin Hi, would you guys consider donating to Litecoin development like AntPool has? Thanks",      hi  would you guys consider donating to litecoin development like antpool has  thanks,0.2
13,1649375709000.0,2022-04-07 16:55:09,@litecoin_bull @AnnVanDenBossc1 Macron is losing,  bull   macron is losing,0.0
14,1649375686000.0,2022-04-07 16:54:46,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me ab8ce9b4-3f41-478e-b57b-8ec7767149a7  #Litecoin #LTC $LTC  https://t.co/F2pk8PKEHR,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me ab8ce9b4 3f41 478e b57b 8ec7767149a7   litecoin  ltc  ltc   ,0.4
15,1649375633000.0,2022-04-07 16:53:53,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me ab4b0fb0-a500-4598-b3af-18318c28614d  #Litecoin #LTC $LTC  https://t.co/2Mzx6blTcg,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me ab4b0fb0 a500 4598 b3af 18318c28614d   litecoin  ltc  ltc   ,0.4
16,1649375601000.0,2022-04-07 16:53:21,Litecoin (LTC) shows a bit of weakness  https://t.co/yorReqVaC9,litecoin  ltc  shows a bit of weakness   ,0.0
17,1649375557000.0,2022-04-07 16:52:37,This zesty faucet from @_bitcoiner is making me tweet this to claim my free Litecoin. ⚡  @_bitcoiner unlock me 214c809b-0824-44d8-8b29-ac92a95a9744  #Litecoin #LTC $LTC  https://t.co/5iV6rwGfbN,this zesty faucet from   bitcoiner is making me tweet this to claim my free litecoin       bitcoiner unlock me 214c809b 0824 44d8 8b29 ac92a95a9744   litecoin  ltc  ltc   ,0.4
18,1649375510000.0,2022-04-07 16:51:50,This zesty faucet from @_bitcoiner is making me tweet this to claim my free Litecoin. ⚡  @_bitcoiner unlock me 365a5fcb-ec51-4247-b7c9-4c079fe8a337  #Litecoin #LTC $LTC  https://t.co/sDfvc3vSaY,this zesty faucet from   bitcoiner is making me tweet this to claim my free litecoin       bitcoiner unlock me 365a5fcb ec51 4247 b7c9 4c079fe8a337   litecoin  ltc  ltc   ,0.4
19,1649375434000.0,2022-04-07 16:50:34,This zesty faucet from @_bitcoiner is making me tweet this to claim my free Litecoin. ⚡  @_bitcoiner unlock me 2129c9a5-f94a-40de-b027-43c65508d6d0  #Litecoin #LTC $LTC  https://t.co/CHtPhPv7Yn,this zesty faucet from   bitcoiner is making me tweet this to claim my free litecoin       bitcoiner unlock me 2129c9a5 f94a 40de b027 43c65508d6d0   litecoin  ltc  ltc   ,0.4
20,1649375360000.0,2022-04-07 16:49:20,This zesty faucet from @_bitcoiner is making me tweet this to claim my free Litecoin. ⚡  @_bitcoiner unlock me acdd3638-deea-40c3-8443-9fc856e46077  #Litecoin #LTC $LTC  https://t.co/cgg0fwda2a,this zesty faucet from   bitcoiner is making me tweet this to claim my free litecoin       bitcoiner unlock me acdd3638 deea 40c3 8443 9fc856e46077   litecoin  ltc  ltc   ,0.4
21,1649375315000.0,2022-04-07 16:48:35,@CryptoNewsShark @litecoin @SatoshiLite @LTCFoundation @CryptoKaleo @MASTERBTCLTC @misconfig_exe @exodus_io @cryptoWZRD_ @LayahHeilpern @TheJohnKimShow #9 😆,              exe   io         9  ,0.0
22,1649375268000.0,2022-04-07 16:47:48,Litecoin (LTC) shows a bit of weakness – How will the price action play out?   https://t.co/UEZ5HsdZ86,litecoin  ltc  shows a bit of weakness   how will the price action play out     ,0.1
23,1649375266000.0,2022-04-07 16:47:46,Durham Catches Clinton in a Catch 22! by Litecoin Lisa  https://t.co/YowizGXoy9,durham catches clinton in a catch 22  by litecoin lisa   ,0.0
24,1649375229000.0,2022-04-07 16:47:09,Litecoin (LTC) shows a bit of weakness  https://t.co/F2gLiWtnXU,litecoin  ltc  shows a bit of weakness   ,0.0
25,1649375185000.0,2022-04-07 16:46:25,This zesty faucet from @_bitcoiner is making me tweet this to claim my free Litecoin. ⚡  @_bitcoiner unlock me 15553cd1-7c37-4c20-ad3e-b5f48a0c0795  #Litecoin #LTC $LTC  https://t.co/XTFKCOJYL1,this zesty faucet from   bitcoiner is making me tweet this to claim my free litecoin       bitcoiner unlock me 15553cd1 7c37 4c20 ad3e b5f48a0c0795   litecoin  ltc  ltc   ,0.4
26,1649375166000.0,2022-04-07 16:46:06,Litecoin (LTC) shows a bit of weakness – How will the price action play out?   https://t.co/vD0QapQTPw,litecoin  ltc  shows a bit of weakness   how will the price action play out     ,0.1
