,created_at,date,tweet,Processed Tweet,Polarity
0,1649106371000.0,2022-04-04 14:06:11,@intakblessed why am i seeing all this aave on your profile but you are not black ?,  why am i seeing all this aave on your profile but you are not black  ,0.08333333333333333
1,1649106364000.0,2022-04-04 14:06:04,all this aave…ARE U BLACK? QUICLY.  https://t.co/bdnJ81kRuv,all this aave are u black  quicly    ,-0.16666666666666666
2,1649106300000.0,2022-04-04 14:05:00,↑ Aave V2 Deposit APY for USDT on Polygon is 17.18%. It was previously 17.01%.  #defiratealert  #Aave  #USDT  #Polygon,  aave v2 deposit apy for usdt on polygon is 17 18   it was previously 17 01     defiratealert   aave   usdt   polygon,-0.16666666666666666
3,1649106300000.0,2022-04-04 14:05:00,↑ Aave V2 Borrow APY for USDT on Polygon is 20.97%. It was previously 20.77%.  #defiratealert  #Aave  #USDT  #Polygon,  aave v2 borrow apy for usdt on polygon is 20 97   it was previously 20 77     defiratealert   aave   usdt   polygon,-0.16666666666666666
4,1649106286000.0,2022-04-04 14:04:46,"People using AAVE without understanding it (ex, people who use random words they learn with increasing regularity) is going to make a lot of people illiterate",people using aave without understanding it  ex  people who use random words they learn with increasing regularity  is going to make a lot of people illiterate,-0.5
5,1649106150000.0,2022-04-04 14:02:30,@nO82RMJMKSQXORl Porto ve Aave analiz yapamısınız,  porto ve aave analiz yapam s n z,0.0
6,1649106072000.0,2022-04-04 14:01:12,"Le prix d’Ethereum stagne au niveau clé de Fibonacci, AAVE, ADA, 4 avril  https://t.co/uKUxKgiOVV",le prix d ethereum stagne au niveau cl  de fibonacci  aave  ada  4 avril   ,0.0
7,1649106000000.0,2022-04-04 14:00:00,↑ Aave V2 Deposit APY for USDT on Polygon is 17.27%. It was previously 17.18%.  #defiratealert  #Aave  #USDT  #Polygon,  aave v2 deposit apy for usdt on polygon is 17 27   it was previously 17 18     defiratealert   aave   usdt   polygon,-0.16666666666666666
8,1649106000000.0,2022-04-04 14:00:00,↑ Aave V2 Borrow APY for USDT on Polygon is 21.08%. It was previously 20.97%.  #defiratealert  #Aave  #USDT  #Polygon,  aave v2 borrow apy for usdt on polygon is 21 08   it was previously 20 97     defiratealert   aave   usdt   polygon,-0.16666666666666666
9,1649105983000.0,2022-04-04 13:59:43,Hearing British people try to use aave is so cringey  https://t.co/CRd0t41lNg,hearing british people try to use aave is so cringey   ,0.0
10,1649105959000.0,2022-04-04 13:59:19,"Ethereum Price Stalls at Key Fibonacci Level, AAVE, SOL, Apr. 4 -  https://t.co/3AYiocTn3v  https://t.co/MFk97EZp4c",ethereum price stalls at key fibonacci level  aave  sol  apr  4        ,0.0
11,1649105849000.0,2022-04-04 13:57:29,Ada / sushi/ aave tô só tomando,ada   sushi  aave t  s  tomando,0.0
12,1649105803000.0,2022-04-04 13:56:43,atp y’all just putting aave terms together and calling it a sentence,atp y all just putting aave terms together and calling it a sentence,0.0
13,1649105700000.0,2022-04-04 13:55:00,↓ Aave V2 Borrow APY for USDT on Polygon is 20.93%. It was previously 21.08%.  #defiratealert  #Aave  #USDT  #Polygon,  aave v2 borrow apy for usdt on polygon is 20 93   it was previously 21 08     defiratealert   aave   usdt   polygon,-0.16666666666666666
14,1649105700000.0,2022-04-04 13:55:00,↓ Aave V2 Deposit APY for USDT on Polygon is 17.14%. It was previously 17.27%.  #defiratealert  #Aave  #USDT  #Polygon,  aave v2 deposit apy for usdt on polygon is 17 14   it was previously 17 27     defiratealert   aave   usdt   polygon,-0.16666666666666666
15,1649105622000.0,2022-04-04 13:53:42,Abi ne yapalım sence bu günlük yeter deyip uzaktan bakalım mı? Devam mı diyelim? @volfixman  #volfix #Bitcoin #AAVE #AVAX  https://t.co/8dZgZxNSAt,abi ne yapal m sence bu g nl k yeter deyip uzaktan bakal m m   devam m  diyelim      volfix  bitcoin  aave  avax   ,0.0
16,1649105584000.0,2022-04-04 13:53:04,@ConsenSys @MMInstitutional @AaveAave @realMatrixport Where is metamask airdrop,        where is metamask airdrop,0.0
