,created_at,date,tweet,Processed Tweet,Polarity
0,1649105663000.0,2022-04-04 13:54:23,"The $BNB price is at $445.6 right now. 🟢 Compared to the last tweet, the price has increased by $0.6 (0.13%). 🔴 In the last 24 hours the price has dropped by $1.8 (0.40%).  #BinanceCoin #BNB  https://t.co/a93pXVVf6U",the  bnb price is at  445 6 right now    compared to the last tweet  the price has increased by  0 6  0 13      in the last 24 hours the price has dropped by  1 8  0 40      binancecoin  bnb   ,0.09523809523809523
1,1649104763000.0,2022-04-04 13:39:23,"The $BNB price is at $445 right now. 🔴 Compared to the last tweet, the price has dropped by $0.2 (0.04%). 🔴 In the last 24 hours the price has dropped by $3.3 (0.74%).  #BinanceCoin #BNB  https://t.co/MLDC9FNV5b",the  bnb price is at  445 right now    compared to the last tweet  the price has dropped by  0 2  0 04      in the last 24 hours the price has dropped by  3 3  0 74      binancecoin  bnb   ,0.09523809523809523
2,1649103863000.0,2022-04-04 13:24:23,The $BNB price is at $445.2 right now. 🔴 In the last 24 hours the price has dropped by $1.9 (0.42%).  #BinanceCoin #BNB  https://t.co/dLc0SFEfe8,the  bnb price is at  445 2 right now    in the last 24 hours the price has dropped by  1 9  0 42      binancecoin  bnb   ,0.14285714285714285
3,1649103336000.0,2022-04-04 13:15:36,The $BNB price is at $442.8 right now. 🔴 In the last 24 hours the price has dropped by $4.7 (1.05%).  #BinanceCoin #BNB  https://t.co/X6rNccBjO8,the  bnb price is at  442 8 right now    in the last 24 hours the price has dropped by  4 7  1 05      binancecoin  bnb   ,0.14285714285714285
4,1649103275000.0,2022-04-04 13:14:35,"Price analysis 4/4: BTC, ETH, BNB, SOL, XRP, ADA, LUNA, AVAX, DOT, DOGE  https://t.co/ckTb8zXDls #Markets #Bitcoin #Ethereum #BinanceCoin #Ripple",price analysis 4 4  btc  eth  bnb  sol  xrp  ada  luna  avax  dot  doge     markets  bitcoin  ethereum  binancecoin  ripple,0.0
5,1649102764000.0,2022-04-04 13:06:04,Binance Coin BNB Current Price: $443.07  1h: +0.91% 24h: -1.18% 7d: +1.07%  30d: +15.61% 60d: +21.89% 90d: -13.11%  #bnb $BNB #binancecoin #binance,binance coin bnb current price   443 07  1h   0 91  24h   1 18  7d   1 07   30d   15 61  60d   21 89  90d   13 11    bnb  bnb  binancecoin  binance,0.0
6,1649102436000.0,2022-04-04 13:00:36,"The $BNB price is at $442.8 right now. 🟢 Compared to the last tweet, the price has increased by $0.5 (0.11%). 🔴 In the last 24 hours the price has dropped by $5.6 (1.25%).  #BinanceCoin #BNB  https://t.co/yRW9p3iXGF",the  bnb price is at  442 8 right now    compared to the last tweet  the price has increased by  0 5  0 11      in the last 24 hours the price has dropped by  5 6  1 25      binancecoin  bnb   ,0.09523809523809523
7,1649101536000.0,2022-04-04 12:45:36,"The $BNB price is at $442.3 right now. 🟢 Compared to the last tweet, the price has increased by $1.1 (0.25%). 🔴 In the last 24 hours the price has dropped by $5 (1.12%).  #BinanceCoin #BNB  https://t.co/YUk6P025Cc",the  bnb price is at  442 3 right now    compared to the last tweet  the price has increased by  1 1  0 25      in the last 24 hours the price has dropped by  5  1 12      binancecoin  bnb   ,0.09523809523809523
8,1649101534000.0,2022-04-04 12:45:34,"@NischalShetty What is your plan about wazirx coin increase the fund or burn the supply, guys we are equal #BinanceCoin  so come on 🔝 10 on coinmarketcap #Wazirx",  what is your plan about wazirx coin increase the fund or burn the supply  guys we are equal  binancecoin  so come on   10 on coinmarketcap  wazirx,0.0
9,1649101463000.0,2022-04-04 12:44:23,"@NischalShetty Your #Wazirx token  why sleeping last 1 and half years , please consider the investors , you have all the ability to come 🔝 10 on #CoinMarketCap like #BinanceCoin",  your  wazirx token  why sleeping last 1 and half years   please consider the investors   you have all the ability to come   10 on  coinmarketcap like  binancecoin,-0.08333333333333333
