,created_at,date,tweet,Processed Tweet,Polarity
0,1649106382000.0,2022-04-04 14:06:22,BREAKING: #Bitcoin of America has added #Shiba Inu to their ATMs.  https://t.co/Ylp4FaqQlv,breaking   bitcoin of america has added  shiba inu to their atms    ,0.0
1,1649106382000.0,2022-04-04 14:06:22,"When major institutions &amp; corporations start embracing the innovation of #bitcoin (not crypto crap), rather than resisting it, society will be uplifted.  The bitcoin price will be a productivity index in the future.  https://t.co/MONO5No825",when major institutions  amp  corporations start embracing the innovation of  bitcoin  not crypto crap   rather than resisting it  society will be uplifted   the bitcoin price will be a productivity index in the future    ,-0.24583333333333335
2,1649106380000.0,2022-04-04 14:06:20,"Join @pomp and me for a Twitter spaces event powered by @SoFi, to talk -- what else? -- #BITCOIN before @TheBitcoinConf this week! Coming up in 10 min!",join   and me for a twitter spaces event powered by    to talk    what else      bitcoin before   this week  coming up in 10 min ,0.0
3,1649106378000.0,2022-04-04 14:06:18,@marxuskarltm Bitcoin scam,  bitcoin scam,0.0
4,1649106378000.0,2022-04-04 14:06:18,XRP is getting ready to fly to the moon! #xrp #ripple #bitcoin #binance #altcoin   https://t.co/1YRM9acYpA,xrp is getting ready to fly to the moon   xrp  ripple  bitcoin  binance  altcoin    ,0.5
5,1649106377000.0,2022-04-04 14:06:17,"Birartane bu horozdan mı alsak coin pump’a kalktın mı yatağa gelip uyandırsın bizi, gücü yetse yorganıda kaldıracak😃  #kripto #btc #Bitcoin  https://t.co/MytCM44jv1",birartane bu horozdan m  alsak coin pump a kalkt n m  yata a gelip uyand rs n bizi  g c  yetse yorgan da kald racak    kripto  btc  bitcoin   ,0.0
6,1649106377000.0,2022-04-04 14:06:17,"🇮🇩 Bitcoin peluang arbitrase yang Anda miliki‼   ✅BestAsk Exchange:Upbit_id   ⬇Harga (Beli): 1BTC = 662,210,000 IDR   ✅BestBid Exchange:Tokocrypto   ⬆Harga (Jual): 1BTC = 666,569,532 IDR  💰💴Jual beli Laba💴💰4,359,532 IDR #Bitcoin #BTC #IDR #IndonesiaRupiah",   bitcoin peluang arbitrase yang anda miliki     bestask exchange upbit id    harga  beli   1btc   662 210 000 idr    bestbid exchange tokocrypto    harga  jual   1btc   666 569 532 idr    jual beli laba  4 359 532 idr  bitcoin  btc  idr  indonesiarupiah,0.0
7,1649106376000.0,2022-04-04 14:06:16,Signs of Bitcoin accumulation suggest BTC’s dip to $45K will be short-lived  https://t.co/UzbZ24CdVg,signs of bitcoin accumulation suggest btc s dip to  45k will be short lived   ,0.0
8,1649106376000.0,2022-04-04 14:06:16,XRP is getting ready to fly to the moon! #xrp #ripple #bitcoin #binance #altcoin   https://t.co/JWsa0GecEK,xrp is getting ready to fly to the moon   xrp  ripple  bitcoin  binance  altcoin    ,0.5
9,1649106375000.0,2022-04-04 14:06:15,Bitcoin Is the best Crypto #BitcoinButton #Binance,bitcoin is the best crypto  bitcoinbutton  binance,1.0
10,1649106375000.0,2022-04-04 14:06:15,Go Bitcoin 📈  https://t.co/LsFR1tNuNd,go bitcoin     ,0.0
11,1649106374000.0,2022-04-04 14:06:14,social media  telegram channel  https://t.co/qOvdRYgIfp telegram group   https://t.co/joLjus0eEh twitter  https://t.co/MOrYVGhctI  instagram  https://t.co/fFFA6F7Bxm youtube  https://t.co/qYQif47P97  #Bitcoin #BTC #BNB #DOGE #TRON  https://t.co/uRBJ30Xtg1,social media  telegram channel    telegram group     twitter     instagram    youtube      bitcoin  btc  bnb  doge  tron   ,0.03333333333333333
12,1649106374000.0,2022-04-04 14:06:14,“Only a costly and arduous process like proof-of-work mining can ensure that the wide interests of society trump the narrow interests of thieves and aggressors.” An exceptionally well written article by @MartinRivers on why #Bitcoin’s energy usage is a feature not a bug., only a costly and arduous process like proof of work mining can ensure that the wide interests of society trump the narrow interests of thieves and aggressors   an exceptionally well written article by   on why  bitcoin s energy usage is a feature not a bug ,0.0033333333333333435
13,1649106373000.0,2022-04-04 14:06:13,@Valentineberry_ @rovercrc Bitcoin will give you a surprise,     bitcoin will give you a surprise,0.0
14,1649106373000.0,2022-04-04 14:06:13,Bitcoin falls and rises again.  we are still friends. 🤝💰😏  • • #Bitcoin #BTC #BitcoinButton  https://t.co/q659vPa4nm,bitcoin falls and rises again   we are still friends            bitcoin  btc  bitcoinbutton   ,0.0
15,1649106371000.0,2022-04-04 14:06:11,Glassnode: Bitcoin sale de los intercambios a razón de 96 mil BTC por mes y muestra fiebre de acumulación  https://t.co/dxLtkc2vPC,glassnode  bitcoin sale de los intercambios a raz n de 96 mil btc por mes y muestra fiebre de acumulaci n   ,0.0
16,1649106370000.0,2022-04-04 14:06:10,Las gasolineras australianas comienzan a aceptar bitcoin  https://t.co/oylcqc9fU5,las gasolineras australianas comienzan a aceptar bitcoin   ,0.0
17,1649106369000.0,2022-04-04 14:06:09,#Bitcoin #BTC  •Giriş yerin sağlam olmazsa geçiş dönemlerinde psikolojik olarak zorluk çekersin., bitcoin  btc   giri  yerin sa lam olmazsa ge i  d nemlerinde psikolojik olarak zorluk  ekersin ,0.0
18,1649106369000.0,2022-04-04 14:06:09,"@siksart @unusual_whales Just praying Elon doesn’t get in. So far what I’ve seen, social sentiment towards NFTs are iffy at best. 2018 you were seeing Bitcoin on every news outlet",    whales just praying elon doesn t get in  so far what i ve seen  social sentiment towards nfts are iffy at best  2018 you were seeing bitcoin on every news outlet,0.37777777777777777
19,1649106368000.0,2022-04-04 14:06:08,#entrepreneurs #selfemployed #traveling #digitalmarketing #DigitalMarketing #dogecoin #bitcoin #deal  #digitalmarketing #gift #shopping #gifts #onlineshopping #dogecoin #bitcoin #marketing #affiliatemarketing #freeshipping #ad #Amazon  https://t.co/YHY7MVo7F6, entrepreneurs  selfemployed  traveling  digitalmarketing  digitalmarketing  dogecoin  bitcoin  deal   digitalmarketing  gift  shopping  gifts  onlineshopping  dogecoin  bitcoin  marketing  affiliatemarketing  freeshipping  ad  amazon   ,0.0
20,1649106368000.0,2022-04-04 14:06:08,Get ready for the biggest bull run you've ever seen #XRP #BTC #ETH #BITCOIN #ETHEREUM  https://t.co/mKTdKftinP,get ready for the biggest bull run you ve ever seen  xrp  btc  eth  bitcoin  ethereum   ,0.2
21,1649106368000.0,2022-04-04 14:06:08,@HodlAlabama If you got a large enough stack seek out Bitcoin Becca,  if you got a large enough stack seek out bitcoin becca,0.10714285714285714
