,created_at,date,tweet,Processed Tweet,Polarity
0,1649106361000.0,2022-04-04 14:06:01,"@adania_io @CardanoTipBot with cardano tip bot account suspended, what happens with all the Husky tokens in our account?",  io   with cardano tip bot account suspended  what happens with all the husky tokens in our account ,0.0
1,1649106355000.0,2022-04-04 14:05:55,No doubt this dude has the best overall NFT collection on Cardano.,no doubt this dude has the best overall nft collection on cardano ,0.5
2,1649106355000.0,2022-04-04 14:05:55,#talks  💨woods woods: Telegram Channel = Crypto Robot Signals #Fantom  #FTM #Ethereum  #ETH #Harmony  #ONE #PLCUltima  #PLCU #Cardano  #ADA  https://t.co/RDzYnIChCV, talks   woods woods  telegram channel   crypto robot signals  fantom   ftm  ethereum   eth  harmony   one  plcultima   plcu  cardano   ada   ,0.0
3,1649106354000.0,2022-04-04 14:05:54,#talks  💨woods woods: Telegram Channel = Crypto Robot Signals #Fantom  #FTM #Ethereum  #ETH #Harmony  #ONE #PLCUltima  #PLCU #Cardano  #ADA  https://t.co/rJp32616sP, talks   woods woods  telegram channel   crypto robot signals  fantom   ftm  ethereum   eth  harmony   one  plcultima   plcu  cardano   ada   ,0.0
4,1649106346000.0,2022-04-04 14:05:46,🐳 #Cardano $ADA Whale ❤️laced! 💰 Transaction Output: 1.8M ₳D₳ / 2.16M USD  👁️ Tx info: ➡️  https://t.co/YNpNZj5wsm  🙏Support us: - Stake with  ☮️PEACE☮️ pool:  https://t.co/Uztjjf2EbE - Stake with SHARP/EASY1/BOOST/GMBL #fintech #blockchain #crypto,   cardano  ada whale   laced    transaction output  1 8m  d    2 16m usd     tx info          support us    stake with    peace   pool       stake with sharp easy1 boost gmbl  fintech  blockchain  crypto,-0.125
5,1649106345000.0,2022-04-04 14:05:45,🐳 #Cardano $ADA Whale ❤️laced! 💰 Transaction Output: 1.9M ₳D₳ / 2.36M USD  👁️ Tx info: ➡️  https://t.co/RHANlt9LEL  🙏Support us: - Stake with  ☮️PEACE☮️ pool:  https://t.co/Uztjjf2EbE - Stake with SHARP/EASY1/BOOST/GMBL #fintech #blockchain #crypto,   cardano  ada whale   laced    transaction output  1 9m  d    2 36m usd     tx info          support us    stake with    peace   pool       stake with sharp easy1 boost gmbl  fintech  blockchain  crypto,-0.125
6,1649106339000.0,2022-04-04 14:05:39,blood red flying spaghetti monster.  #NFT #nftart #CNFT #shill #Cardano #CardanoADA #CardanoCommunity #spaghetti  https://t.co/HaIZD9kjC5,blood red flying spaghetti monster    nft  nftart  cnft  shill  cardano  cardanoada  cardanocommunity  spaghetti   ,0.0
7,1649106338000.0,2022-04-04 14:05:38,"@stikrisqkr @CalvinsBrew @RootsKalibre @spacebudzNFT What’s your question? Calvin’s not deciding anything, he’s just acknowledging one of the greatest innovators in Cardano.",        what s your question  calvin s not deciding anything  he s just acknowledging one of the greatest innovators in cardano ,1.0
8,1649106328000.0,2022-04-04 14:05:28,🐳 #Cardano $ADA Whale ❤️laced! 💰 Transaction Output: 30.5M ₳D₳ / 36.71M USD  👁️ Tx info: ➡️  https://t.co/5DVyLNXGQj  🙏Support us: - Stake with  ☮️PEACE☮️ pool:  https://t.co/Uztjjf2EbE - Stake with SHARP/EASY1/BOOST/GMBL #fintech #blockchain #crypto,   cardano  ada whale   laced    transaction output  30 5m  d    36 71m usd     tx info          support us    stake with    peace   pool       stake with sharp easy1 boost gmbl  fintech  blockchain  crypto,-0.125
9,1649106312000.0,2022-04-04 14:05:12,🐳 #Cardano $ADA Whale ❤️laced! 💰 Transaction Output: 6.4M ₳D₳ / 7.75M USD  👁️ Tx info: ➡️  https://t.co/wc8ZXIL55l  🙏Support us: - Stake with  ☮️PEACE☮️ pool:  https://t.co/Uztjjf2EbE - Stake with SHARP/EASY1/BOOST/GMBL #fintech #blockchain #crypto,   cardano  ada whale   laced    transaction output  6 4m  d    7 75m usd     tx info          support us    stake with    peace   pool       stake with sharp easy1 boost gmbl  fintech  blockchain  crypto,-0.125
