,created_at,date,tweet,Processed Tweet,Polarity
0,1649106269000.0,2022-04-04 14:04:29,"Decentralized finance is what people want… the majority of them just don’t know it yet. @chainlink will be the global standard once that realization comes to fruition. It’s just a matter of time, frens… $LINK",decentralized finance is what people want  the majority of them just don t know it yet    will be the global standard once that realization comes to fruition  it s just a matter of time  frens   link,0.0
1,1649106080000.0,2022-04-04 14:01:20,Bitcoin  -  $46337.0  (€42226.0) Ethereum  -  $3514.5  (€3202.71) Chainlink  -  $17.36  (€15.82) Solana  -  $130.85 (€119.24) Litecoin  -  $124.06 (€113.05),bitcoin      46337 0    42226 0  ethereum      3514 5    3202 71  chainlink      17 36    15 82  solana      130 85   119 24  litecoin      124 06   113 05 ,0.0
2,1649106060000.0,2022-04-04 14:01:00,据 Chainlink 数据，Waves 链上稳定币 USDN 发生严重脱锚，当前 USDN 价格仅为约 $0.855。此前关于 Waves 是庞氏骗局的论述文章广泛传播。,  chainlink    waves       usdn           usdn        0 855      waves                ,0.0
3,1649106035000.0,2022-04-04 14:00:35,@ArabCryptoJunky @realmilkyswap @chainlink @MakerDAO You can believe in #kittencoin... It's clears doubt and will give you hope.,        you can believe in  kittencoin    it s clears doubt and will give you hope ,0.0
4,1649105958000.0,2022-04-04 13:59:18,@EulerTools $Euler #EULER. @EulerTools &gt;@chainlink   Pes etmeden desteklemeye devam.😊,   euler  euler     gt     pes etmeden desteklemeye devam  ,0.0
5,1649105902000.0,2022-04-04 13:58:22,@ari77719 @Crypto_By_Uzair Chainlink 🤣😭,    by uzair chainlink   ,0.0
6,1649105876000.0,2022-04-04 13:57:56,Hey Hodlers!   Are you interested in learning more about Chainlink (LINK)?   Check out more info here:  https://t.co/3LGM4aszry.   #ForTheHodlers #Hodlers #Chainlink $LINK #LINK #Cryptos #HODL,hey hodlers    are you interested in learning more about chainlink  link     check out more info here        forthehodlers  hodlers  chainlink  link  link  cryptos  hodl,0.4166666666666667
7,1649105863000.0,2022-04-04 13:57:43,"@Grayscale @chainlink All these goons that are responding to your tweets aren't shareholders!!! If they were, they'd be complaining how the gap keeps increasing!!! Stop it!!! Focus on your damn shareholders who keep losing money!!!",    all these goons that are responding to your tweets aren t shareholders    if they were  they d be complaining how the gap keeps increasing    stop it    focus on your damn shareholders who keep losing money   ,0.0
8,1649105819000.0,2022-04-04 13:56:59,@Smart_Contract @DegenBlues @chainlink Don't miss! @0xPolygonDouble,  contract     don t miss   ,0.0
9,1649105776000.0,2022-04-04 13:56:16,@Smart_Contract @DegenBlues @chainlink Thanks so muchhhhhhh for this gift  @0xPolygonDouble,  contract     thanks so muchhhhhhh for this gift   ,0.2
10,1649105751000.0,2022-04-04 13:55:51,@producer_fred can we get Sergey on banter to teach the world more about @chainlink,  fred can we get sergey on banter to teach the world more about  ,0.5
11,1649105569000.0,2022-04-04 13:52:49,@realmilkyswap @chainlink @MakerDAO Still can’t believe how amazing it is.. Great job.. 🚀,      still can t believe how amazing it is   great job    ,0.7000000000000001
