,created_at,date,tweet,Processed Tweet,Polarity
0,1649106385000.0,2022-04-04 14:06:25,@cosmos_fi3nd oh mais stop :’( c’est ma vie de rêve friends purée trop envie de re-regarder là,  fi3nd oh mais stop     c est ma vie de r ve friends pur e trop envie de re regarder l ,0.0
1,1649106383000.0,2022-04-04 14:06:23,@Neta_DAO @TrickyCrypto2 @Cosmos_Spaces  https://t.co/B0cB4sTTjF,  dao     spaces   ,0.0
2,1649106348000.0,2022-04-04 14:05:48,"@lynn_brook1 @sadcrib Hit up cosmos_tripp on IG, he is a plug for 🍄s",  brook1   hit up cosmos tripp on ig  he is a plug for  s,0.0
3,1649106341000.0,2022-04-04 14:05:41,このことから、星がきれいに美しくそろう宇宙のことを「cosmos」と呼び、また、花びらが整然と並ぶこの花も「cosmos」と呼ぶようになったと言われています。,                          cosmos                      cosmos                   ,0.0
4,1649106335000.0,2022-04-04 14:05:35,@COSMOS__BB @8KLIFE @YG_GlobalVIP A cover with our KINGS!  STILL LIFE STILL HERE @YG_GlobalVIP #BIGBANG_StillLife #BIGBANG #빅뱅이_돌아왔습니다,   bb     globalvip a cover with our kings   still life still here   globalvip  bigbang stilllife  bigbang            ,0.0
5,1649106325000.0,2022-04-04 14:05:25,"@lynn_brook1 @cornskiii Hit up cosmos_tripp on IG, he’s a plug for 🍄s",  brook1   hit up cosmos tripp on ig  he s a plug for  s,0.0
6,1649106317000.0,2022-04-04 14:05:17,@IgnorantQuack Always loved them Lots of documentaries as a kid  Had the glow stars  Looked at the moon with binoculars at 7 fell in love More recently I took Ayahuasca and fell in love with with the cosmos again,  always loved them lots of documentaries as a kid  had the glow stars  looked at the moon with binoculars at 7 fell in love more recently i took ayahuasca and fell in love with with the cosmos again,0.44000000000000006
7,1649106294000.0,2022-04-04 14:04:54,Binary Holdings voting power on Cosmos/cosmoshub-4 changed: 112478 -&gt; 113078 (+600 / +0.5%) at block 9998806 -  https://t.co/pMPeXY7lkP,binary holdings voting power on cosmos cosmoshub 4 changed  112478   gt  113078   600    0 5   at block 9998806     ,0.0
8,1649106183000.0,2022-04-04 14:03:03,Many thanks to @UltraEarly for the new pfp. Looks like $UOS etched into the cosmos. 🔥,many thanks to   for the new pfp  looks like  uos etched into the cosmos   ,0.27878787878787875
9,1649106166000.0,2022-04-04 14:02:46,Cosmos seedlings are so exciting when they start doing the sprouting thing. Last year was my first attempt and they were so tall before they started this showy part! This year with constant turning and tickling they are looking so good ☺️🌸#GardensHour #GardeningTwitter  https://t.co/VK2cL7H616,cosmos seedlings are so exciting when they start doing the sprouting thing  last year was my first attempt and they were so tall before they started this showy part  this year with constant turning and tickling they are looking so good     gardenshour  gardeningtwitter   ,0.25
10,1649106123000.0,2022-04-04 14:02:03,Requesting $ATOM funds from the #Stakely Faucet on the Cosmos blockchain. Request ID: LIIVH8JV  https://t.co/gWbxHGdiQy,requesting  atom funds from the  stakely faucet on the cosmos blockchain  request id  liivh8jv   ,0.0
11,1649106044000.0,2022-04-04 14:00:44,@cosmos_fi3nd trop contente &lt;3333 j’adore friends,  fi3nd trop contente  lt 3333 j adore friends,0.0
12,1649106033000.0,2022-04-04 14:00:33,@Cosmos_Airdrops Will this nonsense ever end? I see 10 tweets the same way every day. pffs.,  airdrops will this nonsense ever end  i see 10 tweets the same way every day  pffs ,0.0
13,1649106026000.0,2022-04-04 14:00:26,@cosmos_fi3nd 🥰🥰🥰,  fi3nd    ,0.0
14,1649106014000.0,2022-04-04 14:00:14,@L30amaya Introducidos como ornamentales. Hace un tiempo viendo Cosmos vi que también había en los jardines de UCLA.  https://t.co/cpiyKyn2z4,  introducidos como ornamentales  hace un tiempo viendo cosmos vi que tambi n hab a en los jardines de ucla    ,0.0
15,1649106002000.0,2022-04-04 14:00:02,How do you feel about time traveling with us? Episode 8 of 'A Practical Guide to the Cosmos' is now live on our youtube channel!  https://t.co/rIi6jsfaEr  https://t.co/qoGFJchItF,how do you feel about time traveling with us  episode 8 of  a practical guide to the cosmos  is now live on our youtube channel       ,0.13636363636363635
16,1649106001000.0,2022-04-04 14:00:01,Hey Hodlers!   Are you interested in learning about Cosmos (ATOM)?   Check out more info here:  https://t.co/vRNc6miyoJ.   #ForTheHodlers #Hodlers #ATOM $ATOM #Cosmos #Hodlers #HODL,hey hodlers    are you interested in learning about cosmos  atom     check out more info here        forthehodlers  hodlers  atom  atom  cosmos  hodlers  hodl,0.375
17,1649105999000.0,2022-04-04 13:59:59,@DGK_Cosmos Caligula 🤣🤣,  cosmos caligula   ,0.0
18,1649105997000.0,2022-04-04 13:59:57,"@GlenysAlvarez Y yo siempre he sido muy analítico, es mi personalidad. No me quedo con lo que me dicen, indago, averiguo, compruebo... Una de mis series favoritas de pequeño era ""COSMOS"", el de los 80s. Eso también me ayudó mucho, escuchar a Carl Sagan.",  y yo siempre he sido muy anal tico  es mi personalidad  no me quedo con lo que me dicen  indago  averiguo  compruebo    una de mis series favoritas de peque o era  cosmos   el de los 80s  eso tambi n me ayud  mucho  escuchar a carl sagan ,0.0
19,1649105991000.0,2022-04-04 13:59:51,The Cosmos Radio Network (USA) - Lazy B' Chill-Out,the cosmos radio network  usa    lazy b  chill out,-0.25
20,1649105985000.0,2022-04-04 13:59:45,@Cryptomancer__ @Cryptocito @danku_r @cosmos I mean it's an 🧑‍🚀 with a 🗡️,        r   i mean it s an     with a   ,-0.3125
21,1649105970000.0,2022-04-04 13:59:30,The guardian of the cosmos sucking off a literal god is too good.   𝐓𝐇𝐑𝐔𝐒𝐓 𝐓𝐇𝐑𝐔𝐒𝐓 𝐓𝐇𝐑𝐔𝐒𝐓,the guardian of the cosmos sucking off a literal god is too good                        ,0.7
22,1649105924000.0,2022-04-04 13:58:44,"@CryptoTalkzInfo @VikingPokerDAO I read that they create games through tokens in multi-chain ecosystems, like Ethereum, BSC, Polygon, Fantom, Solana, Cosmos, Polkadot, etc. So, the vision is to create an oligarchy of ecosystems in different chains? How does this enrich the ecosystem?",    i read that they create games through tokens in multi chain ecosystems  like ethereum  bsc  polygon  fantom  solana  cosmos  polkadot  etc  so  the vision is to create an oligarchy of ecosystems in different chains  how does this enrich the ecosystem ,0.0
23,1649105907000.0,2022-04-04 13:58:27,"Good night to the best community on the #IBC, probably the whole #cryptospace !!🤔😉😴  $STARS #StargazeZone #Stargaze #ClassifiedCats #NFTs #Cosmos  https://t.co/XpBNpKkWGZ",good night to the best community on the  ibc  probably the whole  cryptospace         stars  stargazezone  stargaze  classifiedcats  nfts  cosmos   ,0.6333333333333333
24,1649105905000.0,2022-04-04 13:58:25,@truthcrumbs 🥂 I'd also pay attention to The Cosmos as well. Not necessarily just $ATOM. Seems to be more so like The IOV. They all have their role to play. Will be winners and losers.  https://t.co/qzcl3WI9Iv,    i d also pay attention to the cosmos as well  not necessarily just  atom  seems to be more so like the iov  they all have their role to play  will be winners and losers    ,0.09999999999999999
25,1649105903000.0,2022-04-04 13:58:23,"@TheAkrillion @Jack_S_Wolfman Notice all those other Erdtrees? They're the parallel worlds of other players, and it's not just a gameplay mechanic. The Greater Will is so powerful its influence extends to alternate versions of the Lands Between, and the rest of the cosmos.",    s wolfman notice all those other erdtrees  they re the parallel worlds of other players  and it s not just a gameplay mechanic  the greater will is so powerful its influence extends to alternate versions of the lands between  and the rest of the cosmos ,0.09166666666666667
26,1649105902000.0,2022-04-04 13:58:22,"Many say home is where the heart is, but what if the heart is located in another place? #deepthoughts #Cosmos #LifeisStrange",many say home is where the heart is  but what if the heart is located in another place   deepthoughts  cosmos  lifeisstrange,0.5
27,1649105891000.0,2022-04-04 13:58:11,"@leticia_cosmos @Crunchyroll_PT Socorro, odeio",  cosmos   pt socorro  odeio,0.0
28,1649105859000.0,2022-04-04 13:57:39,@TalesotCrypto @Cosmos_E11even Got my 3 for the blend!,    e11even got my 3 for the blend ,0.0
29,1649105844000.0,2022-04-04 13:57:24,Ask Elon it takes a lot of work to build a rocket that will venture the Outer Cosmos!,ask elon it takes a lot of work to build a rocket that will venture the outer cosmos ,0.0
30,1649105839000.0,2022-04-04 13:57:19,喜び合って いがみ合って 泣き合って 慰め合って 笑い合う 君と一緒に（Cosmos）,                                    cosmos ,0.0
31,1649105785000.0,2022-04-04 13:56:25,@cosmos_mad @art_sponge I love her,  mad   sponge i love her,-0.0625
32,1649105782000.0,2022-04-04 13:56:22,@Cosmos_yamaemi @Fuji_Analysis チーズケーキの日にどら焼き𐤔𐤔𐤔🤣𐤔𐤔𐤔  ヤマエミさんの発想が(◍˃ᗜ˂◍),  yamaemi   analysis                                        ,0.0
33,1649105774000.0,2022-04-04 13:56:14,@MaiarGiveaway @egoldalchemists @Cosmos_Airdrops @QryptoAirdrops @Airdropmaster0,      airdrops    ,0.0
34,1649105756000.0,2022-04-04 13:55:56,🔵🔵Blues en Ciudad de las Artes: Rolo Casas y Max Vera Barros presentan “Cosmos”   https://t.co/YldtEVUTBT,  blues en ciudad de las artes  rolo casas y max vera barros presentan  cosmos     ,0.0
35,1649105748000.0,2022-04-04 13:55:48,@gadikian often reminds me of how Thomas Huxley was described to have defended evolution. Energetic and pugnacious defender of cosmos vision. He's the Cosmos bulldog.,  often reminds me of how thomas huxley was described to have defended evolution  energetic and pugnacious defender of cosmos vision  he s the cosmos bulldog ,0.5
36,1649105739000.0,2022-04-04 13:55:39,So what about the rest? #Cosmos has launched @StargazeZone which has had some rave reviews with its recent launchpad zero gas fees and marketplace coming imminently. @starchoadz  https://t.co/7JDt9XbDz8,so what about the rest   cosmos has launched   which has had some rave reviews with its recent launchpad zero gas fees and marketplace coming imminently      ,0.0
37,1649105679000.0,2022-04-04 13:54:39,"Algo que estou fascinado é desbravar o mundo cripto e interagir com diversas blockchains. Primeira NFT mintada no ecossitema Cosmos. IBC Baby Apes Club. Não sei se vai valer algo no futuro, mas já valeu pelo aprendizado. #NFT #COSMOS #BABYAPESCLUB  https://t.co/jteFby0ysV",algo que estou fascinado   desbravar o mundo cripto e interagir com diversas blockchains  primeira nft mintada no ecossitema cosmos  ibc baby apes club  n o sei se vai valer algo no futuro  mas j  valeu pelo aprendizado   nft  cosmos  babyapesclub   ,0.0
38,1649105671000.0,2022-04-04 13:54:31,só marcos eduardo mesmo pra me fazer vir aqui em cosmos só pra pegar uma impressora kkkkkkkkkk 2:30 de viagem,s  marcos eduardo mesmo pra me fazer vir aqui em cosmos s  pra pegar uma impressora kkkkkkkkkk 2 30 de viagem,0.0
39,1649105640000.0,2022-04-04 13:54:00,@cosmos_fi3nd MOINS FOLLASSE MDRRR,  fi3nd moins follasse mdrrr,0.0
