,created_at,date,tweet,Processed Tweet,Polarity
0,1649106395000.0,2022-04-04 14:06:35,Probably a good time to buy Dogecoin before musk makes it a rule that all future purchase of shares of Twitter must be bought using it.   *kidding,probably a good time to buy dogecoin before musk makes it a rule that all future purchase of shares of twitter must be bought using it     kidding,0.35
1,1649106382000.0,2022-04-04 14:06:22,Baby Doge coin coming soon  https://t.co/8TYCQ2LAPC,baby doge coin coming soon   ,0.0
2,1649106378000.0,2022-04-04 14:06:18,@binance Baby doge coin or safemoon or feg token??? Which one????,  baby doge coin or safemoon or feg token    which one    ,0.0
3,1649106378000.0,2022-04-04 14:06:18,@070guy @LadyDogeBugBird @lilim_ade @wowsuchcurrency @Cocochaneladair @pythadoge @Im_in_Crypto @nl_dogecoin @13dogecoin @DogeMemer007 @WetKissesBitch D9d5NL4DT9a1MSwQpLJ6nUVxLJ1J4eSKz5  https://t.co/CjUnOd2alj,      ade         in crypto   dogecoin       d9d5nl4dt9a1mswqplj6nuvxlj1j4eskz5   ,0.0
4,1649106368000.0,2022-04-04 14:06:08,#entrepreneurs #selfemployed #traveling #digitalmarketing #DigitalMarketing #dogecoin #bitcoin #deal  #digitalmarketing #gift #shopping #gifts #onlineshopping #dogecoin #bitcoin #marketing #affiliatemarketing #freeshipping #ad #Amazon  https://t.co/YHY7MVo7F6, entrepreneurs  selfemployed  traveling  digitalmarketing  digitalmarketing  dogecoin  bitcoin  deal   digitalmarketing  gift  shopping  gifts  onlineshopping  dogecoin  bitcoin  marketing  affiliatemarketing  freeshipping  ad  amazon   ,0.0
5,1649106365000.0,2022-04-04 14:06:05,"The current price of one DOGE is now: $0.1463, 1% change in the last hour!  One MDOGE is worth $146,291.4053.  Total volume in last 24H: $2,193,294,415.  Current CoinMarketCap Rank: #12  $DOGE #DOGECOIN  https://t.co/DcG6WAwEwO",the current price of one doge is now   0 1463  1  change in the last hour   one mdoge is worth  146 291 4053   total volume in last 24h   2 193 294 415   current coinmarketcap rank   12   doge  dogecoin   ,-0.07142857142857142
6,1649106364000.0,2022-04-04 14:06:04,@freddier Se viene dogecoin moneda mundial,  se viene dogecoin moneda mundial,0.0
7,1649106362000.0,2022-04-04 14:06:02,@070guy @LadyDogeBugBird @wowsuchcurrency @Cocochaneladair @pythadoge @Im_in_Crypto @nl_dogecoin @13dogecoin @DogeMemer007 @WetKissesBitch ready 🚀🚀🚀🚀,            in crypto   dogecoin       ready     ,0.2
8,1649106360000.0,2022-04-04 14:06:00,#Doge #Dogecoin coin sahipleri ve almayı düşünenler için 📺videolar📈grafikler🐦twitler📊teknik sinyaller📰haberler ve dahası➡️  https://t.co/gMKpTgQ8Rb, doge  dogecoin coin sahipleri ve almay  d   nenler i in  videolar grafikler twitler teknik sinyaller haberler ve dahas      ,0.0
9,1649106354000.0,2022-04-04 14:05:54,#Dogecoin Live Stream  https://t.co/X565wfgBZL, dogecoin live stream   ,0.13636363636363635
10,1649106352000.0,2022-04-04 14:05:52,My twitter: 45% Brazilian politics 45% Dogecoin 10% Games.  My Facebook: 100% sharing Woof Woof page posts about cute dogs.,my twitter  45  brazilian politics 45  dogecoin 10  games   my facebook  100  sharing woof woof page posts about cute dogs ,0.5
11,1649106349000.0,2022-04-04 14:05:49,"BTC is important place, we should pass 46,574 #ElonMusk #dogecoin #BTC #bnxusdt #BNX #sheba",btc is important place  we should pass 46 574  elonmusk  dogecoin  btc  bnxusdt  bnx  sheba,0.4
12,1649106347000.0,2022-04-04 14:05:47,.@elonmusk please say it... Say #dogecoin  https://t.co/UWOajakc2y,   please say it    say  dogecoin   ,0.0
13,1649106328000.0,2022-04-04 14:05:28,#dogecoin, dogecoin,0.0
