,created_at,date,tweet,Processed Tweet,Polarity
0,1649706878000.0,2022-04-11 12:54:38,Who uses AAVE worst/ most cringe worthy: corporations or politicians?,who uses aave worst  most cringe worthy  corporations or politicians ,-0.05555555555555556
1,1649706872000.0,2022-04-11 12:54:32,@kooklesss @FinesseEness it’s origins are aave but those are one of those words where it’s not rlly ppl trying to mock black ppl i don’t think…and u can’t rlly use it incorrectly so. sis/gurl are different tho,    it s origins are aave but those are one of those words where it s not rlly ppl trying to mock black ppl i don t think and u can t rlly use it incorrectly so  sis gurl are different tho,-0.08333333333333333
2,1649706847000.0,2022-04-11 12:54:07,"#Binance Futures Report!  🟢 15m: $GRT, $SAND, $TRB, $DODO 🟢 1H: $GMT, $AAVE, $MTL, $RAY 🟢 4H: $MKR, $ADA, $KLAY, $SUSHI 🔴 1D: $BTS, $BLZ, $UNI, $KAVA   #BTC   👇👇 learn &amp; join me  🔸   https://t.co/S1kEg6W7zj   36484038  https://t.co/mjg3VZpCuA", binance futures report     15m   grt   sand   trb   dodo   1h   gmt   aave   mtl   ray   4h   mkr   ada   klay   sushi   1d   bts   blz   uni   kava    btc      learn  amp  join me          36484038   ,0.0
3,1649706843000.0,2022-04-11 12:54:03,"Bitcoin despenca para US$ 40 mil e 3 tokens apresentam queda de até 50%: AAVE, SNX e WAVES  https://t.co/xuL8AM3LZY",bitcoin despenca para us  40 mil e 3 tokens apresentam queda de at  50   aave  snx e waves   ,0.0
4,1649706828000.0,2022-04-11 12:53:48,bi tane arkadaşım var sürekli aave kullanıyor ne olduğu hakkında hiçbir fikri yok ve uyaramıyorum alıncak diye sizce napim,bi tane arkada  m var s rekli aave kullan yor ne oldu u hakk nda hi bir fikri yok ve uyaram yorum al ncak diye sizce napim,0.0
5,1649706804000.0,2022-04-11 12:53:24,"Aave Fear and Greed Index is currently 61 - GREED  Current #AAVE price is 162.37831195441441 usd Current market cap is 2,221,386,500 usd 24h trading volume is 266,921,975 usd  Live #crypto analysis for $AAVE and 100 other #altcoins and #cryptocurrencies  https://t.co/ixGUGKfCle",aave fear and greed index is currently 61   greed  current  aave price is 162 37831195441441 usd current market cap is 2 221 386 500 usd 24h trading volume is 266 921 975 usd  live  crypto analysis for  aave and 100 other  altcoins and  cryptocurrencies   ,0.002272727272727271
6,1649706731000.0,2022-04-11 12:52:11,"rather than sitting down and having a conversation with your peers about how this is wrong. some of you have a lot of nerve misusing aave and taking things from black people only to go after them for trying to educate. my friend cynic, has been through enough",rather than sitting down and having a conversation with your peers about how this is wrong  some of you have a lot of nerve misusing aave and taking things from black people only to go after them for trying to educate  my friend cynic  has been through enough,-0.16444444444444445
7,1649706706000.0,2022-04-11 12:51:46,"@cupiditive and then i and some other ppl qrted them like, ""ur using aave and ur racist???"" and then maria made a whole thread abt how they arent racist and then i responded n they blocked me",  and then i and some other ppl qrted them like   ur using aave and ur racist     and then maria made a whole thread abt how they arent racist and then i responded n they blocked me,0.037500000000000006
8,1649706635000.0,2022-04-11 12:50:35,TOP 10 TVL ON POLYGON   https://t.co/F9HKUPjQ1M  $AAVE $QUICK $CRV $SUSHI $BAL $BIFI $DFYN $SYN $DINO $AUTO $audio  https://t.co/GHOeFTbpgn,top 10 tvl on polygon       aave  quick  crv  sushi  bal  bifi  dfyn  syn  dino  auto  audio   ,0.41666666666666663
9,1649706568000.0,2022-04-11 12:49:28,@kieshhlee @IzaicKumy Lol nah. It's pidgin English just like AAVE,    lol nah  it s pidgin english just like aave,0.4
