,created_at,date,tweet,Processed Tweet,Polarity
0,1649706876000.0,2022-04-11 12:54:36,LP-E17 더미 배터리 플레이트 DC 커플러 캐논 EOS RP 77D 200D 750D 760D 800D 용 5V 2A USB 케이블  https://t.co/ZEcVwNxUFK 파트너스 활동으로 수수료를 받을수 있어요1953  https://t.co/KaqvF1UrT7,lp e17             dc        eos rp 77d 200d 750d 760d 800d   5v 2a usb                              1953   ,0.0
1,1649706753000.0,2022-04-11 12:52:33,For 2006-2013 VW Golf GTI Jetta Eos 2.0T Transmission &amp; Motor Mount Bushings Kit  https://t.co/Fx0JwUKSWm eBay  https://t.co/kuNeMwJ3bF,for 2006 2013 vw golf gti jetta eos 2 0t transmission  amp  motor mount bushings kit    ebay   ,0.0
2,1649706723000.0,2022-04-11 12:52:03,⬅ 0.477 pLTC redeemed  https://t.co/TNqX3kO8xb 👋 Total supply on EOS is 1211.57013552 pLTC,  0 477 pltc redeemed      total supply on eos is 1211 57013552 pltc,0.0
3,1649706664000.0,2022-04-11 12:51:04,Follow this server to learn trading  https://t.co/ExUuCbdC7N $DOGE $BTC $EOS $ETC $SL $MKR $ETH $SNL $FTX $kava  https://t.co/ujZ3zH7JXG,follow this server to learn trading     doge  btc  eos  etc  sl  mkr  eth  snl  ftx  kava   ,0.0
4,1649706566000.0,2022-04-11 12:49:26,"에스프로 캐논 LP-E8 배터리 전용 LCD 싱글 충전기 EOS 550D 600D 650D 700D 호환, SPRO-CH-SI  https://t.co/xzSBbZauW7 파트너스 활동으로 수수료를 받을수 있어요7240  https://t.co/0AsBhAunMU",        lp e8        lcd        eos 550d 600d 650d 700d     spro ch si                          7240   ,0.0
5,1649706550000.0,2022-04-11 12:49:10,"캐논 카메라 삼각대 EOS 550D 600D 650D 700D 750D IFG, 9.2in1 트레블러 (분리형)  https://t.co/RyP5zOVOsx 파트너스 활동으로 수수료를 받을수 있어요8357  https://t.co/dmfR50SppP",           eos 550d 600d 650d 700d 750d ifg  9 2in1                                     8357   ,0.0
6,1649706544000.0,2022-04-11 12:49:04,Democrats - we cant do anything with EOs sorry :-( Democrats 2024 - you have to vote for us or the republicans will turn us fascist using EOs &gt;:-0,democrats   we cant do anything with eos sorry     democrats 2024   you have to vote for us or the republicans will turn us fascist using eos  gt   0,-0.5
7,1649706502000.0,2022-04-11 12:48:22,캐논 LP-E8 듀얼 충전기+배터리 2개 EOS 650D 700D  https://t.co/DFUsThdRGO 파트너스 활동으로 수수료를 받을수 있어요3734  https://t.co/DG7C1gEaTZ,   lp e8            2  eos 650d 700d                          3734   ,0.0
8,1649706465000.0,2022-04-11 12:47:45,@Hanky_solo Animadvertistine eos diu oppidum non invasisse?,  solo animadvertistine eos diu oppidum non invasisse ,0.0
9,1649706464000.0,2022-04-11 12:47:44,Follow this server to learn trading  https://t.co/FmEQMkbtGZ  $DOGE $BTC $EOS $ETC $SL $MKR $ETH $SNL $FTX $kava  https://t.co/jqQ2YrvyxQ,follow this server to learn trading      doge  btc  eos  etc  sl  mkr  eth  snl  ftx  kava   ,0.0
10,1649706455000.0,2022-04-11 12:47:35,"Swing 🚥  $HNT 🟡 $20.46 $AAVE 🟡 $160.90 $CAKE 🟡 $7.72 $EOS 🟡 $2.19 $ZEC 🟡 $146.40 $FLOW 🟡 $5.50 $MKR 🟡 $1,848.00 $GRT 🟡 $0.36 $XEC 🟡 $0.00 $BTT 🟡 $0.00   https://t.co/xzqH6LyCnS",swing     hnt    20 46  aave    160 90  cake    7 72  eos    2 19  zec    146 40  flow    5 50  mkr    1 848 00  grt    0 36  xec    0 00  btt    0 00    ,0.0
11,1649706426000.0,2022-04-11 12:47:06,$EOS Don't miss the next move in a few hours:.  https://t.co/snhEH00Ghi, eos don t miss the next move in a few hours     ,-0.1
