,created_at,date,tweet,Processed Tweet,Polarity
0,1649706916000.0,2022-04-11 12:55:16,@satyarth2001 @Yourpop8 @ArchieNeko_ #ARCHIE #ArchieNeko $ARCHIE #cryptocurrency #CryptocurrencyNews #Bitcoin #crypto #blockchain #Cryptos #BTC #CryptoNews #DeFi #LockedLiqidity #Metaverse #NFTCommunity #Ethereum #NFTGiveaway @ArchieNeko_,        archie  archieneko  archie  cryptocurrency  cryptocurrencynews  bitcoin  crypto  blockchain  cryptos  btc  cryptonews  defi  lockedliqidity  metaverse  nftcommunity  ethereum  nftgiveaway   ,0.0
1,1649706914000.0,2022-04-11 12:55:14,Discord -  https://t.co/xUzDVqic50 Powerful and seamless decentralized AMM exchange on  @zksync  | Ethereum L2 ZK Rollup 😍🧐 #zkSync #Layer2 #ZKRollup #testnet #Ethereum #DeFi  https://t.co/vsbrQQIZ7D,discord      powerful and seamless decentralized amm exchange on       ethereum l2 zk rollup     zksync  layer2  zkrollup  testnet  ethereum  defi   ,0.2
2,1649706907000.0,2022-04-11 12:55:07,"#ArcaneKingdoms is a next generation #play2earn #crypto game. Their pre sale will start in few days. also they are giving away 50.000$, 100.000 tokens.  Check them out: @ArcaneKingdoms  #Bitcoin #Bnb #bsc #ethereum #giveaway #presale #airdrop  https://t.co/kQTv9fIcOp", arcanekingdoms is a next generation  play2earn  crypto game  their pre sale will start in few days  also they are giving away 50 000   100 000 tokens   check them out      bitcoin  bnb  bsc  ethereum  giveaway  presale  airdrop   ,-0.20000000000000004
3,1649706906000.0,2022-04-11 12:55:06,#EverRise $RISE #EverRiseV3 #EverRiseEDU #DeFi #Crypto #Cryptocurrency #Ethereum #UtilityNFT #NFTArt #Polygon #NFTProject #AVAX #Altcoin #EverSwap  https://t.co/sMz4Qt45SE, everrise  rise  everrisev3  everriseedu  defi  crypto  cryptocurrency  ethereum  utilitynft  nftart  polygon  nftproject  avax  altcoin  everswap   ,0.0
4,1649706905000.0,2022-04-11 12:55:05,@WhaleChart @BabyDogeCoin @rarible @EverRise @RBXSamurai @apecoin @Marvin_Inu @enjin @KibaInuWorld @decentraland @AxieInfinity @cctip_com #ethereum,              inu           com  ethereum,0.0
5,1649706904000.0,2022-04-11 12:55:04,#Bitcoin Last Price $39982 #BTC 🚀 Daily Indicators: RSI: 36.5 MA(20): 44703 MA(50): 41897 MA(200): 48194 Bollinger B. lower/upper: 40661/48744  #Ethereum Last $3003 #ETH RSI: 43.0 MA(20): 3274 MA(50): 2940 MA(200): 3490 BB: 2970/3579  DM for project price! #Crypto #Live  29496, bitcoin last price  39982  btc   daily indicators  rsi  36 5 ma 20   44703 ma 50   41897 ma 200   48194 bollinger b  lower upper  40661 48744   ethereum last  3003  eth rsi  43 0 ma 20   3274 ma 50   2940 ma 200   3490 bb  2970 3579  dm for project price   crypto  live  29496,0.02727272727272727
6,1649706904000.0,2022-04-11 12:55:04,My Crypto Strategy on ICONOMI just outperformed BTC. Check it out here:  https://t.co/uWk6nunQMd #btc #ethereum #invest #bitcoins  https://t.co/fuzNNTSvs6,my crypto strategy on iconomi just outperformed btc  check it out here      btc  ethereum  invest  bitcoins   ,0.0
7,1649706903000.0,2022-04-11 12:55:03,My Crypto Strategy on ICONOMI just outperformed BTC. Check it out here:  https://t.co/ZpzVQaNuPd #bitcointrading #trading #ethereum #money  https://t.co/1ZosbdWzAY,my crypto strategy on iconomi just outperformed btc  check it out here      bitcointrading  trading  ethereum  money   ,0.0
8,1649706903000.0,2022-04-11 12:55:03,#Film #Ethereum #NFT #nfts #coinbase Coinbase to Produce Bored Ape Yacht Club Animated Short Films  https://t.co/sIVBFCUilQ  https://t.co/I7XsfA0LMf, film  ethereum  nft  nfts  coinbase coinbase to produce bored ape yacht club animated short films      ,-0.25
9,1649706900000.0,2022-04-11 12:55:00,"I'll be uploading a complete #Bitcoin + #Ethereum + #StockMarket update video in 2 minutes, get ready!",i ll be uploading a complete  bitcoin    ethereum    stockmarket update video in 2 minutes  get ready ,0.15000000000000002
