,created_at,date,tweet,Processed Tweet,Polarity
0,1649706748000.0,2022-04-11 12:52:28,@ManadaPolitica Esto no se había visto en la historia. Monero que se respeta critica al poder,  esto no se hab a visto en la historia  monero que se respeta critica al poder,0.0
1,1649706719000.0,2022-04-11 12:51:59,"Cardano (#ADA): R$ 4,44 | U$ 0,946835 | U$ 24hrs: -11,02%  Dogecoin (#DOGE): R$ 0,648759 | U$ 0,138328 | U$ 24hrs: -11,22%  Ethereum (#ETH): R$ 14.097,25 | U$ 3.004,98 | U$ 24hrs: -8,78%  Monero (#XMR): R$ 1.053,47 | U$ 224,62 | U$ 24hrs: -8,06%",cardano   ada   r  4 44   u  0 946835   u  24hrs   11 02   dogecoin   doge   r  0 648759   u  0 138328   u  24hrs   11 22   ethereum   eth   r  14 097 25   u  3 004 98   u  24hrs   8 78   monero   xmr   r  1 053 47   u  224 62   u  24hrs   8 06 ,0.0
2,1649706665000.0,2022-04-11 12:51:05,"Prices aren't going up, the money is worth less.  And pretty soon there won't be a space between the last words of that sentence.   #ARRR #piratechain #XMR #Monero #DERO",prices aren t going up  the money is worth less   and pretty soon there won t be a space between the last words of that sentence     arrr  piratechain  xmr  monero  dero,0.09583333333333333
3,1649706137000.0,2022-04-11 12:42:17,@conspiracyb0t Then why is it called Monero and not Bitcoin?,  then why is it called monero and not bitcoin ,0.0
4,1649706055000.0,2022-04-11 12:40:55,"@monerorape @Milenio ¿Y dónde quedaron los otros 15 millones, monero zalamero @monerorape?",     y d nde quedaron los otros 15 millones  monero zalamero   ,0.0
5,1649705930000.0,2022-04-11 12:38:50,"@monero_enm @karmazsinvoros En Facebook me han aparecido publicidades de eventos literarios (encuentros/platicas) y sale Susana con su ya conocido ""portafolio"", incluido Karmatron",  enm   en facebook me han aparecido publicidades de eventos literarios  encuentros platicas  y sale susana con su ya conocido  portafolio   incluido karmatron,0.0
6,1649705889000.0,2022-04-11 12:38:09,@zaneta_matysiak A Monero? ;),  matysiak a monero    ,0.0
7,1649705767000.0,2022-04-11 12:36:07,Lo que me tocó…  @foja_la  @JesusRCuevas  #HappyMonstery #Monero #Carton #ElCacas  https://t.co/rtYUJfThwx,lo que me toc      la      happymonstery  monero  carton  elcacas   ,0.0
8,1649705737000.0,2022-04-11 12:35:37,@1Dollar_Satoshi @EmilDeCrypto @PeterSchiff Monero Is the Only  encrypted cryptocurrency .btc/eth and many others are all ledgers to track you .we made Money with btc&amp;co now timo to drop them 💪😎🥳🥳,  satoshi     monero is the only  encrypted cryptocurrency  btc eth and many others are all ledgers to track you  we made money with btc amp co now timo to drop them     ,0.25
9,1649705707000.0,2022-04-11 12:35:07,"Es todo lo contrario, el INE no deja en paz al Mesías, si captas monero.",es todo lo contrario  el ine no deja en paz al mes as  si captas monero ,0.0
10,1649705611000.0,2022-04-11 12:33:31,@sethforprivacy Has the thorchain/Monero interview been posted?,  has the thorchain monero interview been posted ,0.0
11,1649705585000.0,2022-04-11 12:33:05,Monero Coin mantep juga visinya,monero coin mantep juga visinya,0.0
12,1649705575000.0,2022-04-11 12:32:55,"No one is selling #monero in this dip…that’s it, people have sniffed #privacy and we won’t be buying cheap $xmr for long now 😒  https://t.co/hvLBJpe4Dq",no one is selling  monero in this dip that s it  people have sniffed  privacy and we won t be buying cheap  xmr for long now     ,0.17500000000000002
13,1649705526000.0,2022-04-11 12:32:06,Bitcoin、Litecoin、Monero、DASHなどを完全匿名で現金で個人間で簡単に対面売買することができるサイト、btc-trade-p2pの運営をしております。ご質問などがあれば、お気軽にどうぞ。よろしくお願いいたします。  #暗号通貨 #Bitcoin #BTC #ビットコイン,bitcoin litecoin monero dash                                  btc trade p2p                                                   bitcoin  btc        ,0.0
14,1649705464000.0,2022-04-11 12:31:04, https://t.co/7m3wbDP9au,  ,0.0
15,1649705446000.0,2022-04-11 12:30:46,Always Be Accumulating #Monero.,always be accumulating  monero ,0.0
16,1649705418000.0,2022-04-11 12:30:18,"I guess there would still be P2P options to get Monero, but no exchange is going to want to be the next BitMex. Alternative opinions anyone??  https://t.co/9PWaJbnPqC #XMR #Monero",i guess there would still be p2p options to get monero  but no exchange is going to want to be the next bitmex  alternative opinions anyone       xmr  monero,0.0
17,1649705379000.0,2022-04-11 12:29:39,"#Monero Fear and Greed Index is currently 57 - MILD GREED  Current #XMR price is 224.55215560626038 usd Current market cap is 4,065,745,407 usd 24h trading volume is 331,026,528 usd  Live #crypto analysis for $XMR and 100 other #altcoins and #cryptocurrencies  https://t.co/lLClghHAIP", monero fear and greed index is currently 57   mild greed  current  xmr price is 224 55215560626038 usd current market cap is 4 065 745 407 usd 24h trading volume is 331 026 528 usd  live  crypto analysis for  xmr and 100 other  altcoins and  cryptocurrencies   ,0.06893939393939394
18,1649705369000.0,2022-04-11 12:29:29,@1balcioglu @habib_karatas Monero isteseler bu da bulunamaz aslında neden btc istiyolar ki,    karatas monero isteseler bu da bulunamaz asl nda neden btc istiyolar ki,0.0
19,1649705344000.0,2022-04-11 12:29:04,@_HarryManback @VigilanteCrypto @GunsnBitcoin @SamouraiWallet @monero @FreedomGateway1 the environment is adversarial. It's certainly an understandable choice for a free person to make,  harrymanback           the environment is adversarial  it s certainly an understandable choice for a free person to make,0.30714285714285716
20,1649705268000.0,2022-04-11 12:27:48,"@monerohernandez @LCUgalde El pendejo y lame hvs eres tú... Monero vendido, ni en los 70s hubo asquerosos tipos como tú 🤦",    el pendejo y lame hvs eres t     monero vendido  ni en los 70s hubo asquerosos tipos como t   ,-0.5
21,1649705201000.0,2022-04-11 12:26:41,#BuenLunes vengo a recordarles que la unica moneda que provee total privacidad es #XMR  #BTC + privacidad = #monero  XMR/USD: 235.55, buenlunes vengo a recordarles que la unica moneda que provee total privacidad es  xmr   btc   privacidad    monero  xmr usd  235 55,0.0
22,1649705164000.0,2022-04-11 12:26:04,#Monero analysis   Strength: 4/10 👎  Traded  : 10/10 💎  Momentum: 1/10 💩  Risk    : 4/10   Strong - research it ⭐  Being Below $231.54 is Bearish short term  Not opinion but maths on $XMR current market Data  Market sets value  https://t.co/bwyML7mQN2, monero analysis   strength  4 10    traded    10 10    momentum  1 10    risk      4 10   strong   research it    being below  231 54 is bearish short term  not opinion but maths on  xmr current market data  market sets value   ,0.14444444444444443
23,1649705093000.0,2022-04-11 12:24:53,@GoldenStaking Binance do this heavily with Monero. It has been studied in depth.,  binance do this heavily with monero  it has been studied in depth ,-0.2
24,1649705008000.0,2022-04-11 12:23:28,I don’t have a powerful desktop cpu to mine monero wish I had a couple of cpus,i don t have a powerful desktop cpu to mine monero wish i had a couple of cpus,0.3
25,1649704868000.0,2022-04-11 12:21:08,"Cardano (#ADA): R$ 4,48 | U$ 0,957213 | U$ 24hrs: -10,09%  Dogecoin (#DOGE): R$ 0,658876 | U$ 0,140698 | U$ 24hrs: -9,69%  Ethereum (#ETH): R$ 14.143,60 | U$ 3.020,26 | U$ 24hrs: -8,29%  Monero (#XMR): R$ 1.062,18 | U$ 226,82 | U$ 24hrs: -6,51%",cardano   ada   r  4 48   u  0 957213   u  24hrs   10 09   dogecoin   doge   r  0 658876   u  0 140698   u  24hrs   9 69   ethereum   eth   r  14 143 60   u  3 020 26   u  24hrs   8 29   monero   xmr   r  1 062 18   u  226 82   u  24hrs   6 51 ,0.0
26,1649704342000.0,2022-04-11 12:12:22,Impresentable el monero este.,impresentable el monero este ,0.0
27,1649704329000.0,2022-04-11 12:12:09,"@LaJornada @Rochamonero Vocero de presidencia: ""¡Moneros, a trabajar que el patrón se enojó mucho porque no obtuvo los votos que quería en la revocación""! ATAQUEN  Monero Rocha: ""Si jefe""",    vocero de presidencia    moneros  a trabajar que el patr n se enoj  mucho porque no obtuvo los votos que quer a en la revocaci n   ataquen  monero rocha   si jefe ,0.0
28,1649704185000.0,2022-04-11 12:09:45,急騰している仮想通貨「MONERO」って何？｜仮想通貨って儲かるの？まとめサイト  https://t.co/5pmWCLcWzy,           monero                          ,0.0
29,1649704168000.0,2022-04-11 12:09:28,@fisgonmonero @juaninoble Se salieron con la suya monero eso era lo q querían al no poner todas las casillas no alcanzamos el porcentaje q era el equivalente a 40 millones de votos para q trascendiera como un ejercicio ya legal en cada sexenio es q de verdad nadie lo ha entendido?nos robaron!!!,    se salieron con la suya monero eso era lo q quer an al no poner todas las casillas no alcanzamos el porcentaje q era el equivalente a 40 millones de votos para q trascendiera como un ejercicio ya legal en cada sexenio es q de verdad nadie lo ha entendido nos robaron   ,0.2
30,1649703813000.0,2022-04-11 12:03:33,"Don't wait for anything to be cool before you start buying. I'm talking about Monero. Bitcoin wasn't cool and sexy in 2011 and 2013, and it wasn't famous too  If you wait for something to be cool before you buy it, you're not gonna be as rich as Elon Musk then",don t wait for anything to be cool before you start buying  i m talking about monero  bitcoin wasn t cool and sexy in 2011 and 2013  and it wasn t famous too  if you wait for something to be cool before you buy it  you re not gonna be as rich as elon musk then,0.4041666666666666
31,1649703697000.0,2022-04-11 12:01:37,💰 CRYPTO BUYS (04/11/2022 15:01) - Tezos: $3.025 - Chiliz: $0.224 - Monero: $224.618 #Tezos #Chiliz #Monero  #crypto #cryptotrading #coinbase #cryptocurrency #cryptomarket #bitcoin #ethereum #trading #investing,  crypto buys  04 11 2022 15 01    tezos   3 025   chiliz   0 224   monero   224 618  tezos  chiliz  monero   crypto  cryptotrading  coinbase  cryptocurrency  cryptomarket  bitcoin  ethereum  trading  investing,0.0
32,1649703621000.0,2022-04-11 12:00:21,Satoshi zero-knowledge proof Nakamoto transaction full node cryptography exchange blocks smart contract. Fault-tolerance tokenomics pseudonymous decentralized SHA-256 Ethereum zero-knowledge proof Monero. Transaction Lightning fork non-fung,satoshi zero knowledge proof nakamoto transaction full node cryptography exchange blocks smart contract  fault tolerance tokenomics pseudonymous decentralized sha 256 ethereum zero knowledge proof monero  transaction lightning fork non fung,0.28214285714285714
33,1649703447000.0,2022-04-11 11:57:27,"@WhiteBit crypto , volatil, bybit, monero, cro, near, vitalik. Uid, blockchain ! @WhiteBit",  crypto   volatil  bybit  monero  cro  near  vitalik  uid  blockchain    ,0.1
34,1649703407000.0,2022-04-11 11:56:47,@Monero_iT 😂😂😂😂😂,  it      ,0.0
35,1649703401000.0,2022-04-11 11:56:41,@Monero_iT @PrincessPrian @CristyP2000 Estará sabroso el chisme,  it     estar  sabroso el chisme,0.0
36,1649703339000.0,2022-04-11 11:55:39,¡Buenas tardes Corruptos!  Hoy en #LaCorrutsion🐀  - Día del parkinson - La teoria de la relatividad.  #LaMesaCawamera - Análisis de la consulta. Con @PrincessPrian @CristyP2000  La producción de: @CeAmy2   ¡Pásele a barrer!   https://t.co/GXemHsgmms, buenas tardes corruptos   hoy en  lacorrutsion     d a del parkinson   la teoria de la relatividad    lamesacawamera   an lisis de la consulta  con      la producci n de       p sele a barrer     ,0.0
37,1649703333000.0,2022-04-11 11:55:33,"@rafal_zaorski Short na monero, ech.  https://t.co/RCL24wsxei",  zaorski short na monero  ech    ,0.0
38,1649703315000.0,2022-04-11 11:55:15,@Monero_iT 🤣🤣🤣🤣🤣  Celebramos a #LaCorrutsion 🐁  Siempre presente en los mejores eventos...  https://t.co/zjmVmSkRo8,  it        celebramos a  lacorrutsion    siempre presente en los mejores eventos      ,0.0
39,1649703251000.0,2022-04-11 11:54:11,"@666bayraktar666 @An0n_Zeus but probably monero wouls be better choice, more effective and less traceable ;-)",    zeus but probably monero wouls be better choice  more effective and less traceable    ,0.35833333333333334
40,1649703191000.0,2022-04-11 11:53:11,@Superalkaline11 @AndrejCibik Coinjoin is a simple option to add a little touch of privacy but nothing compare to #monero.  Also it’s another step for newbie people and it’s not free.,    coinjoin is a simple option to add a little touch of privacy but nothing compare to  monero   also it s another step for newbie people and it s not free ,-0.12916666666666668
41,1649703156000.0,2022-04-11 11:52:36,@Gaby_Maya @monero_enm La mayor concentración de personas que participaron en la revocación,  maya   enm la mayor concentraci n de personas que participaron en la revocaci n,0.0
42,1649703093000.0,2022-04-11 11:51:33,"Cardano (#ADA): R$ 4,47 | U$ 0,955629 | U$ 24hrs: -10,03%  Dogecoin (#DOGE): R$ 0,659228 | U$ 0,140515 | U$ 24hrs: -9,64%  Ethereum (#ETH): R$ 14.213,32 | U$ 3.029,59 | U$ 24hrs: -8,07%  Monero (#XMR): R$ 1.055,14 | U$ 224,90 | U$ 24hrs: -7,96%",cardano   ada   r  4 47   u  0 955629   u  24hrs   10 03   dogecoin   doge   r  0 659228   u  0 140515   u  24hrs   9 64   ethereum   eth   r  14 213 32   u  3 029 59   u  24hrs   8 07   monero   xmr   r  1 055 14   u  224 90   u  24hrs   7 96 ,0.0
43,1649703066000.0,2022-04-11 11:51:06,Put 10k in monero and everyone screams criminal,put 10k in monero and everyone screams criminal,-0.4
44,1649703056000.0,2022-04-11 11:50:56,"@TralfamadorianH @cryptopatriot81 @EmilDeCrypto @PeterSchiff I don’t use it, personally. Peter Schiff always questions about the Btc end users (?). Monero definitely has (criminals and government oppressed people).",        i don t use it  personally  peter schiff always questions about the btc end users      monero definitely has  criminals and government oppressed people  ,0.0
45,1649702988000.0,2022-04-11 11:49:48,"@HctorDetectivMx @FelipeCalderon @Navegaciones @epigmenioibarra @AndreaChavezTre @alvaro_delgado @Desde_Izquierda @CaraveoBertha @fisgonmonero @El_Mayo_Monero @Javier_Hidalgo @abrahamendieta La oposición se miente a sí misma, creyendo que quienes no votaron, votarían contra AMLO.  AMLO GANÓ con 99% .  https://t.co/VvUgPAVmlE",            delgado   izquierda       mayo monero   hidalgo   la oposici n se miente a s  misma  creyendo que quienes no votaron  votar an contra amlo   amlo gan  con 99      ,0.0
46,1649702946000.0,2022-04-11 11:49:06,@Helioflores_mex @El_Mayo_Monero Así…  https://t.co/n9sZb3htGW,  mex   mayo monero as     ,0.0
47,1649702844000.0,2022-04-11 11:47:24,"@HndrxxCrypto ""Influencers"" often promote affiliate links for trading platforms and Monero and others aren't usually there so it hurts their business model.",   influencers  often promote affiliate links for trading platforms and monero and others aren t usually there so it hurts their business model ,-0.25
48,1649702828000.0,2022-04-11 11:47:08,@monerohernandez @monerorape @moneroChelo @monerojerge @WaldoMatus @augustomora 6 Monero-Gatos PAGADOS no hacen ruido.   #NosVemosEnEl2024 HDSPTM  https://t.co/xIKKK6bAqE,            6 monero gatos pagados no hacen ruido     nosvemosenel2024 hdsptm   ,0.0
49,1649702712000.0,2022-04-11 11:45:12,found my ex bitch SSN then got a mortgage and laundered with Monero,found my ex bitch ssn then got a mortgage and laundered with monero,0.0
50,1649702706000.0,2022-04-11 11:45:06,Monero XMR Current Price: $224.80  1h: +1.38% 24h: -7.95% 7d: +4.90%  30d: +21.94% 60d: +23.3% 90d: +19.67%  #xmr $XMR #monero,monero xmr current price   224 80  1h   1 38  24h   7 95  7d   4 90   30d   21 94  60d   23 3  90d   19 67    xmr  xmr  monero,0.0
51,1649702705000.0,2022-04-11 11:45:05,"My goal in the next yr or so is to buy 10 #Monero's &amp; lock them away for 10 yrs! Hopefully the price will 100x. 10 Monero's is $2,3k (R34k)! 100x is $230k (R3,4M)!  Klaus Schwab &amp; his #WEF will continue trying to enslave us. $BTC &amp; $XMR will benefit #Bitcoin",my goal in the next yr or so is to buy 10  monero s  amp  lock them away for 10 yrs  hopefully the price will 100x  10 monero s is  2 3k  r34k   100x is  230k  r3 4m    klaus schwab  amp  his  wef will continue trying to enslave us   btc  amp   xmr will benefit  bitcoin,0.0
52,1649702586000.0,2022-04-11 11:43:06,#CPU #MINING #MONERO #XMR $XMR collectible  https://t.co/PE4xTQShlC #rarible #ethereum #nonfungible #digitalasset #nft via  @rarible, cpu  mining  monero  xmr  xmr collectible     rarible  ethereum  nonfungible  digitalasset  nft via   ,-0.5
53,1649702499000.0,2022-04-11 11:41:39,@SJosephBurns #BTC #Bitcoin #USDT #Monero #ADA #Cardano  https://t.co/3KG8sXt5GC,   btc  bitcoin  usdt  monero  ada  cardano   ,0.0
54,1649702440000.0,2022-04-11 11:40:40,@EmilDeCrypto @PeterSchiff Monero 😂,    monero  ,0.0
55,1649702403000.0,2022-04-11 11:40:03,a @mario_delgado no le gusta este monero....,a   delgado no le gusta este monero    ,0.0
56,1649702316000.0,2022-04-11 11:38:36,#MINING #MONERO #XMR $XMR collectible  https://t.co/PE4xTQShlC #rarible #ethereum #nonfungible #digitalasset #nft via  @rarible, mining  monero  xmr  xmr collectible     rarible  ethereum  nonfungible  digitalasset  nft via   ,-0.5
57,1649702194000.0,2022-04-11 11:36:34,"@least_nathan @real_ajayy @scotthill222 @cburniske yeah I mean that was the reason LTC and BCH were created to be cheaper and faster than bitcoin, but I personally love monero and zcash they are cheap fast and more secure imho.",  nathan   ajayy     yeah i mean that was the reason ltc and bch were created to be cheaper and faster than bitcoin  but i personally love monero and zcash they are cheap fast and more secure imho ,0.28125
58,1649702152000.0,2022-04-11 11:35:52,"@Davincij15 Wait till they try using #Monero. People are lazy, and want to be spoon fed! $XMR",  wait till they try using  monero  people are lazy  and want to be spoon fed   xmr,-0.25
59,1649702124000.0,2022-04-11 11:35:24,@AlexJVidal @monero Woohoo! Bring it 🔥,    woohoo  bring it  ,0.0
60,1649702112000.0,2022-04-11 11:35:12,"@Helioflores_mex Y algo del acarreo de ayer, ex monero, ahora convertido en cromafierros?",  mex y algo del acarreo de ayer  ex monero  ahora convertido en cromafierros ,0.0
61,1649702022000.0,2022-04-11 11:33:42,@lord_of_crypto_ Monero,  of crypto  monero,0.0
62,1649701928000.0,2022-04-11 11:32:08,Bitcoin、Litecoin、Monero、DASHなどを完全匿名で現金で個人間で簡単に対面売買することができるサイト、btc-trade-p2pの運営をしております。ご質問などがあれば、お気軽にどうぞ。よろしくお願いいたします。  #暗号通貨 #Bitcoin #ビットコイン,bitcoin litecoin monero dash                                  btc trade p2p                                                   bitcoin        ,0.0
63,1649701912000.0,2022-04-11 11:31:52,@ToneVays @c_kletzer @monero @balajis @NikoJilch @adam3us @aantonop @PeterMcCormack @woonomic @danheld @saifedean Monero has more real world use now more than any other crypto - the darknet   Monero has an unfair disadvantage; its not listed on most exchanges.   The video you linked is just some bitcoin pumpers who openly admitted in the video not knowing much about xmr,    kletzer                   monero has more real world use now more than any other crypto   the darknet   monero has an unfair disadvantage  its not listed on most exchanges    the video you linked is just some bitcoin pumpers who openly admitted in the video not knowing much about xmr,0.159375
64,1649701838000.0,2022-04-11 11:30:38,@monero_enm Lo rojo que es?,  enm lo rojo que es ,0.0
65,1649701835000.0,2022-04-11 11:30:35,"@least_nathan @Bitcoinbuddy121 I don't have a super strong opinion on frequency because of that, but I regularly search both terms and it seems correct, actually. Both sides squabble, but afaict there's more actively dissing Zcash as part of Monero promotion in the form of memes / sound bites than vice versa.",  nathan   i don t have a super strong opinion on frequency because of that  but i regularly search both terms and it seems correct  actually  both sides squabble  but afaict there s more actively dissing zcash as part of monero promotion in the form of memes   sound bites than vice versa ,0.21904761904761902
66,1649701750000.0,2022-04-11 11:29:10,Spotted in the wild  https://t.co/mnhX5NW00W #XMR #Monero,spotted in the wild     xmr  monero,0.1
67,1649701737000.0,2022-04-11 11:28:57,The 36th #A4A weekly #airdrop will take place on the  https://t.co/OzrRvoQalD next weekend.  Which of the following #privacy  assets you wish to receive?  @monero $XMR @HavenXHV $XHV  @firoorg $FIRO  @PirateChain $ARRR   More info about A4A drops here:  https://t.co/QJXWUoVUcs,the 36th  a4a weekly  airdrop will take place on the    next weekend   which of the following  privacy  assets you wish to receive      xmr    xhv     firo     arrr   more info about a4a drops here    ,0.16666666666666666
68,1649701556000.0,2022-04-11 11:25:56,#Monero   Price Now: $223.65  ₿0.00553875  Market Cap: $4038654586.748577 #XMR, monero   price now   223 65   0 00553875  market cap   4038654586 748577  xmr,0.0
69,1649701542000.0,2022-04-11 11:25:42,"@monerohernandez Según cuenta la leyenda, la chairiza tiene harta vitacilina: pídele a tus camaradas, te notas muy ardido, monero a sueldo.",  seg n cuenta la leyenda  la chairiza tiene harta vitacilina  p dele a tus camaradas  te notas muy ardido  monero a sueldo ,0.0
