,created_at,date,tweet,Processed Tweet,Polarity
0,1649706928000.0,2022-04-11 12:55:28,"May the 4th be with you and us👀  Mint date May 4th, going into hyperspace🚀  #AOWS #Solana #SolanaNFTs",may the 4th be with you and us   mint date may 4th  going into hyperspace    aows  solana  solananfts,0.0
1,1649706925000.0,2022-04-11 12:55:25, https://t.co/aUmgv2Udm8  #NFTCommunity #Solana #SolanaNFTs #SolanaNFT,     nftcommunity  solana  solananfts  solananft,0.0
2,1649706924000.0,2022-04-11 12:55:24,You thought you knew Solana's NFT ecosystem?  Thanks @0xMert_ for this great thread! 👇👇👇,you thought you knew solana s nft ecosystem   thanks    for this great thread     ,0.5
3,1649706922000.0,2022-04-11 12:55:22,Requesting $SOL funds from the #Stakely Faucet on the Solana blockchain. Request ID: DOELV1U8 #privacy  https://t.co/p30uNlabNz,requesting  sol funds from the  stakely faucet on the solana blockchain  request id  doelv1u8  privacy   ,0.0
4,1649706920000.0,2022-04-11 12:55:20,"💥Crypto Lucha is a NFT collection of 6,969 wrestlers in Solana with traits inspired by the legendary and powerful Mexican wrestling. Get yours now! @cryptolucha    https://t.co/D1V72dxvFM #solana #solananft #NFT #NFTCommunity #nftcollection #cryptolucha  #nftdrop #nftarts  https://t.co/zxwPeSX8gJ", crypto lucha is a nft collection of 6 969 wrestlers in solana with traits inspired by the legendary and powerful mexican wrestling  get yours now          solana  solananft  nft  nftcommunity  nftcollection  cryptolucha   nftdrop  nftarts   ,0.43333333333333335
5,1649706919000.0,2022-04-11 12:55:19,LFG! More than one .@DeGodsNFT in the vault of .@WastelanderZNFT? let’s go! I’m ready to use my $WLZ #Solana #Solananfts  https://t.co/GOn7TMJbqa,lfg  more than one    in the vault of     let s go  i m ready to use my  wlz  solana  solananfts   ,0.35
6,1649706918000.0,2022-04-11 12:55:18,Requesting $SOL funds from the #Stakely Faucet on the Solana blockchain. Request ID: E5K5KRDR  https://t.co/Cqid6ctPEB,requesting  sol funds from the  stakely faucet on the solana blockchain  request id  e5k5krdr   ,0.0
7,1649706913000.0,2022-04-11 12:55:13,"Trust ME, you won't regret using @Crema_Finance for all transactions on #Solana   Visit-  https://t.co/U1c15b1jXT and enjoy the best rates for all your trades  Join the ongoing caffeine farming program to earn some caffeines which will be convertible to $CRM later  https://t.co/SDvhoxdjSw",trust me  you won t regret using   finance for all transactions on  solana   visit     and enjoy the best rates for all your trades  join the ongoing caffeine farming program to earn some caffeines which will be convertible to  crm later   ,0.4666666666666666
8,1649706909000.0,2022-04-11 12:55:09,@SabianNFT #Solana 💕💕💕💕💕💕,   solana       ,0.0
9,1649706909000.0,2022-04-11 12:55:09,Evet buda burda kalsin #BTC 50k yolculuğu baslayacak ve ordan bu işlemi kapatıp tüm #PNL yi hayır olarak dağıtacağız @isademirs #avax #Solana #MANA #ICP #TRX #AXS  https://t.co/JAblazRJCO,evet buda burda kalsin  btc 50k yolculu u baslayacak ve ordan bu i lemi kapat p t m  pnl yi hay r olarak da  taca  z    avax  solana  mana  icp  trx  axs   ,0.0
10,1649706902000.0,2022-04-11 12:55:02,"@CubistNFT Don’t see how people calling themselves NFT enthusiasts or traders, can manage without the insights provided here. Truly a cornerstone project on #Solana . Do get in #NFTCommunity!",  don t see how people calling themselves nft enthusiasts or traders  can manage without the insights provided here  truly a cornerstone project on  solana   do get in  nftcommunity ,0.0
11,1649706900000.0,2022-04-11 12:55:00,FREE #NFTGiveaway 🎉🎉  RT + Follow @DarrenPromoter &amp; RT the pinned tweet! 💵  #NFTGiveaways #NFTCommmunity #picknava #NFTs #ETH #BTC #Crypto #BNB #SOL #BSC #Avax #Doge #Ethereum #Bitcoin #Solana #Giveaway #P2E #GiveawayNFT #Airdrop #NFT #ADA #shiba #NFTdrop #tezos #tron #DropNFT  https://t.co/WE4MvvI19b,free  nftgiveaway     rt   follow    amp  rt the pinned tweet      nftgiveaways  nftcommmunity  picknava  nfts  eth  btc  crypto  bnb  sol  bsc  avax  doge  ethereum  bitcoin  solana  giveaway  p2e  giveawaynft  airdrop  nft  ada  shiba  nftdrop  tezos  tron  dropnft   ,0.4
12,1649706899000.0,2022-04-11 12:54:59,Good 👍 Requesting $SOL funds from the #Stakely Faucet on the Solana blockchain. Request ID: AET2WHKD #privacy  https://t.co/NomBVfd6em,good   requesting  sol funds from the  stakely faucet on the solana blockchain  request id  aet2whkd  privacy   ,0.7
13,1649706896000.0,2022-04-11 12:54:56,@SabianNFT #Solana 💕💕💕💕,   solana     ,0.0
14,1649706895000.0,2022-04-11 12:54:55,We just had another blowoff Solana NFT run - seriously,we just had another blowoff solana nft run   seriously,-0.3333333333333333
15,1649706894000.0,2022-04-11 12:54:54,"•FFF Famous fox federation- they have a market place where you can trade Spl tokens(Solana tokens), it’s also popularly used for trading WL tokens", fff famous fox federation  they have a market place where you can trade spl tokens solana tokens   it s also popularly used for trading wl tokens,0.55
16,1649706890000.0,2022-04-11 12:54:50,"• SECONDARY MARKET After an NFT is minted, it can be sold or purchased on the secondary market, such as OpenSea, Magic Eden(ME) for Solana",  secondary market after an nft is minted  it can be sold or purchased on the secondary market  such as opensea  magic eden me  for solana,-0.024999999999999994
17,1649706885000.0,2022-04-11 12:54:45,@mathieu2em @CyberPickleNFT @Pavia_io @CodingDevotion @PicsouCrypto @Dolce_Solana,      io       solana,0.0
18,1649706884000.0,2022-04-11 12:54:44,@SabianNFT #Solana 💕💕💕,   solana    ,0.0
19,1649706882000.0,2022-04-11 12:54:42,Popular terms/ slangs used in the #SolanaNFT space and their meaning (in no real order) #NFTCommunity #Solana #NFTGiveaway,popular terms  slangs used in the  solananft space and their meaning  in no real order   nftcommunity  solana  nftgiveaway,0.25
20,1649706876000.0,2022-04-11 12:54:36,@peskypenguins @NootDAO @ancient_solana love you bro,      solana love you bro,0.5
21,1649706875000.0,2022-04-11 12:54:35,@CryptoMcdo @nirvana_fi ca a l'air complexe et le fait que ca soit sur solana laissera place à très peu de fork a mon avis,    fi ca a l air complexe et le fait que ca soit sur solana laissera place   tr s peu de fork a mon avis,0.0
