,created_at,date,tweet,Processed Tweet,Polarity
0,1649706752000.0,2022-04-11 12:52:32,@neptuneeight @Coinbase_NFT You got it. I know it’s hard to even think about CEX anymore after we’re so used to OpenSea and Uniswap,    nft you got it  i know it s hard to even think about cex anymore after we re so used to opensea and uniswap,-0.2916666666666667
1,1649706701000.0,2022-04-11 12:51:41,@hosseeb This is the problem with Uniswap Labs being based in NY. Single point of failure.,  this is the problem with uniswap labs being based in ny  single point of failure ,-0.19404761904761908
2,1649706691000.0,2022-04-11 12:51:31,Kyber Network (KNC) soars after integrating with Uniswap v3 and Avalanche Rush Phase 2  https://t.co/Mkf7J2DsCM #altcoins,kyber network  knc  soars after integrating with uniswap v3 and avalanche rush phase 2     altcoins,0.0
3,1649706691000.0,2022-04-11 12:51:31,👉 Musk 2178 $2178 / $WETH Ethereum - Uniswap  ⭐ Pair has been listed within the last hour and is picking up steam ⭐  Price: $0.0002697  -  24H Txns: 120  -  24H Volume: $57K - Liquidity: $120K   https://t.co/UU8sbNkssT  #ethereum #uniswap #2178 #musk2178,  musk 2178  2178    weth ethereum   uniswap    pair has been listed within the last hour and is picking up steam    price   0 0002697     24h txns  120     24h volume   57k   liquidity   120k       ethereum  uniswap  2178  musk2178,0.0
4,1649706672000.0,2022-04-11 12:51:12,@Uniswap lance une branche de capital-risque pour investir dans l'écosystème web3.   L'équipe n'a pas dévoilé la taille de son fonds mais a déjà investi dans 11 boîtes cryptos.  Pour les joindre : ventures@uniswap.org,  lance une branche de capital risque pour investir dans l  cosyst me web3    l  quipe n a pas d voil  la taille de son fonds mais a d j  investi dans 11 bo tes cryptos   pour les joindre   ventures  org,0.0
5,1649706438000.0,2022-04-11 12:47:18,"🚨⚠️ #SCAM ⚠️🚨  New pair at Uniswap   Molly World (MDMA/WETH)  Initial Liquidity: $24,281  Token contract: 0xf0018ec1683aa9892bf2813bb4340e307a0b8bca  DEXTools:  https://t.co/RWqEHhs77c",     scam      new pair at uniswap   molly world  mdma weth   initial liquidity   24 281  token contract  0xf0018ec1683aa9892bf2813bb4340e307a0b8bca  dextools    ,0.06818181818181818
6,1649706400000.0,2022-04-11 12:46:40,Uniswap Labs Establishes Venture Arm to Fund Web3 Projects - Ethereum World News   https://t.co/3CTvsFrss4 #Web3,uniswap labs establishes venture arm to fund web3 projects   ethereum world news      web3,0.0
7,1649706399000.0,2022-04-11 12:46:39,Uniswap Labs launches venture unit to invest in web3 projects - The Block   https://t.co/twnDC1Eli3 #Web3,uniswap labs launches venture unit to invest in web3 projects   the block      web3,0.0
8,1649706349000.0,2022-04-11 12:45:49,@Uniswap the partydao link in your article points to compound finance,  the partydao link in your article points to compound finance,0.0
9,1649706317000.0,2022-04-11 12:45:17,"New pair at Uniswap   PUGGER (PUGGER/WETH)  Initial Liquidity: $15,076  Token contract: 0xd42d4e07986385144d7ca679bba9e8ae13dfcb62  DEXTools:  https://t.co/GVzXmvrb7j",new pair at uniswap   pugger  pugger weth   initial liquidity   15 076  token contract  0xd42d4e07986385144d7ca679bba9e8ae13dfcb62  dextools    ,0.06818181818181818
