,created_at,date,tweet,Processed Tweet,Polarity
0,1649706940000.0,2022-04-11 12:55:40,@skipper_xrp @Rajaa_Ginting @xrpl_xtreme @xtreme_asia @TomMartinFrank1 @ZigNeverZagz @cryptoeagle564 @EthUvu @DrinksCo1 @REW @GylesB1 @Afrin1722 @satansbunnie666 @elitexrpigclub @PointJules @astronaughties1 @QwQiao,  xrp   ginting   xtreme   asia                          ,0.0
1,1649706935000.0,2022-04-11 12:55:35,Spooky is still for only 10xrp hurry up and buy before xrp goes all the way up!! #NFTs #NFTCommunity #NFTCOLLECTORS #NFTCollection #NFTMarketplace #Sologenic #WomenInNFTs #xrparmy  https://t.co/jtavVmWa9Y  https://t.co/T8YOFJlpiz,spooky is still for only 10xrp hurry up and buy before xrp goes all the way up    nfts  nftcommunity  nftcollectors  nftcollection  nftmarketplace  sologenic  womeninnfts  xrparmy      ,0.0
2,1649706935000.0,2022-04-11 12:55:35,@XRP_Productions I don’t like that you’re doing this. The ordinary person don’t check your profile and take your message for face value.,  productions i don t like that you re doing this  the ordinary person don t check your profile and take your message for face value ,-0.25
3,1649706921000.0,2022-04-11 12:55:21,"🔴 2013 - You missed $BTC 🔴 2014 - You missed $DOGE 🔴 2015 - You missed $XRP 🔴 2016 - You missed $ETH 🔴 2017 - You missed $ADA 🔴 2018 - You missed $BNB 🔴 2019 - You missed $LINK 🔴 2020 - You missed $DOT 🔴 2021 - You missed $SHIB 🟢 In 2022, don't miss $_____  #1000xgem🚀",  2013   you missed  btc   2014   you missed  doge   2015   you missed  xrp   2016   you missed  eth   2017   you missed  ada   2018   you missed  bnb   2019   you missed  link   2020   you missed  dot   2021   you missed  shib   in 2022  don t miss          1000xgem ,0.0
4,1649706915000.0,2022-04-11 12:55:15,"@AltcoinDailyio Just think, u have the banks, the sec, the govt, most other cryptos all against ripple &amp; Xrp &amp; we’re still talking about them. That should be enough of an answer!",  just think  u have the banks  the sec  the govt  most other cryptos all against ripple  amp  xrp  amp  we re still talking about them  that should be enough of an answer ,0.06875
5,1649706913000.0,2022-04-11 12:55:13,"@XRP_Vinny @wsfoxley Anyone willing to pay $5 million towards an anti-Bitcoin publicity campaign does not escape suspicion IMO.   You don’t have to agree. Just my opinion. That said, it was most likely an accident.",  vinny   anyone willing to pay  5 million towards an anti bitcoin publicity campaign does not escape suspicion imo    you don t have to agree  just my opinion  that said  it was most likely an accident ,0.25
6,1649706913000.0,2022-04-11 12:55:13,@vccess_official Add $XRP @vccess_official,  official add  xrp   official,0.0
7,1649706907000.0,2022-04-11 12:55:07,@WorkingMoneyCH Make sure you save these for the future when they start promoting xrp on their channels.,  make sure you save these for the future when they start promoting xrp on their channels ,0.25
8,1649706901000.0,2022-04-11 12:55:01,@XRPcryptowolf Not exactly sure why anyone doesn’t want the price to be low during the lawsuit lol. I’m hoping to see .25 again to load up! If our belief is true…why not look for discount XRP? 🤔,  not exactly sure why anyone doesn t want the price to be low during the lawsuit lol  i m hoping to see  25 again to load up  if our belief is true why not look for discount xrp   ,0.225
9,1649706899000.0,2022-04-11 12:54:59,@ErinStahl3 @2ndOldest @wsfoxley More likely a crazy environmental activist or something would do that.  #XRP and btc have separate use cases and can co-exist and thrive alongside each other. There really isn’t a threat to xrp so I don’t understand the hostility between the factions,      more likely a crazy environmental activist or something would do that    xrp and btc have separate use cases and can co exist and thrive alongside each other  there really isn t a threat to xrp so i don t understand the hostility between the factions,-0.004999999999999993
10,1649706888000.0,2022-04-11 12:54:48,"@TheReaperSteven Nice shirt, XRP?",  nice shirt  xrp ,0.6
11,1649706880000.0,2022-04-11 12:54:40,@AltcoinDailyio Nothing happens when they win or lose the court. XRP is the most ass investment ever. Never owned XRP and worn ever own it.,  nothing happens when they win or lose the court  xrp is the most ass investment ever  never owned xrp and worn ever own it ,0.6333333333333333
12,1649706869000.0,2022-04-11 12:54:29,"Someone please educate @Bitboy_Crypto about #ETHGate and the #XRPArmy. His YouTube chatroom is NOT representative, despite having some XRP lovers there. #XRPArmy doesn't HATE ETH. They know what they hold. But they DO think there is corruption involved in the case. 🧵",someone please educate   crypto about  ethgate and the  xrparmy  his youtube chatroom is not representative  despite having some xrp lovers there   xrparmy doesn t hate eth  they know what they hold  but they do think there is corruption involved in the case   ,-0.8
13,1649706868000.0,2022-04-11 12:54:28,@JamesDy13737646 @BullsandBearsN1 @realSologenic @NFT @xrp congratulations 🎊,          congratulations  ,0.0
14,1649706865000.0,2022-04-11 12:54:25,"Every year, humans lose about $14 trillion due to inflation.  #Bitcoin fixes this.  $BTC $ETH $XRP $ADA $GMT",every year  humans lose about  14 trillion due to inflation    bitcoin fixes this    btc  eth  xrp  ada  gmt,-0.125
15,1649706854000.0,2022-04-11 12:54:14,@jaydee_757 What XRP target?,  757 what xrp target ,0.0
16,1649706848000.0,2022-04-11 12:54:08,@TorayKortan Xrp ATH or nah?,  xrp ath or nah ,0.0
17,1649706846000.0,2022-04-11 12:54:06,The greatest of all time = XRP,the greatest of all time   xrp,1.0
18,1649706845000.0,2022-04-11 12:54:05,@NatashaCryptoUS #xrp,   xrp,0.0
19,1649706843000.0,2022-04-11 12:54:03,@HogxNFT @skipper_xrp @shawnmayj @XRPjenna @strivex_ @AirdropCartel @XRP_Airdrops @XRPL_Tokens @AirDropBishop @XummAirdrop @Airdrophunter_t @Ella  @shiela_culpa,    xrp            airdrops   tokens       t      culpa,0.0
20,1649706826000.0,2022-04-11 12:53:46,@bagdasarp Hocam mayıs ayında tamamen xrp ye geçicem demiştiniz hala geçerli mi,  hocam may s ay nda tamamen xrp ye ge icem demi tiniz hala ge erli mi,0.0
21,1649706825000.0,2022-04-11 12:53:45,I highly recommend following this guy for Crypto Signals 👇  @ChiefraFba  His calls and analysis are spot on almost every time!!  $xrp $alice $matic,i highly recommend following this guy for crypto signals       his calls and analysis are spot on almost every time     xrp  alice  matic,0.08
22,1649706821000.0,2022-04-11 12:53:41,@Purple_Rain_XRP 😬  https://t.co/dyHB8fUyUC,  rain xrp     ,0.0
23,1649706797000.0,2022-04-11 12:53:17,"🤓 Fun Fact 🤓 What would one #LUNA cost if it had the market capitalization of #XRP #XRP? Unbelievable but true, one #Terra would cost $95.76 🥰. See 👁️   https://t.co/QsOED97FRV  https://t.co/7etbNfYvuJ",  fun fact   what would one  luna cost if it had the market capitalization of  xrp  xrp  unbelievable but true  one  terra would cost  95 76    see          ,0.13333333333333333
24,1649706795000.0,2022-04-11 12:53:15,@UniverseTwenty @bush_xrp,    xrp,0.0
25,1649706794000.0,2022-04-11 12:53:14,@Wilber54X @Ripple @GaryGensler #MakeJayClaytonPay,       makejayclaytonpay,0.0
26,1649706790000.0,2022-04-11 12:53:10,@TAIGxrp @60Minutes What do you think the price per XRP will be after the lawsuit ends in favor of Ripple. I mean will the price be equivalent of ETH in a period of 2-3 years or it will be like USD 100 maxed out.,    what do you think the price per xrp will be after the lawsuit ends in favor of ripple  i mean will the price be equivalent of eth in a period of 2 3 years or it will be like usd 100 maxed out ,-0.3125
27,1649706790000.0,2022-04-11 12:53:10,@LenInMaine @XRP_Vinny @realQueenBess @Timcast 10% for the big guy,    vinny     10  for the big guy,0.0
28,1649706783000.0,2022-04-11 12:53:03,@portlandbb @UNEMPLOYEDBOOMR @AltcoinDailyio After lawsuit exchanges are gonna be buying up a ton if they havent already. Supply shock is gonna hit xrp price hard,      after lawsuit exchanges are gonna be buying up a ton if they havent already  supply shock is gonna hit xrp price hard,-0.2916666666666667
29,1649706781000.0,2022-04-11 12:53:01,$200 taken on $XRP short. Account tripled in 1 week.   Onto the next🤙  https://t.co/gtTSZsCi8p, 200 taken on  xrp short  account tripled in 1 week    onto the next    ,0.0
30,1649706777000.0,2022-04-11 12:52:57,I could use a .69 #XRP right about now. Let it go down more. I’m just gonna eat them up.  https://t.co/RMyqy6gnx1,i could use a  69  xrp right about now  let it go down more  i m just gonna eat them up    ,0.21005291005291005
31,1649706774000.0,2022-04-11 12:52:54,@XRP_Productions Singapore ETH centre,  productions singapore eth centre,0.0
32,1649706762000.0,2022-04-11 12:52:42,Chillfaction Art new Collection ❤️‍🔥Aphrodite❤️‍🔥  NfTs will drop April.2022 exclusively  @realSologenic  (Ripple XRP Blockchain)  #xrpcommunity #xrpnft #xrp #xrpripple #xrparmy #solo #sologenic #sologenicnft #NFTCommunity #nftart #photography #artwork #NFTProject  #NFTartist  https://t.co/CpYGYtrD2P,chillfaction art new collection     aphrodite      nfts will drop april 2022 exclusively      ripple xrp blockchain    xrpcommunity  xrpnft  xrp  xrpripple  xrparmy  solo  sologenic  sologenicnft  nftcommunity  nftart  photography  artwork  nftproject   nftartist   ,0.13636363636363635
33,1649706762000.0,2022-04-11 12:52:42,📊 MCAP DOMINANCE $ 1️⃣ $BTC  40.47%  770.47B 2️⃣ $ETH  19.19%  365.30B 3️⃣ $USDT  4.34%  82.68B 4️⃣ $BNB  3.56%  67.71B 5️⃣ $USDC  2.66%  50.68B 6️⃣ $XRP  1.79%  34.16B 7️⃣ $SOL  1.78%  33.80B 8️⃣ $LUNA  1.61%  30.68B 9️⃣ $ADA  1.61%  30.67B 🔟 others  22.98%  437.56B Total: 1.90T,  mcap dominance   1    btc  40 47   770 47b 2    eth  19 19   365 30b 3    usdt  4 34   82 68b 4    bnb  3 56   67 71b 5    usdc  2 66   50 68b 6    xrp  1 79   34 16b 7    sol  1 78   33 80b 8    luna  1 61   30 68b 9    ada  1 61   30 67b   others  22 98   437 56b total  1 90t,0.0
34,1649706741000.0,2022-04-11 12:52:21,@AltcoinDailyio 2022 is a year for buying in. 2022 is not the year to expect great returns. XRP is a long-term hold position. A lot of variables holding down the digital asset. Court case mainly but also some serious opposition ad campaigns. Once the status of xrp is clear things will get better,  2022 is a year for buying in  2022 is not the year to expect great returns  xrp is a long term hold position  a lot of variables holding down the digital asset  court case mainly but also some serious opposition ad campaigns  once the status of xrp is clear things will get better,0.1284722222222222
35,1649706736000.0,2022-04-11 12:52:16,@CryptoBull2020 Особисто я вірю в XRP.,                    xrp ,0.0
36,1649706732000.0,2022-04-11 12:52:12,"He said the CBN was able to detect the relevant transactions using “advanced capacity” that Nigerian lenders do not have access to, and they have urged the central bank to share the technology.  https://t.co/LCto6xkQLE via @nairametrics #Litecoin #Bitcoin #USDT #XRP ...",he said the cbn was able to detect the relevant transactions using  advanced capacity  that nigerian lenders do not have access to  and they have urged the central bank to share the technology     via    litecoin  bitcoin  usdt  xrp    ,0.325
37,1649706727000.0,2022-04-11 12:52:07,"@digitalassetbuy @laurashin ""A shadow government that runs etherium"" and xrp is the one who isn't decentralized 🤥",     a shadow government that runs etherium  and xrp is the one who isn t decentralized  ,0.0
38,1649706726000.0,2022-04-11 12:52:06,@MagicSkywalkerr @PsychonautApeD @WoahJonny @GengethKhan @AP_Spicy_ @Nickis_Dead @xrp_king @TheBullishTradR @LUVELLI @SkurpySocial @TroglodyteSoci1 @opensea @LooksRareNFT @FZNBLA @ken_kensin @AsepAsepkusmana,          spicy    dead   king                 kensin  ,-0.2
39,1649706724000.0,2022-04-11 12:52:04,"umso mehr wir uns in die Materie hineinsteigern und Recherche betreiben, umso mehr sehen wir wie Stark die #Ripple Technologie mit dem steckenpferd #xrp und #XRPLedger  dahinter ist. Die Konkurrenz hat nicht ohne Grund Angst 😉👌",umso mehr wir uns in die materie hineinsteigern und recherche betreiben  umso mehr sehen wir wie stark die  ripple technologie mit dem steckenpferd  xrp und  xrpledger  dahinter ist  die konkurrenz hat nicht ohne grund angst   ,-0.2
40,1649706716000.0,2022-04-11 12:51:56,@Oyeyemiyinka Xrp no blockchain  Qnt no blockchain,  xrp no blockchain  qnt no blockchain,0.0
41,1649706713000.0,2022-04-11 12:51:53,"Keep watching closely, not long now #xrp",keep watching closely  not long now  xrp,0.025
