,created_at,date,tweet
0,1649635171000.0,2022-04-10 16:59:31,@CUPIDJJK7 she uses aave &amp; she isn’t black…not to mention when people try telling her to address it she blocks them. they’re also a sasaeng
1,1649635150000.0,2022-04-10 16:59:10,"@666Dark6ness666 It’s just AAVE. Not usually written out like that, but still.  The THINGS he’s saying deserve mockery, though."
2,1649635139000.0,2022-04-10 16:58:59,$aave is a good buy around 150$ .. maybe it goes down a little more
3,1649635112000.0,2022-04-10 16:58:32,"#AAVEUSDT Bear Alert!  5X Volume Price:      175.3 5-min %: -1.5% Volume:  $613,232   #crypto #whale #btc #eth #AAVE $AAVE  https://t.co/O0kt0ELc6H"
4,1649635100000.0,2022-04-10 16:58:20,"🚨🚨🚨🚨🚨[Volume alert ]  #Binance Futures $AAVEUSDT: 5,878.2 $AAVE traded at vwap: 175.9328 in the last 10 seconds which is 17.01 stdevs from mean. Buys: 1,501.0 Sells: 4,377.2"
5,1649635091000.0,2022-04-10 16:58:11,"🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨[Volume alert ]  #Bybit $AAVEUSDT: 2,379.34 $AAVE traded at vwap: 176.303 in the last 10 seconds which is 22.14 stdevs from mean. Buys: 222.53 Sells: 2,156.81"
6,1649635061000.0,2022-04-10 16:57:41,"@ecvies @parkjiminswhore @jincntrl Aave can only be use by black people?? Please tell me, this is the first time I have heard something like this that certain words can't be used by all. I juss found out what aave is, please tell me what is wrong is a person who is not Black uses aave ??  I'm genuinely curious."
7,1649635036000.0,2022-04-10 16:57:16,@tigerc00ki3 She hasn’t apologized &amp; she still continued to use aave after that conversation
8,1649635019000.0,2022-04-10 16:56:59,@SOOYEPP0 They're apparently a saesang and a non black aave user amongst other things
9,1649635017000.0,2022-04-10 16:56:57,"here they go with their monthly ""AAVE doesn't exist"" argument"
10,1649635015000.0,2022-04-10 16:56:55,"[Futures] By 2022-04-10 15:00 GMT, $AAVE futures Long Rate is 51.83% and Short Rate is 48.17%. #CryptoCharts #CryptoCapFlow #cryptocurrency  https://t.co/GASVJEv9X6"
11,1649635011000.0,2022-04-10 16:56:51,@KronicVi @NotPenguino_ @based_shon @MF_Dunn_ @MsCaramelBunny @JpgScarz Lol yea I think so too I didn’t know we all agreed on AAVE being name for the Black Lango
12,1649634968000.0,2022-04-10 16:56:08,"@zootedjoonz I’m unfollowing because of their actions after being called out for misusing AAVE, but I’d like to have more info about the sasaeng behavior (besides attending multiple concert dates)"
13,1649634965000.0,2022-04-10 16:56:05,@DiaboloTrading @solana @chainlink @solana_daily @AaveAave @ProjectSerum Good
14,1649634957000.0,2022-04-10 16:55:57,let’s talk about all the yt men hiding behind black face claims using HEAVY aave.
15,1649634955000.0,2022-04-10 16:55:55,@joonbubblez jackie has misused aave AND shown sasaeng behavior so i don't think they're a bts anti for trying to get her to address it...
16,1649634932000.0,2022-04-10 16:55:32,@DiaboloTrading @Crypto4GoodFr @solana @captaincrypto21 @AaveAave @chainlink @ProjectSerum @CryptoMatrix2 Good
17,1649634920000.0,2022-04-10 16:55:20,@boobsforbangtan yeah i saw those last year im asking how the tweet i posted is aave 😭
18,1649634918000.0,2022-04-10 16:55:18,"@_nikolajankovic I see, thanks! So I guess least risky way is just to loop it manually over aave? Then it’s just risk of steth depegging which can lead to liquidation"
