,created_at,date,tweet
0,1649807945000.0,2022-04-12 16:59:05,"Can’t believe it took so long for people in this fandom to get called out for using aave , too many accounts on here were to comfortable using it"
1,1649807924000.0,2022-04-12 16:58:44,"@bowenrickys @bdavistraitor oi elítha, tudo bom? eu vou tentar explicar pra vc com links pq aave n é racismo e o caso do blaccent da olivia tb nao pra ver se vc para de banalizar assuntos tão sérios como esse que vc como brasileira, não tem a experiência de um estadunidense e sua cultura   qualquer pessoa+"
2,1649807889000.0,2022-04-12 16:58:09,remembering when this white queer person told me not to say fruity cause im not mlm…😭 literally in aave fruity is literally gay!?!?!?
3,1649807882000.0,2022-04-12 16:58:02,AAVE 😍
4,1649807854000.0,2022-04-12 16:57:34,@idreamenpiano @fucksonohead @sinamonchild He's appropriating AAVE he's  lame asf
5,1649807823000.0,2022-04-12 16:57:03,Didn’t think I’d see the take “it’s not homophobic; it’s AAVE” in the timeline today
6,1649807769000.0,2022-04-12 16:56:09,✅ Get real time notification on Telegram ✅ Learn my simple price action setup ✅ Master crypto airdrop  🔸  https://t.co/S1kEg6W7zj  $STORJ $HBAR $TOMO $ENS $CHR $ATOM $IOTA $C98 $GTC $AAVE $TRB $ICX  16192501  https://t.co/B2vjKBDcJw
7,1649807715000.0,2022-04-12 16:55:15,exactly cause how are you using west coast aave having grown up in the chesapeake... make it make sense  like wtf is a jit and why are you saying it 🤔
8,1649807714000.0,2022-04-12 16:55:14,You are not black why are you speaking on aave then
9,1649807712000.0,2022-04-12 16:55:12,Everytime my coworker from Ireland try to sound American its some horrible AAVE 🤦🏾‍♂️lol what shows they watch over there?
10,1649807691000.0,2022-04-12 16:54:51,"Same honestly. Like, I know a lot of AAVE terms but rarely use them."
11,1649807688000.0,2022-04-12 16:54:48,@freetimothee @ENCHANTECHLMT don’t force the AAVE. it isn’t cute
12,1649807608000.0,2022-04-12 16:53:28,@IvoryTheJunior I am learning from this thread. I fight against (often failing) coopting AAVE (&amp; moreso Indigenous vernacular) b/c I teach teens &amp; it's what I hear all day. Or a dialect of AAVE suited 2 my geo area &amp; the age of kids. I will duck back now after my admission &amp; continue to learn.
13,1649807440000.0,2022-04-12 16:50:40,exactly why all nbs using aave sound exactly the same…y’all just copying what u see &amp; it has nothing to do w ur area
14,1649807437000.0,2022-04-12 16:50:37,@444gowon &amp; the brown skin girl lisa vid i commented that started this thread has 150+ views but u think it’s me who reported u?? u were straight up using slurs while quote tweeting a thread abt the misuse of aave &amp; u thought no black ppl were gonna see that shit?
15,1649807411000.0,2022-04-12 16:50:11,@5picee @kerry_x_johnson @Crims0n_Carnage @johnathy_ @fucksonohead @sinamonchild You were right the term fruity the way you know it isn’t from AAVE. It has been used since at least the 1930’s in Britain to refer to gay men.
16,1649807393000.0,2022-04-12 16:49:53,Right like I’m from Texas and my friend is from Louisiana and our aave is not the same at all.
17,1649807382000.0,2022-04-12 16:49:42,"11. BCH --  304.51854 USD 12. UNI --  9.30942USD 13. XMR --  233.32991 USD 14. THETA --  3.08403 USD 15. AAVE --  164.29963 USD 16. EOS --  2.24127 USD 17. MKR --  1,856.97765 USD 18. SNX --  4.9614 USD 19. COMP --  128.65372 USD 20. SUSHI --  3.21447 USD"
18,1649807380000.0,2022-04-12 16:49:40,"@RaveCaveMan @ChillGoddess1 @EmpireTotally @FinesseEness HAHAHA. I wish, only English and AAVE  and dash of español over here😭☠️ was in PR last month and it was very hot. Went to Nassau March 2020 and it was very nice. Did a cruise which ironically all got shut down the day we got back"
19,1649807366000.0,2022-04-12 16:49:26,it pains me that white gays will steal aave from black americans and then overuse/misuse it to the point the same white gays will find it annoying ??like y’all just take and when u get annoyed act like it’s weird or even offensive to use coming at black americans for using it…
20,1649807362000.0,2022-04-12 16:49:22,…..is fruity not aave………… also sassy….. babes.
21,1649807359000.0,2022-04-12 16:49:19,"@Jasper_ETH @moesalih_ @superphiz @AaveAave RPL Optimist: Only 25% of RPL is staked, so the APR we get as node operators is mostly un-offset by systemic inflation, meaning the APR is more ""real"" than most Pool 2s. RPL Pessimist: If the 75% non-staked gets market dumped, I'll have to dump cash to re-collateralize."
22,1649807319000.0,2022-04-12 16:48:39,Uniswapが投資部隊を立ち上げた。既にLayerZero、MakerDAO、Aave、PartyDAOなど11社ほどに出資している。 https://t.co/AHM6FM4qqd
23,1649807289000.0,2022-04-12 16:48:09,✅ Get real time notification on Telegram ✅ Learn my simple price action setup ✅ Master crypto airdrop  🔸  https://t.co/S1kEg6W7zj  $SAND $GRT $BLZ $LRC $AAVE $ICX $KLAY $FLM $COTI $AKRO $ANKR $SOL  69050689  https://t.co/SGYYbmpeoU
24,1649807273000.0,2022-04-12 16:47:53,its always yt gays wit picrew pfps that got sum to say bout aave
25,1649807235000.0,2022-04-12 16:47:15,"For my friends who may misunderstand my tweets. I’m Uber bullish crypto, mainly $AAVE $BTC $ETH @chikn_nft $EGG $AVAX, etc.  I do however think we need a massive cleansing for a year or two to get rid of the filth &amp; leeches"
26,1649807175000.0,2022-04-12 16:46:15,"Swing 🚥  $HNT 🟡 $20.60 $CAKE 🟡 $8.06 $AAVE 🟡 $164.20 $EOS 🟡 $2.24 $ZEC 🟡 $147.50 $FLOW 🟡 $5.69 $MKR 🟡 $1,855.00 $XEC 🟡 $0.00 $GRT 🟡 $0.37 $BTT 🟡 $0.00   https://t.co/xzqH6LyCnS"
27,1649807160000.0,2022-04-12 16:46:00,"Been a while since I had an excellent day like this one. BTC short closed on that bounce, currently on longs in GRT and AAVE with stops BE or profits ✅  https://t.co/k3cIGcushz"
28,1649807159000.0,2022-04-12 16:45:59,You can tell all these pro black Instagram pages and meme pages are managed by like Russians or Indians. They be titled Blacks_Connection or Blacks_Communitu RulerOfBlacks nobody with a lick of black sense would fucking name their page that and completely fail at AAVE
29,1649807098000.0,2022-04-12 16:44:58,@PlatanoMaoist @Scrappmusiq @saintcaffeinate @actatumonline @IvoryTheJunior I don’t (consciously) steal AAVE but that kinda stung since I love using outdated slang.
30,1649806995000.0,2022-04-12 16:43:15,The AAVE struggle 💀
31,1649806988000.0,2022-04-12 16:43:08,@1234_Hey_1234 @IvoryTheJunior Yeah they got it from Black twitter specifically because I can tell you right now most non-Black people on here don't speak in AAVE. They speak in their natural dialects unless they're snatching up our phrases and shit for clout lmao
32,1649806982000.0,2022-04-12 16:43:02,"@marriaa07805513 @tami_jade_ @GoddessKayB @niccoyat There is black british culture which includes slang and way of speaking from specifically Jamaican and African (usually West African), kind of like AAVE but it's a mix of stuff."
33,1649806873000.0,2022-04-12 16:41:13,Beast boy sounds like non black ppl when they use aave
34,1649806871000.0,2022-04-12 16:41:11,#BeastDisaster Friend call panan first half over nu sonan... Paya happy aave solala.. Padam kanidpa namaku dha  https://t.co/IOvbEKFoQf
35,1649806702000.0,2022-04-12 16:38:22,"This is EXACTLY what that thread about misuse of AAVE was showing... there are RULES to AAVE, and these people just be ridiculous and blatant about how they don't aactually respect the complexity of how we speak.  https://t.co/JCmiJoSX3x"
36,1649806675000.0,2022-04-12 16:37:55,🟩 $250K of $DAI Swapped for ➥ $AAVE via 0x ✗  🐋Tx Value:💰$252M #0xc6184d  https://t.co/LVeOfdodrC
37,1649806670000.0,2022-04-12 16:37:50,🟢 Swapped $250K in $DAI for $AAVE on 0x ✖  🐋 ($252M) 0xc6184d  https://t.co/LJvG8OQR7N
38,1649806542000.0,2022-04-12 16:35:42,AAVE did NOT start after the 1920s.
39,1649806534000.0,2022-04-12 16:35:34,"@RyanSAdams Global winners. 80/20 (maybe 95/5) rule manifests everywhere, #DeFi not excluded. The market leaders are constantly innovating (Uniswap/Aave are innovating faster than Quickswap/TraderJoe) and will be able to regularly attract top-talent and governance."
40,1649806524000.0,2022-04-12 16:35:24,@IvoryTheJunior N everyday there’s black people teachin/correcting non-black AAVE on here and all these other apps instead of just flaming them
41,1649806502000.0,2022-04-12 16:35:02,let this thread be a PSA for all those folks out there who think AAVE is just “Internet slang”
42,1649806456000.0,2022-04-12 16:34:16,@illitillus @n9thegr8 @xequalsLi @DavyGoneWild @saintcaffeinate @IvoryTheJunior Yes code switching in regards to AAVE so THAT only applies to Black people because it's AAVE. White people cannot code switch. I didn't even say none about other minorities. Just white people cannot code switch. Also I said that because you have your minors thing so incase udk
43,1649806354000.0,2022-04-12 16:32:34,"For real, I just don't be using shit like ""jawn"" because I live in the south. Shit ain't common to our dialects down here. It be funny as hell watching Non-Black folks snatch up AAVE and Frankenstein the hell out of it lmao"
44,1649806327000.0,2022-04-12 16:32:07,i think oomf not black and they been using aave like crazy.. i thought they were. this goes beyond my top ten anime betrayals
45,1649806234000.0,2022-04-12 16:30:34,@IvoryTheJunior I never really thought about all this. I noticed it because I work in Detroit a lot but I didn't know it actually had a term (AAVE). Glad to learn something new. I wonder why people do that. I get funny enough looks because I say y'all and wor-toor (water) (used to be in Bama)
46,1649806223000.0,2022-04-12 16:30:23,"Wait I qrted the wrong thing my bad but I just read this and??? ""It's giving"" IS LITERALLY AAVE AND IT WAS NEVER DEROGATORY???  It was YOU white gays who stole it from us now you tryna claim its offensive to y'all?"
