,created_at,date,tweet
0,1649462399000.0,2022-04-08 16:59:59,"lm ⚠️ hii aku baru mulai nge bea, tp bingung bngt cara promosinya. aku jg blm ada testi 😔 boleh bagi tips ga cara promosi buat yg baru mulai? makasih!"
1,1649462399000.0,2022-04-08 16:59:59,@tokopedia SELALU ADA SELALU BISA🤍#TokopediaxENHYPEN #RamadanEkstraTVShow #MintoSayangENGENE
2,1649462398000.0,2022-04-08 16:59:58,I'll bet 10 ada that they've had them for a long time
3,1649462398000.0,2022-04-08 16:59:58,@IIISEONYU08 Tapi gatau deh kalo beneran tangan ada jarinya jg sih tapi agak gede y:(
4,1649462398000.0,2022-04-08 16:59:58,"@schangben sorry banget semenjak ada thread template² ga jelas, twitter jadi kaya tempat s4mpah. Mon maap aja ada tweet viral apa, pada reply template. ada menfess di base, pada reply pake template. lucu? Kaga ‼ GANGGU MATA IYA ‼‼‼ apa cuman gue?"
5,1649462398000.0,2022-04-08 16:59:58,Atzsell ada yg cari mmt fellowship eu mingi? 315k kotor kr bs dp 200k @evillgurls
6,1649462396000.0,2022-04-08 16:59:56,@babufess aku pagi siang sore selagi ada primo gas gacha
7,1649462394000.0,2022-04-08 16:59:54,Closed agency lokal local loyal yang bisa menampung dua bujang ada
8,1649462394000.0,2022-04-08 16:59:54,ada yang mau lagi gaa??? drop @ aja🙌🏻‼️  https://t.co/PYjECQLJnZ
9,1649462394000.0,2022-04-08 16:59:54,"Liat fans nya ngeplot2in antara unit stan, bias only, ot23. I mean sebelumnya, kalo ngestan BG/GG walaupun punya bias, tapi tetap nyukain semua membernya. Jadi ga ada tuh acara pake ngedrag yg lain. Ah, sama shipper dan war nya bikin sakit kepala🤯"
10,1649462393000.0,2022-04-08 16:59:53,ya begitulah jodoh ga ada yang tau ye ehehhe✌🏻
11,1649462392000.0,2022-04-08 16:59:52,"@ohmybeautybank Temenku ada yang gini dulu pas sd, dan itu turunan dari nenek sama ibunya juga haid diumur 9 tahun. Kalo diliat skrg si pas dia dewasa jadi pendek.."
12,1649462392000.0,2022-04-08 16:59:52,"sumpah tattoo junkook seni bgt dan pasti semuanya ada cerita knp gambarnya itu posisinya bgitu, OFC GUE PENASARAN! Please kapan-kapan ceritain :( @ jungkook  https://t.co/HViEhSTDQR"
13,1649462392000.0,2022-04-08 16:59:52,Sabar ya nak.. Ibu akan selalu ada buat kamu. Biarkan ayahmu yang tidak tanggung jawab itu. Biar Allah yang balas.
14,1649462391000.0,2022-04-08 16:59:51,"Pagi2 udah ada kejadian bikin panik dan lucu aja, moga2 aja de orangnya kagak tau dan ga peduli juga"
15,1649462391000.0,2022-04-08 16:59:51,@tokopedia dek riki bikin oleng cung ☝🏽  SELALU ADA SELALU BISA #TokopediaxENHYPEN #RamadanEkstraTVShow #MintoSayangENGENE
16,1649462391000.0,2022-04-08 16:59:51,@papa_loren kmaren ada lho bem cluster  https://t.co/XxRtO1rTWb liat dikompas tv.diwawancara.adduuhh orangnya ky bukan orng terdidik..aneh dah..
17,1649462390000.0,2022-04-08 16:59:50,@poco_satria @roedhaytoo @TengklengRaja @Helmi_Felis @wisnu_septiawan Aaah biase aje... seumur hidup hidup juga kagak ape..?? 🤣🤣🤣 Seorang penjahat saja ada tobatnya.. Sukarno sj matinya dihinakan.. Suharto dilengserkan.. jgn2 Jokowi malah dilenyapkan...siape yg tau ye..⁉️🤣🤣🤣
18,1649462390000.0,2022-04-08 16:59:50,ada yg punya atau join gc di wa gtu ga? tentang nct or wayv?
19,1649462389000.0,2022-04-08 16:59:49,#decentralization first. ❤️  #cardano #ada $ada $gmbl $gotchi
20,1649462389000.0,2022-04-08 16:59:49,@AngryTigerNFT Kat Discord ada yg beli 6. Tu yg saya fikir balik. Malas la buat kerja bodo. $215 tu boleh beli bomber jacket lawa2 kat butik haha
21,1649462388000.0,2022-04-08 16:59:48,Ada tak jual mask kain ke apa yang ada nampak logo halal dkt depan. Haha serius talk ni
22,1649462387000.0,2022-04-08 16:59:47,Ini perasaan w biasa aja ke dia tapi knp ada di pikiran w muluuuu???? Capek
23,1649462387000.0,2022-04-08 16:59:47,@banjarbase ada alasan tertentu tu dtakuni dlu nder
24,1649462386000.0,2022-04-08 16:59:46,Aku kalo jualan ide konten tiktok buat brand fashion ada yang mau beli gak yaah. sayang bgt numpuk di note 🙃
