,created_at,date,tweet
0,1649635166000.0,2022-04-10 16:59:26,@Binance_Turkish Avax
1,1649635108000.0,2022-04-10 16:58:28,"#AVAXUSDT Bear Alert!  5X Volume Price:      80.97 5-min %: -1.5% Volume:  $2,813,578   #crypto #whale #btc #eth #AVAX $AVAX  https://t.co/gSPRtzBDBt"
2,1649635103000.0,2022-04-10 16:58:23,@DaJenus @multifarmer avax
3,1649635079000.0,2022-04-10 16:57:59,Y’all looking for #crosschain 👀  #AVAX $ftm #ftm #DeFi   https://t.co/Mb0Ta0aCTX
4,1649635076000.0,2022-04-10 16:57:56,Don’t miss out 🎉GIVEAWAY🎉  @DarkforestNodes #AVAX
5,1649635051000.0,2022-04-10 16:57:31,4h 🟩 LONG: AVAX/USDT Current price: 81.58  Take Trailing Profit: 87.61064  Stop Loss: 79.05936  Time: 2022-04-10 23:57:31-UTC
6,1649635037000.0,2022-04-10 16:57:17,Had to pick up 2 more   @PassivePandaNC   #1429  #1430   Mint Price - 1.5 #AVAX  https://t.co/f7fy8ilBGG
7,1649635031000.0,2022-04-10 16:57:11,"↑ #CRAFT PRICE = 0,646211 Rank = #3,255 #AVAX = 127,81 $CRAFT 1D: +36.02% CHANGING = 10 ▁▃▅"
8,1649635000000.0,2022-04-10 16:56:40,"[Volume alert ]  #Binance Futures $AVAXUSDT: 38,448.0 $AVAX traded at vwap: 81.83534 in the last 10 seconds which is 12.19 stdevs from mean. Buys: 6,023.0 Sells: 32,425.0"
9,1649634983000.0,2022-04-10 16:56:23,"If you’re into P2E and ready for Yield Hunt’s long-anticipated “Chapter 2”, there’s an epic bundle going on TofuNFT:  6 Hunters for just 5 $AVAX 😲 That’s 6 guaranteed mints for less than an $AVAX each! 🎁  #Yieldhunt #P2E #Play2Earn #nftbundle #Avalanche   https://t.co/VyCL9hcZne"
10,1649634982000.0,2022-04-10 16:56:22,"$Avoge meme season about to hit Avax, next up avoki"
11,1649634976000.0,2022-04-10 16:56:16,#SANTOS #FTM #AVAX
12,1649634941000.0,2022-04-10 16:55:41,DOWN    - AVAX/USDT  Price:82.48000   RSI ALERTS FifteenMinutes   RSI Calculation: 18.00  #BTC #ETCBRL #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 2:55:20 AM
13,1649634932000.0,2022-04-10 16:55:32,"@DeFi_Dorks @Doy1eee @SpearFinance_io Thanks, it was very helpful $avax #avax"
14,1649634930000.0,2022-04-10 16:55:30,"#snibsnib mining report ⛏️  📈 Expected returns (reinforcement): with 5.4$ (6.3$ fees)  without 6.1$ (2.7$ fees) 👈👈  For 1️⃣ reinforced mine: win  13.07$ lose 0.27$  ⛽ gas: 104.0nAVAX 🔺 $AVAX: 82.47$ 💴 $TUS: 0.057$ 🧿 $CRA: 0.65$  (one prime, 40 %MR, fees incl., 👈 reco.)"
15,1649634911000.0,2022-04-10 16:55:11,"↓ #SB PRICE = 213,7 Rank = #7,790 #AVAX = 0,39 $SB 1D: -4.22% CHANGING = -4,82 ▅▃▁"
16,1649634904000.0,2022-04-10 16:55:04,What a incredible feeling to open you twitter account and find out that the big boss just liked your comment 🔺 #AVAX  https://t.co/lP7bPJE0to
17,1649634894000.0,2022-04-10 16:54:54,@CryptoBoy55555 All done! Tagged @Sasikum92835236 @monchykun @LaterDarth #AVAX
18,1649634807000.0,2022-04-10 16:53:27,@Cryptic_Maestro checkout $avoge on avax first meme
19,1649634793000.0,2022-04-10 16:53:13,@Queenverse_org It's a great and excellent project and also a great prize. Thank you for sharing this wonderful opportunity. Best wishes to all team members. Keep going and be successful.  @Sarsboy_ @Revalina3772 @zeto_san  #BSC #AVAX #Queenverse #Metaverse
20,1649634765000.0,2022-04-10 16:52:45,"On this day last year  $LUNA $15.48 $AVAX $31.77 $SOL $26.80 $DOGE $0.0637 $MATIC $0.357 $BNB $471.3 $ADA $1.217  $BTC $59,769 $ETH $2,135"
21,1649634708000.0,2022-04-10 16:51:48,@web3_coin @CoinMarketCap Good  #AVAX #CRYPTONEWS #UTK @ADTTEAM1  @aineavagirls  @Airdrop14189217
22,1649634699000.0,2022-04-10 16:51:39,@EverRise So about this train that runs until 2 PM EDT on Monday!  Where all the #RISERS at?  Let's keep this train going.       #EverRise $RISE #Defi #Cryptocurrency #Staking #StakingRewards #NFT #blockchain #bnb #BNBchain #Ethereum #Avalanche #AVAX #polygon #PolygonNFT #fantom  https://t.co/F1MIdExyk2
23,1649634683000.0,2022-04-10 16:51:23,"@initnash @avaxliege @j0eferrara “aVaX iS a COpY of EtH” bro, do you even know what Avalanche consensus is? Bro"
24,1649634675000.0,2022-04-10 16:51:15,@Cryptostacy_ #EverRise $RISE @EverRise #HODL #AVAX #LFG
25,1649634654000.0,2022-04-10 16:50:54,@Anthony4600000 @monty_crypto1 #EverRise $RISE @EverRise #HODL #AVAX #LFG
26,1649634628000.0,2022-04-10 16:50:28,fantasizing about some sort of @GMX_IO model w/ @terra_money that involves $GLP consisting of  50% $UST 20% $LUNA 15% $BTC 10% $AVAX 5% $ASTRO  alas I am not a buidler. @stablekwon pls
27,1649634621000.0,2022-04-10 16:50:21,@j0eferrara I could be wrong but I believe you need Avax validators to run a subnet and mightbe other big costs associated with launching  asubnet
28,1649634613000.0,2022-04-10 16:50:13,@FlocksRobert #EverRise $RISE @EverRise #HODL #AVAX #LFG
