,created_at,tweet
0,2022-04-12 16:59:47,@calmanmuratali Avax
1,2022-04-12 16:59:09,🚨🚨BREAKING NEWS🚨🚨  🧊 Whitelist giveaway  🧊10 discord invites; level 5 activity on server Follow @iceprotocol_  🧊RT &amp; like  🧊Tag 2 friends  🧊  https://t.co/n8sQnjstl3  #WAGMI = We All Gonna Make Ice  $AVAX
2,2022-04-12 16:58:57,los lunaticos son re poliamorosos o me parece ami? que andan tramando con $avax?
3,2022-04-12 16:58:55,#Near dan çokça söz ediyorum. Bilen bilir fiyatından bağımsız beğendiğimi ve ilk günden beri yeni #solana #AVAX olacağını düşünüyorum. NFT tarafında da neler yapacağını merak ediyorum o tarafa da yönelmek gerek. Near rüzgarı arkasına aldığında oradaki hareketler önemli olacak.
4,2022-04-12 16:58:43,#AVAX yükselen trend desteğinde   Günlük periyotta görüntü gayet güzel. Bir de bu destekten tepki almış  https://t.co/e0nuJT97Xj
5,2022-04-12 16:58:26,#EverRise $RISE  $0.001045 Δ +5.6% 🟢 $74.8M Market Cap +5.6% 51209 Hodlrs +0.1%  $0.001022 (#Eth) Δ +4.4% 🟢 $0.001079 (#BNB) Δ +3.4% 🟢 $0.001029 (#Polygon) Δ +5.5% 🟢 $0.001057 (#Ftm) Δ +8.8% 🟢 $0.001034 (#Avax) Δ +6.6% 🟢  🔐 $42.3M Staked TVL  $7.4M LP $1.9M Buyback  https://t.co/rp7JA8KY7f
6,2022-04-12 16:57:58,"We are live and reborn. Join us on  https://t.co/eF7h9fL7qh  Fractionalized Synthetic Algorithmic pegged to 1 AVAX. Farm with ETH-AVAX, and other pairs.  Gamfi elements and Omnichain expansion coming soon.   $AVAX #AVAX  https://t.co/W3k2kC86UV"
7,2022-04-12 16:57:51,@avax_cryptohunt @rubymineavax @runcityx @ambysiosaurus
8,2022-04-12 16:57:16,$UST used as gas for all chains is the future!  $LUNA x $AVAX
9,2022-04-12 16:57:14,"@coopernicus01 @traderjoe_xyz @Similarweb @traderjoe_xyz still surprises me, solid n1 DEX in #AVAX"
