,created_at,date,tweet,Processed Tweet,Polarity
0,1647832549000.0,2022-03-20 20:15:49,@iGetsPT Try #AAVE or #Thorswap,  try  aave or  thorswap,0.0
1,1647832419000.0,2022-03-20 20:13:39,Can anyone recommend me songs with raps that don’t use aave or offensive language? I might do a cover for my aud!,can anyone recommend me songs with raps that don t use aave or offensive language  i might do a cover for my aud ,0.0
2,1647832393000.0,2022-03-20 20:13:13,$AAVE Real price will come out soon; Follow price target.~  https://t.co/RnEZGRQo22, aave real price will come out soon  follow price target     ,0.2
3,1647832388000.0,2022-03-20 20:13:08,"you’d think the label “african american spiritual song” would be enough for our choir conductor to pick a new song, but no we had to spend 10 minutes of him telling our 90+% white choir how to say the words in AAVE",you d think the label  african american spiritual song  would be enough for our choir conductor to pick a new song  but no we had to spend 10 minutes of him telling our 90   white choir how to say the words in aave,0.022727272727272724
4,1647832385000.0,2022-03-20 20:13:05,@adamdavidson Why are you culturally appropriating AAVE with usage like “Fuck all y’all”?,  why are you culturally appropriating aave with usage like  fuck all y all  ,-0.15000000000000002
5,1647832281000.0,2022-03-20 20:11:21,UPDATE from earlier chart shared / Mistake / I shared a 4HR chart and labeled it DAILY. Here's that AAVE / 4HR / Golden Cross / Retesting / Not Financial Advice. Always check your own charts. You never know when someone will look at something wrong and give you off info. :)  https://t.co/uokrTkOXX7,update from earlier chart shared   mistake   i shared a 4hr chart and labeled it daily  here s that aave   4hr   golden cross   retesting   not financial advice  always check your own charts  you never know when someone will look at something wrong and give you off info       ,0.05714285714285713
6,1647832065000.0,2022-03-20 20:07:45,@ninejsluvr THE MATH IS NOT MATHING ‼️ “blm” *uses aave* *mocks our culture*,  the math is not mathing     blm   uses aave   mocks our culture ,0.0
7,1647832000000.0,2022-03-20 20:06:40,@GPSC_OFFICIAL Km nhi aave,  official km nhi aave,0.0
8,1647831960000.0,2022-03-20 20:06:00,Think if Opensea + AAVE have a baby and it's CyberBox.   https://t.co/YX3cZ1pYVK,think if opensea   aave have a baby and it s cyberbox     ,0.0
9,1647831791000.0,2022-03-20 20:03:11,sigma rules 1..... - love from dogs ||MAIYAA MENU YAAD AAVE|| #short #dog #doglover #sigmarulse #2 -  https://t.co/EwPINvKOfy,sigma rules 1        love from dogs   maiyaa menu yaad aave    short  dog  doglover  sigmarulse  2     ,0.25
10,1647831674000.0,2022-03-20 20:01:14,"11. BCH --  322.01454 USD 12. UNI --  9.22543USD 13. XMR --  190.38744 USD 14. THETA --  2.85714 USD 15. EOS --  2.16715 USD 16. AAVE --  148.2742 USD 17. MKR --  1,973.72046 USD 18. SNX --  5.08006 USD 19. SUSHI --  3.2025 USD 20. COMP --  112.91929 USD",11  bch     322 01454 usd 12  uni     9 22543usd 13  xmr     190 38744 usd 14  theta     2 85714 usd 15  eos     2 16715 usd 16  aave     148 2742 usd 17  mkr     1 973 72046 usd 18  snx     5 08006 usd 19  sushi     3 2025 usd 20  comp     112 91929 usd,0.0
11,1647831668000.0,2022-03-20 20:01:08,#DeFi changes 1 hr📈  #LINK -0.62 %; RSI 14: 32.55 #UNI -1.91 %; RSI 14: 37.86 #AAVE -0.96 %; RSI 14: 34.14 #SNX 1.39 %; RSI 14: 47.02 #COMP -0.58 %; RSI 14: 33.02 #SUSHI -1.23 %; RSI 14: 39.88 #YFI 0.53 %; RSI 14: 42.1 #defi #analysis, defi changes 1 hr    link  0 62    rsi 14  32 55  uni  1 91    rsi 14  37 86  aave  0 96    rsi 14  34 14  snx 1 39    rsi 14  47 02  comp  0 58    rsi 14  33 02  sushi  1 23    rsi 14  39 88  yfi 0 53    rsi 14  42 1  defi  analysis,0.0
12,1647831641000.0,2022-03-20 20:00:41,"Just claimed my $BEND #airdrop🪂!  Thanks, @BendDAO💖! $BEND is the $AAVE for bluechip #NFT holders. Use your NFTs as collateral to borrow ETH or deposit your ETH to earn yields INSTANTLY⚡! Check it out here:  https://t.co/1mwZ1aB8VA",just claimed my  bend  airdrop    thanks       bend is the  aave for bluechip  nft holders  use your nfts as collateral to borrow eth or deposit your eth to earn yields instantly   check it out here    ,0.1
13,1647831613000.0,2022-03-20 20:00:13,"@llllvvuu i think this question is related to a question i had : will all defi protocols devolve into freeware at some point in the future, and did major protocol devs (aave, uni, etc.) already realize this?",  i think this question is related to a question i had   will all defi protocols devolve into freeware at some point in the future  and did major protocol devs  aave  uni  etc   already realize this ,0.020833333333333332
14,1647831596000.0,2022-03-20 19:59:56,"@jmiplier cultural appropriating black and desi culture, using a blaccent and misusing aave, mocking cultural indian dances, and saying the n word",  cultural appropriating black and desi culture  using a blaccent and misusing aave  mocking cultural indian dances  and saying the n word,0.011111111111111118
15,1647831596000.0,2022-03-20 19:59:56,Here’s to a #BULLISH market🍻  https://t.co/7qMNzSzpAb $BTC $ETH $KASTA $BNB $AAVE $FTX  https://t.co/Wbwa9n0B14,here s to a  bullish market      btc  eth  kasta  bnb  aave  ftx   ,0.0
16,1647831482000.0,2022-03-20 19:58:02,"$AAVE If you’re bullish on #AAVE here, you’re going to want to see an ABC and bounce around support and the 1:1 fib area. If we don’t we’re going to see my scenario play out with us anticipating a C wave drop. I’m genuinely interested in what we might see.  https://t.co/mz9pc5xP5F", aave if you re bullish on  aave here  you re going to want to see an abc and bounce around support and the 1 1 fib area  if we don t we re going to see my scenario play out with us anticipating a c wave drop  i m genuinely interested in what we might see    ,0.25
17,1647831457000.0,2022-03-20 19:57:37,$AAVE If you really want to make huge profits on trading than check out this chat _.  https://t.co/kwxKaXsemE, aave if you really want to make huge profits on trading than check out this chat      ,0.30000000000000004
18,1647831327000.0,2022-03-20 19:55:27,Nailed it 35% profit in less than 3days from spot trading..🚀🚀  https://t.co/7qMNzSzpAb $ICX $BTC $ETH $AAVE $LINA $THETA $WAXP $BICO $SOSO $ACH $ATP $SPELL $ACT $BNB $LINK,nailed it 35  profit in less than 3days from spot trading         icx  btc  eth  aave  lina  theta  waxp  bico  soso  ach  atp  spell  act  bnb  link,-0.16666666666666666
19,1647831272000.0,2022-03-20 19:54:32,"@FreewayFi @AIBCsummit @AaveAave @compoundfinance @Nexo @CelsiusNetwork Great job!!!  I’d love to get into the platform snd start earning.  I’m on boarded and approved already. However, do I really need to wait 1-2 business days and to deposit FWT and USDC?  Also, why buy FWT on Uniswap if I can’t deposit into the Freeway app?!  I’m sure I’m missing",            great job     i d love to get into the platform snd start earning   i m on boarded and approved already  however  do i really need to wait 1 2 business days and to deposit fwt and usdc   also  why buy fwt on uniswap if i can t deposit into the freeway app    i m sure i m missing,0.36
20,1647831195000.0,2022-03-20 19:53:15,$AAVE~If you really want to make huge profits on trading then check out this chat;   https://t.co/PEsx7DiOHV, aave if you really want to make huge profits on trading then check out this chat     ,0.30000000000000004
21,1647831145000.0,2022-03-20 19:52:25,"Dormir com o cheiro dele, aave credo🥰",dormir com o cheiro dele  aave credo ,0.0
22,1647831039000.0,2022-03-20 19:50:39,if you’re not black and use aave and have blm in your bio you are the worst kinda person .,if you re not black and use aave and have blm in your bio you are the worst kinda person  ,-0.4583333333333333
23,1647831007000.0,2022-03-20 19:50:07,"@raissagabxxx Garota... Tá procrastinando mais que eu com isso mulher, aave maria",  garota    t  procrastinando mais que eu com isso mulher  aave maria,0.0
24,1647830886000.0,2022-03-20 19:48:06,"Right now you don't want to trade, you want to hold  https://t.co/QxGgK58gpL  $ETH $BTC $XTZ $DYDX $AAVE $LOL $VET $SOL Let it ride.  https://t.co/FZqG94K9YF",right now you don t want to trade  you want to hold      eth  btc  xtz  dydx  aave  lol  vet  sol let it ride    ,0.5428571428571429
25,1647830821000.0,2022-03-20 19:47:01,@xavflos I truly don't understand why people use aave when trying to sound funny,  i truly don t understand why people use aave when trying to sound funny,0.325
26,1647830786000.0,2022-03-20 19:46:26,"Swing 🚥  $HNT 🟡 $21.49 $ZEC 🟢 $169.30 $FLOW 🟢 $6.13 $EOS 🟢 $2.17 $AAVE 🟡 $148.60 $MKR 🟡 $1,978.00 $GRT 🟡 $0.38 $CAKE 🟡 $6.25 $STX 🟢 $1.28 $BTT 🟡 $0.00   https://t.co/xzqH6LyCnS",swing     hnt    21 49  zec    169 30  flow    6 13  eos    2 17  aave    148 60  mkr    1 978 00  grt    0 38  cake    6 25  stx    1 28  btt    0 00    ,0.0
27,1647830764000.0,2022-03-20 19:46:04,$AAVE  https://t.co/fxjCbcf8hV, aave   ,0.0
28,1647830702000.0,2022-03-20 19:45:02,$AAVE I've made $15k in last week.... Lot of thanks to this chatroom  https://t.co/jVjo7kyaCL, aave i ve made  15k in last week     lot of thanks to this chatroom   ,0.1
29,1647830580000.0,2022-03-20 19:43:00,Киты за два месяца вложили в криптовалюту Aave более $10 млн (20.03.2022)  https://t.co/nKC4i7k8Yb,                                          aave        10      20 03 2022    ,0.0
30,1647830514000.0,2022-03-20 19:41:54,White nigga can't even use aave right,white nigga can t even use aave right,0.14285714285714285
