,created_at,date,tweet
0,1649462396000.0,2022-04-08 16:59:56,#Bitcoin #BTC  https://t.co/DIKPvor5SX
1,1649462395000.0,2022-04-08 16:59:55,"#MATIC - long alert 💵💸  Exchange     : FTX Market         : $MATIC - $PERP Volume        : $220,297 Price            : $1.4349  $BTC #BTC $ETH #ETH  For live Whale Trade Flow, check -  https://t.co/qEq8Ymgdoc  https://t.co/WHPFX9TU70"
2,1649462394000.0,2022-04-08 16:59:54,"@Cointelegraph BTC on its way to hell, bulls getting f**ked."
3,1649462394000.0,2022-04-08 16:59:54,@cvo_crypto Do you foresee BTC bouncing back up in the next couple days?
4,1649462393000.0,2022-04-08 16:59:53,@djvalerieblove @Coinicarus @CHAIRFORCE_BTC @gregzaj1 @BITVOLT7 @johnkvallis @BitcoinMagazine @BigSeanHarris  https://t.co/baArMMQDW6
5,1649462391000.0,2022-04-08 16:59:51,"@BorgmanKelly @carmichael_btc @BumpstockBarbie @Winning4Him @Devildog_Buff I just want him to answer simple questions, but he won't for some odd reason."
6,1649462390000.0,2022-04-08 16:59:50,"@JoeLibertarian1 @MarcDClair @LibertyMugs @Slappy_Jones_2 At this point in time it would cost 11 cents to have a BTC transaction picked up within an hour and 1.3 dollars to have that transaction picked up within 10 minutes. At best BTC is a ""below average"" of exchange."
7,1649462390000.0,2022-04-08 16:59:50,@BigCheds Are we ignoring the fact that btc is forming a bearish flag on the weekly TF?
8,1649462389000.0,2022-04-08 16:59:49,"@CryptoWhale Imagine buying 1 BTC at $59k on this day last year and thinking how much $$$ you would have in 12 months, only to to have lost $17k instead."
9,1649462385000.0,2022-04-08 16:59:45,@oniku___man BTC欲しいです。 よろしくお願い致します🙇‍♂️
10,1649462383000.0,2022-04-08 16:59:43,Elliott Wave definitely helps you for better trading 💯✅ #btc #crypto  https://t.co/bNdaStI7Wn
11,1649462382000.0,2022-04-08 16:59:42,Can't help but keep flipping bias if this is the movement that happens in $BTC.  https://t.co/siwN7zHHk3
12,1649462376000.0,2022-04-08 16:59:36,Ayılar mı ? Boğalar mı ?  Bu savaşı kim kazanır bilmem ama hafta sonu için pek ümitli konuşamıyorum 42K üzeri kapanış tek teselli gibi duruyor...  #Bitcoin #BTC #binance #BinanceBlockchainWeek  https://t.co/9LJO78qjWZ
13,1649462371000.0,2022-04-08 16:59:31,"Belli dönem vadeli işlem kesinlikle yapmayın, 1-2 arkadaş yazdı paranız pul olur, yapılacak zaman değil vadeli de insanları doğruyorlar bi süredir #btc #Bitcoin"
14,1649462368000.0,2022-04-08 16:59:28,"@Ninjascalp In $ust ‘s case it’s backed by the $luna burn/mint mechanism. $btc is used as a reserve to help defend the peg. When the market really nukes, money goes to…. stables."
15,1649462368000.0,2022-04-08 16:59:28,#Block (formerly #Square) and the #Bitcoin infrastructure company Blockstream are teaming up with #Tesla ($TSLA) to help construct a Bitcoin mining facility that’s being designed to prove #BTC can help finance zero-emission power #infrastructure.
16,1649462366000.0,2022-04-08 16:59:26,#BTC testing the box now!  https://t.co/K4vCiTkB8y
17,1649462362000.0,2022-04-08 16:59:22,"@carmichael_btc @BorgmanKelly @Winning4Him @Devildog_Buff Legality ≠ morality.  In fact, legislative bodies throughout history have continuously denied personhood to the humans they wanted to eradicate. Bad look, darlin."
18,1649462359000.0,2022-04-08 16:59:19,#BTC  henüz tepki yok. Düşüş sürüyor. Yeşil kutudan ufak tepki alıp alttaki yeşil çizgiye iğne bırakabilir.  https://t.co/WZAOzjyUNa  https://t.co/xmrO6QhiBY
19,1649462358000.0,2022-04-08 16:59:18,Traditional Asia coin dump event   $BTC $ETH $SOL $AVAX.X ️  https://t.co/IdDG2uRh71
