,created_at,date,tweet
0,1649635199000.0,2022-04-10 16:59:59,📈 ETHUSD BUY signal now (severity: 3) #eth #crypto #DCA #TradingSignals #BTC #Bitcoin 10/4/2022@23:59:59
1,1649635197000.0,2022-04-10 16:59:57,"#TRXDOWNUSDT Bear Alert!  5X Volume Price:      9.463 5-min %: -0.74% Volume:  $5,853   #crypto #whale #btc #eth #TRXDOWN $TRXDOWN  https://t.co/TmumTfYGAi"
2,1649635197000.0,2022-04-10 16:59:57,TRENDICATOR ALERT 💣  SHORT $BTC @ $42177 📉  Starting Balance: 1000 Updated Balance: 980 Cumulative Return: +-2%  #Bitcoin #Trading #Crypto  https://t.co/R68Ov2v9xd
3,1649635196000.0,2022-04-10 16:59:56,"#LINK - long alert 🤩🤩  Exchange     : FTX Market         : $LINK - $PERP Volume        : $176,404 Price            : $15.244  $BTC #BTC $ETH #ETH  For live Whale Trade Flow, check -  https://t.co/qEq8Ymgdoc  https://t.co/gIYaNiYSiT"
4,1649635192000.0,2022-04-10 16:59:52,@GoTrillaGorilla @JeffWeimar @los_muertosNFT @DrClintBarton1 @FereezHera @rosalina_btc @AlfredoWolfe3 @ketiziu
5,1649635191000.0,2022-04-10 16:59:51,"#ALICEUSDT Bear Alert!  5X Volume Price:      6.56 5-min %: -0.76% Volume:  $237,577   #crypto #whale #btc #eth #ALICE $ALICE  https://t.co/VVOt7hBi12"
6,1649635191000.0,2022-04-10 16:59:51,@Huntshelton @deezy_BTC Or just click the NfT
7,1649635188000.0,2022-04-10 16:59:48,"#DENTUSDT Bear Alert!  5X Volume Price:      0.002804 5-min %: -0.6% Volume:  $291,409   #crypto #whale #btc #eth #DENT $DENT  https://t.co/PuKuBGehhG"
8,1649635185000.0,2022-04-10 16:59:45,@BTC_NFT @CrypCade @CryptoZillaVC #CrypCade is an economically sustainable Gaming ecosystem. It is infact skill-based gaming and luck-based gambling. Happy to see such projects 😃
9,1649635185000.0,2022-04-10 16:59:45,"#BURGERUSDT Bear Alert!  5X Volume Price:      1.474 5-min %: -0.14% Volume:  $19,504   #crypto #whale #btc #eth #BURGER $BURGER  https://t.co/j3XSH9sCiK"
10,1649635184000.0,2022-04-10 16:59:44,@TheEagleSociety @Mirjamcla @deezy_BTC @NFT_Justin @CardanoDan
11,1649635182000.0,2022-04-10 16:59:42,"@PatriceBTC @LRT_BTC @metathomist @alexbosworth Sure.   https://t.co/XejW9Aql1n  Look at Distance, Completeness, Clustering, and Connectivity measures.  48% of channels are ""cut channels"".  But there's only ~20k nodes, and ~86k channels."
12,1649635182000.0,2022-04-10 16:59:42,Coinler daha çok ezilmeye başladı. Neden ? Çünkü sevgili btcD artmaya başladı #btc
13,1649635181000.0,2022-04-10 16:59:41,"#RSRUSDT Bear Alert!  5X Volume Price:      0.01415 5-min %: -0.56% Volume:  $263,887   #crypto #whale #btc #eth #RSR $RSR  https://t.co/BltyZk49uT"
14,1649635180000.0,2022-04-10 16:59:40,"A new Santiment study shows that Bitcoin whale transactions $100,000have accounted for the lowest share network’s total transaction volume since August 2012 (a decade).The growth of retail investors and the popularity of cryptocurrencies have played a bigger role than whales.#btc  https://t.co/DW2jZr0TLA"
15,1649635179000.0,2022-04-10 16:59:39,gm☀️ 週初から #BTC 不穏な動き  https://t.co/1qQl7K6lHS
16,1649635179000.0,2022-04-10 16:59:39,"#BICOUSDT Bear Alert!  5X Volume Price:      1.493 5-min %: -0.67% Volume:  $74,267   #crypto #whale #btc #eth #BICO $BICO  https://t.co/10kRxknzKm"
17,1649635179000.0,2022-04-10 16:59:39,#PolicyandRegulation Binance receives in-principle approval to operate in Abu Dhabi  https://t.co/MyBtGdjwRQ Buy BTC:  https://t.co/NvvKJPmPAy  https://t.co/kzIbDj3w4p
18,1649635178000.0,2022-04-10 16:59:38,"#ARDRUSDT Bear Alert!  5X Volume Price:      0.2203 5-min %: -0.45% Volume:  $7,820   #crypto #whale #btc #eth #ARDR $ARDR  https://t.co/VO4e2ttVcx"
