,created_at,date,tweet,Processed Tweet,Polarity
0,1649095830000.0,2022-04-04 11:10:30,@berry_ales Just want to say ignore the noise anyone paying attention knows how much you have done to help the cardano community.,  ales just want to say ignore the noise anyone paying attention knows how much you have done to help the cardano community ,0.2
1,1649095820000.0,2022-04-04 11:10:20,🐳 #Cardano $ADA Whale ❤️laced! 💰 Transaction Output: 7.0M ₳D₳ / 8.25M USD  👁️ Tx info: ➡️  https://t.co/wA1r2ptpjW  🙏Support us: - Stake with  ☮️PEACE☮️ pool:  https://t.co/Uztjjf2EbE - Stake with SHARP/EASY1/BOOST/GMBL #fintech #blockchain #crypto,   cardano  ada whale   laced    transaction output  7 0m  d    8 25m usd     tx info          support us    stake with    peace   pool       stake with sharp easy1 boost gmbl  fintech  blockchain  crypto,-0.125
2,1649095814000.0,2022-04-04 11:10:14,Epoch 331    Blocks scheduled: 2🔥    Performance expected: 161%🌟  Stake with us and get free coins: $BISON  ✅ $WOLF  ✅ $SOUL  ✅ $HOSKY ✅ #DogeADA ✅ $MELD ✅ $DRIP ✅ $BLC ✅  #ADA @WolfCardano @bisoncoin_io @HauntedSoulsNFT @doge_ada  #Cardano @IBILECOIN1 #CardanoCommunity  https://t.co/vznFkF5zUJ,epoch 331    blocks scheduled  2     performance expected  161    stake with us and get free coins   bison     wolf     soul     hosky    dogeada    meld    drip    blc     ada     io     ada   cardano    cardanocommunity   ,0.15000000000000002
3,1649095778000.0,2022-04-04 11:09:38,@TheMoonCarl Cardano scaling and conquering financial market. #cardano $ADA,  cardano scaling and conquering financial market   cardano  ada,0.0
4,1649095776000.0,2022-04-04 11:09:36,"Bought a couple hundred Injection Protocol. Ethereum/Cosmos-inter, derivative markets, can’t find any layer 2-more decentralized…still don’t want Cardano. $INJ #INJ",bought a couple hundred injection protocol  ethereum cosmos inter  derivative markets  can t find any layer 2 more decentralized still don t want cardano   inj  inj,0.5
5,1649095774000.0,2022-04-04 11:09:34,"Just added our latest purchase, the stunning whale photography of @Bryant_Austin_, to our growing collection. We love building on #Cardano and connecting with passionate artists like Bryant. Art and tech coming together is a match made in heaven.  #CNFT #ADA #Monet #TheArtBank  https://t.co/vcSLdLcMor",just added our latest purchase  the stunning whale photography of   austin   to our growing collection  we love building on  cardano and connecting with passionate artists like bryant  art and tech coming together is a match made in heaven    cnft  ada  monet  theartbank   ,0.3625
6,1649095757000.0,2022-04-04 11:09:17,"Clay Nation #7330 with Cardano Tshirt (2.78%) was sold on  https://t.co/ySoJk3OhbH for 3,289 ADA ($3,842.30)  https://t.co/pf34GH7W6I",clay nation  7330 with cardano tshirt  2 78   was sold on    for 3 289 ada   3 842 30    ,0.0
7,1649095756000.0,2022-04-04 11:09:16,"Cardano (ADA), Solana (SOL), or Bitgert (BRISE) #Blockchain via  https://t.co/s7n0wYZc3s  https://t.co/z81IrwcxbY",cardano  ada   solana  sol   or bitgert  brise   blockchain via      ,0.0
8,1649095748000.0,2022-04-04 11:09:08,@altcryptocom @earnada new launched on the brand new cardano side chain.,    new launched on the brand new cardano side chain ,0.13636363636363635
9,1649095746000.0,2022-04-04 11:09:06,🐳 #Cardano $ADA Whale ❤️laced! 💰 Transaction Output: 6.2M ₳D₳ / 7.25M USD  👁️ Tx info: ➡️  https://t.co/yq0ATJ70Ml  🙏Support us: - Stake with  ☮️PEACE☮️ pool:  https://t.co/Uztjjf2EbE - Stake with SHARP/EASY1/BOOST/GMBL #fintech #blockchain #crypto,   cardano  ada whale   laced    transaction output  6 2m  d    7 25m usd     tx info          support us    stake with    peace   pool       stake with sharp easy1 boost gmbl  fintech  blockchain  crypto,-0.125
