,created_at,date,tweet,Processed Tweet,Polarity
0,1647996903000.0,2022-03-22 17:55:03,"Lemonade Is Working With Avalanche, Chainlink on Weather Insurance for Farmers  https://t.co/xlC3RR0hYi",lemonade is working with avalanche  chainlink on weather insurance for farmers   ,0.0
1,1647996892000.0,2022-03-22 17:54:52,The latest news from Chainlink:  #Chainlink #LINK #crypto #blockchain #cryptocurrency   https://t.co/vGZiK3rrlW,the latest news from chainlink    chainlink  link  crypto  blockchain  cryptocurrency    ,0.5
2,1647996455000.0,2022-03-22 17:47:35,"@OrlundoH @grow_love That's true, some projects seem to forget about an easy understandable documentation. Obviously there also some that do offer great docs. E.g. @chainlink :  1. Easy readable (Atleast in my opinion) 2. Lots of examples (Instantly usable in remix) 3. Even offer videos inside docs",    love that s true  some projects seem to forget about an easy understandable documentation  obviously there also some that do offer great docs  e g       1  easy readable  atleast in my opinion  2  lots of examples  instantly usable in remix  3  even offer videos inside docs,0.3595238095238095
3,1647996439000.0,2022-03-22 17:47:19,@Linklevosstwins Very... It's on binance and on nexo with 8% yield Chainlink proof of reserve  https://t.co/E4GjwiU9NZ,  very    it s on binance and on nexo with 8  yield chainlink proof of reserve   ,0.2
4,1647996352000.0,2022-03-22 17:45:52,The latest news from Chainlink:  #Chainlink #LINK #crypto #blockchain #cryptocurrency   https://t.co/BJZmDtRayE,the latest news from chainlink    chainlink  link  crypto  blockchain  cryptocurrency    ,0.5
5,1647995867000.0,2022-03-22 17:37:47,@TerkehhBsc good @chitaglorya__ @CheemsInu @chainlink,  good        ,0.7
6,1647995863000.0,2022-03-22 17:37:43,and like the dying dog that scrapes its nose against the chainlink fence,and like the dying dog that scrapes its nose against the chainlink fence,0.0
7,1647995812000.0,2022-03-22 17:36:52,The latest news from Chainlink:  #Chainlink #LINK #crypto #blockchain #cryptocurrency   https://t.co/W4Q5YpCtzO,the latest news from chainlink    chainlink  link  crypto  blockchain  cryptocurrency    ,0.5
8,1647995700000.0,2022-03-22 17:35:00,@CryptoDavid_ @chainlink There was a meetup in my city and I didn't know???,     there was a meetup in my city and i didn t know   ,0.0
9,1647995691000.0,2022-03-22 17:34:51,@SoccerFan_io @vnnymrtnz @chainlink @bjork,  io      ,0.0
10,1647995352000.0,2022-03-22 17:29:12,@marcromerona @chainlink @avalancheavax @lemiscate @traderjoe_xyz are you sure this isn't $BAND or $API3?  https://t.co/ERbZ5xrWrp,          xyz are you sure this isn t  band or  api3    ,0.5
11,1647995272000.0,2022-03-22 17:27:52,The latest news from Chainlink:  #Chainlink #LINK #crypto #blockchain #cryptocurrency   https://t.co/FjefxGoj9u,the latest news from chainlink    chainlink  link  crypto  blockchain  cryptocurrency    ,0.5
