,created_at,date,tweet,Processed Tweet,Polarity
0,1647996907000.0,2022-03-22 17:55:07,There are plenty of amazing people around the world with a lot of potential.  “Seven-in-Ten People Globally Live on $10 or Less per Day.” Pew Research Center- https://t.co/liE5CPOuo8  EOS and EOSIO are creating a win-win situation. Why can't we employ them to teach Web3.0? #HuFi  https://t.co/MMkl6dFzXq,there are plenty of amazing people around the world with a lot of potential    seven in ten people globally live on  10 or less per day   pew research center     eos and eosio are creating a win win situation  why can t we employ them to teach web3 0   hufi   ,0.2587121212121213
1,1647996896000.0,2022-03-22 17:54:56,@BitcoinAnalyzer EOS ve ADA’da da çanak var,  eos ve ada da da  anak var,0.0
2,1647996798000.0,2022-03-22 17:53:18,#Altcoin 💎 Gem Hunting  $XRD ❤ 75 #Radix 📈 78% $HNT ❤ 75 #Helium 📈 73% $BSV ❤ 72 #BitcoinSV 📈 72% $BCH ❤ 71 #BitcoinCash 📈 79% $ADA ❤ 61 #Cardano 📈 71% $EOS ❤ 60 #EOS 📈 73% $APE ❤ 47 #ApeCoin 📈 1%  ❤ =  sentiment 📈 =  chance of Upside Short to Med term #NFA #DYOR, altcoin   gem hunting   xrd   75  radix   78   hnt   75  helium   73   bsv   72  bitcoinsv   72   bch   71  bitcoincash   79   ada   61  cardano   71   eos   60  eos   73   ape   47  apecoin   1        sentiment      chance of upside short to med term  nfa  dyor,0.0
3,1647996789000.0,2022-03-22 17:53:09,"So I walked to the EŌS Fitness downtown. I figured it’s not far at all, I can get a lil pre-workout before I start this cycle class.. This was my FIRST time doing a cycle class. Mannnnn my ass is WIPED OUT 😩 thinking how tf I’m walk home.. 🥴",so i walked to the e s fitness downtown  i figured it s not far at all  i can get a lil pre workout before i start this cycle class   this was my first time doing a cycle class  mannnnn my ass is wiped out   thinking how tf i m walk home    ,0.1
4,1647996781000.0,2022-03-22 17:53:01,i rely on eos so much it's rediculous,i rely on eos so much it s rediculous,0.2
5,1647996737000.0,2022-03-22 17:52:17,@Isapolvorita los animes viejos tmb me aburren por eos pregunto CKJASBJKAS CREI QUE ERQA LA UNICA QUE NO SOPORTABA VERLOS,  los animes viejos tmb me aburren por eos pregunto ckjasbjkas crei que erqa la unica que no soportaba verlos,0.0
6,1647996661000.0,2022-03-22 17:51:01,@interruptingkau    Eosmon   (Eos: Greek Dawn Goddess)   Unknown   Attacks:   Beat Press   Hexa-Thunder   Cutting Edge  https://t.co/5IdgLiR5jc,     eosmon    eos  greek dawn goddess    unknown   attacks    beat press   hexa thunder   cutting edge   ,-0.2333333333333333
7,1647996657000.0,2022-03-22 17:50:57,"maybe i should sketch some dragalia charas again when i have the time, before rhe actual eos",maybe i should sketch some dragalia charas again when i have the time  before rhe actual eos,0.0
8,1647996642000.0,2022-03-22 17:50:42,@shhhDre THESE AR EOS PRETTY,  these ar eos pretty,0.25
9,1647996630000.0,2022-03-22 17:50:30,#EOS 👍💪👍  https://t.co/bkWQi5k4HA, eos       ,0.0
10,1647996585000.0,2022-03-22 17:49:45,➡ 0.002 pBTC newly minted  https://t.co/O48u8nZ5Hl  🎁 Total supply on EOS is 45.78736117 pBTC,  0 002 pbtc newly minted       total supply on eos is 45 78736117 pbtc,0.06818181818181818
11,1647996564000.0,2022-03-22 17:49:24,Start Trading $EOS With up to 100x leverage!  ---  https://t.co/Av0RbDoXgy ---,start trading  eos with up to 100x leverage             ,0.0
12,1647996533000.0,2022-03-22 17:48:53,@Que__hijueputa Yo quiero ver eos ajajajajs,   hijueputa yo quiero ver eos ajajajajs,0.0
13,1647996514000.0,2022-03-22 17:48:34,New Original Webasto Coolant Pump Water Pump VW Passat B8 Cc EOS 1K0965561B  https://t.co/2OTH1Cpgbr eBay  https://t.co/1xn7kQBRf3,new original webasto coolant pump water pump vw passat b8 cc eos 1k0965561b    ebay   ,0.2556818181818182
14,1647996437000.0,2022-03-22 17:47:17,EOS Climbs 10% In Bullish Trade  https://t.co/8Avwkv5Uru  https://t.co/yslhlys4XL,eos climbs 10  in bullish trade      ,0.0
15,1647996409000.0,2022-03-22 17:46:49,@i66kenma pq dices eos,  pq dices eos,0.0
16,1647996389000.0,2022-03-22 17:46:29,Hãy bình chọn cho EOS,h y b nh ch n cho eos,0.0
17,1647996385000.0,2022-03-22 17:46:25,"Swing 🚥  $RUNE 🟡 $8.52 $EOS 🟢 $2.54 $ZEC 🟢 $173.60 $FLOW 🟢 $6.06 $AAVE 🟢 $153.00 $MKR 🟢 $2,033.00 $GRT 🟡 $0.41 $CAKE 🟢 $6.92 $BTT 🟡 $0.00 $STX 🟢 $1.30   https://t.co/xzqH6LyCnS",swing     rune    8 52  eos    2 54  zec    173 60  flow    6 06  aave    153 00  mkr    2 033 00  grt    0 41  cake    6 92  btt    0 00  stx    1 30    ,0.0
18,1647996352000.0,2022-03-22 17:45:52,"Hi, I’m Eos. I’m #WhatAGameDevLooksLike. Im the lead designer and social media master behind our account. I look a lot like my game, a little messy and unsure but still aiming for greatness.  https://t.co/nHH372s7Me",hi  i m eos  i m  whatagamedevlookslike  im the lead designer and social media master behind our account  i look a lot like my game  a little messy and unsure but still aiming for greatness    ,-0.23083333333333336
19,1647996327000.0,2022-03-22 17:45:27,23 Mar 2022:  Price Movement: BTC: 40.9k to 42.3 ETH: 2890 to 2970  Global Crypto Market Cap:  +2.52% to $1.92T  24 hour changes for alts: ETC +19.6% APE +16.3% BCH +12.4% QTUM +11.1% EOS +8.7% ZEC -3.9% LUNA -2.7%,23 mar 2022   price movement  btc  40 9k to 42 3 eth  2890 to 2970  global crypto market cap    2 52  to  1 92t  24 hour changes for alts  etc  19 6  ape  16 3  bch  12 4  qtum  11 1  eos  8 7  zec  3 9  luna  2 7 ,0.0
20,1647996320000.0,2022-03-22 17:45:20,Lol!  Was like a 20% gain!  ⁦@Phemex_official⁩ wen tighten up app?  $eos short  https://t.co/KVKbB8eNLh,lol   was like a 20  gain      official  wen tighten up app    eos short   ,0.4
21,1647996242000.0,2022-03-22 17:44:02,$BTC: 42405.32 (3.72%) $BCH: 378.88 (13.07%) $XRP: 0.8414 (0.69%) $ETH: 2968.17 (2.74%) $LTC: 123.45 (6.8%) $ETC: 47.2886 (22.84%) $EOS: 2.552 (8.37%) $DASH: 133.3899 (7.26%) $ZEC: 174.8 (-2.55%) $XMR: 193.99 (2.04%) $XLM: 0.2084 (3.24%) In $USDT: 1.0005 (0.0%) #crypto #price  https://t.co/D0CBrwxJyt, btc  42405 32  3 72    bch  378 88  13 07    xrp  0 8414  0 69    eth  2968 17  2 74    ltc  123 45  6 8    etc  47 2886  22 84    eos  2 552  8 37    dash  133 3899  7 26    zec  174 8   2 55    xmr  193 99  2 04    xlm  0 2084  3 24   in  usdt  1 0005  0 0    crypto  price   ,0.0
22,1647996224000.0,2022-03-22 17:43:44,Finding out rob had eos announcement too and wafuri is ending support for other languages has me rly pessimistic about cygames ngl,finding out rob had eos announcement too and wafuri is ending support for other languages has me rly pessimistic about cygames ngl,-0.125
23,1647996176000.0,2022-03-22 17:42:56,$EOS~If you really want to make huge profits on trading then check out this chat;  https://t.co/IPPdKluazF, eos if you really want to make huge profits on trading then check out this chat    ,0.30000000000000004
24,1647996153000.0,2022-03-22 17:42:33,Attention EOS R5 C owners  https://t.co/YUQuNBFdBW  https://t.co/fSD0mOdkLO,attention eos r5 c owners      ,0.0
