,created_at,tweet
0,2022-04-08 16:59:55,"#MATIC - long alert 💵💸  Exchange     : FTX Market         : $MATIC - $PERP Volume        : $220,297 Price            : $1.4349  $BTC #BTC $ETH #ETH  For live Whale Trade Flow, check -  https://t.co/qEq8Ymgdoc  https://t.co/WHPFX9TU70"
1,2022-04-08 16:59:54,"$ETH seeing an uptick in chatter on 4chan over the last 24 hours

Via  https://t.co/1HNCqSuJnF

#eth    #4chan  #cryptocurrency  https://t.co/OPZCpepNpX"
2,2022-04-08 16:59:50,@DVL_eth @ApeLiquidio @thebunnybuddies Good stuff!!  https://t.co/iJjRHRDmUG
3,2022-04-08 16:59:49,@waleadebisip Happy C day brody 👏🏾 More life &amp; Eth to collate ✌🏾
4,2022-04-08 16:59:44,@Mikorin_eth @los_muertosNFT @web3faith Tus muertos están completamente locos! @charlesSG4L 👌🏻 check it out! #muertofollowmuerto
5,2022-04-08 16:59:44,@trisnt_eth @MindblowonNFT @1_8ote @CruelOliva @Abstract0x @NFTDegenBanned
6,2022-04-08 16:59:43,"@UtdFaithfuls If MUFC really want ETH let him do it his way and start the rebuild. They cannot actually say what the MUFC board has been doing worked, so change course now"
7,2022-04-08 16:59:43,Pedro Gallese bought for 0.45 ETH (1441.84$) on the secondary market   Season: 2020-2021 Level: 11 Serial: 21/100 Price: 1441.84$  ⚽ Sorare:  https://t.co/6c6FpBzFbc  📊:  https://t.co/bTRZOiCQyA  #Sorare #NFT #Ethereum #FantasyFootball
8,2022-04-08 16:59:42,"@moistest_eth @InvDen @JRNYclub @JRNYcrypto I might suss this out, knew about the buy but I want to fact check the first bit"
9,2022-04-08 16:59:41,"ETH gas price dropped to 44.087460515 GWei. It's time to claim rewards, create $STRNGR node and pay fees."
10,2022-04-08 16:59:41,"What is Chainlink? If you don’t already know, here’s a fun video to check out:   https://t.co/jNZpbY2MvV  #defiangels #DeFi #Video #CHAINLINK #ETH"
11,2022-04-08 16:59:40,@GranMag0 Prefiero el #ETH
12,2022-04-08 16:59:40,@Takashimurakai Lucky Lucky Lucky  give me eth ❤🎉🥳🍀 0xED612ff8F66668AF51A707D6F5fd66C326F08198
