,created_at,date,tweet
0,1649635199000.0,2022-04-10 16:59:59,📈 ETHUSD BUY signal now (severity: 3) #eth #crypto #DCA #TradingSignals #BTC #Bitcoin 10/4/2022@23:59:59
1,1649635198000.0,2022-04-10 16:59:58,@ProjectDarkEye @Kuchar_ETH @Ddulliong @kushler3 @TJEC17 @xiaokun1w
2,1649635198000.0,2022-04-10 16:59:58,@SHINRAMEN_eth @LonelyLegendNFT @opsdeed @Chenshiyan0721 @xiaoyi1120 @tpfg01
3,1649635197000.0,2022-04-10 16:59:57,@MintOfTheDay @dskullys @Meemy_degen @mnl11_eth
4,1649635197000.0,2022-04-10 16:59:57,"#TRXDOWNUSDT Bear Alert!  5X Volume Price:      9.463 5-min %: -0.74% Volume:  $5,853   #crypto #whale #btc #eth #TRXDOWN $TRXDOWN  https://t.co/TmumTfYGAi"
5,1649635196000.0,2022-04-10 16:59:56,"#LINK - long alert 🤩🤩  Exchange     : FTX Market         : $LINK - $PERP Volume        : $176,404 Price            : $15.244  $BTC #BTC $ETH #ETH  For live Whale Trade Flow, check -  https://t.co/qEq8Ymgdoc  https://t.co/gIYaNiYSiT"
6,1649635196000.0,2022-04-10 16:59:56,"🚨 - ozark just bought #6132 for 28.95 ETH ($93,501.55)  Collection: Mutant Ape Yacht Club Date: 2022-04-10 23:03:22 (GMT 0)  Detail:  https://t.co/w3O6AH6myR  https://t.co/6qBTO12gSN"
7,1649635196000.0,2022-04-10 16:59:56,@SHINRAMEN_eth @LonelyLegendNFT @hellobooy1 @johnwickimsi @recepivediknft1
8,1649635195000.0,2022-04-10 16:59:55,"@Strangers_Kojo @marcn_eth, @IamCelliBoyy, @mf2hda, @MarcusDamas"
9,1649635194000.0,2022-04-10 16:59:54,@GideonIsrael18 @stellargate_io @BigMouthMeta @NFTGiveawayFam @sunwen27627426 @Furmosa1 @Noora_eth
10,1649635193000.0,2022-04-10 16:59:53,@nero9351 @NANOPASS_Kai @nanoverseHQ @we_are_clay_ @ETH_Vincent @yyh1105  @yunliu98304444  @yunjuzhirui1
11,1649635193000.0,2022-04-10 16:59:53,Join me in my Space!  https://t.co/Q6Qsbt8Owb
12,1649635192000.0,2022-04-10 16:59:52,@sncollectorclub @VitalikButerin @BryanAppio @JasonJape @ImranKhanPTI @realpreityzinta
13,1649635191000.0,2022-04-10 16:59:51,@brettcovington @soy_eth  https://t.co/lvyRmRN9M7
14,1649635191000.0,2022-04-10 16:59:51,⭐️ Drop your best #ETH #NFT ⭐️
15,1649635191000.0,2022-04-10 16:59:51,"#ALICEUSDT Bear Alert!  5X Volume Price:      6.56 5-min %: -0.76% Volume:  $237,577   #crypto #whale #btc #eth #ALICE $ALICE  https://t.co/VVOt7hBi12"
16,1649635190000.0,2022-04-10 16:59:50,@Jopromote @884_eth Done  https://t.co/wuwwjXKvr2
17,1649635190000.0,2022-04-10 16:59:50,@NodeSenpai @contexiafinance @neon_eth @snowboardfly @StollySteve
18,1649635190000.0,2022-04-10 16:59:50,"@inth3mud @gangsterallstar @white__eth @NFT_Dionysus @CryptoEr1cc @SickoTy I know, right ?  $40 + $30 for expedited shipping  I don’t care - it was worth it and I wear it when going for walks or eat out lol"
19,1649635189000.0,2022-04-10 16:59:49,"@DegenGolfer_ETH @LazyAlerts @LazyLionsNFT Yes you do, king!"
20,1649635188000.0,2022-04-10 16:59:48,"#DENTUSDT Bear Alert!  5X Volume Price:      0.002804 5-min %: -0.6% Volume:  $291,409   #crypto #whale #btc #eth #DENT $DENT  https://t.co/PuKuBGehhG"
21,1649635187000.0,2022-04-10 16:59:47,@SHINRAMEN_eth @LonelyLegendNFT @hangarmodels @lugoza88 @hardianto_tjoa @sofiehagel @dai_boneca_love
22,1649635187000.0,2022-04-10 16:59:47,$eth looking good to short  https://t.co/jlzMecPEEq
23,1649635187000.0,2022-04-10 16:59:47,Closed Position: 0.5000 ETH long on BTC-USD at 42124 (50×). P/L: -0.00288 ETH (-$9.21)
24,1649635186000.0,2022-04-10 16:59:46,🐱 Chum Chums #3158 sold for 0.055 ETH! Buyer: Snazzy Seller: pubsub   https://t.co/N8IskRamRm
