,created_at,date,tweet,Processed Tweet,Polarity
0,1647996951000.0,2022-03-22 17:55:51,"#ShibaInu price underperforms Bitcoin, Ethereum, and the broader crypto market  https://t.co/rPiSbvDqqb #shib #crypto $shibainu $shibusd", shibainu price underperforms bitcoin  ethereum  and the broader crypto market     shib  crypto  shibainu  shibusd,0.0
1,1647996950000.0,2022-03-22 17:55:50,"When ETH moves, it's leaving the ENTIRE crypto space in the dust! #btc #crypto #bitcoin #eth #ethereum   https://t.co/bA27BXFjtZ",when eth moves  it s leaving the entire crypto space in the dust   btc  crypto  bitcoin  eth  ethereum    ,0.0
2,1647996942000.0,2022-03-22 17:55:42,You may purchase my nOLA#222 NFT on Rarible now  https://t.co/0js4HjPAhZ #rarible #ethereum #nonfungible #digitalasset #nft via @rarible,you may purchase my nola 222 nft on rarible now     rarible  ethereum  nonfungible  digitalasset  nft via  ,0.0
3,1647996930000.0,2022-03-22 17:55:30,2935) Current #Bitcoin Price is $42398 #BTC #Crypto Indicators Daily: -RSI: 56.6 -MA(20): 40120 -MA(50): 40702 -MA(200): 48349 -Bollinger B. lower/upper: 37099/43141  Current #Ethereum Price is $2973 #ETH -RSI: 59.4 -MA(20): 2713 -MA(50): 2810 -MA(200): 3498 -BB: 2387/3039,2935  current  bitcoin price is  42398  btc  crypto indicators daily   rsi  56 6  ma 20   40120  ma 50   40702  ma 200   48349  bollinger b  lower upper  37099 43141  current  ethereum price is  2973  eth  rsi  59 4  ma 20   2713  ma 50   2810  ma 200   3498  bb  2387 3039,0.0
4,1647996925000.0,2022-03-22 17:55:25,"The $ETH price is at $2,971.45 right now. 🟢 Compared to the last tweet, the price has increased by $7.1 (0.24%). 🟢 In the last 24 hours the price has increased by $67.06 (2.31%).  #Ethereum #ETH  https://t.co/8ANuzc1lUv",the  eth price is at  2 971 45 right now    compared to the last tweet  the price has increased by  7 1  0 24      in the last 24 hours the price has increased by  67 06  2 31      ethereum  eth   ,0.09523809523809523
5,1647996925000.0,2022-03-22 17:55:25,Look what I found! MaleMasK29 collectible  https://t.co/aE9m0GESKz #rarible #ethereum #nonfungible #digitalasset #nft via @rarible,look what i found  malemask29 collectible     rarible  ethereum  nonfungible  digitalasset  nft via  ,-0.5
6,1647996908000.0,2022-03-22 17:55:08,#Horizen $zen Price: $46.27 24 hr: +7.26%  Main Trend: UP📈 Short Term Trend: UP📈 Areas of Support Hold Above: $45.77  👀 Levels of interest Longer Term    : $68.57 Caution Below  : $41.60  #ETHEREUM leads Alts, horizen  zen price   46 27 24 hr   7 26   main trend  up  short term trend  up  areas of support hold above   45 77    levels of interest longer term       68 57 caution below     41 60   ethereum leads alts,0.05555555555555555
7,1647996904000.0,2022-03-22 17:55:04,hoy compré mi primer NFT en Ethereum  @majeokey feels good,hoy compr  mi primer nft en ethereum    feels good,0.7
8,1647996899000.0,2022-03-22 17:54:59,@CryptoWil34 @proofofhumanity @ethereum Were you able to get vouched?,      were you able to get vouched ,0.5
9,1647996895000.0,2022-03-22 17:54:55,Requesting faucet funds into 0xC24E2B77003c132862EAE758475F8Bd341EC7533 on the #Goerli #Ethereum test network via  https://t.co/05jidELbRs,requesting faucet funds into 0xc24e2b77003c132862eae758475f8bd341ec7533 on the  goerli  ethereum test network via   ,0.0
10,1647996872000.0,2022-03-22 17:54:32,"Ethereum, buoyed by Merge upgrade, is currently outperforming Bitcoin  https://t.co/GzlRjKYj37",ethereum  buoyed by merge upgrade  is currently outperforming bitcoin   ,0.0
11,1647996872000.0,2022-03-22 17:54:32,You may purchase my inverted tree pose NFT on Rarible now  https://t.co/8fKcDruFyr #rarible #ethereum #nonfungible #digitalasset #nft via @rarible,you may purchase my inverted tree pose nft on rarible now     rarible  ethereum  nonfungible  digitalasset  nft via  ,0.0
12,1647996871000.0,2022-03-22 17:54:31,"Trending on #LunarCrush:  ""Ethereum Classic ha subido un 75% en 8 días, pero ¿migrarán los mineros de ETH tras el “Fifthening” "" via @CointelegraphEn  Top coin mentions $eth $etc   https://t.co/qIZVgZa0Ak",trending on  lunarcrush    ethereum classic ha subido un 75  en 8 d as  pero  migrar n los mineros de eth tras el  fifthening    via    top coin mentions  eth  etc    ,0.3333333333333333
13,1647996870000.0,2022-03-22 17:54:30,2934) Current #Bitcoin Price is $42420 #BTC #Crypto Indicators Daily: -RSI: 56.7 -MA(20): 40121 -MA(50): 40703 -MA(200): 48350 -Bollinger B. lower/upper: 37097/43146  Current #Ethereum Price is $2975 #ETH -RSI: 59.6 -MA(20): 2713 -MA(50): 2810 -MA(200): 3498 -BB: 2387/3040,2934  current  bitcoin price is  42420  btc  crypto indicators daily   rsi  56 7  ma 20   40121  ma 50   40703  ma 200   48350  bollinger b  lower upper  37097 43146  current  ethereum price is  2975  eth  rsi  59 6  ma 20   2713  ma 50   2810  ma 200   3498  bb  2387 3040,0.0
14,1647996860000.0,2022-03-22 17:54:20,"ETHEREUM PRICE PREDICTION  PRICE : FALL⤵ in 60 min. Target price : 2,944.38 USDT SELL 2.0 ETH for 2,974.12 USDT apiece on Binance Amount: 5,948 USDT Latest 10 results[Win/Lose] : WWLWLWLLWL  #Ethereum #ETH #Binance  https://t.co/hlcM7LCbXN",ethereum price prediction  price   fall  in 60 min  target price   2 944 38 usdt sell 2 0 eth for 2 974 12 usdt apiece on binance amount  5 948 usdt latest 10 results win lose    wwlwlwllwl   ethereum  eth  binance   ,0.65
15,1647996858000.0,2022-03-22 17:54:18,What is more attractive in a monthly 1 ethereum raffle? Asking for a friend @SkullzKandy,what is more attractive in a monthly 1 ethereum raffle  asking for a friend  ,0.65
16,1647996854000.0,2022-03-22 17:54:14,"ETHEREUM PREDICTION RESULT  BUY 2.0 ETH for 2,974.85 It was SOLD for 2,972.12 apiece 60 min ago on Binance Amount 5,944 Latest 10 results[Win/Lose]: WWLWLWLLWL  Trade Profit: -5.5 Daily   : 72(1.2%) Monthly: 442(7.4%)  #Ethereum #ETH #Binance   https://t.co/XUhqBKHto1  https://t.co/eV2QQ6efpE",ethereum prediction result  buy 2 0 eth for 2 974 85 it was sold for 2 972 12 apiece 60 min ago on binance amount 5 944 latest 10 results win lose   wwlwlwllwl  trade profit   5 5 daily     72 1 2   monthly  442 7 4     ethereum  eth  binance       ,0.43333333333333335
17,1647996845000.0,2022-03-22 17:54:05,"NFT market is male dominated, with only 5% of creators being women. The LGBTQ? It’s even less, it’s time to represent! Celebrate diversity, love and acceptance with us at  https://t.co/80uP2vTwXM 🌈  #pridenft #gaynft #queernft #nftdrop #nftproject #newnft #ethereum #pride  https://t.co/NFimjDAU1u",nft market is male dominated  with only 5  of creators being women  the lgbtq  it s even less  it s time to represent  celebrate diversity  love and acceptance with us at        pridenft  gaynft  queernft  nftdrop  nftproject  newnft  ethereum  pride   ,0.08333333333333334
18,1647996843000.0,2022-03-22 17:54:03,follow me on Rarible  🌿🌿🌿🌿🌿🌿🌿🌿🌿🌿🌿  You may purchase my JOKER 14 NFT on Rarible now  https://t.co/Dm76N1l69W #rarible #ethereum #nonfungible #digitalasset #nft via @rarible,follow me on rarible               you may purchase my joker 14 nft on rarible now     rarible  ethereum  nonfungible  digitalasset  nft via  ,0.0
19,1647996840000.0,2022-03-22 17:54:00,"I've just created ""ALFRED DRUM EDITION #03"" collectible!  https://t.co/fha07u2AZc #rarible #ethereum #nonfungible #digitalasset #nft via @rarible",i ve just created  alfred drum edition  03  collectible      rarible  ethereum  nonfungible  digitalasset  nft via  ,-0.5
20,1647996821000.0,2022-03-22 17:53:41,"$ETC  I’m very bullish on Ethereum Classic, think it could do x10 from here.  Current price $47  Target $500  Let’s go 🚀🚀🚀", etc  i m very bullish on ethereum classic  think it could do x10 from here   current price  47  target  500  let s go    ,0.12222222222222223
21,1647996816000.0,2022-03-22 17:53:36,"#Cryptocurrencies Update:  #BTCUSD #Bitcoin $42,393.5 +3.12%  #ETHUSD #Ethereum $2,972.78 +2.38%  #LTCUSD #Litecoin $123.200 +4.94% #XRPUSD #Ripple $0.84220 +0.84%   #Cryptos   Visit FP Markets:  https://t.co/y5S0edmnIl  https://t.co/yLshcNtCYs", cryptocurrencies update    btcusd  bitcoin  42 393 5  3 12    ethusd  ethereum  2 972 78  2 38    ltcusd  litecoin  123 200  4 94   xrpusd  ripple  0 84220  0 84     cryptos   visit fp markets       ,0.0
