,created_at,date,tweet,Processed Tweet,Polarity
0,1647996741000.0,2022-03-22 17:52:21,"@hassping @iota In this case, My firefly is set to English, and the language of the OS is Chinese.",    in this case  my firefly is set to english  and the language of the os is chinese ,0.0
1,1647996733000.0,2022-03-22 17:52:13,"Pitiful. I’m sure whatever they’re doing for these poor people could be accomplished with a basic RDBMS for one iota of the price, complexity, and carbon footprint. Actually, not pitiful. Shameful.",pitiful  i m sure whatever they re doing for these poor people could be accomplished with a basic rdbms for one iota of the price  complexity  and carbon footprint  actually  not pitiful  shameful ,0.06
2,1647996634000.0,2022-03-22 17:50:34,@CryptoFinally #IOTA,   iota,0.0
3,1647996553000.0,2022-03-22 17:49:13,@JoJoFromJerz He did nothing to woman.  Per FBI and every other news source that hasn't found a single iota of evidence to say otherwise,  he did nothing to woman   per fbi and every other news source that hasn t found a single iota of evidence to say otherwise,-0.09821428571428571
4,1647996299000.0,2022-03-22 17:44:59,@Magic_MemeMoney @munkiilab @DomSchiener @iota Wow this project is absolutely AMAZING AND COOL  0xAa516220E15f2FCBF5c1b7754148dEbbe4777150  I want it please THANKS......!!!!!,  mememoney       wow this project is absolutely amazing and cool  0xaa516220e15f2fcbf5c1b7754148debbe4777150  i want it please thanks           ,0.3125
5,1647996271000.0,2022-03-22 17:44:31,@RoadMN @Wolfiesmom @FoodNetwork Odd that you don't (or can't) comprehend the difference between someone trying to find out how SHE can prevent HERSELF from having to pay for something SHE doesn't want - and someone affecting your life one iota. You're the one meddling. Feel free to step right off.,      odd that you don t  or can t  comprehend the difference between someone trying to find out how she can prevent herself from having to pay for something she doesn t want   and someone affecting your life one iota  you re the one meddling  feel free to step right off ,0.17301587301587304
6,1647996186000.0,2022-03-22 17:43:06,"Not an exaggeration. ASININE to take the kid -- who you don't have to worry about one iota -- out of the lineup over a guy who can't skate OR move the puck (Nemeth).  Braun can't skate either, which makes this a disaster.  What the FUCK were they thinking with this???",not an exaggeration  asinine to take the kid    who you don t have to worry about one iota    out of the lineup over a guy who can t skate or move the puck  nemeth    braun can t skate either  which makes this a disaster   what the fuck were they thinking with this   ,-0.4
7,1647996158000.0,2022-03-22 17:42:38,@_iota_ おはようございます🤖🔥💧🌱,  iota               ,0.0
8,1647996084000.0,2022-03-22 17:41:24,"@hassping @iota @IOTASupport @IOTAcontentDAO @IotaWeekly @soon_labs @zentangle_io Which part of the image has been tampered, Point it out. https://t.co/tEMWo5P1Ez",            labs   io which part of the image has been tampered  point it out   ,0.0
9,1647996000000.0,2022-03-22 17:40:00,@goodlimediner @JoLuehmann Your moralizing makes not an iota of difference to reality. Who are you complaining to exactly? God? The ICC? The Smithsonian?,    your moralizing makes not an iota of difference to reality  who are you complaining to exactly  god  the icc  the smithsonian ,-0.024999999999999994
10,1647995987000.0,2022-03-22 17:39:47,"@Mafia_x_Kitty @iota @IOTASupport @IOTAcontentDAO @IotaWeekly @soon_labs @zentangle_io I asked you 3 times to send the original screenshot without the address scratched and you send me a private message with tampered image, and then you posted a tampered gift. Just send the address and the messageID, if everything matches we refund.",  x kitty           labs   io i asked you 3 times to send the original screenshot without the address scratched and you send me a private message with tampered image  and then you posted a tampered gift  just send the address and the messageid  if everything matches we refund ,0.1875
11,1647995978000.0,2022-03-22 17:39:38,"@mmpadellan Also, imagine the blowback if Judge Jackson showed an iota of the arrogance, disdain and lack of emotional control Beer Bro did when he flipped out, snarled and had a melt down at his hearing about HIS OWN sexual assault allegation. White male privilege at it’s finest.",  also  imagine the blowback if judge jackson showed an iota of the arrogance  disdain and lack of emotional control beer bro did when he flipped out  snarled and had a melt down at his hearing about his own sexual assault allegation  white male privilege at it s finest ,0.1574074074074074
12,1647995909000.0,2022-03-22 17:38:29,@JustTheFacts103 @DomSchiener I suggest listening to this for the latest of what their working on with partners.  https://t.co/faiyb786IC  Bosch is no longer in active development with IOTA.,    i suggest listening to this for the latest of what their working on with partners      bosch is no longer in active development with iota ,0.18333333333333335
13,1647995903000.0,2022-03-22 17:38:23,@encoreedusud D’un iota* pas d’un hiatus non ?,  d un iota  pas d un hiatus non  ,0.0
