,created_at,date,tweet,Processed Tweet
0,1647832174000.0,2022-03-20 20:09:34,MEU DEUS O ELI NAO ACERTA NEM A ROLETA MEU DEUS DO CÉU,meu deus o eli nao acerta nem a roleta meu deus do c u
1,1647832173000.0,2022-03-20 20:09:33,Nem acredito que eu vou pro lollaaaaaa,nem acredito que eu vou pro lollaaaaaa
2,1647832173000.0,2022-03-20 20:09:33,"eu fico pensando, será que essa menina fica o tempo todo no meu insta atualizando a página pra ver meus trem? pq não tem lógica, nem me segue e vê todos os stories enfim, a fã",eu fico pensando  ser  que essa menina fica o tempo todo no meu insta atualizando a p gina pra ver meus trem  pq n o tem l gica  nem me segue e v  todos os stories enfim  a f 
3,1647832173000.0,2022-03-20 20:09:33,"@Jubszzs Simmm jubs, ele é pitico q nem você  🤏🤏",  simmm jubs  ele   pitico q nem voc     
4,1647832173000.0,2022-03-20 20:09:33,NEM QUANDO O MALUCO COLOCA MENOS FORÇA KKKKKKKKKKKK,nem quando o maluco coloca menos for a kkkkkkkkkkkk
5,1647832173000.0,2022-03-20 20:09:33,@g1daANlTTA Nunca fizeram isso com nem um lançamento da karol kkkkk,  nunca fizeram isso com nem um lan amento da karol kkkkk
6,1647832173000.0,2022-03-20 20:09:33,Na vida eu sou azarada que nem o eli 🫣,na vida eu sou azarada que nem o eli  
7,1647832173000.0,2022-03-20 20:09:33,nem tô mais com vontade de acompanhar mas nesse paredão sou fica laís,nem t  mais com vontade de acompanhar mas nesse pared o sou fica la s
8,1647832173000.0,2022-03-20 20:09:33,"@MadugomesCRF verdade,mas,ele n acerta nem um número kkkkkkkk",  verdade mas ele n acerta nem um n mero kkkkkkkk
9,1647832173000.0,2022-03-20 20:09:33,Nem quando torço pra um lollipop eles conseguem ganhar alguma prova pqp Eli!,nem quando tor o pra um lollipop eles conseguem ganhar alguma prova pqp eli 
10,1647832172000.0,2022-03-20 20:09:32,amn eu nn vou querer nem levantar,amn eu nn vou querer nem levantar
11,1647832172000.0,2022-03-20 20:09:32,NEM FUDENDOOOO HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHHHAHAHAHAHAHAHAHAHAHAHAHA,nem fudendoooo hahahahahahahahahahahahahahahahahahahhhahahahahahahahahahahaha
12,1647832172000.0,2022-03-20 20:09:32,nem descansei e já é segunda,nem descansei e j    segunda
13,1647832172000.0,2022-03-20 20:09:32,"o eli desesperando e tentando aliviar fazendo piada, nem gosto dele e to com dó",o eli desesperando e tentando aliviar fazendo piada  nem gosto dele e to com d 
14,1647832172000.0,2022-03-20 20:09:32,O lolipop nem na roleta consegue ganhar kkkkkk,o lolipop nem na roleta consegue ganhar kkkkkk
15,1647832172000.0,2022-03-20 20:09:32,Nem ferrando kkkkkkk tenta mais não coitado mkmmm,nem ferrando kkkkkkk tenta mais n o coitado mkmmm
16,1647832170000.0,2022-03-20 20:09:30,A prova nem acabou mas já pode começar a votar na Laís? Kkk,a prova nem acabou mas j  pode come ar a votar na la s  kkk
17,1647832170000.0,2022-03-20 20:09:30,Se o boninho não tivesse manipulado o resultado da casa d vidro esse Gustavo lixo não ia tá nem ali #bbb22,se o boninho n o tivesse manipulado o resultado da casa d vidro esse gustavo lixo n o ia t  nem ali  bbb22
18,1647832170000.0,2022-03-20 20:09:30,Vai até de manhã isso aí e no final nem vai fazer diferença,vai at  de manh  isso a  e no final nem vai fazer diferen a
19,1647832170000.0,2022-03-20 20:09:30,o dg tentando todas sendo que nem tem premio,o dg tentando todas sendo que nem tem premio
20,1647832170000.0,2022-03-20 20:09:30,"eu amo quando minha mãe trás pizza do trabalho dela, não faço nem esforço em tentar não comer kkkkkk",eu amo quando minha m e tr s pizza do trabalho dela  n o fa o nem esfor o em tentar n o comer kkkkkk
21,1647832170000.0,2022-03-20 20:09:30,queria que alguém insistisse em mim que nem o dg insiste no 18,queria que algu m insistisse em mim que nem o dg insiste no 18
22,1647832170000.0,2022-03-20 20:09:30,dg nem se concentra,dg nem se concentra
23,1647832170000.0,2022-03-20 20:09:30,@KaioNocetti Nem falo nada rs,  nem falo nada rs
24,1647832169000.0,2022-03-20 20:09:29,@caroltuittaa Só mostra que é doente por alguém que não tá nem aí pra ela!,  s  mostra que   doente por algu m que n o t  nem a  pra ela 
25,1647832169000.0,2022-03-20 20:09:29,"@balaoyas13 Minha mãe com 4 anos me colocou na creche, e no primeiro dia eu consegui me esconder atrás do escorrego, e fugi. Fui correndo p casa e quando cheguei minha mãe tava no meio do caminho indo p algum lugar! Eu gritei ela e eu ACHO q ela surtou lá na creche pq nem viram eu fugir kkk",  minha m e com 4 anos me colocou na creche  e no primeiro dia eu consegui me esconder atr s do escorrego  e fugi  fui correndo p casa e quando cheguei minha m e tava no meio do caminho indo p algum lugar  eu gritei ela e eu acho q ela surtou l  na creche pq nem viram eu fugir kkk
26,1647832169000.0,2022-03-20 20:09:29,KKKKKKKKKKKKKKKKKK NEM O TADEU TA AGUENTANDO  se eli tá se fodendo eu tô feliz,kkkkkkkkkkkkkkkkkk nem o tadeu ta aguentando  se eli t  se fodendo eu t  feliz
27,1647832169000.0,2022-03-20 20:09:29,Minha hora tá que nem a do Eli em questão de sorte. Coitado...  #BBB222 #bbb,minha hora t  que nem a do eli em quest o de sorte  coitado      bbb222  bbb
28,1647832169000.0,2022-03-20 20:09:29,"@pietr0reis_ @uepaakkhmjjj eu tb sou, nem por isso falo a língua de lá",     eu tb sou  nem por isso falo a l ngua de l 
29,1647832169000.0,2022-03-20 20:09:29,nem deus ta do lado do eliezer #bbb22,nem deus ta do lado do eliezer  bbb22
30,1647832169000.0,2022-03-20 20:09:29,"@CarlosBolsonaro @brom_elisa Vou dizer uma coisa. Terceira Via já não existe. No final das contas, o Capitão e o Ladrão. O Nine não aguenta nem o primeiro round. Como você imagina um debate presidencial entre ambos??? #bolsonaroeleitonoprimeiroturno",    elisa vou dizer uma coisa  terceira via j  n o existe  no final das contas  o capit o e o ladr o  o nine n o aguenta nem o primeiro round  como voc  imagina um debate presidencial entre ambos     bolsonaroeleitonoprimeiroturno
31,1647832169000.0,2022-03-20 20:09:29,@folha Que fique bem claro a Rússia de que jair bolsonaro não representa os cidadãos de bem do Brasil.  O que diz ou deixa de dizer não tem nem um pingo de valor.  #ForaBolsonaroESeuBandoDeCriminosos  #ForaBolsonaroESuasCadelas,  que fique bem claro a r ssia de que jair bolsonaro n o representa os cidad os de bem do brasil   o que diz ou deixa de dizer n o tem nem um pingo de valor    forabolsonaroeseubandodecriminosos   forabolsonaroesuascadelas
32,1647832169000.0,2022-03-20 20:09:29,"@Lokotuita @instacinefilos Rapaz, nem dublê é igual ao Jack Chan. Os caras têm amor a vida.",    rapaz  nem dubl    igual ao jack chan  os caras t m amor a vida 
33,1647832169000.0,2022-03-20 20:09:29,"@_soujhs @0800Cleb @Astronomiaum Mano não tenho mais o q falar contigo, vc aparenta nem reconhece o quão grande é o nosso país e creio q esse assunto do PIB já foi encerrado.. vlw ai e Boa Noite!",  soujhs     mano n o tenho mais o q falar contigo  vc aparenta nem reconhece o qu o grande   o nosso pa s e creio q esse assunto do pib j  foi encerrado   vlw ai e boa noite 
34,1647832169000.0,2022-03-20 20:09:29,NEM FERRANDO KKKKKKKKKKK #BBB22,nem ferrando kkkkkkkkkkk  bbb22
35,1647832169000.0,2022-03-20 20:09:29,"entra uma no cu da outra ó ó, tô nem aí",entra uma no cu da outra      t  nem a 
