,created_at,date,tweet,Processed Tweet,Polarity
0,1647996907000.0,2022-03-22 17:55:07,@MoonAlgo Had huge problems moving #Algorand from #CoinZoom and they’re small. Finally switched to tether moved it to #binance and re bought then sent it to my algo wallet easily. What a pain in the ass,  had huge problems moving  algorand from  coinzoom and they re small  finally switched to tether moved it to  binance and re bought then sent it to my algo wallet easily  what a pain in the ass,0.14583333333333337
1,1647996869000.0,2022-03-22 17:54:29,"Lots of talk re; the 14th amendment. This is due to how it affects privacy rights, which is a critical tether with regards to everything from freedom of speech to abortion rights.",lots of talk re  the 14th amendment  this is due to how it affects privacy rights  which is a critical tether with regards to everything from freedom of speech to abortion rights ,-0.0625
2,1647996860000.0,2022-03-22 17:54:20,"Tether (USDT) Is Hinting at Big Moves Coming for Crypto, According to Analytics Firm – Here’s Why  https://t.co/Ly5s4ePZAI",tether  usdt  is hinting at big moves coming for crypto  according to analytics firm   here s why   ,-0.1
3,1647996571000.0,2022-03-22 17:49:31,@atlach7 Tether = old financial system.  It is backed by treasury bills for fuk sake.,  tether   old financial system   it is backed by treasury bills for fuk sake ,0.05
4,1647996537000.0,2022-03-22 17:48:57,"@JustinBennettFX It really doesn’t matter, probably years ago when tether was the only stable coin. But usdc and ust and others have caught up so much tether solely is irrelevant. Maybe add up all the stable and then use that metric?",  it really doesn t matter  probably years ago when tether was the only stable coin  but usdc and ust and others have caught up so much tether solely is irrelevant  maybe add up all the stable and then use that metric ,-0.024999999999999994
5,1647996526000.0,2022-03-22 17:48:46,Okay so like did nothing ever happen with tether? Or is it still ongoing?,okay so like did nothing ever happen with tether  or is it still ongoing ,0.5
6,1647996507000.0,2022-03-22 17:48:27,@Sovrynlord You're missing instant swaps between Bitcoin and Tether all within the lightning network. Tether could be on-boarded to the lightning network increasing adoption and use cases.,  you re missing instant swaps between bitcoin and tether all within the lightning network  tether could be on boarded to the lightning network increasing adoption and use cases ,-0.1
7,1647996506000.0,2022-03-22 17:48:26,"@Mon3yMik3y @TheRyanLion not 1-1 USDC maybe but last I checked 60+% of Tethers collateral is corporate paper, T-Bills, etc. So if everyone tried to sell right now they'd be fucked, they could open a line of credit against that equity to pay some redemptions but not enough to cover 100%",    not 1 1 usdc maybe but last i checked 60   of tethers collateral is corporate paper  t bills  etc  so if everyone tried to sell right now they d be fucked  they could open a line of credit against that equity to pay some redemptions but not enough to cover 100 ,-0.05238095238095238
8,1647996435000.0,2022-03-22 17:47:15,@BitcoinIsaiah @Boatus4 @Tether_to Crypto bros know the price of everying but the value of nothing.,      to crypto bros know the price of everying but the value of nothing ,0.0
9,1647996320000.0,2022-03-22 17:45:20,"@ODELL @gladstein @____bam____ @Synonym_to @omnibolt @Omni_Layer @Tether_to @OpenSats The peg is, not the token, no?",         bam       to     layer   to   the peg is  not the token  no ,0.0
10,1647996226000.0,2022-03-22 17:43:46,@josh_418 @Tether_to Duh 🙄,  418   to duh  ,-0.3
11,1647996091000.0,2022-03-22 17:41:31,@Senor_Robato @BitcoinIsaiah @Boatus4 @Tether_to Charts as in # of transactions per day and average fee per transaction?  https://t.co/mdU2vrOokM,  robato       to charts as in   of transactions per day and average fee per transaction    ,-0.15
12,1647996062000.0,2022-03-22 17:41:02,"@tricho33 @BitcoinIsaiah @Boatus4 @Tether_to The only shitcoin not in a bullrun while everything else pumps, lol",        to the only shitcoin not in a bullrun while everything else pumps  lol,0.4
13,1647996011000.0,2022-03-22 17:40:11,@Synonym_to @omnibolt @Omni_Layer @Tether_to This is absolutely amazing well done,  to     layer   to this is absolutely amazing well done,0.6000000000000001
14,1647996007000.0,2022-03-22 17:40:07,Like nice to know that the fact I'm at the end of my tether with the thousand things I have to do is funny. Had to hold a horse as it was fucking put down and I just can't be on here anymore today,like nice to know that the fact i m at the end of my tether with the thousand things i have to do is funny  had to hold a horse as it was fucking put down and i just can t be on here anymore today,0.023611111111111104
15,1647995948000.0,2022-03-22 17:39:08,@Synonym_to @omnibolt @Omni_Layer @Tether_to What does the bitcoin transaction look like in explorer? Would the tx only reveal tokens being exchanged on Omni Explorer?,  to     layer   to what does the bitcoin transaction look like in explorer  would the tx only reveal tokens being exchanged on omni explorer ,0.0
16,1647995875000.0,2022-03-22 17:37:55,"Not the most decisive close for $BTC and $ETH, but Tuesday was the first daily close below the November trend line for $USDT.D (Tether dominance).  https://t.co/C9G23JomqU",not the most decisive close for  btc and  eth  but tuesday was the first daily close below the november trend line for  usdt d  tether dominance     ,0.25
17,1647995851000.0,2022-03-22 17:37:31,@Synonym_to @omnibolt @Omni_Layer @Tether_to @KoreaComK @ojedaancap,  to     layer   to    ,0.0
18,1647995701000.0,2022-03-22 17:35:01,@TheRyanLion heres what ust detractors dont want to admit tether has a 80b market cap with 99% of all tether held on eth tether bought chinese commercial paper and the feds are going aftrr them and they still havent produced an audit when tether blows say goodbye to ethereum for a while,  heres what ust detractors dont want to admit tether has a 80b market cap with 99  of all tether held on eth tether bought chinese commercial paper and the feds are going aftrr them and they still havent produced an audit when tether blows say goodbye to ethereum for a while,0.0
19,1647995564000.0,2022-03-22 17:32:44,@DummiesEconomy Tether yapıp faize versen 3 ayda 1600 usdt kazanırsın😀,  tether yap p faize versen 3 ayda 1600 usdt kazan rs n ,0.0
20,1647995551000.0,2022-03-22 17:32:31,@ODELL @gladstein @____bam____ @Synonym_to @omnibolt @Omni_Layer @Tether_to @OpenSats Why does it need to be in op returns then,         bam       to     layer   to   why does it need to be in op returns then,0.0
21,1647995514000.0,2022-03-22 17:31:54,1: Bitcoin price is $42414.99 (0.09% 1h) 2: Ethereum price is $2971.22 (-0.68% 1h) 3: Tether price is $1.00 (0.00% 1h) 4: BNB price is $405.42 (-0.01% 1h) 5: USD Coin price is $1.00 (-0.04% 1h) 13: Dogecoin price is $0.12 (0.05% 1h),1  bitcoin price is  42414 99  0 09  1h  2  ethereum price is  2971 22   0 68  1h  3  tether price is  1 00  0 00  1h  4  bnb price is  405 42   0 01  1h  5  usd coin price is  1 00   0 04  1h  13  dogecoin price is  0 12  0 05  1h ,0.0
22,1647995512000.0,2022-03-22 17:31:52,"@MichaelPaulEdw1 @Serblockman @landxr33 @BigSeanHarris @Erikcason Tether disappears, headlines of “$80 billion disappears overnight”, exchanges have to shut while they assess, all defi contracts in tether are worthless, every insto on the sideline recoils in horror, and you say Bitcoin 100X’s.  Riiiight.  https://t.co/DU9uzRtt0U",          tether disappears  headlines of   80 billion disappears overnight   exchanges have to shut while they assess  all defi contracts in tether are worthless  every insto on the sideline recoils in horror  and you say bitcoin 100x s   riiiight    ,-0.8
23,1647995472000.0,2022-03-22 17:31:12,@B52Malmet What a baby! A disgruntled unhinged man baby whose tether to reality has come untied!,  what a baby  a disgruntled unhinged man baby whose tether to reality has come untied ,0.0
24,1647995451000.0,2022-03-22 17:30:51,"@Tether_to Dgaf what anyone says, bullish.",  to dgaf what anyone says  bullish ,0.0
25,1647995364000.0,2022-03-22 17:29:24,Either $Luna is the equivalent of the Tether conspiracy in 2016/2017 and pumps us to the moon or it's a massive blowup at the bottom of the bear market. There is no in between,either  luna is the equivalent of the tether conspiracy in 2016 2017 and pumps us to the moon or it s a massive blowup at the bottom of the bear market  there is no in between,0.0
26,1647995229000.0,2022-03-22 17:27:09,@MonetSupply maker blows up when tether does and we all know tether is gonna come down eventually theyve refused to produce an audit and the feds are on their trail thats the bottom line,  maker blows up when tether does and we all know tether is gonna come down eventually theyve refused to produce an audit and the feds are on their trail thats the bottom line,-0.15555555555555559
27,1647995226000.0,2022-03-22 17:27:06,"Dog Crate Alternatives | Indoor Dogs Gates, Tethers, and More  https://t.co/v7PfAL7zIG",dog crate alternatives   indoor dogs gates  tethers  and more   ,0.5
28,1647995118000.0,2022-03-22 17:25:18,Sending Tether USDt on Lightning network ⚡ will have lower transaction costs than you would find when sending USDt on any of these blockchains:  - Bitcoin (Omni) - Liquid network - Ethereum (ERC-20) - Tron (TRC-20) - Solana - Avalanche - Algorand - EOS - Bitcoin Cash (SLP),sending tether usdt on lightning network   will have lower transaction costs than you would find when sending usdt on any of these blockchains     bitcoin  omni    liquid network   ethereum  erc 20    tron  trc 20    solana   avalanche   algorand   eos   bitcoin cash  slp ,0.0
29,1647995104000.0,2022-03-22 17:25:04,"I'm dubious of Tether, but this is actually pretty cool.",i m dubious of tether  but this is actually pretty cool ,0.3
