,created_at,date,tweet,Processed Tweet
0,1647770400000.0,2022-03-20 03:00:00,What is Wrapped Bitcoin (WBTC) crypto and why is it rising? #WrappedBitcoin $WBTC #cryptotrading #cryptocurrencies  https://t.co/35IjANXcd7,what is wrapped bitcoin  wbtc  crypto and why is it rising   wrappedbitcoin  wbtc  cryptotrading  cryptocurrencies   
1,1647720003000.0,2022-03-19 13:00:03,What is Wrapped Bitcoin (WBTC) crypto and why is it rising? #WrappedBitcoin $WBTC #cryptotrading #cryptocurrencies  https://t.co/miMkyr9Pbu,what is wrapped bitcoin  wbtc  crypto and why is it rising   wrappedbitcoin  wbtc  cryptotrading  cryptocurrencies   
2,1647636300000.0,2022-03-18 13:45:00,"*** WBTC ONLINE ***  ➡️ #CoinEx listet $WBTC ⬅️  #WrappedBitcoin  ✅ @coinexcom unterstützt #trading &amp; #AMM  🔸️ #WBTC 🔸️  ▪︎ Ein ERC20-#Token, das 1:1 mit #Bitcoin hinterlegt ist🔝   Rewards ➡️ #WBTCToken  #cryptonews #cryptocurrency #kryptoszene #kryptobranche  https://t.co/hXgP8q7DZn",    wbtc online          coinex listet  wbtc      wrappedbitcoin      unterst tzt  trading  amp   amm      wbtc        ein erc20  token  das 1 1 mit  bitcoin hinterlegt ist    rewards     wbtctoken   cryptonews  cryptocurrency  kryptoszene  kryptobranche   
3,1647576639000.0,2022-03-17 21:10:39,📊 Percentage Returns in 1D &amp; 7D  Marketcap: $10B to $1T  $DOT $XRP $ETH $AVAX $SOL $BNB $BTC $ADA $WBTC $BUSD  Follow @CoinPatrolCom   #Polkadot #XRP #Ethereum #Avalanche #Solana #BNB #Bitcoin #Cardano #WrappedBitcoin #BinanceUSD  https://t.co/MCMib9FTr9,  percentage returns in 1d  amp  7d  marketcap   10b to  1t   dot  xrp  eth  avax  sol  bnb  btc  ada  wbtc  busd  follow      polkadot  xrp  ethereum  avalanche  solana  bnb  bitcoin  cardano  wrappedbitcoin  binanceusd   
4,1647535296000.0,2022-03-17 09:41:36,"% volume change vs. % price change in the last 24 hours for the top 25 cryptos.  Green day overall, with #Avalanche leading the way with a huge volume and price pump. #wrappedbitcoin has taken a back seat since its pump yesterday.  What is happening in #cryptocurrency today?  https://t.co/aUOlFzd8an",  volume change vs    price change in the last 24 hours for the top 25 cryptos   green day overall  with  avalanche leading the way with a huge volume and price pump   wrappedbitcoin has taken a back seat since its pump yesterday   what is happening in  cryptocurrency today    
5,1647492559000.0,2022-03-16 21:49:19,"#WrappedBitcoin is up 4.73% for the day #WBTC is trading at $41,034.45 #USD  For the week, $WBTC is up 2.86% For the month down 5.72% 60 Days down 4.77% 90 Days down 13.9% For the year down 28.26% Year to Date down 13.05% #Dominance 1%  #Cryptonews #Cryptocurrency @WrappedBTC", wrappedbitcoin is up 4 73  for the day  wbtc is trading at  41 034 45  usd  for the week   wbtc is up 2 86  for the month down 5 72  60 days down 4 77  90 days down 13 9  for the year down 28 26  year to date down 13 05   dominance 1    cryptonews  cryptocurrency  
6,1647449759000.0,2022-03-16 09:55:59,"% volume change vs. % price change over the last 24 hours for the top 25 cryptos. Mostly green day, with #Chainlink and #Ethereum leading the way with price change and #wrappedbitcoin leading the way in volume change. What is happening in #cryptocurrency today?  https://t.co/VRKVh8ymuz",  volume change vs    price change over the last 24 hours for the top 25 cryptos  mostly green day  with  chainlink and  ethereum leading the way with price change and  wrappedbitcoin leading the way in volume change  what is happening in  cryptocurrency today    
7,1647357234000.0,2022-03-15 08:13:54,15. $WBTC(#wrappedbitcoin ) 3つの企業によるプロジェクトで、イーサリアム上でBTCを使う事ができるようにしたトークン。BTCとWBTCは同じ価格。eth上で使えるようにすることで、今までは保有するだけ?だたけど、DEFIに使えたりと、使い道が増えた😍👏 価格460万 ランク16位,15   wbtc  wrappedbitcoin   3                       btc                  btc wbtc      eth                              defi                   460     16 
8,1647345613000.0,2022-03-15 05:00:13,📉 Market Trend 📉 The current market trend for #WBTC is bearish 🔻. The #WrappedBitcoin EMA-14 has been below the two longer EMA (30 &amp; 60) lines for over 30 days. 👁️ See:  https://t.co/VuJYMPScV6  https://t.co/mlARKa9DLQ,  market trend   the current market trend for  wbtc is bearish    the  wrappedbitcoin ema 14 has been below the two longer ema  30  amp  60  lines for over 30 days     see       
9,1647318323000.0,2022-03-14 21:25:23,We have detected: #WrappedBitcoin $WBTC was listed as WBTC/USDT on #BitMart,we have detected   wrappedbitcoin  wbtc was listed as wbtc usdt on  bitmart
