,created_at,date,tweet,Processed Tweet,Polarity
0,1649708277000.0,2022-04-11 13:17:57,The advice and knowledge that is shared throughout this Discord is priceless. I've been able to double my account value in a matter of a few weeks; #BTC #ETH $FTM $LRC $CRV $ZIL $RUNE $BORA $HNT $AVAX $VET $OKB $CHSB $KDA $NEXO $MIOTA $SCRT $FTT $SUSHI $AAVE  https://t.co/yYHdTPnizX,the advice and knowledge that is shared throughout this discord is priceless  i ve been able to double my account value in a matter of a few weeks   btc  eth  ftm  lrc  crv  zil  rune  bora  hnt  avax  vet  okb  chsb  kda  nexo  miota  scrt  ftt  sushi  aave   ,0.325
1,1649708274000.0,2022-04-11 13:17:54,"@MacadoTheGreat @Moreaga1865 @ChannelM76 @catrussy valid but,, was i wrong tho? “aren’t finna to steal” doesn’t make sense in aave grammar.",        valid but   was i wrong tho   aren t finna to steal  doesn t make sense in aave grammar ,-0.5
2,1649708190000.0,2022-04-11 13:16:30,@CryptoMichNL AAVE,  aave,0.0
3,1649708129000.0,2022-04-11 13:15:29,@Uniswap $aave is a gem of a protocol,   aave is a gem of a protocol,0.0
4,1649708068000.0,2022-04-11 13:14:28,@sham_1O6 @FinesseEness it’s crucial to cyberbully white celebs for misuse of AAVE before it gets worse ♥️  https://t.co/ei6LiiJMPP,  1o6   it s crucial to cyberbully white celebs for misuse of aave before it gets worse      ,-0.13333333333333333
5,1649708027000.0,2022-04-11 13:13:47,@sourmantics @Speaknowtay1 @taylorus1989 not you talking when olivia will never stop speaking in AAVE,      not you talking when olivia will never stop speaking in aave,0.0
6,1649707997000.0,2022-04-11 13:13:17,@fatassroach @Moreaga1865 @ChannelM76 @catrussy A Sudanese-Kenyan knows nothing about AAVE.,        a sudanese kenyan knows nothing about aave ,0.0
7,1649707990000.0,2022-04-11 13:13:10,@Gemini AAVE keeps going down,  aave keeps going down,-0.15555555555555559
8,1649707944000.0,2022-04-11 13:12:24,"I have had the long-term vision that in pure composable spirit @MakerDAO will be the ultimate source of structured liquidity in DeFi. Exploring D3M-like integrations with protocols like @AaveAave, @compoundfinance, but also @TrustToken, @maplefinance, @goldfinch_fi is the way.",i have had the long term vision that in pure composable spirit   will be the ultimate source of structured liquidity in defi  exploring d3m like integrations with protocols like       but also         fi is the way ,0.054761904761904755
9,1649707905000.0,2022-04-11 13:11:45,"🔍 #Shark12808 deposit $163,898 $AAVE at $162.99  💵 Average deposit price $200.07  💰 Holding $4,899,454 #AAVE account for 1.27% of portfolio  🔗  https://t.co/V8JnAbRFjU",   shark12808 deposit  163 898  aave at  162 99    average deposit price  200 07    holding  4 899 454  aave account for 1 27  of portfolio      ,-0.15
10,1649707825000.0,2022-04-11 13:10:25,Huge news from one of the elite #DEXs in the space: #uniswap is launching a venture capital arm called Uniswap Labs Ventures (ULV) and have already invested in @AaveAave @compoundfinance @MakerDAO @ensdomains + others! #crypto #cryptonews #VentureCapital #ULV  https://t.co/C8YGYtrknX,huge news from one of the elite  dexs in the space   uniswap is launching a venture capital arm called uniswap labs ventures  ulv  and have already invested in           others   crypto  cryptonews  venturecapital  ulv   ,0.4000000000000001
11,1649707796000.0,2022-04-11 13:09:56,$AAVE ~Earnings reports today before the markets open🤍🤍.  https://t.co/QkOyuBiDAh, aave  earnings reports today before the markets open      ,0.0
12,1649707770000.0,2022-04-11 13:09:30,"@FinesseEness one of my friends use AAVE so much its very worrying, shes mexican ☹️",  one of my friends use aave so much its very worrying  shes mexican   ,0.13333333333333333
13,1649707739000.0,2022-04-11 13:08:59,@lakho_mei_ek @Populardrishti Paisa thi ek to maan vadhi gyu hoy samaj ma to hve aene vadhu maan ni talash hoy je lagan thi aave aem hoy ane e pn dholi 6okri hare kare to to ...,  mei ek   paisa thi ek to maan vadhi gyu hoy samaj ma to hve aene vadhu maan ni talash hoy je lagan thi aave aem hoy ane e pn dholi 6okri hare kare to to    ,0.0
14,1649707708000.0,2022-04-11 13:08:28,@celine_dionysus I think it's not even appropriated AAVE?,  dionysus i think it s not even appropriated aave ,0.0
15,1649707680000.0,2022-04-11 13:08:00,@innieP_luche my aave king,  luche my aave king,0.0
16,1649707671000.0,2022-04-11 13:07:51,@Hasmukhpatelips Aama sir bhul che 1234 aave  https://t.co/tLh56GJI3h,  aama sir bhul che 1234 aave   ,0.0
