,created_at,date,tweet,Processed Tweet,Polarity
0,1649708349000.0,2022-04-11 13:19:09,🐳 #Cardano $ADA Whale ❤️laced! 💰 Transaction Output: 6.6M ₳D₳ / 6.31M USD  👁️ Tx info: ➡️  https://t.co/ovJ2BFoedZ  🙏Support us: - Stake with  ☮️PEACE☮️ pool:  https://t.co/Uztjjf2EbE - Stake with SHARP/EASY1/BOOST/GMBL #fintech #blockchain #crypto,   cardano  ada whale   laced    transaction output  6 6m  d    6 31m usd     tx info          support us    stake with    peace   pool       stake with sharp easy1 boost gmbl  fintech  blockchain  crypto,-0.125
1,1649708349000.0,2022-04-11 13:19:09,🐳 #Cardano $ADA Whale ❤️laced! 💰 Transaction Output: 6.6M ₳D₳ / 6.31M USD  👁️ Tx info: ➡️  https://t.co/ovJ2BFoM3x  🙏Support us: - Stake with  ☮️PEACE☮️ pool:  https://t.co/Uztjjf3c1c - Stake with SHARP/EASY1/BOOST/GMBL #fintech #blockchain #crypto,   cardano  ada whale   laced    transaction output  6 6m  d    6 31m usd     tx info          support us    stake with    peace   pool       stake with sharp easy1 boost gmbl  fintech  blockchain  crypto,-0.125
2,1649708335000.0,2022-04-11 13:18:55,🐳 #Cardano $ADA Whale ❤️laced! 💰 Transaction Output: 1.9M ₳D₳ / 1.82M USD  👁️ Tx info: ➡️  https://t.co/GwsNTYitai  🙏Support us: - Stake with  ☮️PEACE☮️ pool:  https://t.co/Uztjjf2EbE - Stake with SHARP/EASY1/BOOST/GMBL #fintech #blockchain #crypto,   cardano  ada whale   laced    transaction output  1 9m  d    1 82m usd     tx info          support us    stake with    peace   pool       stake with sharp easy1 boost gmbl  fintech  blockchain  crypto,-0.125
3,1649708335000.0,2022-04-11 13:18:55,#bitcoin #ethereum #cardano That's the feeling today... @PulsedogeWin 🔥  https://t.co/jklDI1c9Md, bitcoin  ethereum  cardano that s the feeling today          ,0.0
4,1649708334000.0,2022-04-11 13:18:54,🐳 #Cardano $ADA Whale ❤️laced! 💰 Transaction Output: 2.6M ₳D₳ / 2.48M USD  👁️ Tx info: ➡️  https://t.co/WmOWMbOtgz  🙏Support us: - Stake with  ☮️PEACE☮️ pool:  https://t.co/Uztjjf2EbE - Stake with SHARP/EASY1/BOOST/GMBL #fintech #blockchain #crypto,   cardano  ada whale   laced    transaction output  2 6m  d    2 48m usd     tx info          support us    stake with    peace   pool       stake with sharp easy1 boost gmbl  fintech  blockchain  crypto,-0.125
5,1649708333000.0,2022-04-11 13:18:53,🐳 #Cardano $ADA Whale ❤️laced! 💰 Transaction Output: 6.6M ₳D₳ / 6.26M USD  👁️ Tx info: ➡️  https://t.co/hqQJvYGHwP  🙏Support us: - Stake with  ☮️PEACE☮️ pool:  https://t.co/Uztjjf2EbE - Stake with SHARP/EASY1/BOOST/GMBL #fintech #blockchain #crypto,   cardano  ada whale   laced    transaction output  6 6m  d    6 26m usd     tx info          support us    stake with    peace   pool       stake with sharp easy1 boost gmbl  fintech  blockchain  crypto,-0.125
6,1649708320000.0,2022-04-11 13:18:40,@Gliek22948732 @ermende87485568 i cant write + metamask support help metaverse support trust wallet support help Ethereum cardano Ada seed phrase binance support issue NFT stolen crypto stuck not working binance coin bored ape lazy lion shiba inu trustwallet hacked dogecoin catecoin help cryptopunk solana help?,    i cant write   metamask support help metaverse support trust wallet support help ethereum cardano ada seed phrase binance support issue nft stolen crypto stuck not working binance coin bored ape lazy lion shiba inu trustwallet hacked dogecoin catecoin help cryptopunk solana help ,-0.375
7,1649708309000.0,2022-04-11 13:18:29,Snoop Dogg Collaborates With Clay Nation to Launch NFT Collection on Cardano #Cardano #ADA   https://t.co/oCve5wB5rE,snoop dogg collaborates with clay nation to launch nft collection on cardano  cardano  ada    ,0.0
8,1649708301000.0,2022-04-11 13:18:21,🐳 #Cardano $ADA Whale ❤️laced! 💰 Transaction Output: 7.8M ₳D₳ / 7.36M USD  👁️ Tx info: ➡️  https://t.co/O43bcyjsxD  🙏Support us: - Stake with  ☮️PEACE☮️ pool:  https://t.co/Uztjjf2EbE - Stake with SHARP/EASY1/BOOST/GMBL #fintech #blockchain #crypto,   cardano  ada whale   laced    transaction output  7 8m  d    7 36m usd     tx info          support us    stake with    peace   pool       stake with sharp easy1 boost gmbl  fintech  blockchain  crypto,-0.125
9,1649708300000.0,2022-04-11 13:18:20,🐳 #Cardano $ADA Whale ❤️laced! 💰 Transaction Output: 30.9M ₳D₳ / 29.17M USD  👁️ Tx info: ➡️  https://t.co/D2nHgWXozx  🙏Support us: - Stake with  ☮️PEACE☮️ pool:  https://t.co/Uztjjf2EbE - Stake with SHARP/EASY1/BOOST/GMBL #fintech #blockchain #crypto,   cardano  ada whale   laced    transaction output  30 9m  d    29 17m usd     tx info          support us    stake with    peace   pool       stake with sharp easy1 boost gmbl  fintech  blockchain  crypto,-0.125
10,1649708284000.0,2022-04-11 13:18:04,@ermende87485568 shut up + metamask support help metaverse support trust wallet support help Ethereum cardano Ada seed phrase binance support issue NFT stolen crypto stuck not working binance coin bored ape lazy lion shiba inu trustwallet hacked dogecoin catecoin help cryptopunk solana help?,  shut up   metamask support help metaverse support trust wallet support help ethereum cardano ada seed phrase binance support issue nft stolen crypto stuck not working binance coin bored ape lazy lion shiba inu trustwallet hacked dogecoin catecoin help cryptopunk solana help ,-0.375
11,1649708276000.0,2022-04-11 13:17:56,🐳کوین #Cardano از $3.10 که #AllTimeHigh آن است،59-% ریزش داشته.اگرچه بزرگترین نهنگ های آن(دارندگان +10M از $ADA)در دو سال اخیر بیشترین میزان عرضه(46.6%)را در اختیار دارند،باید توجه داشت که تعداد زیادی ازین نهنگ ها در واقع آدرس های مربوط به صرافی ها هستند  https://t.co/uQUdmWMgWe  https://t.co/lCjTNEJfYM,       cardano     3 10     alltimehigh        59                                                   10m     ada                                   46 6                                                                                                              ,0.0
12,1649708259000.0,2022-04-11 13:17:39,Cardano (ADA) and Terra (LUNA) Competitor Bitgert Progress Non-stop  https://t.co/WmpSTbSAaA,cardano  ada  and terra  luna  competitor bitgert progress non stop   ,0.0
13,1649708249000.0,2022-04-11 13:17:29,Cypherkicks X @DegenCryptoClub Drop this Sunday April 17th!  45 ADA mint price for WL and 65 for non-WL.   Learn more here:  https://t.co/IhZUaMJVm1 #Cardano #CNFT #NFTs  https://t.co/JBboPljhV6,cypherkicks x   drop this sunday april 17th   45 ada mint price for wl and 65 for non wl    learn more here      cardano  cnft  nfts   ,0.5
14,1649708246000.0,2022-04-11 13:17:26,👈My first NFT. Thanks for help guys! #Cardano #CardanoNFT #CardanoADA, my first nft  thanks for help guys   cardano  cardanonft  cardanoada,0.225
15,1649708238000.0,2022-04-11 13:17:18,"🐳 #Cardano è in calo del -59% da $ 2,38 #AllTimeHigh.  Tuttavia, le balene più importanti dell'asset (che detengono oltre 10 milioni di dollari ADA) sono tornate alla loro più grande percentuale di fornitura detenuta in due anni, al 46,6%.    https://t.co/XHjLOlqh1i  https://t.co/wie55RE2XY",   cardano   in calo del  59  da   2 38  alltimehigh   tuttavia  le balene pi  importanti dell asset  che detengono oltre 10 milioni di dollari ada  sono tornate alla loro pi  grande percentuale di fornitura detenuta in due anni  al 46 6          ,-0.125
