,created_at,date,tweet,Processed Tweet,Polarity
0,1649708477000.0,2022-04-11 13:21:17,PELIKAN 11 on auction. Starting at 1 MIOTA!  https://t.co/3xmk3tLyAM  #IOTA #NFT @24Pelikan  https://t.co/Wi2FmR9uCA,pelikan 11 on auction  starting at 1 miota       iota  nft     ,0.0
1,1649708476000.0,2022-04-11 13:21:16,"@Irshad55hussain A ""Shia"" mourner. How many castes do you have in muslims u convertee. He did what he wanted to and knew the consequences. Have u tweeted about daily rape of your girls and women by coward jihadis and menfolk guarding them outside. Do you guys have an iota of shame. Apply burnol.",  a  shia  mourner  how many castes do you have in muslims u convertee  he did what he wanted to and knew the consequences  have u tweeted about daily rape of your girls and women by coward jihadis and menfolk guarding them outside  do you guys have an iota of shame  apply burnol ,0.16666666666666666
2,1649708402000.0,2022-04-11 13:20:02,@AniseKStrong @iota_subscript @SarahEBond Ostian Octopus Bandit? This seems like a gaping lacuna in my subject knowledge…,    subscript   ostian octopus bandit  this seems like a gaping lacuna in my subject knowledge ,-0.16666666666666666
3,1649708357000.0,2022-04-11 13:19:17,"@Al_Solzhenitsyn @MarshaBlackburn ""Record unemployment"" is also as much nonsense as ""record recovery of jobs"" under Biden. Most of the unemployment was temporary, not permanent. As soon as economies opened, jobs came back on their own. It did not cause a single iota of inflation",  solzhenitsyn    record unemployment  is also as much nonsense as  record recovery of jobs  under biden  most of the unemployment was temporary  not permanent  as soon as economies opened  jobs came back on their own  it did not cause a single iota of inflation,0.2457142857142857
4,1649708304000.0,2022-04-11 13:18:24,The last thing to happen in this country that I feel an iota patriotic about was Æthelstan's unification of England in 927 AD,the last thing to happen in this country that i feel an iota patriotic about was  thelstan s unification of england in 927 ad,0.0
5,1649708278000.0,2022-04-11 13:17:58,1h 🟩 LONG: IOTA/USDT Current price: 0.6586  Take Trailing Profit: 0.68238  Stop Loss: 0.64652  Time: 2022-04-11 20:17:58-UTC,1h   long  iota usdt current price  0 6586  take trailing profit  0 68238  stop loss  0 64652  time  2022 04 11 20 17 58 utc,-0.025
6,1649708276000.0,2022-04-11 13:17:56,@CryptoMichNL $IOTA,   iota,0.0
7,1649708257000.0,2022-04-11 13:17:37,@IainDale 'Who said this not that long ago? 'Let the bodies up?'  And this same person wants the public to believe he cares one iota about people in another country. Go figure!,   who said this not that long ago   let the bodies up    and this same person wants the public to believe he cares one iota about people in another country  go figure ,0.037500000000000006
8,1649708192000.0,2022-04-11 13:16:32,Trading isn’t about profit only but also how to protect the profit you made.  #BTC #Bitcoin #ETH $BTC $ETH $DOGE $RAY $SNX $IOTA $DENT $ADA $AVAX  $FTT $SOL  https://t.co/l7FD1N7ysm,trading isn t about profit only but also how to protect the profit you made    btc  bitcoin  eth  btc  eth  doge  ray  snx  iota  dent  ada  avax   ftt  sol   ,0.0
9,1649708173000.0,2022-04-11 13:16:13,"@iota_subscript I love curse tablets! But also, I just realized I skipped the Ostian Octopus Bandit, and I need to go back, because students _need to know_ about it, and @SarahEBond is tempting me with Roman souvenir tchotchkes.",  subscript i love curse tablets  but also  i just realized i skipped the ostian octopus bandit  and i need to go back  because students  need to know  about it  and   is tempting me with roman souvenir tchotchkes ,0.25
10,1649708151000.0,2022-04-11 13:15:51,#comune13 #NFT #Giveaway #Soonavers #Soonlabs #IOTA, comune13  nft  giveaway  soonavers  soonlabs  iota,0.0
11,1649708139000.0,2022-04-11 13:15:39,@MayoIsSpicyy Amen to that. Putin is:  * heartless * soulless   AND completely lacking even an iota of humanity!!!,  amen to that  putin is     heartless   soulless   and completely lacking even an iota of humanity   ,0.1
12,1649708134000.0,2022-04-11 13:15:34,Congratz BeBunTeenager on short position👏  ✅Symbol : $STMX ✅ROE : %133.53 ✅Entry : 0.01971 ✅Exit : 0.01739  Follow top ROI people realtime. Link on profile and pinned tweet $XEC $RUNE $KNC $ATOM $IOTA $STMX $IOST $SAND $TOMO $LRC $DYDX,congratz bebunteenager on short position    symbol    stmx  roe    133 53  entry   0 01971  exit   0 01739  follow top roi people realtime  link on profile and pinned tweet  xec  rune  knc  atom  iota  stmx  iost  sand  tomo  lrc  dydx,0.25
13,1649708119000.0,2022-04-11 13:15:19,Congratz BeBunTeenager on short position👏  ✅Symbol : $ZRX ✅ROE : %144.15 ✅Entry : 0.7782 ✅Exit : 0.6802  Follow top ROI people realtime. Link on profile and pinned tweet $TLM $BCH $MANA $BEL $ATA $GALA $BNB $REN $TRX $API3 $IOTA,congratz bebunteenager on short position    symbol    zrx  roe    144 15  entry   0 7782  exit   0 6802  follow top roi people realtime  link on profile and pinned tweet  tlm  bch  mana  bel  ata  gala  bnb  ren  trx  api3  iota,0.25
14,1649708101000.0,2022-04-11 13:15:01,top down #cryptocurrency in last 15 minute :  #BAL  16.38 | 16.03 USDT (-2.14%) #ASR  3.922 | 3.842 USDT (-2.04%) #ALGO  0.7141 | 0.7003 USDT (-1.93%) #ONE  0.11942 | 0.11712 USDT (-1.93%) #IOTA  0.671 | 0.6584 USDT (-1.88%)  down to earth? [11-04-2022 20:15 Z],top down  cryptocurrency in last 15 minute     bal  16 38   16 03 usdt   2 14    asr  3 922   3 842 usdt   2 04    algo  0 7141   0 7003 usdt   1 93    one  0 11942   0 11712 usdt   1 93    iota  0 671   0 6584 usdt   1 88    down to earth   11 04 2022 20 15 z ,0.047222222222222214
15,1649708052000.0,2022-04-11 13:14:12,"""Bad manners"" 😅 these white people stole the land from Native Americans and Mexicans. If that is not""bad manners"" what else is? If they had an iota of shame they would have left the country or atleast apologized to the natives and given them equal opportunity in power.", bad manners    these white people stole the land from native americans and mexicans  if that is not bad manners  what else is  if they had an iota of shame they would have left the country or atleast apologized to the natives and given them equal opportunity in power ,-0.06999999999999998
16,1649708015000.0,2022-04-11 13:13:35,"@AndyGrays0n Jack is amazing.  Though it’s tragic that she has to keep coming back with a response to people who have zero understanding of poverty, not one iota of empathy and an absolute lack of any desire to help or improve the lives of others.",  jack is amazing   though it s tragic that she has to keep coming back with a response to people who have zero understanding of poverty  not one iota of empathy and an absolute lack of any desire to help or improve the lives of others ,0.012500000000000025
17,1649707988000.0,2022-04-11 13:13:08,"@TristinHopper Unless you're from Québec, where 90% don't care an iota about the royals.",  unless you re from qu bec  where 90  don t care an iota about the royals ,0.0
18,1649707694000.0,2022-04-11 13:08:14,@TrueNorthCentre So he’s not accepting one iota of responsibility for the current mess?,  so he s not accepting one iota of responsibility for the current mess ,-0.0875
19,1649707648000.0,2022-04-11 13:07:28,"@BenJ_Punchline Je connais une personne qui joue du saxophone depuis 15 ans, il n'a pas progressé d'un iota mais continu son tintamarre. A ce niveau ce n'est plus de la persévérance c'est de l'autisme",  punchline je connais une personne qui joue du saxophone depuis 15 ans  il n a pas progress  d un iota mais continu son tintamarre  a ce niveau ce n est plus de la pers v rance c est de l autisme,0.0
20,1649707643000.0,2022-04-11 13:07:23,"🚨🚨🚨[Volume alert ]  #Binance Futures $IOTAUSDT: 133,157.4 $IOTA traded at vwap: 0.65934 in the last 10 seconds which is 15.49 stdevs from mean. Buys: 23,070.5 Sells: 110,086.9",    volume alert     binance futures  iotausdt  133 157 4  iota traded at vwap  0 65934 in the last 10 seconds which is 15 49 stdevs from mean  buys  23 070 5 sells  110 086 9,-0.15625
21,1649707640000.0,2022-04-11 13:07:20,"@Iota_Tau_88 Hoarah Loux, Warrior :  https://t.co/5bhfXNEz0S",  tau 88 hoarah loux  warrior     ,0.0
22,1649707582000.0,2022-04-11 13:06:22,"@camden0417 @BSO If you honestly think republicans care one iota about black people, I have some oceanfront property in Iowa to sell you.  Bring your checkbook!",    if you honestly think republicans care one iota about black people  i have some oceanfront property in iowa to sell you   bring your checkbook ,0.21666666666666667
23,1649707545000.0,2022-04-11 13:05:45,I went hungry as a kid because Democrats ended welfare as we know it to own the conservatives at austerity.  Meanwhile your smug comfy white suburban ass hasn't had to sacrifice an iota in your life.  So keep telling on yourself.,i went hungry as a kid because democrats ended welfare as we know it to own the conservatives at austerity   meanwhile your smug comfy white suburban ass hasn t had to sacrifice an iota in your life   so keep telling on yourself ,0.19999999999999998
