,created_at,date,tweet,Processed Tweet,Polarity
0,1649708574000.0,2022-04-11 13:22:54,@f4tsmp @skinnywhoreS2 Nem falei contigo doente,    nem falei contigo doente,0.0
1,1649708574000.0,2022-04-11 13:22:54,"Ainda mais, desde manhã tento contato e nada, já falei até com a esposa dele e nem ela sabe aonde ele está",ainda mais  desde manh  tento contato e nada  j  falei at  com a esposa dele e nem ela sabe aonde ele est ,0.0
2,1649708573000.0,2022-04-11 13:22:53,Certeza que esse não pega nem resfriado faz tempo,certeza que esse n o pega nem resfriado faz tempo,0.0
3,1649708573000.0,2022-04-11 13:22:53,"Sinceramente, seria do krl se HxH, sem aviso em algum evento nem nada, voltasse de repente igual aql teu amigo do zap que some por 3 semanas e aparece como se nada tivesse acontecido",sinceramente  seria do krl se hxh  sem aviso em algum evento nem nada  voltasse de repente igual aql teu amigo do zap que some por 3 semanas e aparece como se nada tivesse acontecido,0.0
4,1649708573000.0,2022-04-11 13:22:53,"@rbamondes Realmente, pior que nem é de hoje.",  realmente  pior que nem   de hoje ,0.0
5,1649708573000.0,2022-04-11 13:22:53,"Se vocês estão fazendo um trabalho para alguém, que te pede coisas que nem era pra vc estar fazendo mas vc vai e faz, atrasa teu pagamento que havia prometido, achariam justo parar todos os trabalhos pendentes até receber o pagamento? Não recebi nenhuma satisfalção do sujeito",se voc s est o fazendo um trabalho para algu m  que te pede coisas que nem era pra vc estar fazendo mas vc vai e faz  atrasa teu pagamento que havia prometido  achariam justo parar todos os trabalhos pendentes at  receber o pagamento  n o recebi nenhuma satisfal  o do sujeito,0.0
6,1649708573000.0,2022-04-11 13:22:53,"@paess_01 kkkk vdd, nem vms ficar aq",  01 kkkk vdd  nem vms ficar aq,0.0
7,1649708573000.0,2022-04-11 13:22:53,"@hilde_angel O fato dele reconhecer, nem é algo tão relevante, visto que estão aumentando os juros como se não houvesse amanhã...  O importante é saber o que eles irão fazer a partir disso, visto que o remédio usado só vai matando o paciente cada dia mais rápido.",  angel o fato dele reconhecer  nem   algo t o relevante  visto que est o aumentando os juros como se n o houvesse amanh      o importante   saber o que eles ir o fazer a partir disso  visto que o rem dio usado s  vai matando o paciente cada dia mais r pido ,0.0
8,1649708572000.0,2022-04-11 13:22:52,"Garota no prainha malucona kkk, nem me conhece ficou apertando meu nariz e minha bochecha q marola",garota no prainha malucona kkk  nem me conhece ficou apertando meu nariz e minha bochecha q marola,0.0
9,1649708572000.0,2022-04-11 13:22:52,"o príncipe eu nem esperava nada mesmo, mas ivan? decepcionada",o pr ncipe eu nem esperava nada mesmo  mas ivan  decepcionada,0.0
10,1649708571000.0,2022-04-11 13:22:51,eu não terminei nem a segunda mds,eu n o terminei nem a segunda mds,0.0
11,1649708571000.0,2022-04-11 13:22:51,Meu filho nem nasceu ainda e eu já estou dormindo encostado em qualquer canto,meu filho nem nasceu ainda e eu j  estou dormindo encostado em qualquer canto,0.0
12,1649708571000.0,2022-04-11 13:22:51,@teodoroanaluiza amiga nem brinca kkkkkkkkkkk,  amiga nem brinca kkkkkkkkkkk,0.0
13,1649708571000.0,2022-04-11 13:22:51,não tenho nem como defender esse trabalho tá uma bosta,n o tenho nem como defender esse trabalho t  uma bosta,0.0
14,1649708571000.0,2022-04-11 13:22:51,"@layolinha Elas nem voam mais, ficando andando na sua direção e esses dias tomei um rasante de uma saindo da lixeira",  elas nem voam mais  ficando andando na sua dire  o e esses dias tomei um rasante de uma saindo da lixeira,0.0
15,1649708571000.0,2022-04-11 13:22:51,@Gabiigenroo Nem me fale uma coisa dessas 😫,  nem me fale uma coisa dessas  ,0.0
16,1649708570000.0,2022-04-11 13:22:50,Como assim essa semana tem feriado e eu nem lembrava,como assim essa semana tem feriado e eu nem lembrava,0.0
17,1649708570000.0,2022-04-11 13:22:50,"@comeria_com Nem fudendo que eu comeria, o único pokemon que eu comeria é a sua mãe, aquela wailord",  com nem fudendo que eu comeria  o  nico pokemon que eu comeria   a sua m e  aquela wailord,0.0
18,1649708570000.0,2022-04-11 13:22:50,as vezes eu esqueço que nem todo mundo usa a linguagem dos gays e tenho que passar por essas coisas!  https://t.co/JxxoWmWT3K,as vezes eu esque o que nem todo mundo usa a linguagem dos gays e tenho que passar por essas coisas    ,0.0
