,created_at,date,tweet,Processed Tweet,Polarity
0,1649707296000.0,2022-04-11 13:01:36,💰 CRYPTO BUYS (04/11/2022 16:01) - OKB: $18.459 - Wrapped Bitcoin: $40114.854 - Amp: $0.023 #OKB #WrappedBitcoin #Amp  #crypto #cryptotrading #coinbase #cryptocurrency #cryptomarket #bitcoin #ethereum #trading #investing,  crypto buys  04 11 2022 16 01    okb   18 459   wrapped bitcoin   40114 854   amp   0 023  okb  wrappedbitcoin  amp   crypto  cryptotrading  coinbase  cryptocurrency  cryptomarket  bitcoin  ethereum  trading  investing,0.0
1,1649703696000.0,2022-04-11 12:01:36,💰 CRYPTO BUYS (04/11/2022 15:01) - Klaytn: $1.018 - BNB: $402.628 - Wrapped Bitcoin: $40533.924 #Klaytn #BNB #WrappedBitcoin  #crypto #cryptotrading #coinbase #cryptocurrency #cryptomarket #bitcoin #ethereum #trading #investing,  crypto buys  04 11 2022 15 01    klaytn   1 018   bnb   402 628   wrapped bitcoin   40533 924  klaytn  bnb  wrappedbitcoin   crypto  cryptotrading  coinbase  cryptocurrency  cryptomarket  bitcoin  ethereum  trading  investing,0.0
2,1649700097000.0,2022-04-11 11:01:37,💰 CRYPTO BUYS (04/11/2022 14:01) - Zilliqa: $0.116 - BNB: $402.213 - Wrapped Bitcoin: $40529.052 #Zilliqa #BNB #WrappedBitcoin  #crypto #cryptotrading #coinbase #cryptocurrency #cryptomarket #bitcoin #ethereum #trading #investing,  crypto buys  04 11 2022 14 01    zilliqa   0 116   bnb   402 213   wrapped bitcoin   40529 052  zilliqa  bnb  wrappedbitcoin   crypto  cryptotrading  coinbase  cryptocurrency  cryptomarket  bitcoin  ethereum  trading  investing,0.0
3,1649684258000.0,2022-04-11 06:37:38,Top 10 Coins by Price over the last 24 hrs on #LunarCrush!  $grv #gravitoken $ibtc #ibtc $socks #unisocks $obtc #obitanchain $rbtc #rsksmartbitcoin $btc #bitcoin $wbtc #wrappedbitcoin $renbtc #renbtc $pbtc #ptokensbtc $bbtc #blakebitcoin   https://t.co/1j2DJclDoC,top 10 coins by price over the last 24 hrs on  lunarcrush    grv  gravitoken  ibtc  ibtc  socks  unisocks  obtc  obitanchain  rbtc  rsksmartbitcoin  btc  bitcoin  wbtc  wrappedbitcoin  renbtc  renbtc  pbtc  ptokensbtc  bbtc  blakebitcoin    ,0.25
4,1649449824000.0,2022-04-08 13:30:24,#NFTCommunity #nftcollector #Polygon but how to unwrap my #wrappedbitcoin ether and get money in the bank? #annadelvey, nftcommunity  nftcollector  polygon but how to unwrap my  wrappedbitcoin ether and get money in the bank   annadelvey,0.0
5,1649410513000.0,2022-04-08 02:35:13,📈 Market Trend 📈 The current market trend for #WBTC is bullish 🚀. The #WrappedBitcoin EMA-14 has been above the two longer EMA (30 &amp; 60) lines for 21 days. 👁️ See:  https://t.co/VuJYMPScV6  https://t.co/lBDIwt59WE,  market trend   the current market trend for  wbtc is bullish    the  wrappedbitcoin ema 14 has been above the two longer ema  30  amp  60  lines for 21 days     see       ,0.0
6,1649393664000.0,2022-04-07 21:54:24,We have detected: #WrappedBitcoin $WBTC was listed as WBTC/BTC on #CoinEx,we have detected   wrappedbitcoin  wbtc was listed as wbtc btc on  coinex,0.0
7,1649393664000.0,2022-04-07 21:54:24,We have detected: #WrappedBitcoin $WBTC was listed as WBTC/USDT on #CoinEx,we have detected   wrappedbitcoin  wbtc was listed as wbtc usdt on  coinex,0.0
8,1649326472000.0,2022-04-07 03:14:32,We have detected: #WrappedBitcoin $WBTC was listed as WBTC/USDT on #Bybit (spot),we have detected   wrappedbitcoin  wbtc was listed as wbtc usdt on  bybit  spot ,0.0
9,1649289734000.0,2022-04-06 17:02:14,💰 CRYPTO BUYS (04/06/2022 20:02) - Wrapped Bitcoin: $43256.302 - NEAR Protocol: $15.247 - Bitcoin: $43206.738 #WrappedBitcoin #NEARProtocol #Bitcoin  #crypto #cryptotrading #coinbase #cryptocurrency #cryptomarket #bitcoin #ethereum #trading #investing,  crypto buys  04 06 2022 20 02    wrapped bitcoin   43256 302   near protocol   15 247   bitcoin   43206 738  wrappedbitcoin  nearprotocol  bitcoin   crypto  cryptotrading  coinbase  cryptocurrency  cryptomarket  bitcoin  ethereum  trading  investing,0.1
10,1649214134000.0,2022-04-05 20:02:14,📊 Crypto Coins Market Cap vs TVL (USD)  $CRV $MKR $CVX $AAVE $MATIC $WBTC $ANC $ANY $LDO $INST $COMP $UNI   ➡️ Follow @CoinPatrolCom 💙  #TVL #MarketCap #Crypto #CryptoCoins #CurveDAOToken #Maker #ConvexFinance #Aave #Polygon #WrappedBitcoin #AnchorProtocol #LidoDAO #Instadapp  https://t.co/726FOKd8xN,  crypto coins market cap vs tvl  usd    crv  mkr  cvx  aave  matic  wbtc  anc  any  ldo  inst  comp  uni      follow       tvl  marketcap  crypto  cryptocoins  curvedaotoken  maker  convexfinance  aave  polygon  wrappedbitcoin  anchorprotocol  lidodao  instadapp   ,0.0
11,1649185213000.0,2022-04-05 12:00:13,📈 Market Trend 📈 The current market trend for #WBTC is bullish 🚀. The #WrappedBitcoin EMA-14 has been above the two longer EMA (30 &amp; 60) lines for 18 days. 👁️ See:  https://t.co/VuJYMPScV6  https://t.co/9qBNBU74Do,  market trend   the current market trend for  wbtc is bullish    the  wrappedbitcoin ema 14 has been above the two longer ema  30  amp  60  lines for 18 days     see       ,0.0
