,created_at,date,tweet,Processed Tweet,Polarity
0,1649375740000.0,2022-04-07 16:55:40,"The $BNB price is at $436.3 right now. 🔴 Compared to the last tweet, the price has dropped by $1.3 (0.30%). 🟢 In the last 24 hours the price has increased by $16.1 (3.83%).  #BinanceCoin #BNB  https://t.co/UdHeec8sz3",the  bnb price is at  436 3 right now    compared to the last tweet  the price has dropped by  1 3  0 30      in the last 24 hours the price has increased by  16 1  3 83      binancecoin  bnb   ,0.09523809523809523
1,1649375646000.0,2022-04-07 16:54:06,"Möchten Sie Kryptowährungen verdienen, indem Sie KOSTENLOS spielen?  Besuchen Sie den Link und erfahren Sie alles über Rollercoin ➡️  https://t.co/ibM5KLhVi0  #Bitcoin22  , #Ethereum  , #BinanceCoin  , #BUSD   , #Tether  , #Matic , #SOLAR   , #dogecoin   , #PlayToEarn  https://t.co/Kev7H0bUDd",m chten sie kryptow hrungen verdienen  indem sie kostenlos spielen   besuchen sie den link und erfahren sie alles  ber rollercoin         bitcoin22     ethereum     binancecoin     busd      tether     matic    solar      dogecoin      playtoearn   ,0.0
2,1649374840000.0,2022-04-07 16:40:40,"The $BNB price is at $437.6 right now. 🟢 Compared to the last tweet, the price has increased by $1.2 (0.27%). 🟢 In the last 24 hours the price has increased by $16.3 (3.87%).  #BinanceCoin #BNB  https://t.co/KZEJ7Vce93",the  bnb price is at  437 6 right now    compared to the last tweet  the price has increased by  1 2  0 27      in the last 24 hours the price has increased by  16 3  3 87      binancecoin  bnb   ,0.09523809523809523
3,1649374800000.0,2022-04-07 16:40:00,"Radio Caca (RACA) Is the Most Purchased Cryptocurrency by BNBChain Whales, Surpassing DOGE and BNB » NullTX #ActaDi #DOGE #Dogecoin #BNB #BinanceCoin  https://t.co/LMQ3hncta1",radio caca  raca  is the most purchased cryptocurrency by bnbchain whales  surpassing doge and bnb   nulltx  actadi  doge  dogecoin  bnb  binancecoin   ,0.5
4,1649373940000.0,2022-04-07 16:25:40,The $BNB price is at $436.4 right now. 🟢 In the last 24 hours the price has increased by $12.5 (2.95%).  #BinanceCoin #BNB  https://t.co/4gvFm7mEQk,the  bnb price is at  436 4 right now    in the last 24 hours the price has increased by  12 5  2 95      binancecoin  bnb   ,0.14285714285714285
5,1649373040000.0,2022-04-07 16:10:40,"The $BNB price is at $436.4 right now. 🟢 Compared to the last tweet, the price has increased by $0.1 (0.02%). 🟢 In the last 24 hours the price has increased by $12.1 (2.85%).  #BinanceCoin #BNB  https://t.co/Fx7ROooLIA",the  bnb price is at  436 4 right now    compared to the last tweet  the price has increased by  0 1  0 02      in the last 24 hours the price has increased by  12 1  2 85      binancecoin  bnb   ,0.09523809523809523
6,1649372140000.0,2022-04-07 15:55:40,"The $BNB price is at $436.3 right now. 🟢 Compared to the last tweet, the price has increased by $0.6 (0.14%). 🟢 In the last 24 hours the price has increased by $11.4 (2.68%).  #BinanceCoin #BNB  https://t.co/ie7UgABTEy",the  bnb price is at  436 3 right now    compared to the last tweet  the price has increased by  0 6  0 14      in the last 24 hours the price has increased by  11 4  2 68      binancecoin  bnb   ,0.09523809523809523
7,1649371536000.0,2022-04-07 15:45:36,"Do you want to earn cryptocurrencies playing for FREE?  Visit the link and learn all about Rollercoin ➡️  https://t.co/ibM5KLhVi0  #Bitcoin2022Miami  , #Ethereum  , #BinanceCoin  , #BinanceUSD  , #Tether  , #Matic , #PolygonNFT  , #Solana , #dogecoin  , #Rollercoin  https://t.co/MsnZZBL0eb",do you want to earn cryptocurrencies playing for free   visit the link and learn all about rollercoin         bitcoin2022miami     ethereum     binancecoin     binanceusd     tether     matic    polygonnft     solana    dogecoin     rollercoin   ,0.4
8,1649371240000.0,2022-04-07 15:40:40,"The $BNB price is at $435.7 right now. 🟢 Compared to the last tweet, the price has increased by $0.1 (0.02%). 🟢 In the last 24 hours the price has increased by $10.2 (2.40%).  #BinanceCoin #BNB  https://t.co/3LpDxhDwGQ",the  bnb price is at  435 7 right now    compared to the last tweet  the price has increased by  0 1  0 02      in the last 24 hours the price has increased by  10 2  2 40      binancecoin  bnb   ,0.09523809523809523
9,1649370339000.0,2022-04-07 15:25:39,"The $BNB price is at $435.6 right now. 🟢 Compared to the last tweet, the price has increased by $0.7 (0.16%). 🟢 In the last 24 hours the price has increased by $10.5 (2.47%).  #BinanceCoin #BNB  https://t.co/MeA7lA1JNO",the  bnb price is at  435 6 right now    compared to the last tweet  the price has increased by  0 7  0 16      in the last 24 hours the price has increased by  10 5  2 47      binancecoin  bnb   ,0.09523809523809523
10,1649369439000.0,2022-04-07 15:10:39,"The $BNB price is at $434.9 right now. 🔴 Compared to the last tweet, the price has dropped by $0.5 (0.11%). 🟢 In the last 24 hours the price has increased by $8.1 (1.90%).  #BinanceCoin #BNB  https://t.co/zWJP01xlng",the  bnb price is at  434 9 right now    compared to the last tweet  the price has dropped by  0 5  0 11      in the last 24 hours the price has increased by  8 1  1 90      binancecoin  bnb   ,0.09523809523809523
11,1649369171000.0,2022-04-07 15:06:11,Binance Coin BNB Current Price: $435.80  1h: -0.14% 24h: +2.18% 7d: +1.36%  30d: +14.73% 60d: +5.62% 90d: -3.37%  #bnb $BNB #binancecoin #binance,binance coin bnb current price   435 80  1h   0 14  24h   2 18  7d   1 36   30d   14 73  60d   5 62  90d   3 37    bnb  bnb  binancecoin  binance,0.0
12,1649368539000.0,2022-04-07 14:55:39,"The $BNB price is at $435.4 right now. 🔴 Compared to the last tweet, the price has dropped by $0.3 (0.07%). 🟢 In the last 24 hours the price has increased by $8 (1.87%).  #BinanceCoin #BNB  https://t.co/9VmSRYsP7B",the  bnb price is at  435 4 right now    compared to the last tweet  the price has dropped by  0 3  0 07      in the last 24 hours the price has increased by  8  1 87      binancecoin  bnb   ,0.09523809523809523
13,1649367639000.0,2022-04-07 14:40:39,"The $BNB price is at $435.7 right now. 🟢 Compared to the last tweet, the price has increased by $1.6 (0.37%). 🟢 In the last 24 hours the price has increased by $9.3 (2.18%).  #BinanceCoin #BNB  https://t.co/Ed1bo4xLkJ",the  bnb price is at  435 7 right now    compared to the last tweet  the price has increased by  1 6  0 37      in the last 24 hours the price has increased by  9 3  2 18      binancecoin  bnb   ,0.09523809523809523
14,1649366739000.0,2022-04-07 14:25:39,"The $BNB price is at $434.1 right now. 🔴 Compared to the last tweet, the price has dropped by $2.8 (0.64%). 🟢 In the last 24 hours the price has increased by $6.8 (1.59%).  #BinanceCoin #BNB  https://t.co/6vOC8oVBQZ",the  bnb price is at  434 1 right now    compared to the last tweet  the price has dropped by  2 8  0 64      in the last 24 hours the price has increased by  6 8  1 59      binancecoin  bnb   ,0.09523809523809523
15,1649365839000.0,2022-04-07 14:10:39,The $BNB price is at $436.9 right now. 🟢 In the last 24 hours the price has increased by $9.5 (2.22%).  #BinanceCoin #BNB  https://t.co/0qKMWsrjA3,the  bnb price is at  436 9 right now    in the last 24 hours the price has increased by  9 5  2 22      binancecoin  bnb   ,0.14285714285714285
16,1649364995000.0,2022-04-07 13:56:35,"The $BNB price is at $436.8 right now. 🔴 Compared to the last tweet, the price has dropped by $0.5 (0.11%). 🟢 In the last 24 hours the price has increased by $8.7 (2.03%).  #BinanceCoin #BNB  https://t.co/fgu735vgAJ",the  bnb price is at  436 8 right now    compared to the last tweet  the price has dropped by  0 5  0 11      in the last 24 hours the price has increased by  8 7  2 03      binancecoin  bnb   ,0.09523809523809523
17,1649364095000.0,2022-04-07 13:41:35,"The $BNB price is at $437.3 right now. 🟢 Compared to the last tweet, the price has increased by $1.2 (0.28%). 🟢 In the last 24 hours the price has increased by $10.3 (2.41%).  #BinanceCoin #BNB  https://t.co/7dD4NQMv37",the  bnb price is at  437 3 right now    compared to the last tweet  the price has increased by  1 2  0 28      in the last 24 hours the price has increased by  10 3  2 41      binancecoin  bnb   ,0.09523809523809523
18,1649363194000.0,2022-04-07 13:26:34,The $BNB price is at $436.1 right now. 🟢 In the last 24 hours the price has increased by $9.4 (2.20%).  #BinanceCoin #BNB  https://t.co/7HFoqLLbw3,the  bnb price is at  436 1 right now    in the last 24 hours the price has increased by  9 4  2 20      binancecoin  bnb   ,0.14285714285714285
19,1649362294000.0,2022-04-07 13:11:34,"The $BNB price is at $436.1 right now. 🟢 Compared to the last tweet, the price has increased by $0.8 (0.18%). 🟢 In the last 24 hours the price has increased by $8.9 (2.08%).  #BinanceCoin #BNB  https://t.co/XgASEGZDl5",the  bnb price is at  436 1 right now    compared to the last tweet  the price has increased by  0 8  0 18      in the last 24 hours the price has increased by  8 9  2 08      binancecoin  bnb   ,0.09523809523809523
20,1649361963000.0,2022-04-07 13:06:03,Binance Coin BNB Current Price: $435.44  1h: -0.57% 24h: +1.96% 7d: +1.85%  30d: +13.26% 60d: +5.19% 90d: -3.58%  #bnb $BNB #binancecoin #binance,binance coin bnb current price   435 44  1h   0 57  24h   1 96  7d   1 85   30d   13 26  60d   5 19  90d   3 58    bnb  bnb  binancecoin  binance,0.0
21,1649361394000.0,2022-04-07 12:56:34,"The $BNB price is at $435.3 right now. 🔴 Compared to the last tweet, the price has dropped by $1 (0.23%). 🟢 In the last 24 hours the price has increased by $8.9 (2.09%).  #BinanceCoin #BNB  https://t.co/lBiK658ExM",the  bnb price is at  435 3 right now    compared to the last tweet  the price has dropped by  1  0 23      in the last 24 hours the price has increased by  8 9  2 09      binancecoin  bnb   ,0.09523809523809523
22,1649360494000.0,2022-04-07 12:41:34,"The $BNB price is at $436.3 right now. 🟢 Compared to the last tweet, the price has increased by $0.2 (0.05%). 🟢 In the last 24 hours the price has increased by $11.1 (2.61%).  #BinanceCoin #BNB  https://t.co/ezKRuBon1V",the  bnb price is at  436 3 right now    compared to the last tweet  the price has increased by  0 2  0 05      in the last 24 hours the price has increased by  11 1  2 61      binancecoin  bnb   ,0.09523809523809523
23,1649359594000.0,2022-04-07 12:26:34,"The $BNB price is at $436.1 right now. 🔴 Compared to the last tweet, the price has dropped by $2.4 (0.55%). 🟢 In the last 24 hours the price has increased by $10.6 (2.49%).  #BinanceCoin #BNB  https://t.co/0fyvNAXSw5",the  bnb price is at  436 1 right now    compared to the last tweet  the price has dropped by  2 4  0 55      in the last 24 hours the price has increased by  10 6  2 49      binancecoin  bnb   ,0.09523809523809523
24,1649358694000.0,2022-04-07 12:11:34,"The $BNB price is at $438.5 right now. 🟢 Compared to the last tweet, the price has increased by $0.7 (0.16%). 🟢 In the last 24 hours the price has increased by $12.1 (2.84%).  #BinanceCoin #BNB  https://t.co/Z0v5Ekmulz",the  bnb price is at  438 5 right now    compared to the last tweet  the price has increased by  0 7  0 16      in the last 24 hours the price has increased by  12 1  2 84      binancecoin  bnb   ,0.09523809523809523
