,created_at,date,tweet,Processed Tweet,Polarity
0,1649375950000.0,2022-04-07 16:59:10,"""¿quieres venir a mi casa y así vemos Tron, empiernados y tomando chocolate caliente?""   Enviar.",  quieres venir a mi casa y as  vemos tron  empiernados y tomando chocolate caliente     enviar ,0.0
1,1649375922000.0,2022-04-07 16:58:42,@TronFatherNFT @InTheBlack_eth @psychedelic_nft @BAYC2745 Hey Tron!! I missed you! Hope everything is good,    eth   nft   hey tron   i missed you  hope everything is good,0.7
2,1649375892000.0,2022-04-07 16:58:12,"@RyanSAdams It was XRP Army, then Tron Army - now they’re both fairly quiet and it’s probably the ADA army or LRC that picked up most of the GME retail wave early 2021. HEX too, but that’s something else completely.",  it was xrp army  then tron army   now they re both fairly quiet and it s probably the ada army or lrc that picked up most of the gme retail wave early 2021  hex too  but that s something else completely ,0.175
3,1649375880000.0,2022-04-07 16:58:00,@Mariandipietra Pero vos tenes claro que la primera implementación fuerte de stable fue sobre bitcoin con Omni! Luego se fue a eth por los fees .. y luego el uso retail se fue a Tron también por los fees.. ojalá podamos traer el uso retail nuevamente,  pero vos tenes claro que la primera implementaci n fuerte de stable fue sobre bitcoin con omni  luego se fue a eth por los fees    y luego el uso retail se fue a tron tambi n por los fees   ojal  podamos traer el uso retail nuevamente,0.0
4,1649375801000.0,2022-04-07 16:56:41,"10/10 ad) Conclusion:  ➡️A 27% increase in #TRON transactions since 10/2021 was observed. Also daily active accounts increased and they have the most active accounts in our comparison.  If you ♥️ this tweet, give us a like or a retweet! More about DAIC at  https://t.co/WzzLMeqj5n",10 10 ad  conclusion     a 27  increase in  tron transactions since 10 2021 was observed  also daily active accounts increased and they have the most active accounts in our comparison   if you    this tweet  give us a like or a retweet  more about daic at   ,0.14666666666666667
5,1649375801000.0,2022-04-07 16:56:41,8/10 Here is the relative view of active accounts from various blockchains. @trondao's dominance is amazing.  https://t.co/MK1tHkJjS1,8 10 here is the relative view of active accounts from various blockchains    s dominance is amazing    ,0.1166666666666667
6,1649375800000.0,2022-04-07 16:56:40,"7/10 Let's compare this with the @terra_money competitors.  ➡️ Kudos to #TRON and @justinsuntron 🚀 ➡️ Interesting to see, that #TRON shows more active accounts on the same number of txs as @0xPolygon   (Data  @etherscan, @polygonscan, @TRONSCAN_ORG - @bscscan was buggy, sorry)  https://t.co/3mMofOBiw4",7 10 let s compare this with the   money competitors      kudos to  tron and        interesting to see  that  tron shows more active accounts on the same number of txs as      data          org     was buggy  sorry    ,0.07333333333333333
7,1649375798000.0,2022-04-07 16:56:38,"5/10 ad daily txs: ➡️ Terra is catching up - but slowly.  ➡️ Tron also increased it's daily txs   See the relative chart bellow 👇  (Data from @bscscan, @etherscan, @polygonscan, @TRONSCAN_ORG)  https://t.co/nrdTaZ3s6i",5 10 ad daily txs     terra is catching up   but slowly      tron also increased it s daily txs   see the relative chart bellow     data from            org    ,0.059999999999999984
8,1649375796000.0,2022-04-07 16:56:36,"3/10 🔎Let's compare the amount of transactions in the last 24hs with others. (Thx @bscscan, @etherscan, @bitinfocharts, @polygonscan, @TRONSCAN_ORG, @solana ) 1) BSC 5,1mio 2) Tron 3,5mio 3) Polygon 3,1mio 4) Solana 1,7mio 5) XRP 1,2mio 6) ETH 1,1mio 7) TERRA 0.6mio  https://t.co/jcKVfZvgZa",3 10  let s compare the amount of transactions in the last 24hs with others   thx               org      1  bsc 5 1mio 2  tron 3 5mio 3  polygon 3 1mio 4  solana 1 7mio 5  xrp 1 2mio 6  eth 1 1mio 7  terra 0 6mio   ,0.0
9,1649375776000.0,2022-04-07 16:56:16,Đúng kiểu bad boy bất cần thường trốn học trong mấy bộ phim đây mà 😁👍,  ng ki u bad boy b t c n th  ng tr n h c trong m y b  phim   y m    ,-0.6999999999999998
10,1649375747000.0,2022-04-07 16:55:47,Hàng loại 1 full box dép đế trấu lót đen kiểu chữ H bảo hành trọn đời DETA14 -  https://t.co/TUMD1wuoky,h ng lo i 1 full box d p    tr u l t  en ki u ch  h b o h nh tr n   i deta14     ,0.35
11,1649375722000.0,2022-04-07 16:55:22,#tron #ADx #eth, tron  adx  eth,0.0
12,1649375688000.0,2022-04-07 16:54:48,@yeahitsjin @vetrix_tron @DeadByBHVR Hello felow legion brother,    tron   hello felow legion brother,0.0
13,1649375677000.0,2022-04-07 16:54:37,"@chain_gainzz Justin Sun left because his ass is trying to avoid charges. He’s made himself a diplomatic ambassador for a Caribbean nation, probably will get some type of Tron token as legal tender out there. BTT is the real monster from Tron &amp; Klever though.",  gainzz justin sun left because his ass is trying to avoid charges  he s made himself a diplomatic ambassador for a caribbean nation  probably will get some type of tron token as legal tender out there  btt is the real monster from tron  amp  klever though ,0.13333333333333333
14,1649375627000.0,2022-04-07 16:53:47,"@Zirksee I’m good!! Definitely a W. Megatron, baby’tron , B Dawk and Bush. And ltd’s.  https://t.co/rh2FANRm6M",  i m good   definitely a w  megatron  baby tron   b dawk and bush  and ltd s    ,0.35
15,1649375599000.0,2022-04-07 16:53:19,Elec-Tron's the nicest mechanic I know!,elec tron s the nicest mechanic i know ,0.0
16,1649375575000.0,2022-04-07 16:52:55,@BenRueter Tron funkin blow,  tron funkin blow,0.0
17,1649375556000.0,2022-04-07 16:52:36,"@PaikCapital @DataCommandant Hmm, I don't know, most of usdt is on Tron, but that still doesn't stop this stack from growing",    hmm  i don t know  most of usdt is on tron  but that still doesn t stop this stack from growing,0.5
18,1649375503000.0,2022-04-07 16:51:43,Las luces en la disco como la movie de Tron.,las luces en la disco como la movie de tron ,0.0
19,1649375410000.0,2022-04-07 16:50:10,Name: tintinweb/smart-contract-sanctuary-tron Description: [Tron] 🐦🌴🌴🌴🦕 A home for ethereum smart contracts. 🏠  Last Commit: with 💕 Author: minion  Stargazers: 3 Watchers: 3 Forks: 0  https://t.co/C4Dy1yNt24,name  tintinweb smart contract sanctuary tron description   tron        a home for ethereum smart contracts     last commit  with   author  minion  stargazers  3 watchers  3 forks  0   ,0.14285714285714285
20,1649375293000.0,2022-04-07 16:48:13,Nẹp chống trơn trượt NLP12  https://t.co/ZNfctGbPua,n p ch ng tr n tr  t nlp12   ,0.0
21,1649375281000.0,2022-04-07 16:48:01,@wesley_tron @et_republican This nation is way more polarized than it was then,  tron   republican this nation is way more polarized than it was then,0.5
22,1649375114000.0,2022-04-07 16:45:14,@wesley_tron @et_republican But then that wouldn't be nearly as affective cause thing that puts DeSantis in a not so favorable position as party fatigue would kick in,  tron   republican but then that wouldn t be nearly as affective cause thing that puts desantis in a not so favorable position as party fatigue would kick in,0.1
23,1649375112000.0,2022-04-07 16:45:12,skończyłam dziś szklany tron i 😌❤️,sko czy am dzi  szklany tron i    ,0.0
24,1649374960000.0,2022-04-07 16:42:40,"#KLV is the hottest alt right now, because they are migrating from Tron and launching their own chain, klever chain.  Promotion: 100% APR on staking for 3 months. From April 25 to July 25.  Super bullish on #klever mainnet", klv is the hottest alt right now  because they are migrating from tron and launching their own chain  klever chain   promotion  100  apr on staking for 3 months  from april 25 to july 25   super bullish on  klever mainnet,0.4063492063492063
25,1649374867000.0,2022-04-07 16:41:07,#HIGH #tron #UTK @rabernat @raberphotopxl @Alberto_PAYZ, high  tron  utk       payz,0.16
26,1649374848000.0,2022-04-07 16:40:48,"@chain_gainzz Personally I think Tron is 100x better than ADA. Especially on the count of it actually works, had actually partnerships, has an actual blockchain, NFT, DEFI, GameFI all the things Ada wants to have, they’ve got it and it works and doesn’t get hacked.",  gainzz personally i think tron is 100x better than ada  especially on the count of it actually works  had actually partnerships  has an actual blockchain  nft  defi  gamefi all the things ada wants to have  they ve got it and it works and doesn t get hacked ,0.09999999999999999
27,1649374842000.0,2022-04-07 16:40:42,@AirdropBSC_Com #HIGH #tron #UTK,  com  high  tron  utk,0.16
28,1649374818000.0,2022-04-07 16:40:18,#HIGH #tron #UTK @Alberto_PAYZ  @rabernat  @raberphotopxl, high  tron  utk   payz      ,0.16
29,1649374784000.0,2022-04-07 16:39:44,@RMoonOfficial @coinbase #HIGH #tron #UTK,     high  tron  utk,0.16
30,1649374723000.0,2022-04-07 16:38:43,@SoManyShirts @guyjohnson__ @ChrisVernonShow So glad you’re on board now Tron. I love these videos.,        so glad you re on board now tron  i love these videos ,0.5
31,1649374525000.0,2022-04-07 16:35:25,@NeoPadCommunity @CryptoSky @NeoPadCommunity  @tron_squad  @SRudavin  @TronHorses,         squad      ,0.0
32,1649374511000.0,2022-04-07 16:35:11,@DissidiaDF Tron: Legacy was SUCH a great film! It does everything right and even outdoes the original (in my honest opinion). It’s a real shame it didn’t get a follow up. Hoping a Tron 3 or even Tron reboot is abouts. 🤞🏻,  tron  legacy was such a great film  it does everything right and even outdoes the original  in my honest opinion   it s a real shame it didn t get a follow up  hoping a tron 3 or even tron reboot is abouts    ,0.37678571428571433
33,1649374498000.0,2022-04-07 16:34:58,I forgot yesterday's meme. Guess I lost it with my voice. You know what that means!   Your memes of yesterday and today are:  Sneezing panda  and   Tron guy,i forgot yesterday s meme  guess i lost it with my voice  you know what that means    your memes of yesterday and today are   sneezing panda  and   tron guy,0.0
34,1649374258000.0,2022-04-07 16:30:58,New bid on TronMeebits #12595 for 1200 TRX ($77.328)   https://t.co/WJxuqDms7k #Apenft #Tmeebits #Meebits #TronMeebits #TRON #NFT  https://t.co/Z1uqVOahFb,new bid on tronmeebits  12595 for 1200 trx   77 328       apenft  tmeebits  meebits  tronmeebits  tron  nft   ,0.13636363636363635
35,1649374203000.0,2022-04-07 16:30:03,@YogiesNFT @peter41540372 @karimchahine1 @tron_jonny,        jonny,0.0
36,1649374165000.0,2022-04-07 16:29:25,#BSCGems #tron #XMR @upcriptoativos @GooseLokiCat @elonmarsrise, bscgems  tron  xmr      ,0.0
37,1649374117000.0,2022-04-07 16:28:37,"Idk maybe scoop yourself a Tron before free Tron X claim in a few weeks. Maybe, idk, NFA DYOR",idk maybe scoop yourself a tron before free tron x claim in a few weeks  maybe  idk  nfa dyor,0.1
38,1649374094000.0,2022-04-07 16:28:14,@YogiesNFT @tron_jonny @karimchahine1 @mikestr08032215,    jonny    ,0.0
39,1649374009000.0,2022-04-07 16:26:49,@Dres_Empire @smolsharks @Sevesternft @LikeImma_17 @PunterGood @trondao,  empire       17    ,0.0
