,created_at,date,tweet,Processed Tweet,Polarity
0,1649375997000.0,2022-04-07 16:59:57,UNISWAPみたいになったら〜とか夢見ていた皆さん いや、まだ可能性はゼロではない！,uniswap                                    ,0.0
1,1649375929000.0,2022-04-07 16:58:49,@mdudas @Uniswap Sure @Uniswap is great but have you tried @osmosiszone? Bliss!,    sure   is great but have you tried    bliss ,0.65
2,1649375870000.0,2022-04-07 16:57:50,@cryptojourneyrs @Uniswap @MetaMask 🪳🪳🪳🪳🪳🪳🪳🪳🪳🪳🪳🪳🪳🪳🪳🪳🪳🪳🪳🪳🪳🪳🪳🪳🪳🪳🪳🪳,                                  ,0.0
3,1649375696000.0,2022-04-07 16:54:56,Uniswap: Analyzing the why behind UNI’s recovery that halted at $13  https://t.co/ZcowIAXdYP,uniswap  analyzing the why behind uni s recovery that halted at  13   ,-0.4
4,1649375639000.0,2022-04-07 16:53:59,Tuyên bố từ chối trách nhiệm: Kết quả phân tích sau đây là ý kiến ​​duy nhất của người viết và không nên được coi là lời khuyên đầu tư  Uniswap đang có xu hướ...   https://t.co/KSLrWinGlj,tuy n b  t  ch i tr ch nhi m  k t qu  ph n t ch sau   y l    ki n   duy nh t c a ng  i vi t v  kh ng n n    c coi l  l i khuy n   u t   uniswap  ang c  xu h         ,0.0
5,1649375628000.0,2022-04-07 16:53:48,"🥝 The kiwi isn't ripe yet, you still have time.  New ATH soon 👀  $ETH $WETH #UNISWAP #NFT #KIWI $KIWI  https://t.co/Dni1lkfcKY",  the kiwi isn t ripe yet  you still have time   new ath soon     eth  weth  uniswap  nft  kiwi  kiwi   ,0.13636363636363635
6,1649375553000.0,2022-04-07 16:52:33,@mdudas @Uniswap stay tuned,    stay tuned,0.0
7,1649375354000.0,2022-04-07 16:49:14,Uniswap: Analizando el por qué detrás de la recuperación de UNI que se detuvo en $13  https://t.co/gFvzSz4Uea  https://t.co/YWruE1mlf9,uniswap  analizando el por qu  detr s de la recuperaci n de uni que se detuvo en  13      ,0.0
8,1649375310000.0,2022-04-07 16:48:30,"Top 3 Gas Guzzlerz ⛽  🥇 1: OpenSea: Wyvern Exchange v2 fees last 3 hrs: $466,326.58 (144.03 Eth)  🥈 2: Uniswap V3: Router 2 fees last 3 hrs: $161,129.83 (49.77 Eth)  🥉 3: 0xa7b1748f35ecf77e92d4ae403781781ee0bdb22b fees last 3 hrs: $426,409.92 (131.70 Eth)  ⏰ Unix: 1649375310",top 3 gas guzzlerz      1  opensea  wyvern exchange v2 fees last 3 hrs   466 326 58  144 03 eth     2  uniswap v3  router 2 fees last 3 hrs   161 129 83  49 77 eth     3  0xa7b1748f35ecf77e92d4ae403781781ee0bdb22b fees last 3 hrs   426 409 92  131 70 eth     unix  1649375310,0.125
9,1649375139000.0,2022-04-07 16:45:39,The best project of 2022 @onstreeth @streethers  listed on @Uniswap on April 8th.🎨🎨🖌️🖌️🖍️   The whole world should hear this news. #Streeth art is everywhere  #binstarter #gemguardian #Launchpad   #NFTCommunity #nftarts #StreetArt #graffiti #NFTCollection #NFTProject  https://t.co/3JZiJEGuxW,the best project of 2022      listed on   on april 8th            the whole world should hear this news   streeth art is everywhere   binstarter  gemguardian  launchpad    nftcommunity  nftarts  streetart  graffiti  nftcollection  nftproject   ,0.6
10,1649375072000.0,2022-04-07 16:44:32,$CENI is now live! We are happy to announce our liquidity pool funded via Uniswap! @tryrollhq, ceni is now live  we are happy to announce our liquidity pool funded via uniswap   ,0.4681818181818182
11,1649374878000.0,2022-04-07 16:41:18,@The_Lunartics @JuliusPreite @TheSimpsons Awesome news 👍 @3landersNFT @Uniswap @NLIR15,  lunartics     awesome news        ,1.0
12,1649374860000.0,2022-04-07 16:41:00,Uniswap: Analyzing the why behind UNI’s recovery that halted at $13  https://t.co/W1bxNaig8f,uniswap  analyzing the why behind uni s recovery that halted at  13   ,-0.4
13,1649374832000.0,2022-04-07 16:40:32,@cryptojourneyrs @Uniswap @MetaMask A random screenshot of someone talking shit.  Must be true…..,      a random screenshot of someone talking shit   must be true   ,-0.11666666666666665
14,1649374811000.0,2022-04-07 16:40:11,Uniswap: Analyzing the why behind UNI’s recovery that halted at $13 – ZellaNews  https://t.co/2FTvdX5Gvq,uniswap  analyzing the why behind uni s recovery that halted at  13   zellanews   ,-0.4
15,1649374810000.0,2022-04-07 16:40:10,Uniswap: Analyzing the why behind UNI’s recovery that halted at $13 – ZellaNews  https://t.co/8doPYvsydL,uniswap  analyzing the why behind uni s recovery that halted at  13   zellanews   ,-0.4
16,1649374785000.0,2022-04-07 16:39:45,Uniswap: Analyzing the why behind UNI’s recovery that halted at $13  https://t.co/WhwBcJoSNu  #cryptocurrency #criptomoneda,uniswap  analyzing the why behind uni s recovery that halted at  13      cryptocurrency  criptomoneda,-0.4
17,1649374688000.0,2022-04-07 16:38:08,Disclaimer: The findings of the following analysis are the sole opinions of the writer and should not be considered investment advice Uniswap was on a rele...Read more:  https://t.co/XuKGM0uO9i,disclaimer  the findings of the following analysis are the sole opinions of the writer and should not be considered investment advice uniswap was on a rele   read more    ,0.16666666666666666
18,1649374656000.0,2022-04-07 16:37:36,probably nothing 👀  $ETH $WETH #UNISWAP #NFT #KIWI $KIWI  https://t.co/ana74VUk1P,probably nothing     eth  weth  uniswap  nft  kiwi  kiwi   ,0.0
19,1649374623000.0,2022-04-07 16:37:03,#Altcoins #Analysis #GlobalNews #HideCryptopanic #News Uniswap: Analyzing the why behind UNI’s recovery that halted at $13  https://t.co/WkI8egub1e  https://t.co/6bMQYScRNv, altcoins  analysis  globalnews  hidecryptopanic  news uniswap  analyzing the why behind uni s recovery that halted at  13      ,-0.4
20,1649374623000.0,2022-04-07 16:37:03,Uniswap: Analyzing the why behind UNI’s recovery that halted at $13  https://t.co/OQkHYGroQp #Altcoins #Analysis #GlobalNews #HideCryptopanic  https://t.co/tiW28VO3Dj,uniswap  analyzing the why behind uni s recovery that halted at  13     altcoins  analysis  globalnews  hidecryptopanic   ,-0.4
21,1649374585000.0,2022-04-07 16:36:25,"@asparagoid @valentinusi99 @Uniswap Jeeze, the guy has 145 followers. No one cars what he says.",      jeeze  the guy has 145 followers  no one cars what he says ,0.0
22,1649374571000.0,2022-04-07 16:36:11,@cryptojourneyrs @Uniswap @MetaMask Just did a swap on uniswap 160 for gas fee. Just high gas fees today everywhere.,      just did a swap on uniswap 160 for gas fee  just high gas fees today everywhere ,0.16
23,1649374473000.0,2022-04-07 16:34:33,@HeyJon12 @Safemoonswirv Haha Unistall aka Uniswap love it,    haha unistall aka uniswap love it,0.35
24,1649374446000.0,2022-04-07 16:34:06,Uniswap: Analyzing the why behind UNI’s recovery that halted at $13   https://t.co/dQUOHkDAc5,uniswap  analyzing the why behind uni s recovery that halted at  13    ,-0.4
25,1649374433000.0,2022-04-07 16:33:53,Going to tell my grandkids about the legend of the @Uniswap airdrop one day and they won’t believe it’s real,going to tell my grandkids about the legend of the   airdrop one day and they won t believe it s real,0.2
26,1649374407000.0,2022-04-07 16:33:27,Uniswap: Analyzing the why behind UNI’s recovery that halted at $13  https://t.co/KLpZbVqYp2,uniswap  analyzing the why behind uni s recovery that halted at  13   ,-0.4
27,1649374383000.0,2022-04-07 16:33:03,#Uniswap: Analyzing the why behind #UNI's recovery that halted at $13   https://t.co/CbDhA6sqZt, uniswap  analyzing the why behind  uni s recovery that halted at  13    ,-0.4
28,1649374381000.0,2022-04-07 16:33:01,@0xwinnie @Uniswap @ichifoundation devs are next level,      devs are next level,0.0
29,1649374370000.0,2022-04-07 16:32:50,@0xwinnie ty @Uniswap for concentrated liquidity $ICHI,  ty   for concentrated liquidity  ichi,0.0
30,1649374351000.0,2022-04-07 16:32:31,🤓🤔👍 #knownews #bitcoin #eth Uniswap: Analyzing the why behind UNI’s recovery that halted at $13 Disclaimer: The   https://t.co/Ctxch8YWC7,     knownews  bitcoin  eth uniswap  analyzing the why behind uni s recovery that halted at  13 disclaimer  the    ,-0.4
31,1649374307000.0,2022-04-07 16:31:47,Uniswap: Analyzing the why behind UNI’s recovery that halted at $13    #cryptonews    https://t.co/PAHLrPRKsg,uniswap  analyzing the why behind uni s recovery that halted at  13     cryptonews     ,-0.4
32,1649374292000.0,2022-04-07 16:31:32,@cryptojourneyrs @Uniswap @MetaMask Daddy Russ needs a new wip! 🤣,      daddy russ needs a new wip   ,0.13636363636363635
33,1649374263000.0,2022-04-07 16:31:03,Uniswap: Analyzing the why behind UNI's recovery that halted at $13 -  https://t.co/vFE05AFinN #Crypto #CryptoNews #CryptoTrends #NFT #NFTNews #NFTRelease #NFTDrop #AltCoin,uniswap  analyzing the why behind uni s recovery that halted at  13       crypto  cryptonews  cryptotrends  nft  nftnews  nftrelease  nftdrop  altcoin,-0.4
34,1649374116000.0,2022-04-07 16:28:36,"The core tokens in the $Kuma ecosystem are $KUMA and $dKuma. 0% Tax  $KUMA can be purchasable on #Uniswap slippage 0.1% or CEX, and $dKuma can be purchasable on Uniswap or obtained on Breeder through staking.  For a detailed overview, please check the WP👇🏼  https://t.co/k8IAO919lG",the core tokens in the  kuma ecosystem are  kuma and  dkuma  0  tax   kuma can be purchasable on  uniswap slippage 0 1  or cex  and  dkuma can be purchasable on uniswap or obtained on breeder through staking   for a detailed overview  please check the wp     ,0.4
35,1649374087000.0,2022-04-07 16:28:07,STARTING TOMORROW:   If you buy at least $100 worth of $CHPZ THIS WEEKEND then you will have a chance to win a #NFT Chipz Black Card! 🥳  Get your Chipz on @Uniswap or @PancakeSwap!   #Crypto #NFTGiveaway #NFTGiveaways #NFTdrops #Blockchain #DeFi #NFTs #altcoin #sportsbet  https://t.co/LA7mPlfysZ,starting tomorrow    if you buy at least  100 worth of  chpz this weekend then you will have a chance to win a  nft chipz black card     get your chipz on   or       crypto  nftgiveaway  nftgiveaways  nftdrops  blockchain  defi  nfts  altcoin  sportsbet   ,0.12666666666666668
36,1649374068000.0,2022-04-07 16:27:48,@ddwchen hi @Uniswap is would love to chat 🙈🙈,  hi   is would love to chat   ,0.5
37,1649374050000.0,2022-04-07 16:27:30,@cryptojourneyrs @Uniswap @MetaMask I value my money so much to use Saitamask. No thanks. I will NEVER use this garbage app.,      i value my money so much to use saitamask  no thanks  i will never use this garbage app ,0.05
38,1649374036000.0,2022-04-07 16:27:16,"@OmarSoTG @Uniswap @MetaMask Be careful, you don't have many cells left.",      be careful  you don t have many cells left ,0.13333333333333333
39,1649374031000.0,2022-04-07 16:27:11,Just a few people know the truth.  $HEX is a better #Bitcoin $PLS is a better #Ethereum  $PLSX is a better #UniSwap  https://t.co/gkp7yE2rtk,just a few people know the truth    hex is a better  bitcoin  pls is a better  ethereum   plsx is a better  uniswap   ,0.325
40,1649374014000.0,2022-04-07 16:26:54,"@cryptojourneyrs @Uniswap @MetaMask Any thing in the swap market there is definitely lower than uniswap , actually uniswap is a nightmare when it comes to fees and all b-ull sh—it they use to take more fees from our wallets",      any thing in the swap market there is definitely lower than uniswap   actually uniswap is a nightmare when it comes to fees and all b ull sh it they use to take more fees from our wallets,0.16666666666666666
41,1649374000000.0,2022-04-07 16:26:40,"@cryptojourneyrs @Uniswap @MetaMask I lose brain cells every time Twitter algorithm shows me Rodney Tweets, and I can't stop wondering how the closest people to him are doing...🤕🤕🤕",      i lose brain cells every time twitter algorithm shows me rodney tweets  and i can t stop wondering how the closest people to him are doing      ,0.0
42,1649373957000.0,2022-04-07 16:25:57,@cryptojourneyrs @Uniswap @MetaMask $300 gas yesterday on uniswap  $49 gas yesterday on the mask . Lay off the pipe buddy .,       300 gas yesterday on uniswap   49 gas yesterday on the mask   lay off the pipe buddy  ,0.0
43,1649373926000.0,2022-04-07 16:25:26,@crypt00h0lic @cryptojourneyrs @Uniswap @MetaMask Agreed 100% haven’t had one more then $50,        agreed 100  haven t had one more then  50,0.5
44,1649373865000.0,2022-04-07 16:24:25,"@jaywil420 @cryptojourneyrs @Uniswap @MetaMask They don’t see that, they probably see the low price then refresh to get the expensive ones during the time when all apps are around the same gas fees. I call BS on all the FUD",        they don t see that  they probably see the low price then refresh to get the expensive ones during the time when all apps are around the same gas fees  i call bs on all the fud,-0.16666666666666666
45,1649373827000.0,2022-04-07 16:23:47,"@THORChain @mdudas @Uniswap @THORSwap pretty dope, just need more liquidity.",        pretty dope  just need more liquidity ,0.375
46,1649373812000.0,2022-04-07 16:23:32,"@nrdgrl007 Totally get it the purpose, i just want to know if you understand that by you saying it will be $0 forever is not true because Uniswap and LP's exist.   This coin is to spread positive vibes and all that is cool but ""shouldn't"" vs ""can"" have monetary value (facts)",  totally get it the purpose  i just want to know if you understand that by you saying it will be  0 forever is not true because uniswap and lp s exist    this coin is to spread positive vibes and all that is cool but  shouldn t  vs  can  have monetary value  facts ,0.1005681818181818
47,1649373772000.0,2022-04-07 16:22:52,@cryptojourneyrs @Uniswap @MetaMask Are u Ok??? #Feelingbad,      are u ok     feelingbad,0.5
48,1649373658000.0,2022-04-07 16:20:58,@staycoticafe @DoubleDice_com Uniswap indeed !!!,    com uniswap indeed    ,0.0
49,1649372987000.0,2022-04-07 16:09:47,@Brandon67821805 @Apemayne Uniswap,    uniswap,0.0
50,1649372880000.0,2022-04-07 16:08:00,"Uniswap trải qua Q1 ảm đạm, khối lượng chạm mức thấp mới trong tháng 3  https://t.co/wDmdjygKjW",uniswap tr i qua q1  m   m  kh i l  ng ch m m c th p m i trong th ng 3   ,0.0
51,1649372837000.0,2022-04-07 16:07:17,"3,678,420,823,465.27 #METADOGE (0 USD) transfer from unknown wallet to #Uniswap     https://t.co/XBNPhSPb7H",3 678 420 823 465 27  metadoge  0 usd  transfer from unknown wallet to  uniswap      ,-0.1
52,1649372775000.0,2022-04-07 16:06:15,"Uniswap (UNI) Anlık Fiyat: 10,42USDT Günlük Değişim: %3,30 Anlık Takip:  https://t.co/J5idTmM556 #UNI #KriptoCoin",uniswap  uni  anl k fiyat  10 42usdt g nl k de i im   3 30 anl k takip      uni  kriptocoin,0.0
53,1649372642000.0,2022-04-07 16:04:02,"@cryptojourneyrs @Uniswap @MetaMask again? You are sharing untrue message. Can't you use your brain to think? If Saitamask gas fees at 70, for sure that was on peak time, Uniswap should be more. Use brain to think!",      again  you are sharing untrue message  can t you use your brain to think  if saitamask gas fees at 70  for sure that was on peak time  uniswap should be more  use brain to think ,0.5
54,1649372592000.0,2022-04-07 16:03:12,270 ETH filled on our Pre-Sale Official launch on Uniswap 🦄7th April | 16:00 UTC  https://t.co/XieLL679OH,270 eth filled on our pre sale official launch on uniswap  7th april   16 00 utc   ,0.4
