,created_at,date,tweet,Processed Tweet,Polarity
0,1649375984000.0,2022-04-07 16:59:44,@realXRPwhale What’s xrp?,  what s xrp ,0.0
1,1649375984000.0,2022-04-07 16:59:44,@XRP_OWL It was eye opening the shit that is being taxed and the way it is being taxed for crypto. I used the coin traker tool on turbo tax.  Oh my goodness is this redonkulous!,  owl it was eye opening the shit that is being taxed and the way it is being taxed for crypto  i used the coin traker tool on turbo tax   oh my goodness is this redonkulous ,-0.2
2,1649375982000.0,2022-04-07 16:59:42,@ragzyart @bgarlinghouse @Ripple Wild lipstick color or did you eat a fruit popsicle?,      wild lipstick color or did you eat a fruit popsicle ,0.1
3,1649375982000.0,2022-04-07 16:59:42,@DrProfitCrypto Xrp,  xrp,0.0
4,1649375980000.0,2022-04-07 16:59:40,@Aa2Amal Ada Xrp,  ada xrp,0.0
5,1649375943000.0,2022-04-07 16:59:03,100万円 回復BTC　ビットコイン　今は買うべきか？リップル50円回復できていない  https://t.co/aFSCSQnJxt　#ビットコイン #リップル #XRP,100     btc                    50                            xrp,0.0
6,1649375940000.0,2022-04-07 16:59:00,@myfriendblondie @LuckyJon_XRP @AssetsDaily His tweet and the picture say 10 tokens,    xrp   his tweet and the picture say 10 tokens,0.0
7,1649375923000.0,2022-04-07 16:58:43,"@james_kimber The point was centralized, and xrp is centralized",  kimber the point was centralized  and xrp is centralized,0.0
8,1649375915000.0,2022-04-07 16:58:35,"4/7/2022 😇Follow @XRPL_Charts for daily stats  🔄XRP burned in the last 24 hours: 1843.561672 (Total)  🔥Total #XRP Burned: 10,434,442 🚒Total $XRP Remaining: 99,989,565,558  https://t.co/3paP43EjyJ",4 7 2022  follow   charts for daily stats   xrp burned in the last 24 hours  1843 561672  total    total  xrp burned  10 434 442  total  xrp remaining  99 989 565 558   ,0.0
9,1649375892000.0,2022-04-07 16:58:12,"@RyanSAdams It was XRP Army, then Tron Army - now they’re both fairly quiet and it’s probably the ADA army or LRC that picked up most of the GME retail wave early 2021. HEX too, but that’s something else completely.",  it was xrp army  then tron army   now they re both fairly quiet and it s probably the ada army or lrc that picked up most of the gme retail wave early 2021  hex too  but that s something else completely ,0.175
10,1649375886000.0,2022-04-07 16:58:06,@bitcoinsatvva @APompliano XRP is instant settlement without needing a centralized network like lighting 💀,    xrp is instant settlement without needing a centralized network like lighting  ,0.0
11,1649375863000.0,2022-04-07 16:57:43,@thepureprophet @Kasallamacher @Ganjo70207506 @JohnEDeaton1 @Ripple There is no centralized entity controlling any part.  Not the transfer not the price not the network,          there is no centralized entity controlling any part   not the transfer not the price not the network,0.0
12,1649375856000.0,2022-04-07 16:57:36,"4/7/2022 😇Follow @XRPL_Charts for daily stats  🔄XRP burned in the last 24 hours: 0.001468 (Average)  🔥Total #XRP Burned: 10,434,442 🚒Total $XRP Remaining: 99,989,565,558  https://t.co/5qASAzwfdi",4 7 2022  follow   charts for daily stats   xrp burned in the last 24 hours  0 001468  average    total  xrp burned  10 434 442  total  xrp remaining  99 989 565 558   ,-0.03
13,1649375847000.0,2022-04-07 16:57:27,@Ripple @bgarlinghouse Where can I buy ripple?,    where can i buy ripple ,0.0
14,1649375841000.0,2022-04-07 16:57:21,@scott_lew_is or btc or luna or ada or dot or xrp or ….,  lew is or btc or luna or ada or dot or xrp or   ,0.0
15,1649375838000.0,2022-04-07 16:57:18,@XRP_Loco @trueperception3 @HammerToe I think Matt forgot his pencil today,  loco     i think matt forgot his pencil today,0.0
16,1649375837000.0,2022-04-07 16:57:17,Patiently waiting for majority countries to build their CBDCs on #XRPL and making #XRP is the bridge asset.  #XRPTheStandard,patiently waiting for majority countries to build their cbdcs on  xrpl and making  xrp is the bridge asset    xrpthestandard,0.0
17,1649375836000.0,2022-04-07 16:57:16,@cryptorecruitr Try $ZIL $VET and $XRP . It is even smoother and cheaper .,  try  zil  vet and  xrp   it is even smoother and cheaper  ,0.0
