,created_at,date,tweet,Processed Tweet,Polarity
0,1649706804000.0,2022-04-11 12:53:24,@DastardlyDaniel We just want Lucky brand blue plaid shirts tbh @chainlink,  we just want lucky brand blue plaid shirts tbh  ,0.16666666666666666
1,1649706779000.0,2022-04-11 12:52:59,@chainlink  https://t.co/v2ZsMOybBG,    ,0.0
2,1649706717000.0,2022-04-11 12:51:57,"@finrekt @chainlink the last 2 years i both was able to claim one bc no job, unlimited free time in front of twitter. thanks sergey not possible any more",    the last 2 years i both was able to claim one bc no job  unlimited free time in front of twitter  thanks sergey not possible any more,0.26666666666666666
3,1649706595000.0,2022-04-11 12:49:55,@ChainLinkGod @Sweettaterzs @AB777sn @CatfishFishy @LoverPlaid @bit_marine @cryptotryne @DAOGlobalNews @TheDanDraper1 @dao_kassandra @HammerIHamilton @Father_Crypto @LinkDoodle420 @HeimdallLand @chainlink @API3DAO @Amberdataio Lol:   https://t.co/UkhqdYRVfk,            marine         kassandra     crypto           lol     ,0.8
4,1649706554000.0,2022-04-11 12:49:14,"@skalability @Sweettaterzs @AB777sn @CatfishFishy @LoverPlaid @bit_marine @cryptotryne @DAOGlobalNews @TheDanDraper1 @dao_kassandra @HammerIHamilton @Father_Crypto @LinkDoodle420 @HeimdallLand @chainlink @API3DAO @Amberdataio I’m not sure what alternative reality you live in, but you’ve failed to address any of the core points I brought up regarding G2M strategy  To avoid going in further circles and continuously pointing out falsehoods about Chainlink, going to mute thread",            marine         kassandra     crypto           i m not sure what alternative reality you live in  but you ve failed to address any of the core points i brought up regarding g2m strategy  to avoid going in further circles and continuously pointing out falsehoods about chainlink  going to mute thread,-0.1534090909090909
5,1649706534000.0,2022-04-11 12:48:54,safety first when you need CPI data  coming to a mainnet near you in May  #chainlink $LINK  https://t.co/6dKSfssG0b,safety first when you need cpi data  coming to a mainnet near you in may   chainlink  link   ,0.175
6,1649706523000.0,2022-04-11 12:48:43,@chainlink 13.83$,  13 83 ,0.0
7,1649706474000.0,2022-04-11 12:47:54,@ChainLinkGod @Sweettaterzs @AB777sn @CatfishFishy @LoverPlaid @bit_marine @cryptotryne @DAOGlobalNews @TheDanDraper1 @dao_kassandra @HammerIHamilton @Father_Crypto @LinkDoodle420 @HeimdallLand @chainlink @API3DAO @Amberdataio Oh yeah?:   https://t.co/vmPijkijDk,            marine         kassandra     crypto           oh yeah      ,0.0
8,1649706472000.0,2022-04-11 12:47:52,@chainlink  https://t.co/o8z8ZkTtIw,    ,0.0
9,1649706442000.0,2022-04-11 12:47:22,A Censorship-Resistant Inflation Index Is Being Built on Chainlink  https://t.co/qDhYdQlEp7 via @coindesk,a censorship resistant inflation index is being built on chainlink    via  ,0.0
10,1649706365000.0,2022-04-11 12:46:05,"@skalability @Sweettaterzs @AB777sn @CatfishFishy @LoverPlaid @bit_marine @cryptotryne @DAOGlobalNews @TheDanDraper1 @dao_kassandra @HammerIHamilton @Father_Crypto @LinkDoodle420 @HeimdallLand @chainlink @API3DAO @Amberdataio They did not “switch,” they’re still providing data to Chainlink oracle networks, no need to lie  https://t.co/Q0rCRX73jF",            marine         kassandra     crypto           they did not  switch   they re still providing data to chainlink oracle networks  no need to lie   ,0.0
11,1649706363000.0,2022-04-11 12:46:03,@chainlink Do you have any chainlink branded bullets? I’m painting my ceiling and would love to have some chainlink on it.  https://t.co/3YyRpcf9BL,  do you have any chainlink branded bullets  i m painting my ceiling and would love to have some chainlink on it    ,0.5
12,1649706363000.0,2022-04-11 12:46:03,@finrekt @OracleHershiser @chainlink Hi Finrekt 💙,      hi finrekt  ,0.0
13,1649706335000.0,2022-04-11 12:45:35,@chainlink Fuk your t-shirts what about an announcement to help with this PA?,  fuk your t shirts what about an announcement to help with this pa ,0.0
14,1649706292000.0,2022-04-11 12:44:52,@finrekt @chainlink I want a mug. I can make coffee out of my tears when the water is shut off.,    i want a mug  i can make coffee out of my tears when the water is shut off ,0.0
15,1649706209000.0,2022-04-11 12:43:29,@KampKilmer @Galaxisxyz @chainlink @BLKPRLStudios This seems so minor but it's extremely important. Proving randomness is an amazing feature and I would love to see it more often to prevent tampering data.,        this seems so minor but it s extremely important  proving randomness is an amazing feature and i would love to see it more often to prevent tampering data ,0.39
16,1649706204000.0,2022-04-11 12:43:24,@finrekt @OracleHershiser @chainlink Bad at ADDING A ZERO,      bad at adding a zero,-0.6999999999999998
17,1649706108000.0,2022-04-11 12:41:48,@istref2386 @rovercrc @DevolutionMeta @chainlink 🔥🔥🔥  https://t.co/nSep9RiYrF,              ,0.0
18,1649706104000.0,2022-04-11 12:41:44,@chainlink  https://t.co/GXqDkK589B,    ,0.0
19,1649706069000.0,2022-04-11 12:41:09,@finrekt @chainlink Give me cheaper link  https://t.co/zSi4SijNDt,    give me cheaper link   ,0.0
20,1649706018000.0,2022-04-11 12:40:18,$link #chainlink remember some of us knew 18 was a local top . just like the last one and the ones prior to those. learn an indicator . and grab your balls., link  chainlink remember some of us knew 18 was a local top   just like the last one and the ones prior to those  learn an indicator   and grab your balls ,0.125
21,1649706001000.0,2022-04-11 12:40:01,@chainlink You will console the people you screwed in the stock market by shirting,  you will console the people you screwed in the stock market by shirting,0.0
22,1649705939000.0,2022-04-11 12:38:59,@finrekt @chainlink Lol so true,    lol so true,0.575
23,1649705925000.0,2022-04-11 12:38:45,"On left Sergey Nazarov, on right chainlink investor waiting for staking. 🥸 #chainlink $link ⁦@SergeyNazarov⁩ come on dude...🤓  https://t.co/ogAn8kXwCl",on left sergey nazarov  on right chainlink investor waiting for staking     chainlink  link     come on dude       ,0.14285714285714285
24,1649705906000.0,2022-04-11 12:38:26,@chainlink 🚀🚀💪💪,      ,0.0
25,1649705847000.0,2022-04-11 12:37:27,@finrekt @chainlink exactly? TSHIRTS?,    exactly  tshirts ,0.25
26,1649705822000.0,2022-04-11 12:37:02,"@franciscgf @chainlink Also, fudding your own bag's not something you excel at puss.",    also  fudding your own bag s not something you excel at puss ,0.6
27,1649705819000.0,2022-04-11 12:36:59,"@dgntlman @finrekt @chainlink bruh smh...fortune favors the brave, you know this...he's gotta be brave to eat some of the shit that is in there.",      bruh smh   fortune favors the brave  you know this   he s gotta be brave to eat some of the shit that is in there ,0.46666666666666673
28,1649705801000.0,2022-04-11 12:36:41,"4chan’s Chainlink, Tendies picks made it the top “crypto fund” of 2020 #bitcoin #btc #ethereum #ETH #crypto #crypotocurrency  https://t.co/dCQL401xLL",4chan s chainlink  tendies picks made it the top  crypto fund  of 2020  bitcoin  btc  ethereum  eth  crypto  crypotocurrency   ,0.5
29,1649705738000.0,2022-04-11 12:35:38,I lost my whitegold chainlink bracelet,i lost my whitegold chainlink bracelet,0.0
30,1649705698000.0,2022-04-11 12:34:58,@chainlink  https://t.co/C3nwI6ebzR,    ,0.0
31,1649705686000.0,2022-04-11 12:34:46,@Sweettaterzs @ChainLinkGod @AB777sn @CatfishFishy @LoverPlaid @bit_marine @cryptotryne @DAOGlobalNews @TheDanDraper1 @dao_kassandra @HammerIHamilton @Father_Crypto @LinkDoodle420 @HeimdallLand @chainlink @API3DAO @Amberdataio  https://t.co/vmPijkijDk,            marine         kassandra     crypto             ,0.0
32,1649705664000.0,2022-04-11 12:34:24,"@franciscgf @chainlink Average correction over Chainlink's life is 73%...currently, right on target with nearly every other token following Bitcoin. Learn basic math and how market cycles work, idiot. 😂😂😂",    average correction over chainlink s life is 73    currently  right on target with nearly every other token following bitcoin  learn basic math and how market cycles work  idiot     ,-0.09846938775510204
33,1649705617000.0,2022-04-11 12:33:37,@finrekt @chainlink for real  https://t.co/pqIamseYRA,    for real   ,0.2
34,1649705610000.0,2022-04-11 12:33:30,@JackoftheOasis @finrekt @chainlink We all are. Leave us alone Jackieeeeeeeee  https://t.co/1fqYgdPUMO,      we all are  leave us alone jackieeeeeeeee   ,0.0
35,1649705591000.0,2022-04-11 12:33:11,@JackoftheOasis @finrekt @chainlink Hows that oasis there champ?,      hows that oasis there champ ,0.0
