,created_at,date,tweet,Processed Tweet,Polarity
0,1649706907000.0,2022-04-11 12:55:07,"Segui umas 10 páginas de astronomia agora, quero mais cosmos no meu feed do que gays",segui umas 10 p ginas de astronomia agora  quero mais cosmos no meu feed do que gays,0.0
1,1649706883000.0,2022-04-11 12:54:43,@matthsfc @10neto O Cosmos tambem é o maior time do mundo. Pelé jogou lá.,    o cosmos tambem   o maior time do mundo  pel  jogou l  ,0.0
2,1649706841000.0,2022-04-11 12:54:01,@Cosmos_is_swag I LOVE UR SHIRT SO MUCH,  is swag i love ur shirt so much,0.35
3,1649706826000.0,2022-04-11 12:53:46,@cosmos_sys Something happen?,  sys something happen ,0.0
4,1649706766000.0,2022-04-11 12:52:46,@Cosmos_is_swag Can I steal your hair,  is swag can i steal your hair,0.0
5,1649706739000.0,2022-04-11 12:52:19,"อัลบั้ม Waterfall, cosmos ของbi คือเหมือนเป็นเพื่อนวัยเดียวกัน ที่ประสบปัญหาในช่วงวัยเดียวกัน ยิ้ม หัวเราะ เศร้า อยากลุกขึ้น อยากหลับฝัน ฟังหมดบั้มแล้วเหมือนมีคนมาตบที่ไหล่ แล้วบอกว่าไม่เป็นไรนะ",        waterfall  cosmos    bi                                                                                                                                                                   ,0.0
6,1649706708000.0,2022-04-11 12:51:48,"When #BTC price will be $25000-$20000 area..... $Atom price will be near $8.5. My short is running , stop loss at $32. $cosmos $btc #Bitcoin #Cosmos #ATOMUSDT #CosmosEcosystem  https://t.co/eOECuva3QZ",when  btc price will be  25000  20000 area       atom price will be near  8 5  my short is running   stop loss at  32   cosmos  btc  bitcoin  cosmos  atomusdt  cosmosecosystem   ,0.05
7,1649706704000.0,2022-04-11 12:51:44,@SunnysideReaper @love_4_crypto @StargazeZone @TheWadSquad_io @HubbleTools @IBCBabyapes @shnubbels @CosmoVoyagers @FractalGodZ @mineisyours___ @Effiomeffiwatt  O holy #Cosmos gods Bless @SunnysideReaper  For this huge giveaway Amen🙏,    4 crypto     io                   o holy  cosmos gods bless    for this huge giveaway amen ,0.4000000000000001
8,1649706700000.0,2022-04-11 12:51:40,@Cosmos_is_swag UR HAIR IS SWOOPY IN ALL THE RIGHT PLACES,  is swag ur hair is swoopy in all the right places,0.2857142857142857
9,1649706689000.0,2022-04-11 12:51:29,@isaidelgoley Solitude Hell is here &amp; now…So is heaven. Both living inside you. There is just this self that plays itself. Through all forms. Through all of us endlessly. The Creature &amp; the creator are one. You are manifestation of the cosmos…  Open to offers on MP  https://t.co/Wyqbb4XCbe,  solitude hell is here  amp  now so is heaven  both living inside you  there is just this self that plays itself  through all forms  through all of us endlessly  the creature  amp  the creator are one  you are manifestation of the cosmos   open to offers on mp   ,-0.008333333333333331
10,1649706664000.0,2022-04-11 12:51:04,@Cosmos_is_swag YOUR HAIR IS SO GENDER OMG /pos,  is swag your hair is so gender omg  pos,0.0
11,1649706658000.0,2022-04-11 12:50:58,@StillBiIl Back in 2018 had an experience with kete/bidi/umeme/cosmos... Just a few new names to it... Got it from a friend in Mathare... We would mix it with shash then smoke. Man you had to smoke good weed so that it moderate that shit.,  back in 2018 had an experience with kete bidi umeme cosmos    just a few new names to it    got it from a friend in mathare    we would mix it with shash then smoke  man you had to smoke good weed so that it moderate that shit ,0.07272727272727271
12,1649706654000.0,2022-04-11 12:50:54,Cosmos : Yeni Dünyalar 3.Bölüm (Kayıp Yaşam Şehri)  https://t.co/67p5Ni2N0X @YouTube aracılığıyla Cosmos 3.Bölüm,cosmos   yeni d nyalar 3 b l m  kay p ya am  ehri       arac l   yla cosmos 3 b l m,0.0
13,1649706646000.0,2022-04-11 12:50:46,"Do you want to know more about the ""Cosmos Art Home"" project? ⭐️🚀⚛️  ⭐️Art from Cosmos in my home ⚛️ Roadmap  https://t.co/ZsZcN5mPcL   Like 💚 retweet 🔥 support 🍻  #CosmosEcosystem #NFTs #Osmosis  https://t.co/YEhlkPa6Gv",do you want to know more about the  cosmos art home  project           art from cosmos in my home    roadmap      like   retweet   support     cosmosecosystem  nfts  osmosis   ,0.5
14,1649706603000.0,2022-04-11 12:50:03,"Rather the notion of self that most people think they have is #Avidya, an #ignorance arising from the confusion that our bodies and #perception of #consciousness is a self-contained aspect immersed in something else, such as the #world or life or the cosmos or even the mind.",rather the notion of self that most people think they have is  avidya  an  ignorance arising from the confusion that our bodies and  perception of  consciousness is a self contained aspect immersed in something else  such as the  world or life or the cosmos or even the mind ,0.25
15,1649706599000.0,2022-04-11 12:49:59,@matthsfc @10neto Cosmos também é o maior do mundo e fim de papo garotinho.,    cosmos tamb m   o maior do mundo e fim de papo garotinho ,0.0
16,1649706504000.0,2022-04-11 12:48:24,@CosmosHOSS @EvmosOrg @evmosexplorers @FractalGodZ @Effiomeffiwatt @mineisyours___  May the #Cosmos gods bless @CosmosHOSS and the @evmosexplorers  Amen🙏,                may the  cosmos gods bless   and the    amen ,0.0
17,1649706444000.0,2022-04-11 12:47:24,@campcosmos 🏕💫 Camp Cosmos Giveaway 💫🏕   🏕️,     camp cosmos giveaway        ,0.0
18,1649706439000.0,2022-04-11 12:47:19,"you are my cosmos, my universe / don't fall like the petals on a flower",you are my cosmos  my universe   don t fall like the petals on a flower,0.0
19,1649706427000.0,2022-04-11 12:47:07,@RyanSAdams Com'on the @Cosmos gives zero fucks about that.🤣  https://t.co/zzmQuaub9V,  com on the   gives zero fucks about that     ,0.0
20,1649706422000.0,2022-04-11 12:47:02,@blockpane @cosmos @osmosiszone Switched over to validator with better disk performance...  https://t.co/roS2w9OcH1,      switched over to validator with better disk performance      ,0.5
21,1649706421000.0,2022-04-11 12:47:01,"@Cryptocito @cosmos @jaekwon 1. If he were to redesign @cosmos again, with all the learnings he got, what would he do differently?  2. $ATOM economy; what would he add in terms of features/ services to Cosmos Hub to increase its role/value within the Interchain economy? 3. Where does he sees cosmos heading?",      1  if he were to redesign   again  with all the learnings he got  what would he do differently   2   atom economy  what would he add in terms of features  services to cosmos hub to increase its role value within the interchain economy  3  where does he sees cosmos heading ,0.0
22,1649706406000.0,2022-04-11 12:46:46,@RyanSAdams It’s an interesting eco-system thats for sure. For anyone who wants to learn more here is a beginners intro article I wrote on Cosmos   https://t.co/Aqy5d3Vp7T,  it s an interesting eco system thats for sure  for anyone who wants to learn more here is a beginners intro article i wrote on cosmos    ,0.425
23,1649706400000.0,2022-04-11 12:46:40,One of the greatest freedom's you can give yourself.. is to never set an expectation in others.. people use expectation to hurt you/control you and to manipulate you.. if it comes it comes.. if it goes it goes.. if it stays it stays.. the best way to live a life i found.. Cosmos  https://t.co/Nz1rwnhkgZ,one of the greatest freedom s you can give yourself   is to never set an expectation in others   people use expectation to hurt you control you and to manipulate you   if it comes it comes   if it goes it goes   if it stays it stays   the best way to live a life i found   cosmos   ,0.712121212121212
24,1649706395000.0,2022-04-11 12:46:35,"Cosmos face Aslan! NFT listing on OpenSea!  Like, RT and follow for upcoming updates of the project!. Support us to build Aslan universe and gaming community! #Metaverse #NFTCommunity #mondaythoughts #MondayMotivations   https://t.co/Ko7Z7Exdb1 via @opensea",cosmos face aslan  nft listing on opensea   like  rt and follow for upcoming updates of the project   support us to build aslan universe and gaming community   metaverse  nftcommunity  mondaythoughts  mondaymotivations     via  ,0.0
25,1649706377000.0,2022-04-11 12:46:17,@disclosetv well shit. If all it needs is s buncha hot air then we can jettison the entire Democratic party into the cosmos  https://t.co/lk8J2tgakS,  well shit  if all it needs is s buncha hot air then we can jettison the entire democratic party into the cosmos   ,0.016666666666666663
26,1649706354000.0,2022-04-11 12:45:54,"@jf_nft Content in images makes the world feel like they need our help. In the depths of these images of the cosmos lies sometimes a tree figure and sometimes a flower seed. It's almost as if we see the ""lifeblood of nature"".   https://t.co/cXyzJSLC7Z",  nft content in images makes the world feel like they need our help  in the depths of these images of the cosmos lies sometimes a tree figure and sometimes a flower seed  it s almost as if we see the  lifeblood of nature      ,0.0
27,1649706312000.0,2022-04-11 12:45:12,"🟢 Los agujeros negros, según Stephen Hawking  #ciencia #universo #cosmos  https://t.co/AxQAO4Vuyh",  los agujeros negros  seg n stephen hawking   ciencia  universo  cosmos   ,0.0
28,1649706303000.0,2022-04-11 12:45:03,@EldadCrypto @JACKAL_DAO @SecretNetwork @JunoNetwork @cosmos @JunoAirdrops @retriever_rns @Cosmos_Airdrops I got cosmonat.rns,    dao           rns   airdrops i got cosmonat rns,0.0
29,1649706281000.0,2022-04-11 12:44:41,IBC is the huge exception. IBC light clients secure millions in value across cosmos,ibc is the huge exception  ibc light clients secure millions in value across cosmos,0.4000000000000001
30,1649706257000.0,2022-04-11 12:44:17,@maki_cosmos まきさん🌸フォローバックありがとうございます☺ よろしくお願い致します😉🥂,  cosmos                                      ,0.0
31,1649706253000.0,2022-04-11 12:44:13,@defi_shaked @jack_zampolin A router was recently added to the Cosmos Hub that would simplify this,  shaked   zampolin a router was recently added to the cosmos hub that would simplify this,0.0
32,1649706238000.0,2022-04-11 12:43:58,So much great talent in the modular blockchain + IBC + Cosmos ecosystem. Excited for this,so much great talent in the modular blockchain   ibc   cosmos ecosystem  excited for this,0.5875
33,1649706184000.0,2022-04-11 12:43:04,"we got that sweet, sweet double-southern-river-mouth map, apples, cosmos &amp; a yellow airport ✨",we got that sweet  sweet double southern river mouth map  apples  cosmos  amp  a yellow airport  ,0.13999999999999999
34,1649706160000.0,2022-04-11 12:42:40,"Şimdi şöyle düşünün biraz rahatlayın, ilk @cosmos ağındaki coinlere girerken ne düşündüyseniz inandıysanız, güvendiyseniz onun arkasında durun. Burası kumar masası değil. Siz olayı kumara çevirmezseniz kaybettiğiniz bir şey olmaz.", imdi   yle d   n n biraz rahatlay n  ilk   a  ndaki coinlere girerken ne d   nd yseniz inand ysan z  g vendiyseniz onun arkas nda durun  buras  kumar masas  de il  siz olay  kumara  evirmezseniz kaybetti iniz bir  ey olmaz ,0.0
35,1649706147000.0,2022-04-11 12:42:27,@JACKAL_DAO @zannediyorumki @SecretNetwork @JunoNetwork @cosmos @JunoAirdrops @retriever_rns @Cosmos_Airdrops Of course man,  dao             rns   airdrops of course man,0.0
36,1649706129000.0,2022-04-11 12:42:09,@hamblaster9k @ChainLeftist @odin_free @kevinsekniqi @0xCicero not really - you have just stolen subnets idea from Cosmos zones. No big deal ;)  nothing to do with ETH.,      free     not really   you have just stolen subnets idea from cosmos zones  no big deal     nothing to do with eth ,0.10000000000000002
37,1649706108000.0,2022-04-11 12:41:48,"COSMOS Exhibition at @eritage_artprojects “ERITAGE is located in the Portuguese capital, right in front of MNAA (National Museum of Ancient Art), challenging us to create a space open to intercultural dialogue, valuing diversity of styles,...  https://t.co/7YgejRWMIm",cosmos exhibition at   artprojects  eritage is located in the portuguese capital  right in front of mnaa  national museum of ancient art   challenging us to create a space open to intercultural dialogue  valuing diversity of styles       ,0.2619047619047619
38,1649706098000.0,2022-04-11 12:41:38,"@qjotx A master keyblade user provided his protégés information about future events and incited events manipulating/killing/or saving different keyblade wielders that eventually led to Sora, a good kid, being thrust into saving the cosmos from dark forces using the power of light.",  a master keyblade user provided his prot g s information about future events and incited events manipulating killing or saving different keyblade wielders that eventually led to sora  a good kid  being thrust into saving the cosmos from dark forces using the power of light ,0.19
39,1649706036000.0,2022-04-11 12:40:36,"35. tilele jovem místico gratiluz que justifica tudo com o cosmos, astrologia e coisas do tipo",35  tilele jovem m stico gratiluz que justifica tudo com o cosmos  astrologia e coisas do tipo,0.0
40,1649706036000.0,2022-04-11 12:40:36,What makes Cosmos special? It is a development stack (Cosmos SDK) that has been used to make interoperable apps with their own blockchains that can still communicate with each other -- and cheaply. This is called Inter-Blockchain Communication (IBC) #CosmosEcosystem #IBCGang,what makes cosmos special  it is a development stack  cosmos sdk  that has been used to make interoperable apps with their own blockchains that can still communicate with each other    and cheaply  this is called inter blockchain communication  ibc   cosmosecosystem  ibcgang,0.3080357142857143
41,1649705981000.0,2022-04-11 12:39:41,"Esta noche a las 22 hs de España por la 107.5 de la FM #recradio nos da flojera de viajar por el cosmos, así que visitaremos la estación espacial Espacio Profundo 9. No te pierdas la primera mitad del programa! O te acusamos con la Orden Obsidiana! #ds9 #StarTrek  https://t.co/dYEuCJTDCi",esta noche a las 22 hs de espa a por la 107 5 de la fm  recradio nos da flojera de viajar por el cosmos  as  que visitaremos la estaci n espacial espacio profundo 9  no te pierdas la primera mitad del programa  o te acusamos con la orden obsidiana   ds9  startrek   ,0.0
42,1649705968000.0,2022-04-11 12:39:28,Requesting $ATOM funds from the #Stakely Faucet on the Cosmos blockchain. Request ID: WGVYO24T #privacy  https://t.co/jbykImKTse,requesting  atom funds from the  stakely faucet on the cosmos blockchain  request id  wgvyo24t  privacy   ,0.0
43,1649705937000.0,2022-04-11 12:38:57,"From our first collection ""BIRTH OF #ATOM"" #NFT #54 #Netherlands, #Amsterdam ==&gt;  https://t.co/eAJxvgDp18 #COSMOS #COSMOSECOSYSTEM #OMNIFIXNETWORK  https://t.co/W7JlZHXTc3",from our first collection  birth of  atom   nft  54  netherlands   amsterdam    gt      cosmos  cosmosecosystem  omnifixnetwork   ,0.25
44,1649705931000.0,2022-04-11 12:38:51,My dreams are as surreal as a melting clock on the wall becoming apart of the cosmos,my dreams are as surreal as a melting clock on the wall becoming apart of the cosmos,0.35
45,1649705912000.0,2022-04-11 12:38:32,Live now!💚  Come &amp; join us as we venture together through the cosmos in search of hot aliens to help us save the galaxy in Mass Effect!😎 #Vtuber #ENVtuber #MassEffect #twitchstreaming   https://t.co/7elTLs33M2,live now    come  amp  join us as we venture together through the cosmos in search of hot aliens to help us save the galaxy in mass effect    vtuber  envtuber  masseffect  twitchstreaming    ,0.19318181818181818
46,1649705894000.0,2022-04-11 12:38:14,"The Cosmos ecosystem has been quietly growing with low fees in the order of cents, and confirmation times of seconds. #Cosmos #CosmosEcosystem #IBCGang",the cosmos ecosystem has been quietly growing with low fees in the order of cents  and confirmation times of seconds   cosmos  cosmosecosystem  ibcgang,0.0
47,1649705866000.0,2022-04-11 12:37:46,@PerciFinance @EvmosOrg @cosmos Cosmos: cosmos132kjjkqsnwhtg555dk34t0hll5jwetvlscn5v0 Evmos: evmos1zmq8lg2p8s5ngtx5qzfj7jj4h67wqu8uc9fshf  Metamask: 0xBBD2b30fd1A720E99EFc8887ce8D13406F4CFbAd,      cosmos  cosmos132kjjkqsnwhtg555dk34t0hll5jwetvlscn5v0 evmos  evmos1zmq8lg2p8s5ngtx5qzfj7jj4h67wqu8uc9fshf  metamask  0xbbd2b30fd1a720e99efc8887ce8d13406f4cfbad,0.0
48,1649705843000.0,2022-04-11 12:37:23,@YaziToune @TempusShop @gavin_cosmos Vraiment terrible pour une montre de tous les jours,      cosmos vraiment terrible pour une montre de tous les jours,-1.0
49,1649705839000.0,2022-04-11 12:37:19,"We talked to #security consultants from our #networksecurity, Managed Services, and Cosmos team about what they find most useful about the #opensource tool #Nuclei. Check out what they had to say!  https://t.co/OlxYy4XV3u #infosec",we talked to  security consultants from our  networksecurity  managed services  and cosmos team about what they find most useful about the  opensource tool  nuclei  check out what they had to say      infosec,0.4
50,1649705834000.0,2022-04-11 12:37:14,"@Grayscale @cosmos When ELROND ? Grayscale add ELROND NETWORK to their watchlist ,but when as a Component?",    when elrond   grayscale add elrond network to their watchlist  but when as a component ,0.0
51,1649705798000.0,2022-04-11 12:36:38,@PerciFinance @EvmosOrg @cosmos 0xb3A567a76f1264E578c70A2B8AB94d4cbE152e92,      0xb3a567a76f1264e578c70a2b8ab94d4cbe152e92,0.0
52,1649705782000.0,2022-04-11 12:36:22,@greyXstar @Jake_Cosmos @TBLightning Finding any way to cope sad!,    cosmos   finding any way to cope sad ,-0.5
53,1649705776000.0,2022-04-11 12:36:16,I love Cosmos,i love cosmos,0.5
54,1649705747000.0,2022-04-11 12:35:47,"@YouAreLobbyLud In my community here in Vic it seems to be a fairly even split between masking/not masking. Personally, I'm keeping mine on. I have frail, elderly parents to protect and a job that make me highly open to infection if protocols are stepped back or, the cosmos forbid, dropped.",  in my community here in vic it seems to be a fairly even split between masking not masking  personally  i m keeping mine on  i have frail  elderly parents to protect and a job that make me highly open to infection if protocols are stepped back or  the cosmos forbid  dropped ,0.175
