,created_at,date,tweet,Processed Tweet,Polarity
0,1649706916000.0,2022-04-11 12:55:16,This zesty faucet from @_bitcoiner is making me tweet this to claim my free Litecoin. ⚡  @_bitcoiner unlock me 8f0f2ac1-d337-45c0-b0fd-07ba37d18feb  #Litecoin #LTC $LTC  https://t.co/vc64YjSELQ,this zesty faucet from   bitcoiner is making me tweet this to claim my free litecoin       bitcoiner unlock me 8f0f2ac1 d337 45c0 b0fd 07ba37d18feb   litecoin  ltc  ltc   ,0.4
1,1649706905000.0,2022-04-11 12:55:05,@MartiniGuyYT Can I get that in #Litecoin  ?  ♥️,  can i get that in  litecoin       ,0.0
2,1649706904000.0,2022-04-11 12:55:04,This zesty faucet from @_bitcoiner is making me tweet this to claim my free Litecoin. ⚡  @_bitcoiner unlock me 4eb9bcfe-fe0f-4b2a-8a20-d4677fe29beb  #Litecoin #LTC $LTC  https://t.co/hthoFHvcm8,this zesty faucet from   bitcoiner is making me tweet this to claim my free litecoin       bitcoiner unlock me 4eb9bcfe fe0f 4b2a 8a20 d4677fe29beb   litecoin  ltc  ltc   ,0.4
3,1649706855000.0,2022-04-11 12:54:15,Day 8;  420  69 69 Much wow Titter  @elonmusk #doge #Litecoin,day 8   420  69 69 much wow titter     doge  litecoin,0.1
4,1649706778000.0,2022-04-11 12:52:58,There are only 70 MILLION #Litecoin and will only ever be 84 million,there are only 70 million  litecoin and will only ever be 84 million,0.0
5,1649706732000.0,2022-04-11 12:52:12,"He said the CBN was able to detect the relevant transactions using “advanced capacity” that Nigerian lenders do not have access to, and they have urged the central bank to share the technology.  https://t.co/LCto6xkQLE via @nairametrics #Litecoin #Bitcoin #USDT #XRP ...",he said the cbn was able to detect the relevant transactions using  advanced capacity  that nigerian lenders do not have access to  and they have urged the central bank to share the technology     via    litecoin  bitcoin  usdt  xrp    ,0.325
6,1649706685000.0,2022-04-11 12:51:25,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me 871db99e-c725-491b-9d72-591852017135  #Litecoin #LTC $LTC  https://t.co/6ODkdYBPKc,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me 871db99e c725 491b 9d72 591852017135   litecoin  ltc  ltc   ,0.4
7,1649706682000.0,2022-04-11 12:51:22,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me 186ccd7f-76ea-4178-bf08-7298533a1d55  #Litecoin #LTC $LTC  https://t.co/WsZfkfdhIR,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me 186ccd7f 76ea 4178 bf08 7298533a1d55   litecoin  ltc  ltc   ,0.4
8,1649706601000.0,2022-04-11 12:50:01,Cathie Wood's ARK snaps up $80M Robinhood shares after crypto led price dip #trading #bitcoin #litecoin #eth  https://t.co/VyWfSZrm54,cathie wood s ark snaps up  80m robinhood shares after crypto led price dip  trading  bitcoin  litecoin  eth   ,0.0
9,1649706581000.0,2022-04-11 12:49:41,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me 87102515-a62a-43cd-894e-9722985c6822  #Litecoin #LTC $LTC  https://t.co/P8G9sVHHh8,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me 87102515 a62a 43cd 894e 9722985c6822   litecoin  ltc  ltc   ,0.4
10,1649706516000.0,2022-04-11 12:48:36,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me 7548bb7f-4e9f-4d47-9927-c977fa87cd0a  #Litecoin #LTC $LTC  https://t.co/olc9PcsFUW,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me 7548bb7f 4e9f 4d47 9927 c977fa87cd0a   litecoin  ltc  ltc   ,0.4
11,1649706448000.0,2022-04-11 12:47:28,@GeneralAkAbA Laughs in #Litecoin  https://t.co/n3IIbJ9akl,  laughs in  litecoin   ,0.0
12,1649706429000.0,2022-04-11 12:47:09,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me 8808c484-93b8-4eb9-9719-eb379dcfa67f  #Litecoin #LTC $LTC  https://t.co/rKeo9YkqHS,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me 8808c484 93b8 4eb9 9719 eb379dcfa67f   litecoin  ltc  ltc   ,0.4
13,1649706397000.0,2022-04-11 12:46:37,"💵857,480 #LTC (95,008,790 USD) move from unknown wallet to unknown wallet   Date : 2022-04-11 19:43:57 (GMT 0) Blockchain : #LITECOIN Symbol : #LTC   Detail:  https://t.co/Lvm3DGdIaX", 857 480  ltc  95 008 790 usd  move from unknown wallet to unknown wallet   date   2022 04 11 19 43 57  gmt 0  blockchain    litecoin symbol    ltc   detail    ,-0.1
14,1649706394000.0,2022-04-11 12:46:34,"💵770,265 #LTC (85,345,370 USD) move from multiple addresses to unknown wallet   Date : 2022-04-11 19:43:57 (GMT 0) Blockchain : #LITECOIN Symbol : #LTC   Detail:  https://t.co/qWseQyufps", 770 265  ltc  85 345 370 usd  move from multiple addresses to unknown wallet   date   2022 04 11 19 43 57  gmt 0  blockchain    litecoin symbol    ltc   detail    ,-0.05
15,1649706374000.0,2022-04-11 12:46:14,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me 0cedc273-07e2-4319-919b-7fe642eb32c9  #Litecoin #LTC $LTC  https://t.co/YqezOkr1KF,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me 0cedc273 07e2 4319 919b 7fe642eb32c9   litecoin  ltc  ltc   ,0.4
16,1649706361000.0,2022-04-11 12:46:01,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me 418bcdfa-61f5-4ebc-9448-3c106613dcce  #Litecoin #LTC $LTC  https://t.co/X3QYLlJfpI,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me 418bcdfa 61f5 4ebc 9448 3c106613dcce   litecoin  ltc  ltc   ,0.4
17,1649706329000.0,2022-04-11 12:45:29,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me 432de51c-0008-4b9f-a938-2ff6d7dc0717  #Litecoin #LTC $LTC  https://t.co/EwlQ5WrzoI,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me 432de51c 0008 4b9f a938 2ff6d7dc0717   litecoin  ltc  ltc   ,0.4
18,1649706326000.0,2022-04-11 12:45:26,"@BTC_Mullick Historically, most new code has passed from first Bitcoin over to Litecoin. So BTC is testing things prior to LTC most of the time.",  mullick historically  most new code has passed from first bitcoin over to litecoin  so btc is testing things prior to ltc most of the time ,0.2772727272727272
19,1649706313000.0,2022-04-11 12:45:13,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me 57a3e2b9-1736-4b52-8ab7-6e8f07c41e41  #Litecoin #LTC $LTC  https://t.co/SSQuNKHVSR,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me 57a3e2b9 1736 4b52 8ab7 6e8f07c41e41   litecoin  ltc  ltc   ,0.4
20,1649706301000.0,2022-04-11 12:45:01,Bearish chart pattern hints at $70 Solana (SOL) price before a possible oversold bounce #ethereum #gold #litecoin #cryptocurrency  https://t.co/3WLj9a2Egj,bearish chart pattern hints at  70 solana  sol  price before a possible oversold bounce  ethereum  gold  litecoin  cryptocurrency   ,0.0
21,1649706283000.0,2022-04-11 12:44:43,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me 631cb437-2809-474c-936c-1e96251dd407  #Litecoin #LTC $LTC  https://t.co/GebCQuh7bO,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me 631cb437 2809 474c 936c 1e96251dd407   litecoin  ltc  ltc   ,0.4
22,1649706250000.0,2022-04-11 12:44:10,"@LadisDad I need a sugardaddy,onlyfans that I am able to pay with Bitcoin Ethereum Litecoin over my hacked Metamask or TrustWallet. Coinbase and Binanace works aswell and NFT. My Metamask and TrustWallet got hacked. Onlyfans free sugardad",  i need a sugardaddy onlyfans that i am able to pay with bitcoin ethereum litecoin over my hacked metamask or trustwallet  coinbase and binanace works aswell and nft  my metamask and trustwallet got hacked  onlyfans free sugardad,0.45
23,1649706219000.0,2022-04-11 12:43:39,Fuertes caídas en las Cryptos:  #Bitcoin 39937 -7.65% #Ether 3000 -8.85% #Cardano 0.9434 -11.13% #Dogecoin 0.11378 -11.76% #EOS 2.1866 -11.43% #Litecoin 104.20 -8.41% #Stellar 0.1897 -8.51% #BTC #ETH #BCH #XLM #LTC #DOGE,fuertes ca das en las cryptos    bitcoin 39937  7 65   ether 3000  8 85   cardano 0 9434  11 13   dogecoin 0 11378  11 76   eos 2 1866  11 43   litecoin 104 20  8 41   stellar 0 1897  8 51   btc  eth  bch  xlm  ltc  doge,0.25
24,1649706195000.0,2022-04-11 12:43:15,create twitter tasks and pay with #bitcoin #ethereum or #litecoin with @jobboycom,create twitter tasks and pay with  bitcoin  ethereum or  litecoin with  ,0.0
25,1649706178000.0,2022-04-11 12:42:58,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me 695c0816-6f88-4041-9cc5-0f7ddc46fa72  #Litecoin #LTC $LTC  https://t.co/othdHREsIs,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me 695c0816 6f88 4041 9cc5 0f7ddc46fa72   litecoin  ltc  ltc   ,0.4
26,1649706127000.0,2022-04-11 12:42:07,Don't be one of those who get upset later.   https://t.co/FmEQMkbtGZ  #aph  $ven $fet $dollar #edg #litecoin #microsoft $jasmy  https://t.co/997pZyvWMP,don t be one of those who get upset later        aph   ven  fet  dollar  edg  litecoin  microsoft  jasmy   ,0.0
27,1649706000000.0,2022-04-11 12:40:00,@litecoin_bull @elonmusk Not Elon. 🤣😅🤡  https://t.co/hfVOc9ofcL,  bull   not elon        ,0.0
28,1649705942000.0,2022-04-11 12:39:02,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me 55906468-cf63-4009-9597-fdfc34e745d4  #Litecoin #LTC $LTC  https://t.co/KamLL8LyuQ,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me 55906468 cf63 4009 9597 fdfc34e745d4   litecoin  ltc  ltc   ,0.4
29,1649705843000.0,2022-04-11 12:37:23,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me 62aad2b2-8d3a-4b87-ab50-f47efcb96101  #Litecoin #LTC $LTC  https://t.co/5d3J3SXpNZ,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me 62aad2b2 8d3a 4b87 ab50 f47efcb96101   litecoin  ltc  ltc   ,0.4
30,1649705720000.0,2022-04-11 12:35:20,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me e6f37abc-a3a5-47e0-9d6e-bfed9250618e  #Litecoin #LTC $LTC  https://t.co/xwbNNEvO8x,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me e6f37abc a3a5 47e0 9d6e bfed9250618e   litecoin  ltc  ltc   ,0.4
31,1649705693000.0,2022-04-11 12:34:53,"#BTC is about to cross that psychological mark…. Back into the 39s. When people panic, I buy more. I also get more #faucet payments. Even the #free #crypto goes up a bit.   https://t.co/PzA6hEP0tG  4% APY on #Bitcoin 10% APY on #Litecoin  Let’s go!  #VGX", btc is about to cross that psychological mark   back into the 39s  when people panic  i buy more  i also get more  faucet payments  even the  free  crypto goes up a bit       4  apy on  bitcoin 10  apy on  litecoin  let s go    vgx,0.2333333333333333
32,1649705679000.0,2022-04-11 12:34:39,Verdades que duelen.  #Litecoin 🚀,verdades que duelen    litecoin  ,0.0
33,1649705657000.0,2022-04-11 12:34:17,@Plaid When will litecoin be supported?,  when will litecoin be supported ,0.0
34,1649705641000.0,2022-04-11 12:34:01,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me 45a7d34f-d434-4b0f-9308-0866fd0e4acc  #Litecoin #LTC $LTC  https://t.co/wDkbgLWDrp,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me 45a7d34f d434 4b0f 9308 0866fd0e4acc   litecoin  ltc  ltc   ,0.4
35,1649705526000.0,2022-04-11 12:32:06,Bitcoin、Litecoin、Monero、DASHなどを完全匿名で現金で個人間で簡単に対面売買することができるサイト、btc-trade-p2pの運営をしております。ご質問などがあれば、お気軽にどうぞ。よろしくお願いいたします。  #暗号通貨 #Bitcoin #BTC #ビットコイン,bitcoin litecoin monero dash                                  btc trade p2p                                                   bitcoin  btc        ,0.0
36,1649705524000.0,2022-04-11 12:32:04,Inflation Busting Tips #Gold #Silver #Bitcoin #Litecoin  https://t.co/uA5lBz8QoX via @BitChute,inflation busting tips  gold  silver  bitcoin  litecoin    via  ,0.0
37,1649705505000.0,2022-04-11 12:31:45,$LTCUSD How we saw it back on 4.1.2022 @  https://t.co/c2fCVssy9t #Elliottwave #LTCUSD #Cryptocurrencies #Trading #Litecoin  https://t.co/v6DapEmItr, ltcusd how we saw it back on 4 1 2022       elliottwave  ltcusd  cryptocurrencies  trading  litecoin   ,0.0
38,1649705427000.0,2022-04-11 12:30:27,I’m staking #Zilliqa earning 14%Apy and getting #Litecoin Bit by Bit #Digital #Silver  https://t.co/WmyByOe5nO,i m staking  zilliqa earning 14 apy and getting  litecoin bit by bit  digital  silver   ,0.0
39,1649705407000.0,2022-04-11 12:30:07,Can Litecoin [LTC] recover on the back of demand amid strong headwinds  https://t.co/hTT783UFmu,can litecoin  ltc  recover on the back of demand amid strong headwinds   ,0.21666666666666665
40,1649705405000.0,2022-04-11 12:30:05,@Cisco @myAgroFarms Can we pay with #litecoin?,    can we pay with  litecoin ,0.0
41,1649705349000.0,2022-04-11 12:29:09,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me aa032624-f52e-4101-8ff4-ba6dbbaa5e99  #Litecoin #LTC $LTC  https://t.co/WkJirbY9Wt,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me aa032624 f52e 4101 8ff4 ba6dbbaa5e99   litecoin  ltc  ltc   ,0.4
42,1649705332000.0,2022-04-11 12:28:52,@SoFi it would be great if litecoin was added to the logos shown to purchase crypto.  https://t.co/yTg9qqfvYi,  it would be great if litecoin was added to the logos shown to purchase crypto    ,0.8
43,1649705181000.0,2022-04-11 12:26:21,@omhgeec @Bitso Litecoin y al menos unos 10K,    litecoin y al menos unos 10k,0.0
44,1649705066000.0,2022-04-11 12:24:26,I am claiming my free Litecoin from @_bitcoiner's zesty faucet! ⚡  @_bitcoiner unlock me b8336ad7-6a3e-48a6-b15a-9e4414503007  #Litecoin #LTC $LTC  https://t.co/JwIzC67I4s,i am claiming my free litecoin from   bitcoiner s zesty faucet       bitcoiner unlock me b8336ad7 6a3e 48a6 b15a 9e4414503007   litecoin  ltc  ltc   ,0.4
