,created_at,date,tweet,Processed Tweet,Polarity
0,1649706927000.0,2022-04-11 12:55:27,Stellar response!!,stellar response  ,0.25
1,1649706894000.0,2022-04-11 12:54:54,@jaygruska @suebsg9 @dicksp8jr @RobBenedict @JensenAckles @WinchestersHub @rthompson1138 @DanneelHarris Thanks for the correction.  Really excited you are part of it after the stellar work you did on SPN.,                thanks for the correction   really excited you are part of it after the stellar work you did on spn ,0.27499999999999997
2,1649706890000.0,2022-04-11 12:54:50,"@SnowBellesHell Me, too!! We do not need weak men who enable less than stellar women. 💗💗",  me  too   we do not need weak men who enable less than stellar women    ,-0.09722222222222221
3,1649706871000.0,2022-04-11 12:54:31,@TeaOhana Stellar episode as it happens.  https://t.co/OxVDWSW2om,  stellar episode as it happens    ,0.25
4,1649706866000.0,2022-04-11 12:54:26,@stellar_musique drži se!,  musique dr i se ,0.0
5,1649706866000.0,2022-04-11 12:54:26,"Taking a minute to marvel at Mitchell Weeks' season. Leads all OHL goalies in minutes-played, by 293. Has taken 295 more shots than any other goalie. Made 233 more saves and has appeared in 59 games. His GAA and SV% aren't stellar. But that's a lot of work on a rebuilding team.",taking a minute to marvel at mitchell weeks  season  leads all ohl goalies in minutes played  by 293  has taken 295 more shots than any other goalie  made 233 more saves and has appeared in 59 games  his gaa and sv  aren t stellar  but that s a lot of work on a rebuilding team ,0.28125
6,1649706843000.0,2022-04-11 12:54:03,"Technical Clerk - Warrington - £14.00 to £16.00 Per Hour: An opportunity exists, inside IR35, for Technical Clerks with a stellar knowledge of engineering and experience in a highly regulated environment. Duties include but not limited to -…  https://t.co/aDWP6e0hoI #nuclearjobs",technical clerk   warrington    14 00 to  16 00 per hour  an opportunity exists  inside ir35  for technical clerks with a stellar knowledge of engineering and experience in a highly regulated environment  duties include but not limited to        nuclearjobs,0.08914285714285715
7,1649706824000.0,2022-04-11 12:53:44,"Yu-Peng Chen is a stellar composer, Genshin's OST remains one of my favorites alongside Celeste and Shovel Knight",yu peng chen is a stellar composer  genshin s ost remains one of my favorites alongside celeste and shovel knight,0.25
8,1649706823000.0,2022-04-11 12:53:43,"Also I'm begging yall to leave stellar alone. Like if I have to hear one more ""remember stellar"" I'm gonna rip my hair out. I'm sure they would like yall to stop talking about it too",also i m begging yall to leave stellar alone  like if i have to hear one more  remember stellar  i m gonna rip my hair out  i m sure they would like yall to stop talking about it too,0.375
9,1649706767000.0,2022-04-11 12:52:47,@JMotionZ I would make that trickster one my lock screen! Absolutely stellar!,  i would make that trickster one my lock screen  absolutely stellar ,0.25
10,1649706764000.0,2022-04-11 12:52:44,"Exactly a month until I graduate law school 🤓 been such a silly little journey lol, ultimately I’m glad I discovered my passion for public defense here and met some really stellar and passionate people. Would I recommend it? Maybe",exactly a month until i graduate law school   been such a silly little journey lol  ultimately i m glad i discovered my passion for public defense here and met some really stellar and passionate people  would i recommend it  maybe,0.11805555555555555
11,1649706725000.0,2022-04-11 12:52:05,"@toapoIIo yeah...YEAH...if we're going by kdjs absolutely stellar viewpoint, yjh caring about his mom's safety because she's kdjs would make absolutely no sense (sinking into the soil) and him shielding kdj from Nirvana despite their being absolutely no rationale w the idea since kdj has+",  yeah   yeah   if we re going by kdjs absolutely stellar viewpoint  yjh caring about his mom s safety because she s kdjs would make absolutely no sense  sinking into the soil  and him shielding kdj from nirvana despite their being absolutely no rationale w the idea since kdj has ,0.016666666666666663
12,1649706706000.0,2022-04-11 12:51:46,"@SamWitwer Yeah Sam, I have the 30th Anniversary Monkey Island set like this from Limited Run and it’s just stellar. Very cool man.",  yeah sam  i have the 30th anniversary monkey island set like this from limited run and it s just stellar  very cool man ,0.14589285714285713
13,1649706673000.0,2022-04-11 12:51:13,'And if we continue our journey back into our unconscious we will discover our alien and inter-stellar origins.🛸, and if we continue our journey back into our unconscious we will discover our alien and inter stellar origins  ,0.0
14,1649706667000.0,2022-04-11 12:51:07,@ednyoka Stellar!,  stellar ,0.25
15,1649706635000.0,2022-04-11 12:50:35,Usman needs more respect for being a stellar champ.,usman needs more respect for being a stellar champ ,0.375
