,created_at,date,tweet
0,1649375999000.0,2022-04-07 16:59:59,@andiinrizki Salpok ada awan bentuk orang di samping
1,1649375999000.0,2022-04-07 16:59:59,"@OposisiCerdas Oalah 300 ribu pas lebaran oleh opo pak, sing penting turunkan harga kebutuhan sehari-hari. Memberantas mafia minyak goreng saja nggak bisa pdhl sdh nyata ada. Gitu ngotok 3 periode"
2,1649375998000.0,2022-04-07 16:59:58,Town has the highest density of ADA compliant units. They're being used as airbnbs.  Many of our unhoused neighbors have vouchers but remain unhoused because no ADA compliant units are available 😞
3,1649375996000.0,2022-04-07 16:59:56,@nyamngie :D Ya Allah.. nggak ada yang bangunin?
4,1649375996000.0,2022-04-07 16:59:56,@CarvenV2 @_DanielPriv Hide asap Paniel ada gw anj
5,1649375995000.0,2022-04-07 16:59:55,"ih sumpah ada anak kelas gue lagi ga puasa, terus dia bawa susu ultra, EH MALAH DIMINUM DI KELAS ANJIR GA NGEHARGAIN BANGT"
6,1649375995000.0,2022-04-07 16:59:55,"@chitaglocityx Jadi inget drama class of lies akumah.., soalnya di situ ada cewek yang udh jadi trainee tapi tukang bully orang😭, dan bayar orang lain untuk ngejelek²in temen se dorm nya supaya gak debut🙃"
7,1649375995000.0,2022-04-07 16:59:55,"@collegemenfess ga enak 🥲 prnh sakit di kos an, cmn buat makan aja ga kuat tp ga ada yg nyuapin, al hasil makan tp dikit sambil pen nangis 😭"
8,1649375994000.0,2022-04-07 16:59:54,"@edowilfridus Buat pemula ngga bisa do, awal2 th 2018 aku coba dan itu akademis banget. Mungkin untuk anak jurusan bahasa indonesia ya, so far aku bikin sendiri pake rujukan CECR ga ada masalah sih. Yang penting murid senang dan bisa ngomong akhirnya."
9,1649375994000.0,2022-04-07 16:59:54,"@yutaschoucho gak bisa, mereka dibiarin makin ngelunjak, gk ada respect nya sama sekali ke yuta atau member lain. Shipper caper emg gtu, hrus ditegur terus dan btw lgi gak puasa makanya emosian jg🤣🤣🤣"
10,1649375994000.0,2022-04-07 16:59:54,"@chamjiege_ @Indomielovers Yes, aku pun selalu ada stok Indomie di rumah. Kalau lapar dan nggak bisa keluar, tingal bikin gampang ....terus kenyang deh"
11,1649375993000.0,2022-04-07 16:59:53,"@sekarkar Lapor ke PLN via aplikasi Sekar. Kata ponakan yg yg di kampung, dia kalo mati lampu trs lapor PLN gitu. Abis itu ada teknisi yg benerin. Gak lama nyala lagi listriknya."
12,1649375993000.0,2022-04-07 16:59:53,Kenapa lagu ost tool yg xiao zhan gk ada di spotify. Lagunya enak untuk menemani pas lagi nangis meskipun liriknya romantis🤣
13,1649375993000.0,2022-04-07 16:59:53,"@illeygurl Ada nih, paling depan pula  https://t.co/lg0x97PbPn"
14,1649375992000.0,2022-04-07 16:59:52,"@KakZalfa @rizieqdivist @_SEKNAS_RI @setro_gm @MuhadjirM @amrudinnejad_ Memakai fasilitas atau ruang publik tanpa izin ada pidananya. Itu seperti sudah mengangkangi supremasi hukum dan kewenangan kepala daerah setempat. Jika terjadi lagi, segera berangus! Kita tidak boleh kecolongan."
15,1649375991000.0,2022-04-07 16:59:51,"@rakiunyu masih ada, tapi pair ka 🤕"
16,1649375991000.0,2022-04-07 16:59:51,@6baji bismillah dapet biar megumi &amp; baji ada temennya di rumah 🤲  https://t.co/7HVp3jzwXD
17,1649375990000.0,2022-04-07 16:59:50,"""Rasa hormat tidak selalu membawa persahabatan, tapi persahabatan tidak mungkin ada tanpa rasa hormat."""
18,1649375990000.0,2022-04-07 16:59:50,"Jumat kmrn pas final test bagian speaking part 2 ada disuruh deskripsiin seseorang, selesai section test dikasih feedback sm gurunya, pas mau bahas yg part 2 lgsg ditanyain, ""him, berarti cowok ya? Is he your boyfriend?""😭 trus aku jawab, "" Hahaha, no sir, he's my best friend""😭"
19,1649375990000.0,2022-04-07 16:59:50,Heran dah ko ada yang belain gofar hilman
20,1649375990000.0,2022-04-07 16:59:50,"Ngimpi perjalanan dinas ke LN, terus ternyata satu hotel sama aespa. Suatu hari gw mau turun ke lobby trs ada yg ketinggalan di kamar trnyata gw gak bawa card buat naik lift, pas-pasan sama aespa trs gw minjem card-nya winter buat naik 😂"
21,1649375989000.0,2022-04-07 16:59:49,/amn ada yg nyari pc dicon tae rambut merah?
22,1649375988000.0,2022-04-07 16:59:48,@sbmptnfess Kalau misal persamaan x nya yang bawah di masukin ke yang atas bisa ga sih?? Tapi nanti ada 2 titik ding jadinya🤔
23,1649375988000.0,2022-04-07 16:59:48,@altersquare18 Gak ada
24,1649375988000.0,2022-04-07 16:59:48,@Windyretmini bahaya takut ada yang masih kepo😝
25,1649375987000.0,2022-04-07 16:59:47,CV Paypal yg amanah dong  Ada saldo Paypal 5$
26,1649375987000.0,2022-04-07 16:59:47,"@aauskaply___ Setuju tp kjaan kawallah agar x ada lambakan jualan mask yg x lulus sirim atau palsu dan kenakan denda kpd pembekal atau penjual,  bukannya denda kpd rakyat.Kjaan juga kawal harga supaya x bebankn rakyt"
27,1649375987000.0,2022-04-07 16:59:47,"@mlbbfess iya🙂 tmnku blg mau bli acount ku harga 270k pdhl ada collector, star limit, epic limit jg banyak"
28,1649375984000.0,2022-04-07 16:59:44,"Sakura tuh mantan penyanyi klasikal cilik, ada di youtubenya dia dag.   Tapi emg suara dia nassal bangaet"
29,1649375984000.0,2022-04-07 16:59:44,@starfess Ga ada yang anu kec foto predebut my best boy  https://t.co/vu2cAQnoeO
30,1649375984000.0,2022-04-07 16:59:44,"Gue jalan sambil ngantuk, tiba2 ada ibu2 ngeliatin trs manggil ""eh kamu pegawainya ini ya (nyebutin nama)?"" Ntar nitip ini yak, bilangin (ke bos w).  ASLI LANGSUNG MELEK GW"
31,1649375984000.0,2022-04-07 16:59:44,"Kaga bosan,maaf numpang lewat,semoga ada rezeki,jasa supir/serabutan  https://t.co/Hdgp9Vqq31"
32,1649375983000.0,2022-04-07 16:59:43,@Tony28861487 @berdistraksiy @cyberpunkids @bntrlgsukzes 06.59 belum ada balasan
33,1649375983000.0,2022-04-07 16:59:43,@GusNadjb Profesor fisika kok jawab nya dingin itu ada? Harusnya dingin itu ketiadaan  kalor. Script nya salah ini..
34,1649375982000.0,2022-04-07 16:59:42,Begini ada yg open po kek merch kpop ga si? 🥲🥲 bingung euy mo beliin kado buat temen …
35,1649375982000.0,2022-04-07 16:59:42,@pitakuning @pandji @andretaulany74 Ada di Spotify atau Noice kah?
36,1649375980000.0,2022-04-07 16:59:40,"Kalau cop SIRIM guna alasan untuk elakkan produk tiruan, saya nak tanya 1 benda lah. Ada sapa-sapa pernah buat test tak produk tiruan ni sejauh mana perbezaan keberkesanan dia?  Mask 3-ply tu faham lah. Tapi macam mana dengan mask KF94 ataupun N95 yang dah berlambak di pasaran?  https://t.co/uCfJZlNSg3"
37,1649375980000.0,2022-04-07 16:59:40,"@Wh1t3Strip3 soale temenku pake helm yg ada sticker² gitu...wkt pulang pake masker, dingin katane...kejadian sebelum ada coped...ya wajar kl d kira anak muda..eh iya, dl dah lama d selatan rmh jg ada kejadian klitih, anak sama bapak mau mancing, kok ya bisa tepat, anakke sing di babat pedang."
38,1649375980000.0,2022-04-07 16:59:40,cape bangett uts dikasi waktu 1 jam mana dosen nya gamau kasih toleran lg kalo ada kendala
39,1649375980000.0,2022-04-07 16:59:40,@Aa2Amal Ada Xrp
40,1649375980000.0,2022-04-07 16:59:40,"@jexlla halo kak, masih cari gak ya? aku ada sunric doom 25k barangkali minat"
41,1649375979000.0,2022-04-07 16:59:39,Ini yang 1000006chart(?) mana ya? Tinggal ini doang dan aku ada beli pc Karina disini 😢
42,1649375978000.0,2022-04-07 16:59:38,@hobszanev KAGA ADA YA NEPP 😾😿
43,1649375978000.0,2022-04-07 16:59:38,"@ccantikkaa haloo, aku mau nanyaaa, katanya kan ppu bhs inggris itu udah gaada dan jadinya bhs inggris ada subtestnya tersendiri (?) itu kira kira persebaran materinya sama kayak ppu bhs inggris ga ya? terimakasih sebelumnya 🙆🏻‍♀️"
44,1649375977000.0,2022-04-07 16:59:37,"aelah sok cantik bgt kudu di mention dulu baru muncul, liat aja tar ada yg sok sedih ngerasa ga diajak cwih"
45,1649375977000.0,2022-04-07 16:59:37,"lagi puasa ada aja pen Julita, simpen dulu sampe magrib 😌"
46,1649375976000.0,2022-04-07 16:59:36,mnet world tuh ada aplikasinya gak sih?
47,1649375975000.0,2022-04-07 16:59:35,Sejak dulu especially dekat hospital pun pakai facemask. Ada cop sirim tak? Benda kau pakai buang. Even yg basuh pun takkan kau gamak nak simpan 3 hari?
48,1649375975000.0,2022-04-07 16:59:35,@kyuwobu Ada rencana apa aja nih buat hari ini?
49,1649375975000.0,2022-04-07 16:59:35,Cardano Foundationは、チューリッヒ大学と提携してブロックチェーンを改善しています🚀  #Cardano #ADA   https://t.co/5IqecL0dOb
50,1649375974000.0,2022-04-07 16:59:34,"Hepibidi fudhil cantik wkwkkw, yok bisa yok jangan bobo wae klo ada waktu luang, di pake nonton Drakor kek apa kek wkwk ehh gak mksdnya ngerjain hal yang lebih manfaat atuh Dil ih meni gemes mata teh nutup wae"
51,1649375974000.0,2022-04-07 16:59:34,@AKAXDZ nanti kan ada liburnya😞
52,1649375972000.0,2022-04-07 16:59:32,Pacar gue gausah ada yang nyenggol  https://t.co/zz21ylfpLN
53,1649375970000.0,2022-04-07 16:59:30,"@rifkyfass @convomf @estyhs kan ga lucu kalau ada sosis, taraa makjreng"
54,1649375970000.0,2022-04-07 16:59:30,"@FirstMediaCares Id : 11885406 kenapa ya min tersambung tanpa adanya data internet, padahal baru bayar semalam sampai 500.500 rupiah eh masih ga bisa digunakan kenapa ini? Ada apa gerangan?"
55,1649375969000.0,2022-04-07 16:59:29,"Tu waktu tu punya lah kepo , pintu tebukak luas , dok kelai ngn adek suh katup pintu tpi kebetulan ada sorang adek ni wakil depa rasanya dok kat pi dia tolong tu bagi . Baik ja budaknya . Manis ja senyum . Hahah . Kk sambung"
56,1649375968000.0,2022-04-07 16:59:28,"Jadwal Pesta Demokrasi pada 2024 tdk akan mundur , dan akan dilakukan pada February 2024...  Hari pelaksanaan nya pun jika tdk ada  halangan sdh ditetapkan...  Hal ini jg sdh di bahas di DPR oleh Komisi II , Pemerintah dan penyelenggara Pemilu 🎈🎈  https://t.co/BptWU8ukmY"
57,1649375967000.0,2022-04-07 16:59:27,Semalem tumbang dan gabisa buka hp sampe ada teaser aja baru tau🥺🥺💖
58,1649375967000.0,2022-04-07 16:59:27,"@tahuaci__ WKWKWK harusnya aku sambil nyemil, jd tontonan   okayyy!! kayanya setiap aku ada masalah selalu ngehubungin km deh banh😭😭😭👍🏼"
59,1649375967000.0,2022-04-07 16:59:27,Dan takutlah pada do'a orang yang terdzalimi karena tidak ada penghalang antara do'a tersebut dengan Allah. (Muttafaqalaih)
60,1649375967000.0,2022-04-07 16:59:27,@tinyselling ww filter ada birunya  https://t.co/Mbvqsax7v6
61,1649375965000.0,2022-04-07 16:59:25,"@nlzafa @schfess sebenernya ada beberapa jalur untuk masuk vokasi, kebanyakan emang jalur prestasi, pakai nilai rapot sama prestasi. umumnya kalo politeknik setelah seleksi berkas, mereka akan adain tes lagi (tulis &amp; wawancara). sedangkan kalau perguruan tinggi itu mostly pure seleksi berkas aja."
62,1649375964000.0,2022-04-07 16:59:24,ada kalanya gue pengen die
63,1649375964000.0,2022-04-07 16:59:24,"@kindeojoyi dibuat foya foya ya, jgn ada uang kembalian, harus habis 😎"
64,1649375963000.0,2022-04-07 16:59:23,@msaid_didu 18000???....sdh 25000 om....dan gak ada gaji 2.5jt per hari...koq bego sih loe???...
