,created_at,date,tweet
0,1649721599000.0,2022-04-11 16:59:59,"@cobyukev gueee harus mnyelesaikan bahan buat presentasi tar yer wkwmwk, BTW ada kelas gak hari inii🤔"
1,1649721598000.0,2022-04-11 16:59:58,"@ChimeraArcana @AgnarY @oenniebeauty Yes pakaian muslimah, pakaian tradisional arab macem2 bentuknya, ada abaya yg bentuknya masih berlekuk, penuh dengan perhiasaan, dan tidak memakai khimar. Itu bukan pakaian muslimah. Abaya tanpa lekuk badan sejalan dengan perintah Allah di al quran (Al Ahzab : 59)"
2,1649721598000.0,2022-04-11 16:59:58,"Wkwkwk, sudah w duga bakal ada komen kekgini 😂😂😂."
3,1649721598000.0,2022-04-11 16:59:58,"1. BTC --  39,563.37691 USD 2. ETH --  2,983.73718 USD 3. BNB --  395.42783 USD 4. XRP --  0.69528 USD 5. ADA --  0.92066 USD 6. DOT --  17.18968 USD 7. DOGE --  0.13466 USD 8. LTC --  102.50443 USD 9. LINK --  13.75607 USD 10. TRX -- 0.05828 USD"
4,1649721598000.0,2022-04-11 16:59:58,"@ffszry Aj mat kau cari, aja mana boleh hold sehari nyah hahaha. Tapi melaka ada chance lagi kena gi JD"
5,1649721597000.0,2022-04-11 16:59:57,Ada ke patut staff cakap kat aku tunggu turn nak dapat covid. Isyhhh !! Mulut tu cili baru tahu.
6,1649721596000.0,2022-04-11 16:59:56,mileapo ada base nya gak sih?
7,1649721596000.0,2022-04-11 16:59:56,Idih kok ada army begini ya sama fandom lain
8,1649721596000.0,2022-04-11 16:59:56,@lampuberlian Ada dong ;)  https://t.co/nCKx2tqDC2
9,1649721594000.0,2022-04-11 16:59:54,"@ohmybeautybank Baca keterangan produknya dlu,krna ada obat tetes mata khusus softlens merk rohto. Dipake waktu mata kerasa gatel dan kering ajaa,jgn tiap 10 menit makee,setau aku ga bolehh dan biasanyaa dia tahan 1 bulan kalo uda dibukaa"
10,1649721594000.0,2022-04-11 16:59:54,@OnOffGunLov3 asli sih 😭😭 tiap ada konten badut dari orng itu mulu sesekali ayangnya ke 😭
11,1649721593000.0,2022-04-11 16:59:53,bubullll happy bertdayyyyy 🎉❤️ i wish you all the best on your special day! @gbyeaurevoir nih ada lagu spehsyol utk qm 🥰  https://t.co/AAAUHd48Sp
